"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:00","8","SSW","17"
"2017-11-01 00:10","13","SW","16"
"2017-11-01 00:20","12","SW","16"
"2017-11-01 00:30","14","SW","17"
"2017-11-01 00:40","15","SSW","20"
"2017-11-01 00:50","14","SSW","20"
"2017-11-01 01:00","13","S","20"
"2017-11-01 01:10","14","S","18"
"2017-11-01 01:20","10","S","18"
"2017-11-01 01:30","11","SSW","17"
"2017-11-01 01:40","12","S","18"
"2017-11-01 01:50","10","SSW","17"
"2017-11-01 02:00","12","S","17"
"2017-11-01 02:10","12","S","16"
"2017-11-01 02:20","10","S","18"
"2017-11-01 02:30","9","S","16"
"2017-11-01 02:40","10","SSW","14"
"2017-11-01 02:50","10","S","16"
"2017-11-01 03:00","14","S","17"
"2017-11-01 03:10","9","SSW","17"
"2017-11-01 03:20","12","SSW","15"
"2017-11-01 03:30","11","SSW","14"
"2017-11-01 03:40","8","S","14"
"2017-11-01 03:50","10","SSW","14"
"2017-11-01 04:00","8","S","14"
"2017-11-01 04:10","6","S","14"
"2017-11-01 04:20","3","SSE","10"
"2017-11-01 04:30","8","S","11"
"2017-11-01 04:40","8","S","13"
"2017-11-01 04:50","6","SSE","11"
"2017-11-01 05:00","5","SE","9"
"2017-11-01 05:10","4","SE","7"
"2017-11-01 05:20","6","SE","8"
"2017-11-01 05:30","5","S","8"
"2017-11-01 05:40","8","S","10"
"2017-11-01 05:50","11","S","14"
"2017-11-01 06:00","13","SSW","19"
"2017-11-01 06:10","13","SSW","22"
"2017-11-01 06:20","14","S","20"
"2017-11-01 06:30","12","SSW","21"
"2017-11-01 06:40","13","S","21"
"2017-11-01 06:50","15","S","21"
"2017-11-01 07:00","14","SSW","22"
"2017-11-01 07:10","9","SSW","18"
"2017-11-01 07:20","14","SW","21"
"2017-11-01 07:30","12","SW","19"
"2017-11-01 07:40","14","SW","17"
"2017-11-01 07:50","12","SW","17"
"2017-11-01 08:00","11","SW","16"
"2017-11-01 08:10","11","SSW","17"
"2017-11-01 08:20","9","SSW","17"
"2017-11-01 08:30","11","S","13"
"2017-11-01 08:40","9","S","14"
"2017-11-01 08:50","9","S","16"
"2017-11-01 09:00","11","S","15"
"2017-11-01 09:10","10","S","15"
"2017-11-01 09:20","10","S","15"
"2017-11-01 09:30","10","S","16"
"2017-11-01 09:40","9","S","15"
"2017-11-01 09:50","13","S","18"
"2017-11-01 10:00","14","S","18"
"2017-11-01 10:10","13","S","17"
"2017-11-01 10:20","10","SSE","17"
"2017-11-01 10:30","10","SSW","17"
"2017-11-01 10:40","12","S","16"
"2017-11-01 10:50","10","SSW","21"
"2017-11-01 11:00","11","S","19"
"2017-11-01 11:10","11","S","21"
"2017-11-01 11:20","15","SSW","22"
"2017-11-01 11:30","15","S","24"
"2017-11-01 11:40","14","S","20"
"2017-11-01 11:50","12","SSW","20"
"2017-11-01 12:00","15","SW","25"
"2017-11-01 12:10","20","SSW","25"
"2017-11-01 12:20","18","S","25"
"2017-11-01 12:30","16","S","23"
"2017-11-01 12:40","16","SW","27"
"2017-11-01 12:50","17","SW","21"
"2017-11-01 13:00","11","SW","21"
"2017-11-01 13:10","13","SW","20"
"2017-11-01 13:20","11","SW","22"
"2017-11-01 13:30","15","S","22"
"2017-11-01 13:40","12","S","22"
"2017-11-01 13:50","7","SSW","14"
"2017-11-01 14:00","11","SW","14"
"2017-11-01 14:10","10","SSW","14"
"2017-11-01 14:20","8","SW","17"
"2017-11-01 14:30","9","S","16"
"2017-11-01 14:40","7","SW","14"
"2017-11-01 14:50","12","SSW","20"
"2017-11-01 15:00","10","SSW","18"
"2017-11-01 15:10","7","SSW","13"
"2017-11-01 15:20","4","SSW","10"
"2017-11-01 15:30","5","W","8"
"2017-11-01 15:40","3","WNW","8"
"2017-11-01 15:50","5","S","10"
"2017-11-01 16:00","6","S","13"
"2017-11-01 16:10","3","SSW","8"
"2017-11-01 16:20","5","SSW","8"
"2017-11-01 16:30","6","S","9"
"2017-11-01 16:40","9","S","13"
"2017-11-01 16:50","5","SSE","12"
"2017-11-01 17:00","7","SE","12"
"2017-11-01 17:10","6","SE","8"
"2017-11-01 17:20","6","S","8"
"2017-11-01 17:30","3","SSE","6"
"2017-11-01 17:40","2","SE","5"
"2017-11-01 17:50","4","SE","5"
"2017-11-01 18:00","5","SE","7"
"2017-11-01 18:10","3","SSE","5"
"2017-11-01 18:20","3","ESE","6"
"2017-11-01 18:30","3","S","5"
"2017-11-01 18:40","1","E","4"
"2017-11-01 18:50","3","SSE","4"
"2017-11-01 19:00","3","ESE","5"
"2017-11-01 19:10","4","S","6"
"2017-11-01 19:20","6","S","8"
"2017-11-01 19:30","3","E","6"
"2017-11-01 19:40","2","E","5"
"2017-11-01 19:50","2","ESE","4"
"2017-11-01 20:00","1","E","4"
"2017-11-01 20:10","3","SSW","6"
"2017-11-01 20:20","4","SE","6"
"2017-11-01 20:30","6","SE","10"
"2017-11-01 20:40","4","SSE","10"
"2017-11-01 20:50","5","SE","12"
"2017-11-01 21:00","8","S","13"
"2017-11-01 21:10","7","SSE","15"
"2017-11-01 21:20","9","SSE","14"
"2017-11-01 21:30","7","SSE","13"
"2017-11-01 21:40","7","S","11"
"2017-11-01 21:50","8","S","12"
"2017-11-01 22:00","9","SSE","14"
"2017-11-01 22:10","10","SSE","17"
"2017-11-01 22:20","9","S","17"
"2017-11-01 22:30","10","S","15"
"2017-11-01 22:40","9","S","15"
"2017-11-01 22:50","8","S","14"
"2017-11-01 23:00","13","S","19"
"2017-11-01 23:10","6","S","16"
"2017-11-01 23:20","9","SSE","15"
"2017-11-01 23:30","6","S","13"
"2017-11-01 23:40","5","SE","10"
"2017-11-01 23:50","4","SE","10"
"2017-11-02 00:00","6","SSE","10"
"2017-11-02 00:10","5","SE","13"
"2017-11-02 00:20","3","SSE","10"
