"Time EST","Air Temp (°C)"
"2018-02-01 00:08","-17.5"
"2018-02-01 00:18","-17.4"
"2018-02-01 00:28","-17.4"
"2018-02-01 00:38","-17.4"
"2018-02-01 00:48","-17.4"
"2018-02-01 00:58","-17.3"
"2018-02-01 01:08","-17.4"
"2018-02-01 01:18","-17.4"
"2018-02-01 01:28","-17.4"
"2018-02-01 01:38","-17.4"
"2018-02-01 01:48","-17.4"
"2018-02-01 01:58","-17.4"
"2018-02-01 02:08","-17.5"
"2018-02-01 02:18","-17.5"
"2018-02-01 02:28","-17.6"
"2018-02-01 02:38","-17.6"
"2018-02-01 02:48","-17.7"
"2018-02-01 02:58","-17.7"
"2018-02-01 03:08","-17.7"
"2018-02-01 03:18","-17.8"
"2018-02-01 03:28","-17.8"
"2018-02-01 03:38","-17.9"
"2018-02-01 03:48","-17.9"
"2018-02-01 03:58","-17.9"
"2018-02-01 04:08","-18.1"
"2018-02-01 04:18","-18.0"
"2018-02-01 04:28","-18.0"
"2018-02-01 04:38","-18.0"
"2018-02-01 04:48","-18.1"
"2018-02-01 04:58","-18.2"
"2018-02-01 05:08","-18.4"
"2018-02-01 05:18","-18.6"
"2018-02-01 05:28","-18.8"
"2018-02-01 05:38","-18.9"
"2018-02-01 05:48","-19.1"
"2018-02-01 05:58","-19.2"
"2018-02-01 06:08","-19.3"
"2018-02-01 06:18","-19.4"
"2018-02-01 06:28","-19.4"
"2018-02-01 06:38","-19.5"
"2018-02-01 06:48","-19.5"
"2018-02-01 06:58","-19.6"
"2018-02-01 07:08","-19.7"
"2018-02-01 07:18","-19.7"
"2018-02-01 07:28","-19.7"
"2018-02-01 07:38","-19.8"
"2018-02-01 07:48","-19.9"
"2018-02-01 07:58","-20.1"
"2018-02-01 08:08","-20.1"
"2018-02-01 08:18","-20.3"
"2018-02-01 08:28","-20.4"
"2018-02-01 08:38","-20.5"
"2018-02-01 08:48","-20.6"
"2018-02-01 08:58","-20.6"
"2018-02-01 09:08","-20.6"
"2018-02-01 09:18","-20.6"
"2018-02-01 09:28","-20.6"
"2018-02-01 09:38","-20.5"
"2018-02-01 09:48","-20.4"
"2018-02-01 09:58","-20.4"
"2018-02-01 10:08","-20.4"
"2018-02-01 10:18","-20.2"
"2018-02-01 10:28","-20.2"
"2018-02-01 10:38","-20.0"
"2018-02-01 10:48","-19.8"
"2018-02-01 10:58","-19.7"
"2018-02-01 11:08","-19.6"
"2018-02-01 11:18","-19.4"
"2018-02-01 11:28","-19.0"
"2018-02-01 11:38","-18.5"
"2018-02-01 11:48","-18.6"
"2018-02-01 11:58","-18.3"
"2018-02-01 12:08","-17.9"
"2018-02-01 12:18","-18.0"
"2018-02-01 12:28","-17.6"
"2018-02-01 12:38","-17.9"
"2018-02-01 12:48","-17.4"
"2018-02-01 12:58","-17.3"
"2018-02-01 13:08","-17.1"
"2018-02-01 13:18","-17.1"
"2018-02-01 13:28","-16.9"
"2018-02-01 13:38","-16.8"
"2018-02-01 13:48","-16.7"
"2018-02-01 13:58","-16.8"
"2018-02-01 14:08","-16.2"
"2018-02-01 14:18","-16.3"
"2018-02-01 14:28","-16.1"
"2018-02-01 14:38","-16.2"
"2018-02-01 14:48","-16.4"
"2018-02-01 14:58","-16.0"
"2018-02-01 15:08","-16.1"
"2018-02-01 15:18","-16.1"
"2018-02-01 15:28","-16.3"
"2018-02-01 15:38","-16.6"
"2018-02-01 15:48","-16.3"
"2018-02-01 15:58","-16.4"
"2018-02-01 16:08","-16.5"
"2018-02-01 16:18","-16.7"
"2018-02-01 16:28","-16.7"
"2018-02-01 16:38","-16.9"
"2018-02-01 16:48","-16.8"
"2018-02-01 16:58","-17.0"
"2018-02-01 17:08","-17.1"
"2018-02-01 17:18","-17.4"
"2018-02-01 17:28","-17.6"
"2018-02-01 17:38","-17.7"
"2018-02-01 17:48","-18.0"
"2018-02-01 17:58","-18.2"
"2018-02-01 18:08","-18.4"
"2018-02-01 18:18","-18.5"
"2018-02-01 18:28","-19.0"
"2018-02-01 18:38","-19.2"
"2018-02-01 18:48","-19.4"
"2018-02-01 18:58","-19.6"
"2018-02-01 19:08","-19.8"
"2018-02-01 19:18","-20.0"
"2018-02-01 19:28","-20.1"
"2018-02-01 19:38","-20.4"
"2018-02-01 19:48","-20.4"
"2018-02-01 19:58","-20.6"
"2018-02-01 20:08","-20.9"
"2018-02-01 20:18","-20.9"
"2018-02-01 20:28","-21.0"
"2018-02-01 20:38","-21.3"
"2018-02-01 20:48","-21.5"
"2018-02-01 20:58","-21.8"
"2018-02-01 21:08","-22.3"
"2018-02-01 21:18","-23.2"
"2018-02-01 21:28","-23.5"
"2018-02-01 21:38","-23.8"
"2018-02-01 21:48","-24.3"
"2018-02-01 21:58","-24.7"
"2018-02-01 22:08","-25.0"
"2018-02-01 22:18","-25.3"
"2018-02-01 22:28","-25.7"
"2018-02-01 22:38","-25.8"
"2018-02-01 22:48","-25.9"
"2018-02-01 22:58","-26.1"
"2018-02-01 23:08","-26.4"
"2018-02-01 23:18","-26.7"
"2018-02-01 23:28","-26.9"
"2018-02-01 23:38","-27.1"
"2018-02-01 23:58","-27.4"
"2018-02-02 00:08","-27.6"
"2018-02-02 00:18","-27.5"
"2018-02-02 00:28","-27.8"
"2018-02-02 00:38","-27.9"
"2018-02-02 00:48","-27.8"
"2018-02-02 00:58","-28.1"
"2018-02-02 01:08","-28.3"
"2018-02-02 01:18","-28.5"
"2018-02-02 01:28","-28.3"
"2018-02-02 01:38","-27.9"
"2018-02-02 01:48","-27.8"
"2018-02-02 01:58","-27.6"
"2018-02-02 02:08","-27.7"
"2018-02-02 02:18","-27.7"
"2018-02-02 02:28","-27.6"
"2018-02-02 02:38","-27.7"
"2018-02-02 02:48","-27.8"
"2018-02-02 02:58","-27.8"
"2018-02-02 03:08","-28.0"
"2018-02-02 03:18","-27.9"
"2018-02-02 03:28","-28.1"
"2018-02-02 03:38","-28.1"
"2018-02-02 03:48","-28.0"
"2018-02-02 03:58","-28.2"
"2018-02-02 04:08","-28.2"
"2018-02-02 04:18","-28.2"
"2018-02-02 04:28","-28.2"
"2018-02-02 04:38","-27.9"
"2018-02-02 04:48","-27.7"
"2018-02-02 04:58","-27.5"
"2018-02-02 05:08","-27.4"
"2018-02-02 05:18","-27.2"
"2018-02-02 05:28","-27.0"
"2018-02-02 05:38","-26.7"
"2018-02-02 05:48","-26.6"
"2018-02-02 05:58","-26.3"
"2018-02-02 06:08","-26.2"
"2018-02-02 06:18","-25.7"
"2018-02-02 06:28","-25.4"
"2018-02-02 06:38","-25.3"
"2018-02-02 06:48","-25.3"
"2018-02-02 06:58","-24.8"
"2018-02-02 07:08","-24.7"
"2018-02-02 07:18","-24.5"
"2018-02-02 07:28","-24.5"
"2018-02-02 07:38","-24.4"
"2018-02-02 07:48","-24.5"
"2018-02-02 07:58","-24.6"
"2018-02-02 08:08","-24.6"
"2018-02-02 08:18","-24.3"
"2018-02-02 08:28","-24.2"
"2018-02-02 08:38","-24.0"
"2018-02-02 08:48","-24.1"
"2018-02-02 08:58","-23.9"
"2018-02-02 09:08","-23.8"
"2018-02-02 09:18","-23.4"
"2018-02-02 09:28","-23.2"
"2018-02-02 09:38","-22.9"
"2018-02-02 09:48","-22.5"
"2018-02-02 09:58","-22.0"
"2018-02-02 10:08","-21.7"
"2018-02-02 10:18","-21.0"
"2018-02-02 10:28","-20.8"
"2018-02-02 10:38","-20.0"
"2018-02-02 10:48","-19.9"
"2018-02-02 10:58","-19.6"
"2018-02-02 11:08","-18.7"
"2018-02-02 11:18","-18.3"
"2018-02-02 11:28","-18.4"
"2018-02-02 11:38","-17.9"
"2018-02-02 11:48","-17.7"
"2018-02-02 11:58","-17.7"
"2018-02-02 12:08","-17.5"
"2018-02-02 12:18","-16.7"
"2018-02-02 12:28","-16.8"
"2018-02-02 12:38","-16.5"
"2018-02-02 12:48","-16.2"
"2018-02-02 12:58","-16.3"
"2018-02-02 13:08","-16.1"
"2018-02-02 13:18","-15.7"
"2018-02-02 13:28","-15.9"
"2018-02-02 13:38","-15.8"
"2018-02-02 13:48","-15.8"
"2018-02-02 13:58","-15.4"
"2018-02-02 14:08","-15.5"
"2018-02-02 14:18","-15.1"
"2018-02-02 14:28","-15.2"
"2018-02-02 14:38","-15.1"
"2018-02-02 14:48","-15.2"
"2018-02-02 15:08","-15.1"
"2018-02-02 15:28","-15.3"
"2018-02-02 15:48","-15.0"
"2018-02-02 16:08","-15.2"
"2018-02-02 16:28","-15.1"
