"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:08","-19.6","83"
"2018-02-01 00:18","-19.5","84"
"2018-02-01 00:28","-19.5","84"
"2018-02-01 00:38","-19.4","84"
"2018-02-01 00:48","-19.4","84"
"2018-02-01 00:58","-19.4","84"
"2018-02-01 01:08","-19.5","84"
"2018-02-01 01:18","-19.5","83"
"2018-02-01 01:28","-19.6","83"
"2018-02-01 01:38","-19.6","83"
"2018-02-01 01:48","-19.7","83"
"2018-02-01 01:58","-19.7","82"
"2018-02-01 02:08","-19.7","83"
"2018-02-01 02:18","-19.8","82"
"2018-02-01 02:28","-19.8","82"
"2018-02-01 02:38","-19.9","82"
"2018-02-01 02:48","-20.0","82"
"2018-02-01 02:58","-20.0","82"
"2018-02-01 03:08","-20.0","82"
"2018-02-01 03:18","-20.1","82"
"2018-02-01 03:28","-20.2","82"
"2018-02-01 03:38","-20.2","82"
"2018-02-01 03:48","-20.3","82"
"2018-02-01 03:58","-20.3","81"
"2018-02-01 04:08","-20.3","82"
"2018-02-01 04:18","-20.3","82"
"2018-02-01 04:28","-20.3","82"
"2018-02-01 04:38","-20.4","82"
"2018-02-01 04:48","-20.3","83"
"2018-02-01 04:58","-20.3","84"
"2018-02-01 05:08","-20.5","84"
"2018-02-01 05:18","-20.6","84"
"2018-02-01 05:28","-20.8","84"
"2018-02-01 05:38","-20.9","85"
"2018-02-01 05:48","-20.9","85"
"2018-02-01 05:58","-21.0","86"
"2018-02-01 06:08","-21.1","86"
"2018-02-01 06:18","-21.1","86"
"2018-02-01 06:28","-21.1","87"
"2018-02-01 06:38","-21.1","87"
"2018-02-01 06:48","-21.1","87"
"2018-02-01 06:58","-21.2","87"
"2018-02-01 07:08","-21.3","87"
"2018-02-01 07:18","-21.3","87"
"2018-02-01 07:28","-21.3","87"
"2018-02-01 07:38","-21.5","86"
"2018-02-01 07:48","-21.7","86"
"2018-02-01 07:58","-21.8","86"
"2018-02-01 08:08","-21.8","86"
"2018-02-01 08:18","-21.9","87"
"2018-02-01 08:28","-22.0","87"
"2018-02-01 08:38","-22.1","87"
"2018-02-01 08:48","-22.2","87"
"2018-02-01 08:58","-22.2","87"
"2018-02-01 09:08","-22.3","87"
"2018-02-01 09:18","-22.3","86"
"2018-02-01 09:28","-22.3","86"
"2018-02-01 09:38","-22.3","86"
"2018-02-01 09:48","-22.2","86"
"2018-02-01 09:58","-22.3","85"
"2018-02-01 10:08","-22.3","85"
"2018-02-01 10:18","-22.2","84"
"2018-02-01 10:28","-22.3","83"
"2018-02-01 10:38","-22.3","82"
"2018-02-01 10:48","-22.3","81"
"2018-02-01 10:58","-22.2","81"
"2018-02-01 11:08","-22.2","80"
"2018-02-01 11:18","-22.1","79"
"2018-02-01 11:28","-21.9","78"
"2018-02-01 11:38","-21.7","76"
"2018-02-01 11:48","-21.8","76"
"2018-02-01 11:58","-21.6","76"
"2018-02-01 12:08","-21.6","72"
"2018-02-01 12:18","-21.6","73"
"2018-02-01 12:28","-21.3","72"
"2018-02-01 12:38","-21.7","72"
"2018-02-01 12:48","-21.0","74"
"2018-02-01 12:58","-20.7","75"
"2018-02-01 13:08","-21.0","72"
"2018-02-01 13:18","-21.2","71"
"2018-02-01 13:28","-21.0","71"
"2018-02-01 13:38","-20.7","72"
"2018-02-01 13:48","-20.7","71"
"2018-02-01 13:58","-21.0","70"
"2018-02-01 14:08","-20.4","70"
"2018-02-01 14:18","-20.7","69"
"2018-02-01 14:28","-20.6","68"
"2018-02-01 14:38","-20.5","69"
"2018-02-01 14:48","-21.1","67"
"2018-02-01 14:58","-20.5","68"
"2018-02-01 15:08","-21.0","66"
"2018-02-01 15:18","-20.8","67"
"2018-02-01 15:28","-21.0","67"
"2018-02-01 15:38","-21.6","65"
"2018-02-01 15:48","-21.1","66"
"2018-02-01 15:58","-21.1","67"
"2018-02-01 16:08","-21.4","66"
"2018-02-01 16:18","-21.8","65"
"2018-02-01 16:28","-21.8","65"
"2018-02-01 16:38","-21.7","66"
"2018-02-01 16:48","-21.7","66"
"2018-02-01 16:58","-22.0","65"
"2018-02-01 17:08","-21.9","66"
"2018-02-01 17:18","-21.9","68"
"2018-02-01 17:28","-22.2","67"
"2018-02-01 17:38","-22.1","68"
