"Time EST","Air Temp (°C)"
"2018-01-01 00:08","-22.5"
"2018-01-01 00:18","-22.6"
"2018-01-01 00:28","-22.7"
"2018-01-01 00:38","-22.9"
"2018-01-01 00:48","-22.9"
"2018-01-01 00:59","-23.0"
"2018-01-01 01:08","-23.0"
"2018-01-01 01:18","-23.1"
"2018-01-01 01:28","-23.2"
"2018-01-01 01:38","-23.3"
"2018-01-01 01:48","-23.4"
"2018-01-01 01:59","-23.6"
"2018-01-01 02:08","-24.0"
"2018-01-01 02:18","-24.0"
"2018-01-01 02:28","-24.0"
"2018-01-01 02:38","-24.2"
"2018-01-01 02:48","-24.4"
"2018-01-01 02:59","-24.9"
"2018-01-01 03:08","-25.1"
"2018-01-01 03:18","-24.8"
"2018-01-01 03:28","-25.2"
"2018-01-01 03:38","-25.1"
"2018-01-01 03:48","-25.0"
"2018-01-01 03:59","-24.5"
"2018-01-01 04:08","-24.2"
"2018-01-01 04:18","-24.1"
"2018-01-01 04:28","-23.9"
"2018-01-01 04:38","-23.5"
"2018-01-01 04:48","-23.3"
"2018-01-01 04:59","-23.3"
"2018-01-01 05:08","-23.3"
"2018-01-01 05:18","-23.3"
"2018-01-01 05:28","-23.3"
"2018-01-01 05:38","-23.4"
"2018-01-01 05:48","-23.4"
"2018-01-01 05:59","-23.5"
"2018-01-01 06:08","-23.7"
"2018-01-01 06:18","-23.8"
"2018-01-01 06:28","-24.0"
"2018-01-01 06:38","-24.7"
"2018-01-01 06:48","-24.7"
"2018-01-01 06:59","-24.2"
"2018-01-01 07:08","-24.1"
"2018-01-01 07:18","-24.3"
"2018-01-01 07:28","-24.8"
"2018-01-01 07:38","-24.8"
"2018-01-01 07:48","-25.2"
"2018-01-01 07:59","-25.2"
"2018-01-01 08:08","-24.2"
"2018-01-01 08:18","-24.3"
"2018-01-01 08:28","-24.7"
"2018-01-01 08:38","-24.5"
"2018-01-01 08:48","-23.8"
"2018-01-01 08:59","-24.0"
"2018-01-01 09:08","-23.6"
"2018-01-01 09:18","-23.5"
"2018-01-01 09:28","-23.3"
"2018-01-01 09:38","-23.3"
"2018-01-01 09:48","-23.1"
"2018-01-01 09:59","-22.7"
"2018-01-01 10:08","-22.6"
"2018-01-01 10:18","-22.4"
"2018-01-01 10:28","-22.2"
"2018-01-01 10:38","-21.8"
"2018-01-01 10:48","-21.5"
"2018-01-01 10:59","-20.9"
"2018-01-01 11:08","-20.4"
"2018-01-01 11:18","-19.9"
"2018-01-01 11:28","-19.5"
"2018-01-01 11:38","-19.0"
"2018-01-01 11:48","-18.6"
"2018-01-01 11:59","-18.0"
"2018-01-01 12:08","-17.7"
"2018-01-01 12:18","-17.4"
"2018-01-01 12:28","-17.2"
"2018-01-01 12:38","-16.8"
"2018-01-01 12:48","-16.5"
"2018-01-01 12:59","-16.1"
"2018-01-01 13:08","-15.9"
"2018-01-01 13:18","-15.7"
"2018-01-01 13:28","-15.3"
"2018-01-01 13:38","-15.2"
"2018-01-01 13:48","-14.8"
"2018-01-01 13:59","-14.4"
"2018-01-01 14:08","-14.3"
"2018-01-01 14:18","-14.1"
"2018-01-01 14:28","-14.1"
"2018-01-01 14:38","-14.0"
