"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:08","-24.2","86"
"2018-01-01 00:18","-24.3","86"
"2018-01-01 00:28","-24.4","86"
"2018-01-01 00:38","-24.7","85"
"2018-01-01 00:48","-24.8","85"
"2018-01-01 00:59","-24.8","85"
"2018-01-01 01:08","-24.8","85"
"2018-01-01 01:18","-24.9","85"
"2018-01-01 01:28","-25.0","85"
"2018-01-01 01:38","-25.2","84"
"2018-01-01 01:48","-25.4","84"
"2018-01-01 01:59","-25.6","84"
"2018-01-01 02:08","-26.0","83"
"2018-01-01 02:18","-25.9","84"
"2018-01-01 02:28","-26.0","84"
"2018-01-01 02:38","-26.3","83"
"2018-01-01 02:48","-26.5","83"
"2018-01-01 02:59","-27.0","82"
"2018-01-01 03:08","-27.2","82"
"2018-01-01 03:18","-26.9","83"
"2018-01-01 03:28","-27.5","82"
"2018-01-01 03:38","-27.2","83"
"2018-01-01 03:48","-27.1","83"
"2018-01-01 03:59","-26.6","83"
"2018-01-01 04:08","-26.2","84"
"2018-01-01 04:18","-26.1","84"
"2018-01-01 04:28","-25.8","84"
"2018-01-01 04:38","-25.4","84"
"2018-01-01 04:48","-25.2","85"
"2018-01-01 04:59","-25.2","84"
"2018-01-01 05:08","-25.2","85"
"2018-01-01 05:18","-25.2","84"
"2018-01-01 05:28","-25.2","85"
"2018-01-01 05:38","-25.3","84"
"2018-01-01 05:48","-25.4","84"
"2018-01-01 05:59","-25.5","84"
"2018-01-01 06:08","-25.7","84"
"2018-01-01 06:18","-25.8","84"
"2018-01-01 06:28","-26.1","83"
"2018-01-01 06:38","-27.0","81"
"2018-01-01 06:48","-26.8","83"
"2018-01-01 06:59","-26.2","84"
"2018-01-01 07:08","-26.2","83"
"2018-01-01 07:18","-26.4","83"
"2018-01-01 07:28","-27.0","82"
"2018-01-01 07:38","-27.0","82"
"2018-01-01 07:48","-27.4","82"
"2018-01-01 07:59","-27.2","84"
"2018-01-01 08:08","-26.3","83"
"2018-01-01 08:18","-26.3","84"
"2018-01-01 08:28","-26.8","83"
"2018-01-01 08:38","-26.4","85"
"2018-01-01 08:48","-25.8","84"
"2018-01-01 08:59","-26.0","84"
"2018-01-01 09:08","-25.5","84"
"2018-01-01 09:18","-25.4","85"
"2018-01-01 09:28","-25.1","85"
"2018-01-01 09:38","-25.2","85"
"2018-01-01 09:48","-24.9","85"
"2018-01-01 09:59","-24.5","85"
"2018-01-01 10:08","-24.4","85"
"2018-01-01 10:18","-24.3","85"
"2018-01-01 10:28","-24.0","85"
"2018-01-01 10:38","-23.6","86"
"2018-01-01 10:48","-23.3","86"
"2018-01-01 10:59","-22.6","87"
"2018-01-01 11:08","-22.0","87"
"2018-01-01 11:18","-21.5","87"
"2018-01-01 11:28","-21.1","87"
"2018-01-01 11:38","-20.6","88"
"2018-01-01 11:48","-20.3","86"
"2018-01-01 11:59","-20.0","84"
"2018-01-01 12:08","-19.9","83"
"2018-01-01 12:18","-19.8","82"
"2018-01-01 12:28","-19.5","82"
"2018-01-01 12:38","-19.3","81"
