"Time EST","Pressure (kPa)"
"2018-01-01 00:08","99.25"
"2018-01-01 00:18","99.25"
"2018-01-01 00:28","99.25"
"2018-01-01 00:38","99.27"
"2018-01-01 00:48","99.26"
"2018-01-01 00:59","99.26"
"2018-01-01 01:08","99.27"
"2018-01-01 01:18","99.25"
"2018-01-01 01:28","99.24"
"2018-01-01 01:38","99.24"
"2018-01-01 01:48","99.23"
"2018-01-01 01:59","99.25"
"2018-01-01 02:08","99.24"
"2018-01-01 02:18","99.24"
"2018-01-01 02:28","99.24"
"2018-01-01 02:38","99.26"
"2018-01-01 02:48","99.26"
"2018-01-01 02:59","99.26"
"2018-01-01 03:08","99.25"
"2018-01-01 03:18","99.26"
"2018-01-01 03:28","99.28"
"2018-01-01 03:38","99.29"
"2018-01-01 03:48","99.28"
"2018-01-01 03:59","99.29"
"2018-01-01 04:08","99.28"
"2018-01-01 04:18","99.27"
"2018-01-01 04:28","99.27"
"2018-01-01 04:38","99.26"
"2018-01-01 04:48","99.26"
"2018-01-01 04:59","99.26"
"2018-01-01 05:08","99.27"
"2018-01-01 05:18","99.27"
"2018-01-01 05:28","99.27"
"2018-01-01 05:38","99.27"
"2018-01-01 05:48","99.27"
"2018-01-01 05:59","99.26"
"2018-01-01 06:08","99.27"
"2018-01-01 06:18","99.26"
"2018-01-01 06:28","99.27"
"2018-01-01 06:38","99.29"
"2018-01-01 06:48","99.30"
"2018-01-01 06:59","99.30"
"2018-01-01 07:08","99.29"
"2018-01-01 07:18","99.29"
"2018-01-01 07:28","99.28"
"2018-01-01 07:38","99.26"
"2018-01-01 07:48","99.29"
"2018-01-01 07:59","99.30"
"2018-01-01 08:08","99.29"
"2018-01-01 08:18","99.25"
"2018-01-01 08:28","99.26"
"2018-01-01 08:38","99.25"
"2018-01-01 08:48","99.24"
"2018-01-01 08:59","99.23"
"2018-01-01 09:08","99.23"
"2018-01-01 09:18","99.23"
"2018-01-01 09:28","99.25"
"2018-01-01 09:38","99.25"
"2018-01-01 09:48","99.24"
"2018-01-01 09:59","99.24"
"2018-01-01 10:08","99.23"
"2018-01-01 10:18","99.23"
"2018-01-01 10:28","99.21"
"2018-01-01 10:38","99.23"
"2018-01-01 10:48","99.22"
"2018-01-01 10:59","99.24"
"2018-01-01 11:08","99.25"
"2018-01-01 11:18","99.24"
"2018-01-01 11:28","99.26"
"2018-01-01 11:38","99.25"
"2018-01-01 11:48","99.25"
"2018-01-01 11:59","99.24"
"2018-01-01 12:08","99.23"
"2018-01-01 12:18","99.24"
"2018-01-01 12:28","99.22"
"2018-01-01 12:38","99.23"
"2018-01-01 12:48","99.20"
"2018-01-01 12:59","99.19"
"2018-01-01 13:08","99.19"
"2018-01-01 13:18","99.16"
"2018-01-01 13:28","99.13"
"2018-01-01 13:38","99.12"
"2018-01-01 13:48","99.10"
"2018-01-01 13:59","99.10"
"2018-01-01 14:08","99.09"
"2018-01-01 14:18","99.10"
"2018-01-01 14:28","99.09"
"2018-01-01 14:38","99.10"
"2018-01-01 14:48","99.06"
"2018-01-01 14:59","99.04"
"2018-01-01 15:08","99.05"
"2018-01-01 15:18","99.04"
"2018-01-01 15:28","99.00"
"2018-01-01 15:39","99.00"
"2018-01-01 15:48","99.00"
"2018-01-01 15:59","98.98"
"2018-01-01 16:08","98.99"
"2018-01-01 16:18","98.96"
"2018-01-01 16:28","98.95"
"2018-01-01 16:38","98.95"
"2018-01-01 16:48","98.93"
"2018-01-01 16:59","98.92"
"2018-01-01 17:08","98.92"
"2018-01-01 17:18","98.92"
"2018-01-01 17:28","98.90"
"2018-01-01 17:38","98.90"
"2018-01-01 17:48","98.90"
"2018-01-01 17:59","98.89"
"2018-01-01 18:08","98.86"
"2018-01-01 18:18","98.84"
"2018-01-01 18:28","98.84"
"2018-01-01 18:38","98.83"
"2018-01-01 18:48","98.81"
"2018-01-01 18:59","98.79"
"2018-01-01 19:08","98.78"
"2018-01-01 19:18","98.76"
"2018-01-01 19:28","98.75"
"2018-01-01 19:39","98.75"
"2018-01-01 19:48","98.71"
"2018-01-01 19:59","98.71"
"2018-01-01 20:08","98.68"
"2018-01-01 20:18","98.69"
"2018-01-01 20:28","98.68"
"2018-01-01 20:38","98.66"
"2018-01-01 20:48","98.65"
"2018-01-01 20:59","98.61"
"2018-01-01 21:08","98.59"
"2018-01-01 21:18","98.57"
"2018-01-01 21:28","98.56"
"2018-01-01 21:38","98.53"
"2018-01-01 21:48","98.49"
"2018-01-01 21:59","98.47"
"2018-01-01 22:08","98.45"
"2018-01-01 22:18","98.42"
"2018-01-01 22:28","98.39"
"2018-01-01 22:38","98.39"
"2018-01-01 22:48","98.34"
"2018-01-01 22:59","98.32"
"2018-01-01 23:08","98.33"
"2018-01-01 23:18","98.29"
"2018-01-01 23:28","98.27"
"2018-01-01 23:38","98.25"
"2018-01-01 23:48","98.24"
"2018-01-01 23:59","98.22"
"2018-01-02 00:08","98.21"
"2018-01-02 00:18","98.17"
"2018-01-02 00:28","98.16"
"2018-01-02 00:38","98.13"
"2018-01-02 00:48","98.12"
"2018-01-02 00:59","98.09"
"2018-01-02 01:08","98.06"
"2018-01-02 01:18","98.06"
"2018-01-02 01:28","98.03"
"2018-01-02 01:38","98.02"
"2018-01-02 01:48","98.00"
"2018-01-02 01:59","97.98"
"2018-01-02 02:08","97.96"
"2018-01-02 02:18","97.94"
"2018-01-02 02:28","97.93"
"2018-01-02 02:38","97.88"
"2018-01-02 02:48","97.86"
"2018-01-02 03:01","97.82"
"2018-01-02 03:08","97.84"
"2018-01-02 03:18","97.82"
"2018-01-02 03:28","97.80"
"2018-01-02 03:38","97.76"
"2018-01-02 03:48","97.76"
"2018-01-02 03:59","97.72"
"2018-01-02 04:08","97.68"
"2018-01-02 04:18","97.62"
"2018-01-02 04:28","97.62"
"2018-01-02 04:38","97.60"
"2018-01-02 04:48","97.56"
"2018-01-02 04:59","97.54"
"2018-01-02 05:08","97.51"
"2018-01-02 05:18","97.49"
"2018-01-02 05:28","97.48"
"2018-01-02 05:38","97.45"
"2018-01-02 05:48","97.41"
"2018-01-02 06:00","97.38"
"2018-01-02 06:08","97.32"
"2018-01-02 06:18","97.32"
"2018-01-02 06:28","97.30"
"2018-01-02 06:38","97.25"
"2018-01-02 06:48","97.23"
"2018-01-02 06:59","97.20"
"2018-01-02 07:08","97.18"
"2018-01-02 07:18","97.15"
"2018-01-02 07:28","97.11"
"2018-01-02 07:39","97.09"
"2018-01-02 07:48","97.08"
"2018-01-02 07:59","97.04"
"2018-01-02 08:08","97.00"
"2018-01-02 08:18","96.96"
"2018-01-02 08:28","96.97"
"2018-01-02 08:38","96.92"
"2018-01-02 08:48","96.90"
"2018-01-02 08:59","96.87"
"2018-01-02 09:08","96.84"
"2018-01-02 09:18","96.86"
"2018-01-02 09:28","96.82"
"2018-01-02 09:38","96.82"
"2018-01-02 09:48","96.83"
"2018-01-02 09:58","96.83"
"2018-01-02 10:08","96.84"
"2018-01-02 10:18","96.82"
"2018-01-02 10:28","96.84"
"2018-01-02 10:38","96.82"
"2018-01-02 10:48","96.78"
