"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:08","7","NNW","10"
"2018-01-01 00:18","6","NW","9"
"2018-01-01 00:28","5","NNW","8"
"2018-01-01 00:38","4","NW","6"
"2018-01-01 00:48","6","NW","8"
"2018-01-01 00:59","6","NNW","8"
"2018-01-01 01:08","5","NW","8"
"2018-01-01 01:18","5","NW","8"
"2018-01-01 01:28","6","NW","9"
"2018-01-01 01:38","6","NW","9"
"2018-01-01 01:48","6","NNW","8"
"2018-01-01 01:59","3","NW","5"
"2018-01-01 02:08","3","NW","6"
"2018-01-01 02:18","4","NW","6"
"2018-01-01 02:28","5","NW","7"
"2018-01-01 02:38","3","NW","5"
"2018-01-01 02:48","1","WNW","2"
"2018-01-01 02:59","0","WNW","0"
"2018-01-01 03:08","3","NW","4"
"2018-01-01 03:18","3","NW","5"
"2018-01-01 03:28","1","NW","4"
"2018-01-01 03:38","2","NNW","3"
"2018-01-01 03:48","5","NNW","6"
"2018-01-01 03:59","2","NNW","4"
"2018-01-01 04:08","4","NNW","5"
"2018-01-01 04:18","6","NNW","9"
"2018-01-01 04:28","8","NNW","12"
"2018-01-01 04:38","6","NNW","10"
"2018-01-01 04:48","7","NNW","11"
"2018-01-01 04:59","8","NNW","11"
"2018-01-01 05:08","10","NNW","15"
"2018-01-01 05:18","8","NNW","12"
"2018-01-01 05:28","9","NNW","12"
"2018-01-01 05:38","6","NNW","9"
"2018-01-01 05:48","6","NNW","10"
"2018-01-01 05:59","5","NNW","9"
"2018-01-01 06:08","5","NNW","7"
"2018-01-01 06:18","4","NNW","6"
"2018-01-01 06:28","3","NNW","4"
"2018-01-01 06:38","0","NW","0"
"2018-01-01 06:48","2","NNW","6"
"2018-01-01 06:59","5","NNW","7"
"2018-01-01 07:08","5","NNW","8"
"2018-01-01 07:18","4","NW","7"
"2018-01-01 07:28","2","NW","4"
"2018-01-01 07:38","2","NW","4"
"2018-01-01 07:48","3","NW","5"
"2018-01-01 07:59","4","NW","8"
"2018-01-01 08:08","7","NW","9"
"2018-01-01 08:18","7","NW","9"
"2018-01-01 08:28","5","NW","8"
"2018-01-01 08:38","6","NNW","12"
"2018-01-01 08:48","5","NW","9"
"2018-01-01 08:59","6","NNW","8"
"2018-01-01 09:08","6","NNW","9"
"2018-01-01 09:18","6","NNW","10"
"2018-01-01 09:28","6","NNW","8"
"2018-01-01 09:38","8","NW","11"
"2018-01-01 09:48","9","NNW","13"
"2018-01-01 09:59","11","NNW","17"
"2018-01-01 10:08","12","NNW","14"
"2018-01-01 10:18","9","NNW","13"
"2018-01-01 10:28","10","NW","14"
"2018-01-01 10:38","9","NW","10"
"2018-01-01 10:48","12","NW","16"
"2018-01-01 10:59","10","NNW","15"
"2018-01-01 11:08","10","NW","14"
"2018-01-01 11:18","10","NW","13"
"2018-01-01 11:28","11","NNW","16"
"2018-01-01 11:38","15","NNW","20"
"2018-01-01 11:48","14","NNW","18"
"2018-01-01 11:59","12","NW","17"
"2018-01-01 12:08","14","NW","22"
"2018-01-01 12:18","17","NNW","21"
"2018-01-01 12:28","15","NNW","21"
"2018-01-01 12:38","12","NNW","16"
"2018-01-01 12:48","14","NW","21"
"2018-01-01 12:59","13","NNW","18"
"2018-01-01 13:08","15","NNW","22"
"2018-01-01 13:18","18","NNW","23"
"2018-01-01 13:28","15","NNW","18"
"2018-01-01 13:38","15","NNW","19"
"2018-01-01 13:48","10","NW","16"
"2018-01-01 13:59","7","NW","11"
"2018-01-01 14:08","9","NW","11"
"2018-01-01 14:18","8","NNW","11"
"2018-01-01 14:28","9","WNW","13"
"2018-01-01 14:38","9","NW","12"
"2018-01-01 14:48","8","WNW","13"
"2018-01-01 14:59","8","NW","11"
"2018-01-01 15:08","10","NW","14"
"2018-01-01 15:18","13","NW","17"
"2018-01-01 15:28","8","NW","10"
"2018-01-01 15:39","9","WNW","17"
"2018-01-01 15:48","8","NW","15"
"2018-01-01 15:59","9","WNW","16"
"2018-01-01 16:08","9","NW","12"
"2018-01-01 16:18","10","WNW","15"
"2018-01-01 16:28","11","NW","17"
"2018-01-01 16:38","8","WNW","13"
"2018-01-01 16:48","9","WNW","14"
"2018-01-01 16:59","6","WNW","10"
"2018-01-01 17:08","7","WNW","12"
"2018-01-01 17:18","10","WNW","17"
"2018-01-01 17:28","9","WNW","14"
"2018-01-01 17:38","11","WNW","17"
"2018-01-01 17:48","9","WNW","13"
"2018-01-01 17:59","8","WNW","11"
"2018-01-01 18:08","7","WNW","10"
"2018-01-01 18:18","11","WNW","15"
"2018-01-01 18:28","9","WNW","13"
"2018-01-01 18:38","8","WNW","12"
"2018-01-01 18:48","9","WNW","13"
"2018-01-01 18:59","9","WNW","14"
"2018-01-01 19:08","12","WNW","19"
"2018-01-01 19:18","10","WNW","18"
"2018-01-01 19:28","13","WNW","19"
"2018-01-01 19:39","13","NW","21"
"2018-01-01 19:48","11","WNW","17"
"2018-01-01 19:59","12","WNW","17"
"2018-01-01 20:08","10","WNW","15"
"2018-01-01 20:18","11","WNW","16"
"2018-01-01 20:28","12","WNW","18"
"2018-01-01 20:38","12","WNW","18"
"2018-01-01 20:48","10","WNW","16"
"2018-01-01 20:59","10","WNW","17"
"2018-01-01 21:08","10","WNW","15"
"2018-01-01 21:18","8","WNW","13"
"2018-01-01 21:28","12","WNW","18"
"2018-01-01 21:38","16","WNW","23"
"2018-01-01 21:48","14","WNW","21"
"2018-01-01 21:59","10","WNW","15"
"2018-01-01 22:08","13","WNW","19"
"2018-01-01 22:18","10","WNW","16"
"2018-01-01 22:28","8","WNW","11"
"2018-01-01 22:38","6","WNW","10"
"2018-01-01 22:48","13","WNW","22"
"2018-01-01 22:59","9","WNW","13"
"2018-01-01 23:08","11","WNW","19"
