"Time EST","Air Temp (°C)"
"2018-03-01 00:08","-7.4"
"2018-03-01 00:18","-7.6"
"2018-03-01 00:28","-7.7"
"2018-03-01 00:38","-8.1"
"2018-03-01 00:48","-8.3"
"2018-03-01 00:58","-8.6"
"2018-03-01 01:08","-8.5"
"2018-03-01 01:18","-8.6"
"2018-03-01 01:28","-8.6"
"2018-03-01 01:38","-8.9"
"2018-03-01 01:48","-9.2"
"2018-03-01 01:58","-9.5"
"2018-03-01 02:08","-9.6"
"2018-03-01 02:18","-9.7"
"2018-03-01 02:28","-9.9"
"2018-03-01 02:38","-10.2"
"2018-03-01 02:48","-10.3"
"2018-03-01 02:58","-10.6"
"2018-03-01 03:08","-10.8"
"2018-03-01 03:18","-11.0"
"2018-03-01 03:28","-11.2"
"2018-03-01 03:38","-11.2"
"2018-03-01 03:48","-11.5"
"2018-03-01 03:58","-11.5"
"2018-03-01 04:08","-11.5"
"2018-03-01 04:18","-11.7"
"2018-03-01 04:28","-11.9"
"2018-03-01 04:38","-12.1"
"2018-03-01 04:48","-12.4"
"2018-03-01 04:58","-12.4"
"2018-03-01 05:08","-12.6"
"2018-03-01 05:18","-12.6"
"2018-03-01 05:28","-12.7"
"2018-03-01 05:38","-13.0"
"2018-03-01 05:48","-13.1"
"2018-03-01 05:58","-13.1"
"2018-03-01 06:08","-13.3"
"2018-03-01 06:18","-13.2"
"2018-03-01 06:28","-13.6"
"2018-03-01 06:38","-13.5"
"2018-03-01 06:48","-13.6"
"2018-03-01 06:58","-13.9"
"2018-03-01 07:08","-13.9"
"2018-03-01 07:18","-13.9"
"2018-03-01 07:28","-13.9"
"2018-03-01 08:28","-14.2"
"2018-03-01 08:38","-13.5"
"2018-03-01 08:48","-12.7"
"2018-03-01 08:58","-12.2"
"2018-03-01 09:08","-12.0"
"2018-03-01 09:18","-10.7"
"2018-03-01 09:28","-9.0"
"2018-03-01 09:38","-7.2"
"2018-03-01 09:48","-6.4"
"2018-03-01 09:58","-4.4"
"2018-03-01 10:08","-2.8"
"2018-03-01 10:18","-2.3"
"2018-03-01 10:28","-2.1"
"2018-03-01 10:38","-2.1"
"2018-03-01 10:48","-2.0"
"2018-03-01 10:58","-1.5"
"2018-03-01 11:08","-0.4"
"2018-03-01 11:18","0.2"
"2018-03-01 11:28","0.7"
"2018-03-01 11:38","1.3"
"2018-03-01 11:48","0.9"
"2018-03-01 11:58","1.6"
"2018-03-01 12:08","1.6"
"2018-03-01 12:18","2.0"
"2018-03-01 12:28","2.3"
"2018-03-01 12:38","2.3"
"2018-03-01 12:48","2.5"
"2018-03-01 12:58","2.7"
"2018-03-01 13:08","2.9"
"2018-03-01 13:18","2.9"
"2018-03-01 13:28","2.9"
"2018-03-01 13:38","3.3"
"2018-03-01 13:48","3.2"
"2018-03-01 13:58","3.3"
"2018-03-01 14:08","3.4"
"2018-03-01 14:18","4.0"
"2018-03-01 14:28","3.9"
"2018-03-01 14:38","3.7"
"2018-03-01 14:48","4.1"
"2018-03-01 14:58","4.1"
"2018-03-01 15:08","4.4"
"2018-03-01 15:18","4.2"
"2018-03-01 15:28","4.2"
"2018-03-01 15:38","4.1"
"2018-03-01 15:48","4.5"
"2018-03-01 15:58","4.4"
"2018-03-01 16:08","4.5"
"2018-03-01 16:18","4.7"
"2018-03-01 16:28","4.8"
"2018-03-01 16:38","4.7"
"2018-03-01 16:48","5.0"
"2018-03-01 16:58","4.9"
"2018-03-01 17:08","4.7"
"2018-03-01 17:18","4.6"
"2018-03-01 17:28","4.6"
"2018-03-01 17:38","4.6"
"2018-03-01 17:48","4.8"
"2018-03-01 17:58","4.6"
"2018-03-01 18:08","4.4"
"2018-03-01 18:18","4.1"
"2018-03-01 18:28","4.0"
"2018-03-01 18:38","3.6"
"2018-03-01 18:48","2.7"
"2018-03-01 18:58","1.7"
"2018-03-01 19:08","0.7"
"2018-03-01 19:18","-0.1"
"2018-03-01 19:28","-1.0"
"2018-03-01 19:38","-1.4"
"2018-03-01 19:48","-1.8"
"2018-03-01 19:58","-2.1"
"2018-03-01 20:08","-2.1"
"2018-03-01 20:18","-2.4"
"2018-03-01 20:28","-2.6"
"2018-03-01 20:38","-3.0"
"2018-03-01 20:48","-3.3"
"2018-03-01 20:58","-3.7"
"2018-03-01 21:08","-4.1"
"2018-03-01 21:18","-4.3"
"2018-03-01 21:28","-4.6"
"2018-03-01 21:38","-5.0"
"2018-03-01 21:48","-5.3"
"2018-03-01 21:58","-5.5"
"2018-03-01 22:08","-5.7"
"2018-03-01 22:18","-5.9"
"2018-03-01 22:28","-6.0"
"2018-03-01 22:38","-6.1"
"2018-03-01 22:48","-6.5"
"2018-03-01 22:58","-7.0"
"2018-03-01 23:08","-7.0"
"2018-03-01 23:18","-7.1"
"2018-03-01 23:28","-7.4"
"2018-03-01 23:38","-7.5"
"2018-03-01 23:48","-7.6"
"2018-03-01 23:58","-7.7"
"2018-03-02 00:08","-8.1"
"2018-03-02 00:18","-8.2"
"2018-03-02 00:28","-8.2"
"2018-03-02 00:38","-8.3"
"2018-03-02 00:48","-8.6"
"2018-03-02 00:58","-8.8"
"2018-03-02 01:08","-8.9"
"2018-03-02 01:18","-9.2"
"2018-03-02 01:28","-9.4"
"2018-03-02 01:38","-9.3"
"2018-03-02 01:48","-9.2"
"2018-03-02 01:58","-9.4"
"2018-03-02 02:08","-9.8"
"2018-03-02 02:18","-10.2"
"2018-03-02 02:28","-10.2"
"2018-03-02 02:38","-10.3"
"2018-03-02 02:48","-10.3"
"2018-03-02 02:58","-10.6"
"2018-03-02 03:08","-10.6"
"2018-03-02 03:18","-10.7"
"2018-03-02 03:28","-10.9"
"2018-03-02 03:38","-11.0"
"2018-03-02 03:48","-11.3"
"2018-03-02 03:58","-11.3"
"2018-03-02 04:08","-11.5"
"2018-03-02 04:18","-11.6"
"2018-03-02 04:28","-11.9"
"2018-03-02 04:38","-11.8"
"2018-03-02 04:48","-12.0"
"2018-03-02 04:58","-12.1"
"2018-03-02 05:08","-12.3"
"2018-03-02 05:18","-12.3"
"2018-03-02 05:28","-12.5"
"2018-03-02 05:38","-12.8"
"2018-03-02 05:48","-12.8"
"2018-03-02 05:58","-12.5"
"2018-03-02 06:08","-12.8"
"2018-03-02 06:18","-13.0"
"2018-03-02 06:28","-13.0"
"2018-03-02 06:38","-13.3"
"2018-03-02 06:48","-13.4"
"2018-03-02 06:58","-13.4"
"2018-03-02 07:08","-13.5"
"2018-03-02 07:18","-13.7"
"2018-03-02 07:28","-13.7"
"2018-03-02 07:38","-13.7"
"2018-03-02 07:48","-13.8"
"2018-03-02 07:58","-14.1"
"2018-03-02 08:08","-14.2"
"2018-03-02 08:18","-13.6"
"2018-03-02 08:28","-13.6"
"2018-03-02 08:38","-12.7"
"2018-03-02 08:48","-12.1"
"2018-03-02 08:58","-10.1"
"2018-03-02 09:08","-8.8"
"2018-03-02 09:18","-9.1"
"2018-03-02 09:28","-6.9"
"2018-03-02 09:38","-7.1"
"2018-03-02 09:48","-5.8"
"2018-03-02 09:58","-4.8"
"2018-03-02 10:08","-3.7"
"2018-03-02 10:18","-3.5"
"2018-03-02 10:28","-2.2"
"2018-03-02 10:38","-1.3"
"2018-03-02 10:48","-1.2"
"2018-03-02 10:58","-0.9"
"2018-03-02 11:08","-1.0"
"2018-03-02 11:18","-0.6"
"2018-03-02 11:28","0.4"
"2018-03-02 11:38","0.2"
"2018-03-02 11:48","0.2"
"2018-03-02 11:58","0.9"
"2018-03-02 12:08","0.9"
"2018-03-02 12:18","0.9"
"2018-03-02 12:28","1.3"
"2018-03-02 12:38","1.4"
"2018-03-02 12:48","1.3"
"2018-03-02 12:58","1.3"
"2018-03-02 13:08","1.8"
"2018-03-02 13:18","1.7"
"2018-03-02 13:28","1.9"
"2018-03-02 13:38","1.9"
"2018-03-02 13:48","2.4"
"2018-03-02 13:58","3.1"
"2018-03-02 14:08","3.3"
"2018-03-02 14:18","3.5"
"2018-03-02 14:28","3.3"
"2018-03-02 14:38","3.5"
"2018-03-02 14:48","4.0"
"2018-03-02 14:58","4.3"
"2018-03-02 15:08","4.2"
"2018-03-02 15:18","4.6"
"2018-03-02 15:28","4.2"
"2018-03-02 15:38","3.9"
"2018-03-02 15:48","4.1"
"2018-03-02 15:58","4.4"
"2018-03-02 16:08","4.4"
"2018-03-02 16:18","3.9"
"2018-03-02 16:28","4.3"
"2018-03-02 16:38","4.2"
"2018-03-02 16:48","4.2"
"2018-03-02 16:58","4.2"
"2018-03-02 17:08","3.8"
"2018-03-02 17:18","4.1"
"2018-03-02 17:28","4.4"
"2018-03-02 17:38","4.1"
"2018-03-02 17:48","3.9"
"2018-03-02 17:58","4.1"
"2018-03-02 18:08","3.5"
"2018-03-02 18:18","3.6"
"2018-03-02 18:28","2.8"
"2018-03-02 18:38","1.9"
"2018-03-02 18:48","1.1"
"2018-03-02 18:58","0.3"
"2018-03-02 19:08","-0.2"
"2018-03-02 19:18","-0.8"
"2018-03-02 19:28","-1.3"
"2018-03-02 19:38","-1.5"
"2018-03-02 19:48","-1.6"
"2018-03-02 19:58","-1.7"
"2018-03-02 20:08","-1.6"
"2018-03-02 20:18","-1.6"
"2018-03-02 20:28","-1.7"
"2018-03-02 20:38","-1.6"
"2018-03-02 20:48","-1.5"
"2018-03-02 20:58","-1.7"
"2018-03-02 21:08","-1.8"
"2018-03-02 21:18","-1.5"
"2018-03-02 21:28","-1.3"
"2018-03-02 21:38","-1.4"
"2018-03-02 21:48","-0.9"
"2018-03-02 21:58","-0.9"
"2018-03-02 22:08","-0.9"
"2018-03-02 22:18","-1.0"
"2018-03-02 22:28","-1.2"
"2018-03-02 22:38","-1.1"
"2018-03-02 22:48","-1.2"
"2018-03-02 22:58","-1.5"
"2018-03-02 23:08","-1.7"
"2018-03-02 23:18","-1.6"
"2018-03-02 23:28","-1.7"
"2018-03-02 23:38","-1.7"
"2018-03-02 23:48","-1.6"
"2018-03-02 23:58","-1.4"
"2018-03-03 00:08","-1.8"
"2018-03-03 00:18","-1.6"
"2018-03-03 00:28","-1.6"
"2018-03-03 00:38","-1.5"
"2018-03-03 00:48","-1.4"
"2018-03-03 00:58","-1.3"
"2018-03-03 01:08","-1.1"
"2018-03-03 01:18","-1.1"
"2018-03-03 01:28","-0.9"
"2018-03-03 01:38","-0.8"
"2018-03-03 01:48","-0.6"
"2018-03-03 01:58","-0.6"
"2018-03-03 02:08","-0.6"
"2018-03-03 02:18","-0.7"
"2018-03-03 02:28","-0.8"
"2018-03-03 02:38","-0.9"
"2018-03-03 02:48","-1.0"
"2018-03-03 02:58","-1.0"
"2018-03-03 03:08","-1.0"
"2018-03-03 03:18","-1.0"
"2018-03-03 03:29","-1.1"
"2018-03-03 03:38","-1.2"
"2018-03-03 03:48","-1.3"
"2018-03-03 03:58","-1.5"
"2018-03-03 04:08","-1.6"
"2018-03-03 04:18","-1.8"
"2018-03-03 04:28","-1.9"
"2018-03-03 04:38","-2.0"
"2018-03-03 04:48","-2.3"
"2018-03-03 04:58","-2.4"
"2018-03-03 05:08","-2.5"
"2018-03-03 05:18","-2.5"
"2018-03-03 05:28","-2.8"
"2018-03-03 05:38","-3.0"
"2018-03-03 05:48","-3.2"
"2018-03-03 05:58","-3.3"
"2018-03-03 06:08","-3.2"
"2018-03-03 06:18","-3.4"
"2018-03-03 06:28","-3.2"
"2018-03-03 06:38","-3.0"
"2018-03-03 06:48","-3.2"
"2018-03-03 06:58","-3.2"
"2018-03-03 07:08","-3.4"
"2018-03-03 07:18","-3.6"
"2018-03-03 07:28","-3.6"
"2018-03-03 07:38","-3.8"
"2018-03-03 07:48","-3.9"
"2018-03-03 07:58","-5.4"
"2018-03-03 08:08","-5.4"
"2018-03-03 08:18","-5.4"
"2018-03-03 08:28","-4.9"
"2018-03-03 08:38","-4.4"
"2018-03-03 08:48","-3.8"
"2018-03-03 08:58","-3.3"
"2018-03-03 09:08","-2.9"
"2018-03-03 09:18","-2.6"
"2018-03-03 09:28","-2.3"
"2018-03-03 09:38","-1.9"
"2018-03-03 09:48","-1.7"
"2018-03-03 09:58","-1.6"
"2018-03-03 10:08","-1.2"
"2018-03-03 10:18","-1.0"
"2018-03-03 10:28","-0.7"
"2018-03-03 10:38","-0.4"
"2018-03-03 10:48","-0.1"
"2018-03-03 10:58","0.3"
"2018-03-03 11:08","0.7"
"2018-03-03 11:18","1.1"
"2018-03-03 11:28","1.3"
"2018-03-03 11:38","1.5"
"2018-03-03 11:48","1.9"
"2018-03-03 11:58","2.3"
"2018-03-03 12:08","2.5"
"2018-03-03 12:18","2.8"
"2018-03-03 12:28","3.0"
"2018-03-03 12:38","3.5"
"2018-03-03 12:48","3.7"
"2018-03-03 12:58","3.9"
"2018-03-03 13:08","4.5"
"2018-03-03 13:18","4.7"
"2018-03-03 13:28","4.9"
"2018-03-03 13:38","5.1"
"2018-03-03 13:48","5.3"
"2018-03-03 13:58","5.2"
"2018-03-03 14:08","5.3"
"2018-03-03 14:18","5.4"
"2018-03-03 14:28","5.4"
"2018-03-03 14:38","5.7"
"2018-03-03 14:48","5.8"
"2018-03-03 14:58","5.9"
"2018-03-03 15:08","6.1"
"2018-03-03 15:18","6.1"
"2018-03-03 15:28","6.3"
"2018-03-03 15:38","6.2"
"2018-03-03 15:48","6.2"
"2018-03-03 15:58","6.2"
"2018-03-03 16:08","6.2"
"2018-03-03 16:18","6.2"
"2018-03-03 16:28","6.3"
"2018-03-03 16:38","6.4"
"2018-03-03 16:48","6.4"
"2018-03-03 16:58","6.3"
"2018-03-03 17:08","6.2"
"2018-03-03 17:18","6.2"
"2018-03-03 17:28","6.1"
"2018-03-03 17:38","6.4"
"2018-03-03 17:48","6.1"
"2018-03-03 17:58","6.0"
"2018-03-03 18:08","5.7"
"2018-03-03 18:18","5.6"
"2018-03-03 18:28","5.3"
"2018-03-03 18:38","5.1"
"2018-03-03 18:48","4.9"
"2018-03-03 18:58","4.8"
"2018-03-03 19:08","4.7"
"2018-03-03 19:18","4.6"
"2018-03-03 19:28","4.4"
"2018-03-03 19:38","4.3"
"2018-03-03 19:48","4.3"
"2018-03-03 19:58","4.1"
"2018-03-03 20:08","3.7"
"2018-03-03 20:18","3.5"
