"Time EST","Pressure (kPa)"
"2018-03-01 00:08","97.08"
"2018-03-01 00:18","97.09"
"2018-03-01 00:28","97.07"
"2018-03-01 00:38","97.09"
"2018-03-01 00:48","97.08"
"2018-03-01 00:58","97.08"
"2018-03-01 01:08","97.09"
"2018-03-01 01:18","97.09"
"2018-03-01 01:28","97.08"
"2018-03-01 01:38","97.11"
"2018-03-01 01:48","97.11"
"2018-03-01 01:58","97.12"
"2018-03-01 02:08","97.12"
"2018-03-01 02:18","97.12"
"2018-03-01 02:28","97.13"
"2018-03-01 02:38","97.14"
"2018-03-01 02:48","97.15"
"2018-03-01 02:58","97.16"
"2018-03-01 03:08","97.17"
"2018-03-01 03:18","97.15"
"2018-03-01 03:28","97.16"
"2018-03-01 03:38","97.16"
"2018-03-01 03:48","97.16"
"2018-03-01 03:58","97.15"
"2018-03-01 04:08","97.15"
"2018-03-01 04:18","97.15"
"2018-03-01 04:28","97.15"
"2018-03-01 04:38","97.15"
"2018-03-01 04:48","97.16"
"2018-03-01 04:58","97.17"
"2018-03-01 05:08","97.19"
"2018-03-01 05:18","97.18"
"2018-03-01 05:28","97.19"
"2018-03-01 05:38","97.21"
"2018-03-01 05:48","97.20"
"2018-03-01 05:58","97.22"
"2018-03-01 06:08","97.22"
"2018-03-01 06:18","97.23"
"2018-03-01 06:28","97.25"
"2018-03-01 06:38","97.26"
"2018-03-01 06:48","97.26"
"2018-03-01 06:58","97.27"
"2018-03-01 07:08","97.28"
"2018-03-01 07:18","97.30"
"2018-03-01 07:28","97.33"
"2018-03-01 08:28","97.39"
"2018-03-01 08:38","97.41"
"2018-03-01 08:48","97.42"
"2018-03-01 08:58","97.43"
"2018-03-01 09:08","97.43"
"2018-03-01 09:18","97.44"
"2018-03-01 09:28","97.45"
"2018-03-01 09:38","97.46"
"2018-03-01 09:48","97.47"
"2018-03-01 09:58","97.47"
"2018-03-01 10:08","97.48"
"2018-03-01 10:18","97.49"
"2018-03-01 10:28","97.49"
"2018-03-01 10:38","97.49"
"2018-03-01 10:48","97.50"
"2018-03-01 10:58","97.52"
"2018-03-01 11:08","97.52"
"2018-03-01 11:18","97.51"
"2018-03-01 11:28","97.53"
"2018-03-01 11:38","97.52"
"2018-03-01 11:48","97.54"
"2018-03-01 11:58","97.55"
"2018-03-01 12:08","97.54"
"2018-03-01 12:18","97.55"
"2018-03-01 12:28","97.56"
"2018-03-01 12:38","97.57"
"2018-03-01 12:48","97.57"
"2018-03-01 12:58","97.58"
"2018-03-01 13:08","97.57"
"2018-03-01 13:18","97.59"
"2018-03-01 13:28","97.60"
"2018-03-01 13:38","97.60"
"2018-03-01 13:48","97.60"
"2018-03-01 13:58","97.60"
"2018-03-01 14:08","97.60"
"2018-03-01 14:18","97.61"
"2018-03-01 14:28","97.61"
"2018-03-01 14:38","97.62"
"2018-03-01 14:48","97.63"
"2018-03-01 14:58","97.62"
"2018-03-01 15:08","97.63"
"2018-03-01 15:18","97.63"
"2018-03-01 15:28","97.64"
"2018-03-01 15:38","97.65"
"2018-03-01 15:48","97.64"
"2018-03-01 15:58","97.65"
"2018-03-01 16:08","97.66"
"2018-03-01 16:18","97.66"
"2018-03-01 16:28","97.67"
"2018-03-01 16:38","97.68"
"2018-03-01 16:48","97.70"
"2018-03-01 16:58","97.70"
"2018-03-01 17:08","97.71"
"2018-03-01 17:18","97.72"
"2018-03-01 17:28","97.74"
"2018-03-01 17:38","97.74"
"2018-03-01 17:48","97.75"
"2018-03-01 17:58","97.75"
"2018-03-01 18:08","97.76"
"2018-03-01 18:18","97.78"
"2018-03-01 18:28","97.78"
"2018-03-01 18:38","97.80"
"2018-03-01 18:48","97.81"
"2018-03-01 18:58","97.81"
"2018-03-01 19:08","97.82"
"2018-03-01 19:18","97.84"
"2018-03-01 19:28","97.84"
"2018-03-01 19:38","97.86"
"2018-03-01 19:48","97.87"
"2018-03-01 19:58","97.87"
"2018-03-01 20:08","97.87"
"2018-03-01 20:18","97.88"
"2018-03-01 20:28","97.89"
"2018-03-01 20:38","97.92"
"2018-03-01 20:48","97.92"
"2018-03-01 20:58","97.93"
"2018-03-01 21:08","97.92"
"2018-03-01 21:18","97.94"
"2018-03-01 21:28","97.94"
"2018-03-01 21:38","97.95"
"2018-03-01 21:48","97.97"
"2018-03-01 21:58","97.97"
"2018-03-01 22:08","97.99"
"2018-03-01 22:18","98.00"
"2018-03-01 22:28","98.01"
"2018-03-01 22:38","98.02"
"2018-03-01 22:48","98.03"
"2018-03-01 22:58","98.04"
"2018-03-01 23:08","98.05"
"2018-03-01 23:18","98.06"
"2018-03-01 23:28","98.06"
"2018-03-01 23:38","98.07"
"2018-03-01 23:48","98.10"
"2018-03-01 23:58","98.09"
"2018-03-02 00:08","98.12"
"2018-03-02 00:18","98.11"
"2018-03-02 00:28","98.11"
"2018-03-02 00:38","98.12"
"2018-03-02 00:48","98.12"
"2018-03-02 00:58","98.13"
"2018-03-02 01:08","98.14"
"2018-03-02 01:18","98.15"
"2018-03-02 01:28","98.14"
"2018-03-02 01:38","98.15"
"2018-03-02 01:48","98.15"
"2018-03-02 01:58","98.16"
"2018-03-02 02:08","98.18"
"2018-03-02 02:18","98.17"
"2018-03-02 02:28","98.18"
"2018-03-02 02:38","98.18"
"2018-03-02 02:48","98.20"
"2018-03-02 02:58","98.19"
"2018-03-02 03:08","98.19"
"2018-03-02 03:18","98.20"
"2018-03-02 03:28","98.20"
"2018-03-02 03:38","98.20"
"2018-03-02 03:48","98.21"
"2018-03-02 03:58","98.22"
"2018-03-02 04:08","98.21"
"2018-03-02 04:18","98.21"
"2018-03-02 04:28","98.21"
"2018-03-02 04:38","98.23"
"2018-03-02 04:48","98.23"
"2018-03-02 04:58","98.24"
"2018-03-02 05:08","98.24"
"2018-03-02 05:18","98.24"
"2018-03-02 05:28","98.24"
"2018-03-02 05:38","98.24"
"2018-03-02 05:48","98.26"
"2018-03-02 05:58","98.26"
"2018-03-02 06:08","98.25"
"2018-03-02 06:18","98.25"
"2018-03-02 06:28","98.27"
"2018-03-02 06:38","98.28"
"2018-03-02 06:48","98.28"
"2018-03-02 06:58","98.30"
