"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:08","2","NNW","4"
"2018-03-01 00:18","0","NNW","0"
"2018-03-01 00:28","0","NW","0"
"2018-03-01 00:38","1","NW","5"
"2018-03-01 00:48","2","NW","3"
"2018-03-01 00:58","0","NW","0"
"2018-03-01 01:08","1","S","4"
"2018-03-01 01:18","0","SSE","0"
"2018-03-01 01:28","0","N","0"
"2018-03-01 01:38","0","N","0"
"2018-03-01 01:48","0","N","0"
"2018-03-01 01:58","0","WNW","0"
"2018-03-01 02:08","0","NNW","0"
"2018-03-01 02:18","0","N","0"
"2018-03-01 02:28","0","N","0"
"2018-03-01 02:38","0","N","0"
"2018-03-01 02:48","0","NNE","0"
"2018-03-01 02:58","0","NNE","0"
"2018-03-01 03:08","0","NNE","0"
"2018-03-01 03:18","0","NNE","0"
"2018-03-01 03:28","0","NNE","0"
"2018-03-01 03:38","0","NNE","0"
"2018-03-01 03:48","0","NNE","0"
"2018-03-01 03:58","0","SSE","2"
"2018-03-01 04:08","0","E","0"
"2018-03-01 04:18","0","E","0"
"2018-03-01 04:28","0","NNE","0"
"2018-03-01 04:38","0","N","0"
"2018-03-01 04:48","0","N","0"
"2018-03-01 04:58","0","N","0"
"2018-03-01 05:08","0","N","0"
"2018-03-01 05:18","0","NW","0"
"2018-03-01 05:28","0","S","0"
"2018-03-01 05:38","0","S","0"
"2018-03-01 05:48","0","SSE","0"
"2018-03-01 05:58","0","NE","0"
"2018-03-01 06:08","0","E","0"
"2018-03-01 06:18","0","ENE","0"
"2018-03-01 06:28","0","NW","0"
"2018-03-01 06:38","0","N","0"
"2018-03-01 06:48","0","N","0"
"2018-03-01 06:58","0","N","0"
"2018-03-01 07:08","0","NE","0"
"2018-03-01 07:18","0","NNW","0"
"2018-03-01 07:28","0","NNW","0"
"2018-03-01 08:28","0","NW","0"
"2018-03-01 08:38","0","NW","0"
"2018-03-01 08:48","3","NNW","4"
"2018-03-01 08:58","5","NNW","7"
"2018-03-01 09:08","0","SSE","0"
"2018-03-01 09:18","0","NW","0"
"2018-03-01 09:28","0","WSW","0"
"2018-03-01 09:38","0","SW","0"
"2018-03-01 09:48","0","SE","0"
"2018-03-01 09:58","0","SW","0"
"2018-03-01 10:08","0","SW","0"
"2018-03-01 10:18","0","SW","0"
"2018-03-01 10:28","0","SSE","0"
"2018-03-01 10:38","1","S","4"
"2018-03-01 10:48","1","SSE","3"
"2018-03-01 10:58","0","SSE","0"
"2018-03-01 11:08","0","E","0"
"2018-03-01 11:18","0","SW","3"
"2018-03-01 11:28","0","SSW","0"
"2018-03-01 11:38","1","SW","4"
"2018-03-01 11:48","6","W","8"
"2018-03-01 11:58","2","SW","5"
"2018-03-01 12:08","5","WSW","8"
"2018-03-01 12:18","5","WNW","9"
"2018-03-01 12:28","6","SW","9"
"2018-03-01 12:38","2","WNW","7"
"2018-03-01 12:48","4","NW","9"
"2018-03-01 12:58","0","WNW","3"
"2018-03-01 13:08","6","NNW","10"
"2018-03-01 13:18","8","NW","10"
"2018-03-01 13:28","10","NNW","13"
"2018-03-01 13:38","10","NNW","16"
"2018-03-01 13:48","12","NNW","18"
"2018-03-01 13:58","9","NNW","12"
"2018-03-01 14:08","12","NNW","18"
"2018-03-01 14:18","12","NNW","18"
"2018-03-01 14:28","7","N","20"
"2018-03-01 14:38","17","NNW","22"
"2018-03-01 14:48","13","NW","21"
"2018-03-01 14:58","14","NNW","19"
"2018-03-01 15:08","13","NW","20"
"2018-03-01 15:18","15","NW","24"
"2018-03-01 15:28","15","NNW","22"
"2018-03-01 15:38","10","NNW","17"
"2018-03-01 15:48","12","NNW","19"
"2018-03-01 15:58","15","NNW","20"
"2018-03-01 16:08","12","NNW","17"
"2018-03-01 16:18","10","NNW","18"
"2018-03-01 16:28","14","NNW","20"
"2018-03-01 16:38","7","NNW","10"
"2018-03-01 16:48","10","NNW","17"
"2018-03-01 16:58","8","NNW","16"
"2018-03-01 17:08","9","NE","17"
"2018-03-01 17:18","10","NNW","16"
"2018-03-01 17:28","6","N","9"
"2018-03-01 17:38","7","NNW","10"
"2018-03-01 17:48","4","NNW","8"
"2018-03-01 17:58","6","N","9"
"2018-03-01 18:08","6","NNW","10"
"2018-03-01 18:18","8","NNW","13"
"2018-03-01 18:28","6","NNW","9"
"2018-03-01 18:38","3","N","7"
"2018-03-01 18:48","3","NNW","5"
"2018-03-01 18:58","0","NNW","2"
"2018-03-01 19:08","0","NNW","3"
"2018-03-01 19:18","0","SE","0"
"2018-03-01 19:28","0","SE","0"
"2018-03-01 19:38","0","N","0"
"2018-03-01 19:48","0","N","0"
"2018-03-01 19:58","0","SE","0"
"2018-03-01 20:08","0","N","5"
"2018-03-01 20:18","0","N","0"
"2018-03-01 20:28","0","ENE","1"
"2018-03-01 20:38","0","WSW","0"
"2018-03-01 20:48","0","NNW","0"
"2018-03-01 20:58","0","NNW","0"
"2018-03-01 21:08","0","NNW","0"
"2018-03-01 21:18","0","NW","0"
