"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:10","2","SW","11"
"2017-11-01 00:18","0","SW","6"
"2017-11-01 00:30","3","SW","8"
"2017-11-01 00:38","3","S","8"
"2017-11-01 00:49","1","S","5"
"2017-11-01 00:58","5","S","10"
"2017-11-01 01:11","5","SSW","10"
"2017-11-01 01:18","4","S","12"
"2017-11-01 01:30","6","S","10"
"2017-11-01 01:38","2","S","6"
"2017-11-01 01:50","3","S","8"
"2017-11-01 01:58","4","SSW","10"
"2017-11-01 02:10","5","SSW","11"
"2017-11-01 02:18","1","S","8"
"2017-11-01 02:29","2","SSW","6"
"2017-11-01 02:38","6","SSW","14"
"2017-11-01 02:50","6","S","10"
"2017-11-01 02:58","4","S","12"
"2017-11-01 03:09","4","S","9"
"2017-11-01 03:18","5","S","9"
"2017-11-01 03:29","6","SSE","11"
"2017-11-01 03:38","6","S","14"
"2017-11-01 03:49","6","S","10"
"2017-11-01 03:58","5","S","10"
"2017-11-01 04:09","3","S","9"
"2017-11-01 04:18","4","SSE","6"
"2017-11-01 04:29","1","SSE","4"
"2017-11-01 04:38","4","S","8"
"2017-11-01 04:49","0","S","3"
"2017-11-01 04:58","4","SSE","10"
"2017-11-01 05:09","8","S","12"
"2017-11-01 05:18","6","SSE","11"
"2017-11-01 05:29","8","S","12"
"2017-11-01 05:38","6","S","11"
"2017-11-01 05:49","4","S","9"
"2017-11-01 05:58","9","S","14"
"2017-11-01 06:09","5","S","9"
"2017-11-01 06:18","4","S","12"
"2017-11-01 06:29","3","SSE","5"
"2017-11-01 06:38","1","S","5"
"2017-11-01 06:49","3","S","8"
"2017-11-01 06:58","8","S","15"
"2017-11-01 07:09","2","S","6"
"2017-11-01 07:18","9","S","16"
"2017-11-01 07:29","6","S","12"
"2017-11-01 07:38","6","S","13"
"2017-11-01 07:49","7","S","14"
"2017-11-01 07:58","3","S","6"
"2017-11-01 08:09","7","SSE","12"
"2017-11-01 08:18","9","S","15"
"2017-11-01 08:29","4","S","9"
"2017-11-01 08:38","10","S","15"
"2017-11-01 08:49","4","S","9"
"2017-11-01 08:58","4","S","10"
"2017-11-01 09:09","2","SSE","8"
"2017-11-01 09:18","0","S","3"
"2017-11-01 09:29","3","S","8"
"2017-11-01 09:38","5","S","11"
"2017-11-01 09:49","8","SSE","17"
"2017-11-01 09:58","4","S","13"
"2017-11-01 10:09","5","S","11"
"2017-11-01 10:18","9","S","15"
"2017-11-01 10:29","8","S","15"
"2017-11-01 10:38","12","SSE","19"
"2017-11-01 10:49","8","S","14"
"2017-11-01 10:58","4","S","9"
"2017-11-01 11:10","9","SSE","14"
"2017-11-01 11:18","8","S","13"
"2017-11-01 11:29","8","S","15"
"2017-11-01 11:38","4","S","10"
"2017-11-01 11:50","10","S","18"
"2017-11-01 11:58","9","S","14"
"2017-11-01 12:09","9","S","14"
"2017-11-01 12:18","13","SSE","21"
"2017-11-01 12:30","7","S","14"
"2017-11-01 12:38","11","SSE","20"
"2017-11-01 12:50","13","SSE","19"
"2017-11-01 12:58","9","S","18"
"2017-11-01 13:10","13","S","19"
"2017-11-01 13:18","10","S","17"
"2017-11-01 13:29","12","S","18"
"2017-11-01 13:38","5","S","9"
"2017-11-01 13:50","8","S","15"
"2017-11-01 13:58","4","S","15"
"2017-11-01 14:10","8","S","15"
"2017-11-01 14:18","12","S","16"
"2017-11-01 14:30","5","S","13"
"2017-11-01 14:38","10","S","17"
"2017-11-01 14:51","5","SSW","10"
"2017-11-01 14:58","7","S","12"
"2017-11-01 15:10","4","S","8"
"2017-11-01 15:18","3","S","9"
"2017-11-01 15:30","3","S","8"
"2017-11-01 15:38","4","SSW","8"
"2017-11-01 15:50","3","S","9"
"2017-11-01 15:58","6","S","10"
"2017-11-01 16:10","7","SSE","11"
"2017-11-01 17:18","","N/A","6"
"2017-11-01 17:30","1","SW","8"
"2017-11-01 17:38","1","S","5"
"2017-11-01 17:50","1","S","5"
"2017-11-01 17:58","1","SSE","4"
"2017-11-01 18:10","6","SE","9"
"2017-11-01 18:18","2","SE","5"
"2017-11-01 18:30","4","ESE","8"
"2017-11-01 18:38","3","E","9"
"2017-11-01 18:50","2","ESE","6"
"2017-11-01 18:58","2","E","6"
"2017-11-01 19:09","1","ESE","3"
"2017-11-01 19:18","2","ESE","6"
"2017-11-01 19:31","1","ESE","5"
