"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:08","-6.5","79"
"2017-12-01 00:18","-6.3","80"
"2017-12-01 00:28","-6.2","80"
"2017-12-01 00:38","-6.4","80"
"2017-12-01 00:48","-6.3","80"
"2017-12-01 00:55","-6.2","81"
"2017-12-01 00:59","-6.2","80"
"2017-12-01 01:08","-6.2","81"
"2017-12-01 01:18","-6.1","81"
"2017-12-01 01:28","-6.1","81"
"2017-12-01 01:38","-6.0","81"
"2017-12-01 01:48","-6.0","81"
"2017-12-01 01:55","-5.9","81"
"2017-12-01 01:58","-5.9","81"
"2017-12-01 02:08","-5.8","81"
"2017-12-01 02:18","-5.8","81"
"2017-12-01 02:28","-5.8","81"
"2017-12-01 02:38","-5.9","82"
"2017-12-01 02:48","-6.0","82"
"2017-12-01 02:55","-5.9","83"
"2017-12-01 02:59","-6.0","83"
"2017-12-01 03:18","-5.7","84"
"2017-12-01 03:38","-5.8","84"
"2017-12-01 03:59","-5.7","85"
"2017-12-01 04:18","-5.4","85"
"2017-12-01 04:38","-5.4","85"
"2017-12-01 04:59","-5.5","86"
"2017-12-01 05:18","-5.7","86"
"2017-12-01 05:38","-5.5","87"
"2017-12-01 05:59","-5.3","89"
"2017-12-01 06:18","-5.2","89"
"2017-12-01 06:38","-4.9","88"
"2017-12-01 06:59","-5.6","88"
"2017-12-01 07:18","-5.8","89"
"2017-12-01 07:38","-6.0","90"
"2017-12-01 07:59","-6.0","92"
"2017-12-01 08:18","-5.9","93"
"2017-12-01 08:38","-6.0","93"
"2017-12-01 08:59","-5.8","94"
"2017-12-01 09:18","-5.3","94"
"2017-12-01 09:38","-4.8","94"
"2017-12-01 09:59","-4.4","93"
"2017-12-01 10:18","-3.9","93"
"2017-12-01 10:38","-3.5","91"
"2017-12-01 10:59","-3.2","87"
"2017-12-01 11:18","-3.4","80"
"2017-12-01 11:38","-3.7","75"
"2017-12-01 11:59","-3.7","72"
"2017-12-01 12:18","-3.2","67"
"2017-12-01 12:38","-3.8","60"
"2017-12-01 12:59","-4.4","61"
"2017-12-01 13:18","-4.5","60"
"2017-12-01 13:38","-4.3","61"
"2017-12-01 13:48","-4.4","60"
"2017-12-01 13:55","-4.2","60"
"2017-12-01 13:59","-4.5","58"
