"Time EST","Pressure (kPa)"
"2017-12-01 00:08","102.84"
"2017-12-01 00:18","102.85"
"2017-12-01 00:28","102.84"
"2017-12-01 00:38","102.83"
"2017-12-01 00:48","102.83"
"2017-12-01 00:55","102.82"
"2017-12-01 00:59","102.81"
"2017-12-01 01:08","102.81"
"2017-12-01 01:18","102.80"
"2017-12-01 01:28","102.80"
"2017-12-01 01:38","102.79"
"2017-12-01 01:48","102.79"
"2017-12-01 01:55","102.79"
"2017-12-01 01:58","102.80"
"2017-12-01 02:08","102.80"
"2017-12-01 02:18","102.81"
"2017-12-01 02:28","102.81"
"2017-12-01 02:38","102.81"
"2017-12-01 02:48","102.81"
"2017-12-01 02:55","102.82"
"2017-12-01 02:59","102.81"
"2017-12-01 03:18","102.81"
"2017-12-01 03:38","102.81"
"2017-12-01 03:59","102.80"
"2017-12-01 04:18","102.79"
"2017-12-01 04:38","102.78"
"2017-12-01 04:59","102.77"
"2017-12-01 05:18","102.76"
"2017-12-01 05:38","102.75"
"2017-12-01 05:59","102.75"
"2017-12-01 06:18","102.74"
"2017-12-01 06:38","102.75"
"2017-12-01 06:59","102.76"
"2017-12-01 07:18","102.76"
"2017-12-01 07:38","102.76"
"2017-12-01 07:59","102.77"
"2017-12-01 08:18","102.77"
"2017-12-01 08:38","102.77"
"2017-12-01 08:59","102.77"
"2017-12-01 09:18","102.77"
"2017-12-01 09:38","102.77"
"2017-12-01 09:59","102.78"
"2017-12-01 10:18","102.79"
"2017-12-01 10:38","102.80"
"2017-12-01 10:59","102.80"
"2017-12-01 11:18","102.80"
"2017-12-01 11:38","102.79"
"2017-12-01 11:59","102.79"
"2017-12-01 12:18","102.78"
"2017-12-01 12:38","102.78"
"2017-12-01 12:59","102.77"
"2017-12-01 13:18","102.77"
"2017-12-01 13:38","102.77"
"2017-12-01 13:48","102.76"
"2017-12-01 13:55","102.76"
"2017-12-01 13:59","102.76"
"2017-12-01 14:08","102.76"
"2017-12-01 14:18","102.75"
"2017-12-01 14:28","102.75"
"2017-12-01 14:38","102.74"
"2017-12-01 14:48","102.74"
"2017-12-01 14:55","102.74"
"2017-12-01 14:59","102.74"
"2017-12-01 15:08","102.74"
"2017-12-01 15:18","102.73"
"2017-12-01 15:28","102.73"
"2017-12-01 15:38","102.73"
"2017-12-01 15:48","102.73"
"2017-12-01 15:55","102.73"
"2017-12-01 15:59","102.72"
"2017-12-01 16:08","102.73"
"2017-12-01 16:18","102.73"
"2017-12-01 16:28","102.73"
"2017-12-01 16:38","102.73"
"2017-12-01 16:48","102.73"
"2017-12-01 16:55","102.73"
"2017-12-01 16:59","102.73"
"2017-12-01 17:08","102.74"
"2017-12-01 17:18","102.74"
"2017-12-01 17:28","102.73"
"2017-12-01 17:38","102.74"
"2017-12-01 17:48","102.74"
"2017-12-01 17:55","102.74"
"2017-12-01 17:59","102.74"
"2017-12-01 18:08","102.75"
"2017-12-01 18:18","102.74"
"2017-12-01 18:28","102.75"
"2017-12-01 18:38","102.74"
"2017-12-01 18:48","102.75"
"2017-12-01 18:55","102.75"
"2017-12-01 18:59","102.76"
"2017-12-01 19:08","102.75"
"2017-12-01 19:18","102.75"
"2017-12-01 19:28","102.76"
"2017-12-01 19:38","102.75"
"2017-12-01 19:48","102.75"
"2017-12-01 19:55","102.75"
"2017-12-01 19:59","102.75"
"2017-12-01 20:08","102.75"
"2017-12-01 20:18","102.75"
"2017-12-01 20:28","102.75"
"2017-12-01 20:38","102.76"
"2017-12-01 20:48","102.76"
"2017-12-01 20:55","102.75"
"2017-12-01 20:59","102.75"
"2017-12-01 21:08","102.75"
"2017-12-01 21:18","102.75"
"2017-12-01 21:28","102.75"
"2017-12-01 21:38","102.75"
"2017-12-01 21:48","102.74"
"2017-12-01 21:55","102.74"
"2017-12-01 21:59","102.74"
"2017-12-01 22:08","102.74"
"2017-12-01 22:18","102.74"
"2017-12-01 22:28","102.74"
"2017-12-01 22:38","102.75"
"2017-12-01 22:48","102.75"
"2017-12-01 22:55","102.75"
"2017-12-01 22:59","102.74"
"2017-12-01 23:08","102.74"
"2017-12-01 23:18","102.74"
"2017-12-01 23:28","102.74"
"2017-12-01 23:38","102.74"
"2017-12-01 23:48","102.74"
"2017-12-01 23:55","102.75"
"2017-12-01 23:59","102.74"
"2017-12-02 00:08","102.75"
"2017-12-02 00:18","102.75"
"2017-12-02 00:28","102.74"
"2017-12-02 00:38","102.74"
"2017-12-02 00:48","102.74"
"2017-12-02 00:55","102.74"
"2017-12-02 00:59","102.74"
"2017-12-02 01:08","102.73"
"2017-12-02 01:18","102.73"
"2017-12-02 01:28","102.73"
"2017-12-02 01:38","102.72"
"2017-12-02 01:48","102.73"
"2017-12-02 01:55","102.73"
"2017-12-02 01:59","102.73"
"2017-12-02 02:08","102.73"
"2017-12-02 02:18","102.72"
"2017-12-02 02:28","102.72"
"2017-12-02 02:38","102.73"
"2017-12-02 02:48","102.73"
"2017-12-02 02:55","102.72"
"2017-12-02 02:59","102.72"
"2017-12-02 03:08","102.72"
"2017-12-02 03:18","102.72"
"2017-12-02 03:28","102.72"
"2017-12-02 03:38","102.73"
"2017-12-02 03:48","102.73"
"2017-12-02 03:55","102.73"
"2017-12-02 03:59","102.73"
"2017-12-02 04:08","102.73"
"2017-12-02 04:18","102.73"
"2017-12-02 04:28","102.73"
"2017-12-02 04:38","102.73"
"2017-12-02 04:48","102.73"
"2017-12-02 04:55","102.73"
"2017-12-02 04:59","102.73"
"2017-12-02 05:08","102.72"
"2017-12-02 05:18","102.72"
"2017-12-02 05:28","102.72"
"2017-12-02 05:38","102.72"
"2017-12-02 05:48","102.72"
"2017-12-02 05:55","102.72"
"2017-12-02 05:59","102.73"
"2017-12-02 06:08","102.73"
"2017-12-02 06:18","102.73"
"2017-12-02 06:28","102.73"
"2017-12-02 06:38","102.73"
"2017-12-02 06:48","102.73"
"2017-12-02 06:55","102.73"
"2017-12-02 06:59","102.73"
"2017-12-02 07:08","102.73"
"2017-12-02 07:18","102.74"
"2017-12-02 07:28","102.74"
"2017-12-02 07:38","102.75"
"2017-12-02 07:48","102.75"
"2017-12-02 07:55","102.76"
"2017-12-02 07:59","102.76"
"2017-12-02 08:08","102.76"
"2017-12-02 08:18","102.77"
"2017-12-02 08:28","102.77"
"2017-12-02 08:38","102.77"
"2017-12-02 08:48","102.78"
"2017-12-02 08:55","102.78"
"2017-12-02 08:59","102.78"
"2017-12-02 09:08","102.79"
"2017-12-02 09:18","102.78"
"2017-12-02 09:28","102.78"
"2017-12-02 09:38","102.78"
"2017-12-02 09:48","102.78"
"2017-12-02 09:55","102.78"
"2017-12-02 09:59","102.78"
"2017-12-02 10:08","102.78"
"2017-12-02 10:18","102.78"
"2017-12-02 10:28","102.78"
"2017-12-02 10:38","102.79"
"2017-12-02 10:48","102.79"
"2017-12-02 10:55","102.80"
"2017-12-02 10:59","102.79"
"2017-12-02 11:08","102.79"
"2017-12-02 11:18","102.79"
"2017-12-02 11:28","102.79"
"2017-12-02 11:38","102.79"
"2017-12-02 11:48","102.79"
"2017-12-02 11:55","102.79"
"2017-12-02 11:59","102.79"
"2017-12-02 12:08","102.78"
"2017-12-02 12:18","102.78"
"2017-12-02 12:28","102.79"
"2017-12-02 12:38","102.79"
"2017-12-02 12:48","102.79"
"2017-12-02 12:55","102.78"
"2017-12-02 12:59","102.78"
"2017-12-02 13:08","102.77"
"2017-12-02 13:18","102.78"
"2017-12-02 13:28","102.78"
"2017-12-02 13:38","102.78"
"2017-12-02 13:48","102.78"
"2017-12-02 13:55","102.78"
"2017-12-02 13:59","102.78"
"2017-12-02 14:08","102.78"
"2017-12-02 14:18","102.78"
"2017-12-02 14:28","102.78"
"2017-12-02 14:38","102.79"
"2017-12-02 14:48","102.78"
"2017-12-02 14:55","102.78"
"2017-12-02 15:00","102.78"
"2017-12-02 15:08","102.78"
"2017-12-02 15:18","102.78"
"2017-12-02 15:28","102.78"
"2017-12-02 15:38","102.79"
"2017-12-02 15:48","102.79"
"2017-12-02 15:55","102.79"
"2017-12-02 15:59","102.79"
"2017-12-02 16:08","102.79"
"2017-12-02 16:18","102.80"
"2017-12-02 16:28","102.80"
"2017-12-02 16:38","102.80"
"2017-12-02 16:48","102.81"
"2017-12-02 16:55","102.81"
"2017-12-02 16:59","102.81"
"2017-12-02 17:08","102.81"
"2017-12-02 17:18","102.81"
"2017-12-02 17:28","102.81"
"2017-12-02 17:38","102.81"
"2017-12-02 17:48","102.82"
"2017-12-02 17:55","102.82"
"2017-12-02 17:59","102.82"
"2017-12-02 18:08","102.82"
"2017-12-02 18:18","102.83"
"2017-12-02 18:28","102.83"
"2017-12-02 18:38","102.84"
"2017-12-02 18:48","102.84"
"2017-12-02 18:55","102.85"
"2017-12-02 18:59","102.85"
"2017-12-02 19:08","102.84"
"2017-12-02 19:18","102.84"
"2017-12-02 19:28","102.84"
"2017-12-02 19:38","102.85"
"2017-12-02 19:48","102.86"
"2017-12-02 19:55","102.87"
"2017-12-02 19:59","102.88"
"2017-12-02 20:08","102.88"
"2017-12-02 20:18","102.87"
"2017-12-02 20:28","102.87"
"2017-12-02 20:38","102.88"
"2017-12-02 20:48","102.87"
"2017-12-02 20:55","102.87"
"2017-12-02 20:59","102.88"
"2017-12-02 21:08","102.88"
"2017-12-02 21:18","102.88"
"2017-12-02 21:28","102.88"
"2017-12-02 21:38","102.87"
"2017-12-02 21:48","102.86"
"2017-12-02 21:55","102.85"
"2017-12-02 21:59","102.84"
"2017-12-02 22:08","102.84"
"2017-12-02 22:18","102.84"
"2017-12-02 22:28","102.84"
"2017-12-02 22:38","102.85"
"2017-12-02 22:48","102.85"
"2017-12-02 22:55","102.85"
"2017-12-02 22:59","102.85"
"2017-12-02 23:08","102.86"
"2017-12-02 23:18","102.85"
"2017-12-02 23:28","102.86"
"2017-12-02 23:38","102.86"
"2017-12-02 23:48","102.87"
"2017-12-02 23:55","102.87"
"2017-12-02 23:59","102.87"
"2017-12-03 00:08","102.87"
"2017-12-03 00:18","102.87"
"2017-12-03 00:28","102.87"
"2017-12-03 00:38","102.86"
"2017-12-03 00:48","102.86"
"2017-12-03 00:55","102.86"
"2017-12-03 00:59","102.86"
"2017-12-03 01:08","102.86"
"2017-12-03 01:18","102.85"
"2017-12-03 01:28","102.85"
"2017-12-03 01:38","102.83"
"2017-12-03 01:48","102.83"
"2017-12-03 01:55","102.83"
"2017-12-03 02:00","102.82"
"2017-12-03 02:08","102.82"
"2017-12-03 02:18","102.83"
"2017-12-03 02:28","102.83"
"2017-12-03 02:38","102.83"
"2017-12-03 02:48","102.83"
"2017-12-03 02:55","102.83"
"2017-12-03 02:58","102.83"
"2017-12-03 03:08","102.84"
"2017-12-03 03:18","102.84"
"2017-12-03 03:28","102.84"
"2017-12-03 03:38","102.84"
"2017-12-03 03:48","102.85"
"2017-12-03 03:55","102.85"
"2017-12-03 03:59","102.84"
"2017-12-03 04:08","102.83"
"2017-12-03 04:18","102.83"
"2017-12-03 04:28","102.83"
"2017-12-03 04:38","102.83"
"2017-12-03 04:48","102.83"
"2017-12-03 04:55","102.83"
"2017-12-03 05:00","102.83"
"2017-12-03 05:08","102.83"
"2017-12-03 05:18","102.82"
"2017-12-03 05:28","102.82"
"2017-12-03 05:38","102.82"
"2017-12-03 05:48","102.82"
"2017-12-03 05:55","102.81"
"2017-12-03 06:00","102.81"
"2017-12-03 06:08","102.81"
"2017-12-03 06:18","102.81"
"2017-12-03 06:28","102.80"
"2017-12-03 06:38","102.80"
"2017-12-03 06:48","102.79"
"2017-12-03 06:55","102.79"
"2017-12-03 07:00","102.79"
"2017-12-03 07:08","102.79"
"2017-12-03 07:18","102.79"
"2017-12-03 07:28","102.79"
"2017-12-03 07:38","102.79"
"2017-12-03 07:48","102.78"
"2017-12-03 07:55","102.78"
"2017-12-03 07:59","102.78"
"2017-12-03 08:08","102.77"
"2017-12-03 08:18","102.77"
"2017-12-03 08:28","102.77"
"2017-12-03 08:38","102.77"
"2017-12-03 08:48","102.77"
"2017-12-03 08:55","102.77"
"2017-12-03 09:00","102.77"
"2017-12-03 09:08","102.77"
"2017-12-03 09:18","102.77"
"2017-12-03 09:28","102.77"
"2017-12-03 09:39","102.77"
"2017-12-03 09:48","102.77"
"2017-12-03 09:55","102.76"
"2017-12-03 10:00","102.77"
"2017-12-03 10:08","102.77"
"2017-12-03 10:18","102.77"
"2017-12-03 10:28","102.77"
"2017-12-03 10:38","102.76"
"2017-12-03 10:48","102.76"
"2017-12-03 10:55","102.76"
"2017-12-03 11:00","102.76"
"2017-12-03 11:08","102.76"
"2017-12-03 11:18","102.75"
"2017-12-03 11:28","102.75"
"2017-12-03 11:38","102.76"
"2017-12-03 11:48","102.75"
"2017-12-03 11:55","102.75"
"2017-12-03 11:59","102.74"
"2017-12-03 12:08","102.74"
"2017-12-03 12:18","102.74"
"2017-12-03 12:28","102.74"
"2017-12-03 12:38","102.73"
"2017-12-03 12:48","102.74"
"2017-12-03 12:55","102.73"
"2017-12-03 13:00","102.73"
"2017-12-03 13:08","102.72"
"2017-12-03 13:18","102.72"
"2017-12-03 13:28","102.72"
"2017-12-03 13:38","102.72"
"2017-12-03 13:48","102.71"
"2017-12-03 13:55","102.72"
"2017-12-03 13:58","102.72"
"2017-12-03 14:08","102.72"
"2017-12-03 14:18","102.71"
"2017-12-03 14:28","102.71"
"2017-12-03 14:39","102.71"
"2017-12-03 14:48","102.71"
"2017-12-03 14:55","102.71"
"2017-12-03 15:00","102.71"
"2017-12-03 15:08","102.70"
"2017-12-03 15:19","102.70"
"2017-12-03 15:28","102.71"
"2017-12-03 15:39","102.70"
"2017-12-03 15:48","102.70"
"2017-12-03 15:55","102.71"
"2017-12-03 16:00","102.71"
"2017-12-03 16:08","102.70"
"2017-12-03 16:19","102.70"
"2017-12-03 16:28","102.70"
"2017-12-03 16:39","102.71"
"2017-12-03 16:48","102.71"
"2017-12-03 16:55","102.70"
"2017-12-03 16:58","102.70"
"2017-12-03 17:08","102.71"
"2017-12-03 17:19","102.71"
"2017-12-03 17:28","102.71"
"2017-12-03 17:39","102.71"
"2017-12-03 17:48","102.71"
"2017-12-03 17:55","102.70"
"2017-12-03 18:00","102.70"
"2017-12-03 18:08","102.70"
"2017-12-03 18:19","102.70"
"2017-12-03 18:28","102.70"
"2017-12-03 18:38","102.70"
"2017-12-03 18:48","102.70"
"2017-12-03 18:55","102.70"
"2017-12-03 19:00","102.70"
"2017-12-03 19:08","102.70"
"2017-12-03 19:19","102.70"
"2017-12-03 19:28","102.70"
"2017-12-03 19:39","102.69"
"2017-12-03 19:48","102.70"
"2017-12-03 19:55","102.69"
"2017-12-03 20:00","102.69"
"2017-12-03 20:08","102.69"
"2017-12-03 20:19","102.68"
"2017-12-03 20:28","102.68"
"2017-12-03 20:39","102.68"
"2017-12-03 20:48","102.67"
"2017-12-03 20:55","102.67"
"2017-12-03 20:59","102.67"
"2017-12-03 21:08","102.66"
"2017-12-03 21:19","102.65"
"2017-12-03 21:28","102.65"
"2017-12-03 21:39","102.65"
"2017-12-03 21:48","102.65"
"2017-12-03 21:55","102.65"
"2017-12-03 22:00","102.65"
"2017-12-03 22:08","102.65"
"2017-12-03 22:19","102.64"
"2017-12-03 22:28","102.64"
"2017-12-03 22:39","102.63"
"2017-12-03 22:48","102.62"
"2017-12-03 22:55","102.62"
"2017-12-03 22:58","102.62"
"2017-12-03 23:08","102.62"
"2017-12-03 23:19","102.62"
"2017-12-03 23:28","102.62"
"2017-12-03 23:39","102.63"
"2017-12-03 23:48","102.63"
"2017-12-03 23:55","102.63"
"2017-12-04 00:00","102.63"
"2017-12-04 00:08","102.63"
"2017-12-04 00:19","102.63"
"2017-12-04 00:28","102.63"
"2017-12-04 00:39","102.61"
"2017-12-04 00:48","102.61"
"2017-12-04 00:55","102.60"
"2017-12-04 01:00","102.59"
"2017-12-04 01:08","102.59"
"2017-12-04 01:19","102.56"
"2017-12-04 01:28","102.56"
"2017-12-04 01:39","102.56"
"2017-12-04 01:48","102.56"
"2017-12-04 01:55","102.55"
"2017-12-04 02:00","102.54"
"2017-12-04 02:08","102.54"
"2017-12-04 02:19","102.53"
"2017-12-04 02:28","102.53"
"2017-12-04 02:39","102.54"
"2017-12-04 02:48","102.52"
"2017-12-04 02:55","102.52"
"2017-12-04 02:59","102.51"
"2017-12-04 03:08","102.51"
"2017-12-04 03:19","102.49"
"2017-12-04 03:28","102.48"
"2017-12-04 03:39","102.46"
"2017-12-04 03:48","102.46"
"2017-12-04 03:55","102.44"
"2017-12-04 04:00","102.43"
"2017-12-04 04:08","102.44"
"2017-12-04 04:19","102.42"
"2017-12-04 04:28","102.42"
"2017-12-04 04:39","102.41"
"2017-12-04 04:48","102.40"
"2017-12-04 04:55","102.40"
"2017-12-04 05:00","102.39"
"2017-12-04 05:08","102.38"
"2017-12-04 05:19","102.37"
"2017-12-04 05:28","102.36"
"2017-12-04 05:39","102.36"
"2017-12-04 05:48","102.35"
"2017-12-04 05:55","102.36"
"2017-12-04 06:00","102.35"
"2017-12-04 06:08","102.34"
"2017-12-04 06:19","102.34"
"2017-12-04 06:28","102.33"
"2017-12-04 06:39","102.31"
"2017-12-04 06:48","102.30"
"2017-12-04 06:55","102.30"
"2017-12-04 07:00","102.29"
"2017-12-04 07:08","102.29"
"2017-12-04 07:19","102.27"
"2017-12-04 07:28","102.27"
"2017-12-04 07:39","102.26"
"2017-12-04 07:48","102.27"
"2017-12-04 07:55","102.27"
"2017-12-04 08:00","102.27"
"2017-12-04 08:08","102.26"
"2017-12-04 08:19","102.25"
"2017-12-04 08:28","102.25"
"2017-12-04 08:39","102.24"
"2017-12-04 08:48","102.23"
"2017-12-04 08:55","102.23"
"2017-12-04 08:59","102.22"
"2017-12-04 09:08","102.22"
"2017-12-04 09:19","102.21"
"2017-12-04 09:28","102.20"
"2017-12-04 09:39","102.19"
"2017-12-04 09:48","102.18"
"2017-12-04 09:55","102.17"
"2017-12-04 10:00","102.16"
"2017-12-04 10:08","102.16"
"2017-12-04 10:19","102.15"
"2017-12-04 10:28","102.15"
"2017-12-04 10:39","102.14"
"2017-12-04 10:48","102.13"
"2017-12-04 10:55","102.13"
"2017-12-04 11:01","102.12"
"2017-12-04 11:08","102.12"
"2017-12-04 11:19","102.09"
"2017-12-04 11:28","102.09"
"2017-12-04 11:39","102.06"
"2017-12-04 11:48","102.06"
"2017-12-04 11:55","102.05"
"2017-12-04 12:00","102.04"
"2017-12-04 12:08","102.03"
"2017-12-04 12:19","102.01"
"2017-12-04 12:28","102.01"
"2017-12-04 12:39","102.00"
"2017-12-04 12:48","102.01"
"2017-12-04 12:55","101.99"
"2017-12-04 12:59","101.98"
"2017-12-04 13:08","101.97"
"2017-12-04 13:19","101.95"
"2017-12-04 13:28","101.94"
"2017-12-04 13:39","101.94"
"2017-12-04 13:48","101.93"
"2017-12-04 13:55","101.92"
"2017-12-04 14:00","101.90"
"2017-12-04 14:08","101.90"
"2017-12-04 14:19","101.89"
"2017-12-04 14:28","101.88"
"2017-12-04 14:39","101.86"
"2017-12-04 14:48","101.85"
"2017-12-04 14:55","101.85"
"2017-12-04 15:01","101.83"
"2017-12-04 15:08","101.83"
"2017-12-04 15:19","101.80"
"2017-12-04 15:28","101.80"
"2017-12-04 15:39","101.78"
"2017-12-04 15:48","101.77"
"2017-12-04 15:55","101.77"
"2017-12-04 16:00","101.76"
"2017-12-04 16:08","101.75"
"2017-12-04 16:19","101.75"
"2017-12-04 16:28","101.74"
"2017-12-04 16:39","101.72"
"2017-12-04 16:48","101.71"
"2017-12-04 16:55","101.70"
"2017-12-04 17:01","101.67"
"2017-12-04 17:08","101.67"
"2017-12-04 17:19","101.65"
"2017-12-04 17:28","101.65"
"2017-12-04 17:39","101.65"
"2017-12-04 17:48","101.64"
"2017-12-04 17:55","101.62"
"2017-12-04 17:59","101.59"
"2017-12-04 18:08","101.59"
"2017-12-04 18:19","101.57"
"2017-12-04 18:28","101.57"
"2017-12-04 18:39","101.56"
"2017-12-04 18:48","101.55"
"2017-12-04 18:55","101.54"
"2017-12-04 18:58","101.53"
"2017-12-04 19:08","101.54"
"2017-12-04 19:19","101.56"
"2017-12-04 19:28","101.56"
"2017-12-04 19:39","101.53"
"2017-12-04 19:48","101.52"
"2017-12-04 19:55","101.51"
"2017-12-04 20:01","101.52"
"2017-12-04 20:08","101.53"
"2017-12-04 20:19","101.55"
"2017-12-04 20:28","101.55"
"2017-12-04 20:39","101.54"
"2017-12-04 20:48","101.53"
"2017-12-04 20:55","101.51"
"2017-12-04 21:01","101.48"
"2017-12-04 21:08","101.47"
"2017-12-04 21:19","101.47"
"2017-12-04 21:28","101.47"
"2017-12-04 21:39","101.47"
"2017-12-04 21:48","101.47"
"2017-12-04 21:55","101.46"
"2017-12-04 21:59","101.44"
"2017-12-04 22:08","101.42"
"2017-12-04 22:19","101.43"
"2017-12-04 22:28","101.43"
"2017-12-04 22:39","101.43"
"2017-12-04 22:48","101.42"
"2017-12-04 22:55","101.41"
"2017-12-04 23:00","101.40"
"2017-12-04 23:08","101.39"
"2017-12-04 23:19","101.38"
"2017-12-04 23:28","101.38"
"2017-12-04 23:39","101.37"
"2017-12-04 23:48","101.37"
"2017-12-04 23:55","101.37"
"2017-12-05 00:01","101.37"
"2017-12-05 00:08","101.37"
"2017-12-05 00:21","101.36"
"2017-12-05 00:28","101.36"
"2017-12-05 00:39","101.34"
"2017-12-05 00:48","101.34"
"2017-12-05 00:55","101.33"
"2017-12-05 00:58","101.34"
"2017-12-05 01:08","101.34"
"2017-12-05 01:19","101.32"
"2017-12-05 01:28","101.33"
"2017-12-05 01:39","101.34"
"2017-12-05 01:48","101.33"
"2017-12-05 01:55","101.32"
"2017-12-05 02:01","101.31"
"2017-12-05 02:08","101.31"
