"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:08","3","WSW","10"
"2017-12-01 00:18","3","W","10"
"2017-12-01 00:28","3","WSW","10"
"2017-12-01 00:38","2","WSW","8"
"2017-12-01 00:48","3","SW","8"
"2017-12-01 00:55","3","SW","10"
"2017-12-01 00:59","4","WSW","12"
"2017-12-01 01:08","3","WSW","11"
"2017-12-01 01:18","3","WSW","9"
"2017-12-01 01:28","3","SW","10"
"2017-12-01 01:38","3","SW","10"
"2017-12-01 01:48","3","WSW","12"
"2017-12-01 01:55","3","WSW","16"
"2017-12-01 01:58","3","WSW","11"
"2017-12-01 02:08","3","WSW","10"
"2017-12-01 02:18","3","WSW","9"
"2017-12-01 02:28","3","SW","9"
"2017-12-01 02:38","3","SW","9"
"2017-12-01 02:48","1","WSW","9"
"2017-12-01 02:55","2","WSW","9"
"2017-12-01 02:59","2","SW","9"
"2017-12-01 03:18","4","SSW","10"
"2017-12-01 03:38","3","SW","10"
"2017-12-01 03:59","2","SW","15"
"2017-12-01 04:18","3","SW","13"
"2017-12-01 04:38","2","SW","8"
"2017-12-01 04:59","2","SW","7"
"2017-12-01 05:18","0","SW","5"
"2017-12-01 05:38","1","SW","6"
"2017-12-01 05:59","1","SW","5"
"2017-12-01 06:18","2","SW","9"
"2017-12-01 06:38","1","SW","6"
"2017-12-01 06:59","0","WSW","2"
"2017-12-01 07:18","0","SSE","4"
"2017-12-01 07:38","0","WSW","4"
"2017-12-01 07:59","0","SW","5"
"2017-12-01 08:18","0","WNW","2"
"2017-12-01 08:38","0","W","0"
"2017-12-01 08:59","0","WSW","0"
"2017-12-01 09:18","0","WSW","3"
"2017-12-01 09:38","0","SW","1"
"2017-12-01 09:59","0","WSW","3"
"2017-12-01 10:18","0","WSW","4"
"2017-12-01 10:38","0","WNW","1"
"2017-12-01 10:59","0","WSW","4"
"2017-12-01 11:18","1","SW","7"
"2017-12-01 11:38","1","WSW","8"
"2017-12-01 11:59","2","WSW","7"
"2017-12-01 12:18","3","SW","10"
"2017-12-01 12:38","2","SW","8"
"2017-12-01 12:59","5","W","15"
"2017-12-01 13:18","4","WSW","12"
"2017-12-01 13:38","2","WSW","7"
"2017-12-01 13:48","2","WSW","8"
"2017-12-01 13:55","1","WSW","9"
"2017-12-01 13:59","1","WSW","6"
"2017-12-01 14:08","2","WSW","6"
"2017-12-01 14:18","2","W","7"
"2017-12-01 14:28","0","W","5"
"2017-12-01 14:38","2","W","8"
"2017-12-01 14:48","1","SW","7"
"2017-12-01 14:55","0","WSW","7"
"2017-12-01 14:59","0","SW","4"
"2017-12-01 15:08","0","W","4"
"2017-12-01 15:18","0","NNE","1"
"2017-12-01 15:28","0","NNE","2"
"2017-12-01 15:38","0","NNE","0"
"2017-12-01 15:48","0","NE","0"
"2017-12-01 15:55","0","NE","1"
"2017-12-01 15:59","0","NE","5"
"2017-12-01 16:08","1","NE","8"
"2017-12-01 16:18","0","SE","0"
"2017-12-01 16:28","0","ENE","0"
"2017-12-01 16:38","0","NNW","0"
"2017-12-01 16:48","0","N","0"
"2017-12-01 16:55","0","NNE","0"
"2017-12-01 16:59","0","NNW","0"
"2017-12-01 17:08","0","NW","0"
"2017-12-01 17:18","0","WNW","0"
"2017-12-01 17:28","0","WNW","0"
"2017-12-01 17:38","0","WNW","0"
"2017-12-01 17:48","0","WNW","0"
