"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 11:18","-26.7","61"
"2018-02-01 11:28","-26.8","60"
"2018-02-01 11:38","-26.6","58"
"2018-02-01 11:48","-26.6","58"
"2018-02-01 11:55","-26.5","57"
"2018-02-01 11:58","-26.4","57"
"2018-02-01 12:08","-26.4","59"
"2018-02-01 12:18","-26.6","56"
"2018-02-01 12:28","-26.6","55"
"2018-02-01 12:38","-26.3","55"
"2018-02-01 12:48","-26.4","55"
"2018-02-01 12:55","-26.1","54"
"2018-02-01 12:58","-26.3","52"
"2018-02-01 13:08","-26.5","53"
"2018-02-01 13:18","-26.1","53"
"2018-02-01 13:28","-26.2","53"
"2018-02-01 13:38","-25.6","53"
"2018-02-01 13:48","-26.0","51"
"2018-02-01 13:55","-26.1","52"
"2018-02-01 13:58","-25.9","52"
"2018-02-01 14:08","-25.9","52"
"2018-02-01 14:18","-25.6","52"
"2018-02-01 14:28","-25.6","52"
"2018-02-01 14:38","-25.8","51"
"2018-02-01 14:48","-25.9","51"
"2018-02-01 14:55","-25.9","51"
"2018-02-01 14:58","-25.7","51"
"2018-02-01 15:08","-25.8","52"
"2018-02-01 15:18","-25.7","51"
"2018-02-01 15:28","-25.5","51"
"2018-02-01 15:38","-25.7","51"
"2018-02-01 15:48","-25.4","51"
"2018-02-01 15:55","-25.5","49"
"2018-02-01 15:58","-25.7","50"
"2018-02-01 16:08","-25.5","52"
"2018-02-01 16:18","-25.7","52"
"2018-02-01 16:28","-25.4","53"
"2018-02-01 16:38","-25.5","53"
"2018-02-01 16:48","-25.5","54"
"2018-02-01 16:55","-25.6","54"
"2018-02-01 16:58","-25.6","54"
"2018-02-01 17:08","-25.6","54"
"2018-02-01 17:18","-25.7","55"
"2018-02-01 17:28","-25.7","56"
"2018-02-01 17:38","-25.7","56"
"2018-02-01 17:48","-25.8","57"
"2018-02-01 17:55","-25.8","58"
"2018-02-01 17:58","-25.8","59"
"2018-02-01 18:08","-25.8","60"
"2018-02-01 18:18","-25.8","60"
"2018-02-01 18:28","-25.9","62"
"2018-02-01 18:38","-26.2","63"
"2018-02-01 18:48","-26.5","65"
"2018-02-01 18:55","-26.4","67"
"2018-02-01 18:58","-26.4","66"
"2018-02-01 19:08","-26.1","69"
