"Time EST","Air Temp (°C)"
"2018-01-01 00:08","-27.6"
"2018-01-01 00:18","-27.7"
"2018-01-01 00:28","-27.8"
"2018-01-01 00:38","-27.9"
"2018-01-01 00:48","-27.9"
"2018-01-01 00:55","-28.0"
"2018-01-01 00:59","-28.0"
"2018-01-01 01:08","-28.1"
"2018-01-01 01:18","-28.2"
"2018-01-01 01:28","-27.9"
"2018-01-01 01:38","-27.7"
"2018-01-01 01:48","-27.7"
"2018-01-01 01:55","-27.8"
"2018-01-01 01:59","-27.7"
"2018-01-01 02:08","-27.7"
"2018-01-01 02:18","-27.8"
"2018-01-01 02:28","-27.8"
"2018-01-01 02:38","-27.9"
"2018-01-01 02:48","-28.0"
"2018-01-01 02:55","-28.1"
"2018-01-01 02:59","-28.1"
"2018-01-01 03:08","-27.8"
"2018-01-01 03:18","-27.7"
"2018-01-01 03:28","-27.6"
"2018-01-01 03:38","-27.6"
"2018-01-01 03:48","-27.5"
"2018-01-01 03:55","-27.5"
"2018-01-01 03:59","-27.4"
"2018-01-01 04:08","-27.3"
"2018-01-01 04:18","-27.3"
"2018-01-01 04:28","-27.2"
"2018-01-01 04:38","-27.3"
"2018-01-01 04:48","-27.3"
"2018-01-01 04:55","-27.3"
"2018-01-01 04:59","-27.4"
"2018-01-01 05:08","-27.6"
"2018-01-01 05:18","-27.7"
"2018-01-01 05:28","-27.9"
"2018-01-01 05:38","-28.0"
"2018-01-01 05:48","-28.1"
"2018-01-01 05:55","-28.1"
"2018-01-01 05:59","-28.1"
"2018-01-01 06:08","-28.2"
"2018-01-01 06:18","-28.1"
"2018-01-01 06:28","-28.0"
"2018-01-01 06:38","-28.1"
"2018-01-01 06:48","-28.2"
"2018-01-01 06:55","-28.1"
"2018-01-01 06:59","-28.2"
"2018-01-01 07:08","-28.1"
"2018-01-01 07:18","-28.2"
"2018-01-01 07:28","-28.2"
"2018-01-01 07:38","-28.2"
"2018-01-01 07:48","-28.3"
"2018-01-01 07:55","-28.3"
"2018-01-01 07:59","-28.3"
"2018-01-01 08:08","-28.3"
"2018-01-01 08:18","-28.2"
"2018-01-01 08:28","-28.3"
"2018-01-01 08:38","-28.3"
"2018-01-01 08:48","-28.5"
"2018-01-01 08:55","-28.6"
"2018-01-01 08:59","-28.6"
"2018-01-01 09:08","-29.0"
"2018-01-01 09:18","-29.1"
"2018-01-01 09:28","-28.8"
"2018-01-01 09:38","-28.3"
"2018-01-01 09:48","-28.0"
"2018-01-01 09:55","-28.0"
"2018-01-01 09:59","-27.7"
"2018-01-01 10:08","-27.2"
"2018-01-01 10:18","-26.9"
"2018-01-01 10:28","-26.9"
"2018-01-01 10:38","-26.6"
"2018-01-01 10:48","-26.1"
"2018-01-01 10:55","-25.7"
"2018-01-01 10:59","-25.5"
"2018-01-01 11:08","-24.8"
"2018-01-01 11:18","-24.3"
