"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:08","-31.0","73"
"2018-01-01 00:18","-31.2","73"
"2018-01-01 00:28","-31.2","73"
"2018-01-01 00:38","-31.2","73"
"2018-01-01 00:48","-31.2","73"
"2018-01-01 00:55","-31.3","73"
"2018-01-01 00:59","-31.3","73"
"2018-01-01 01:08","-31.3","73"
"2018-01-01 01:18","-31.5","73"
"2018-01-01 01:28","-31.1","74"
"2018-01-01 01:38","-31.0","73"
"2018-01-01 01:48","-31.1","73"
"2018-01-01 01:55","-31.0","73"
"2018-01-01 01:59","-31.0","73"
"2018-01-01 02:08","-31.0","73"
"2018-01-01 02:18","-31.1","74"
"2018-01-01 02:28","-31.1","73"
"2018-01-01 02:38","-31.2","74"
"2018-01-01 02:48","-31.2","74"
"2018-01-01 02:55","-31.4","73"
"2018-01-01 02:59","-31.3","74"
"2018-01-01 03:08","-31.0","74"
"2018-01-01 03:18","-30.9","74"
"2018-01-01 03:28","-30.8","74"
"2018-01-01 03:38","-30.9","74"
"2018-01-01 03:48","-30.7","74"
"2018-01-01 03:55","-30.7","74"
"2018-01-01 03:59","-30.6","75"
"2018-01-01 04:08","-30.4","75"
"2018-01-01 04:18","-30.4","75"
"2018-01-01 04:28","-30.4","75"
"2018-01-01 04:38","-30.4","75"
"2018-01-01 04:48","-30.4","74"
"2018-01-01 04:55","-30.4","74"
"2018-01-01 04:59","-30.5","74"
"2018-01-01 05:08","-30.8","74"
"2018-01-01 05:18","-31.0","74"
"2018-01-01 05:28","-31.1","74"
"2018-01-01 05:38","-31.2","74"
"2018-01-01 05:48","-31.3","74"
"2018-01-01 05:55","-31.3","74"
"2018-01-01 05:59","-31.3","74"
"2018-01-01 06:08","-31.4","74"
"2018-01-01 06:18","-31.3","74"
"2018-01-01 06:28","-31.2","74"
"2018-01-01 06:38","-31.3","74"
"2018-01-01 06:48","-31.4","74"
"2018-01-01 06:55","-31.4","74"
"2018-01-01 06:59","-31.3","74"
"2018-01-01 07:08","-31.3","74"
"2018-01-01 07:18","-31.3","74"
"2018-01-01 07:28","-31.4","74"
"2018-01-01 07:38","-31.4","74"
"2018-01-01 07:48","-31.5","74"
"2018-01-01 07:55","-31.5","74"
"2018-01-01 07:59","-31.4","74"
"2018-01-01 08:08","-31.5","74"
"2018-01-01 08:18","-31.4","74"
"2018-01-01 08:28","-31.4","74"
"2018-01-01 08:38","-31.4","74"
"2018-01-01 08:48","-31.7","74"
"2018-01-01 08:55","-31.8","74"
"2018-01-01 08:59","-31.9","73"
"2018-01-01 09:08","-32.3","73"
"2018-01-01 09:18","-32.3","73"
"2018-01-01 09:28","-31.9","74"
"2018-01-01 09:38","-31.6","74"
"2018-01-01 09:48","-31.3","74"
"2018-01-01 09:55","-31.3","73"
"2018-01-01 09:59","-31.0","74"
"2018-01-01 10:08","-30.4","74"
"2018-01-01 10:18","-30.2","73"
"2018-01-01 10:28","-30.3","73"
"2018-01-01 10:38","-29.9","74"
"2018-01-01 10:48","-29.5","73"
"2018-01-01 10:55","-29.1","73"
"2018-01-01 10:59","-28.9","73"
"2018-01-01 11:08","-28.2","73"
"2018-01-01 11:18","-28.1","71"
"2018-01-01 11:28","-27.7","71"
"2018-01-01 11:38","-27.4","70"
"2018-01-01 11:48","-27.4","69"
"2018-01-01 11:55","-27.4","68"
"2018-01-01 11:59","-27.1","68"
"2018-01-01 12:08","-27.1","67"
"2018-01-01 12:18","-26.5","66"
