"Time EST","Pressure (kPa)"
"2018-01-01 00:08","103.62"
"2018-01-01 00:18","103.62"
"2018-01-01 00:28","103.63"
"2018-01-01 00:38","103.62"
"2018-01-01 00:48","103.62"
"2018-01-01 00:55","103.62"
"2018-01-01 00:59","103.63"
"2018-01-01 01:08","103.62"
"2018-01-01 01:18","103.63"
"2018-01-01 01:28","103.63"
"2018-01-01 01:38","103.63"
"2018-01-01 01:48","103.63"
"2018-01-01 01:55","103.63"
"2018-01-01 01:59","103.64"
"2018-01-01 02:08","103.63"
"2018-01-01 02:18","103.64"
"2018-01-01 02:28","103.64"
"2018-01-01 02:38","103.64"
"2018-01-01 02:48","103.64"
"2018-01-01 02:55","103.64"
"2018-01-01 02:59","103.64"
"2018-01-01 03:08","103.65"
"2018-01-01 03:18","103.65"
"2018-01-01 03:28","103.65"
"2018-01-01 03:38","103.65"
"2018-01-01 03:48","103.65"
"2018-01-01 03:55","103.66"
"2018-01-01 03:59","103.65"
"2018-01-01 04:08","103.66"
"2018-01-01 04:18","103.65"
"2018-01-01 04:28","103.65"
"2018-01-01 04:38","103.66"
"2018-01-01 04:48","103.66"
"2018-01-01 04:55","103.66"
"2018-01-01 04:59","103.66"
"2018-01-01 05:08","103.65"
"2018-01-01 05:18","103.65"
"2018-01-01 05:28","103.65"
"2018-01-01 05:38","103.64"
"2018-01-01 05:48","103.65"
"2018-01-01 05:55","103.66"
"2018-01-01 05:59","103.65"
"2018-01-01 06:08","103.65"
"2018-01-01 06:18","103.66"
"2018-01-01 06:28","103.66"
"2018-01-01 06:38","103.66"
"2018-01-01 06:48","103.66"
"2018-01-01 06:55","103.66"
"2018-01-01 06:59","103.65"
"2018-01-01 07:08","103.65"
"2018-01-01 07:18","103.65"
"2018-01-01 07:28","103.65"
"2018-01-01 07:38","103.65"
"2018-01-01 07:48","103.65"
"2018-01-01 07:55","103.65"
"2018-01-01 07:59","103.65"
"2018-01-01 08:08","103.66"
"2018-01-01 08:18","103.65"
"2018-01-01 08:28","103.66"
"2018-01-01 08:38","103.66"
"2018-01-01 08:48","103.66"
"2018-01-01 08:55","103.66"
"2018-01-01 08:59","103.66"
"2018-01-01 09:08","103.66"
"2018-01-01 09:18","103.66"
"2018-01-01 09:28","103.67"
"2018-01-01 09:38","103.66"
"2018-01-01 09:48","103.66"
"2018-01-01 09:55","103.66"
"2018-01-01 09:59","103.66"
"2018-01-01 10:08","103.66"
"2018-01-01 10:18","103.66"
"2018-01-01 10:28","103.66"
"2018-01-01 10:38","103.66"
"2018-01-01 10:48","103.66"
"2018-01-01 10:55","103.66"
"2018-01-01 10:59","103.66"
"2018-01-01 11:08","103.65"
"2018-01-01 11:18","103.66"
"2018-01-01 11:28","103.66"
"2018-01-01 11:38","103.66"
"2018-01-01 11:48","103.66"
"2018-01-01 11:55","103.65"
"2018-01-01 11:59","103.65"
"2018-01-01 12:08","103.65"
"2018-01-01 12:18","103.64"
"2018-01-01 12:28","103.63"
"2018-01-01 12:38","103.63"
"2018-01-01 12:48","103.63"
"2018-01-01 12:55","103.62"
"2018-01-01 12:59","103.62"
"2018-01-01 13:08","103.61"
"2018-01-01 13:18","103.61"
"2018-01-01 13:28","103.60"
"2018-01-01 13:38","103.59"
"2018-01-01 13:48","103.59"
"2018-01-01 13:55","103.59"
"2018-01-01 13:59","103.59"
"2018-01-01 14:08","103.58"
"2018-01-01 14:18","103.57"
"2018-01-01 14:28","103.57"
"2018-01-01 14:38","103.56"
"2018-01-01 14:48","103.56"
"2018-01-01 14:55","103.56"
"2018-01-01 14:59","103.56"
"2018-01-01 15:08","103.56"
"2018-01-01 15:18","103.55"
"2018-01-01 15:28","103.54"
"2018-01-01 15:39","103.54"
"2018-01-01 15:48","103.54"
"2018-01-01 15:55","103.54"
"2018-01-01 15:59","103.54"
"2018-01-01 16:08","103.53"
"2018-01-01 16:18","103.53"
"2018-01-01 16:28","103.54"
"2018-01-01 16:38","103.53"
"2018-01-01 16:48","103.53"
"2018-01-01 16:55","103.54"
"2018-01-01 16:59","103.53"
"2018-01-01 17:08","103.53"
"2018-01-01 17:18","103.53"
"2018-01-01 17:28","103.52"
"2018-01-01 17:38","103.52"
"2018-01-01 17:48","103.52"
"2018-01-01 17:55","103.53"
"2018-01-01 17:59","103.53"
"2018-01-01 18:08","103.52"
"2018-01-01 18:18","103.52"
"2018-01-01 18:28","103.52"
"2018-01-01 18:38","103.51"
"2018-01-01 18:48","103.51"
"2018-01-01 18:55","103.50"
"2018-01-01 18:59","103.51"
"2018-01-01 19:08","103.50"
"2018-01-01 19:18","103.48"
"2018-01-01 19:28","103.48"
"2018-01-01 19:39","103.47"
"2018-01-01 19:48","103.48"
"2018-01-01 19:55","103.47"
"2018-01-01 19:59","103.46"
"2018-01-01 20:08","103.46"
"2018-01-01 20:18","103.45"
"2018-01-01 20:28","103.44"
"2018-01-01 20:38","103.44"
"2018-01-01 20:48","103.43"
"2018-01-01 20:55","103.42"
"2018-01-01 20:59","103.41"
"2018-01-01 21:08","103.40"
"2018-01-01 21:18","103.39"
"2018-01-01 21:28","103.39"
"2018-01-01 21:38","103.38"
"2018-01-01 21:48","103.38"
"2018-01-01 21:55","103.37"
"2018-01-01 21:59","103.36"
"2018-01-01 22:08","103.35"
"2018-01-01 22:18","103.34"
"2018-01-01 22:28","103.33"
"2018-01-01 22:38","103.32"
"2018-01-01 22:48","103.31"
"2018-01-01 22:55","103.30"
"2018-01-01 22:59","103.30"
"2018-01-01 23:08","103.29"
"2018-01-01 23:18","103.28"
"2018-01-01 23:28","103.27"
"2018-01-01 23:38","103.26"
"2018-01-01 23:48","103.25"
"2018-01-01 23:55","103.25"
"2018-01-01 23:59","103.25"
"2018-01-02 00:08","103.24"
"2018-01-02 00:18","103.23"
"2018-01-02 00:28","103.23"
"2018-01-02 00:38","103.20"
"2018-01-02 00:48","103.19"
"2018-01-02 00:55","103.19"
"2018-01-02 00:59","103.19"
"2018-01-02 01:08","103.17"
"2018-01-02 01:18","103.16"
"2018-01-02 01:28","103.15"
"2018-01-02 01:38","103.14"
"2018-01-02 01:48","103.13"
"2018-01-02 01:55","103.14"
"2018-01-02 01:59","103.13"
"2018-01-02 02:08","103.12"
"2018-01-02 02:18","103.12"
"2018-01-02 02:28","103.10"
"2018-01-02 02:38","103.10"
"2018-01-02 02:48","103.09"
"2018-01-02 02:55","103.09"
"2018-01-02 03:01","103.09"
"2018-01-02 03:08","103.08"
"2018-01-02 03:18","103.08"
"2018-01-02 03:28","103.08"
"2018-01-02 03:38","103.07"
"2018-01-02 03:48","103.07"
"2018-01-02 03:55","103.06"
"2018-01-02 03:59","103.06"
"2018-01-02 04:08","103.05"
"2018-01-02 04:18","103.04"
"2018-01-02 04:28","103.03"
"2018-01-02 04:38","103.01"
"2018-01-02 04:48","103.01"
"2018-01-02 04:55","103.00"
"2018-01-02 04:59","103.00"
"2018-01-02 05:08","103.00"
"2018-01-02 05:18","102.98"
"2018-01-02 05:28","102.98"
"2018-01-02 05:38","102.97"
"2018-01-02 05:48","102.97"
"2018-01-02 05:55","102.95"
"2018-01-02 06:00","102.95"
"2018-01-02 06:08","102.94"
"2018-01-02 06:18","102.93"
"2018-01-02 06:28","102.93"
"2018-01-02 06:38","102.92"
"2018-01-02 06:48","102.91"
"2018-01-02 06:55","102.91"
"2018-01-02 06:59","102.90"
"2018-01-02 07:08","102.90"
"2018-01-02 07:18","102.89"
"2018-01-02 07:28","102.89"
"2018-01-02 07:39","102.88"
"2018-01-02 07:48","102.87"
