"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:08","4","W","10"
"2018-01-01 00:18","4","W","8"
"2018-01-01 00:28","4","WNW","10"
"2018-01-01 00:38","4","W","14"
"2018-01-01 00:48","4","W","10"
"2018-01-01 00:55","4","W","9"
"2018-01-01 00:59","3","W","9"
"2018-01-01 01:08","3","W","9"
"2018-01-01 01:18","4","W","11"
"2018-01-01 01:28","4","W","12"
"2018-01-01 01:38","4","W","8"
"2018-01-01 01:48","4","W","9"
"2018-01-01 01:55","3","W","7"
"2018-01-01 01:59","3","W","7"
"2018-01-01 02:08","4","W","9"
"2018-01-01 02:18","3","W","10"
"2018-01-01 02:28","4","W","10"
"2018-01-01 02:38","4","W","10"
"2018-01-01 02:48","4","W","10"
"2018-01-01 02:55","3","W","10"
"2018-01-01 02:59","3","W","10"
"2018-01-01 03:08","4","W","9"
"2018-01-01 03:18","4","W","12"
"2018-01-01 03:28","4","W","9"
"2018-01-01 03:38","3","W","7"
"2018-01-01 03:48","4","W","10"
"2018-01-01 03:55","3","W","8"
"2018-01-01 03:59","3","W","8"
"2018-01-01 04:08","5","W","10"
"2018-01-01 04:18","3","W","10"
"2018-01-01 04:28","5","W","10"
"2018-01-01 04:38","5","W","13"
"2018-01-01 04:48","6","W","12"
"2018-01-01 04:55","5","W","14"
"2018-01-01 04:59","5","W","14"
"2018-01-01 05:08","5","WSW","11"
"2018-01-01 05:18","6","W","12"
"2018-01-01 05:28","6","W","14"
"2018-01-01 05:38","6","W","12"
"2018-01-01 05:48","6","W","14"
"2018-01-01 05:55","5","W","12"
"2018-01-01 05:59","5","W","13"
"2018-01-01 06:08","5","W","14"
"2018-01-01 06:18","6","W","12"
"2018-01-01 06:28","6","W","12"
"2018-01-01 06:38","5","W","11"
"2018-01-01 06:48","6","W","11"
"2018-01-01 06:55","5","W","9"
"2018-01-01 06:59","5","N/A","14"
"2018-01-01 07:08","5","W","10"
"2018-01-01 07:18","6","W","14"
"2018-01-01 07:28","6","W","14"
"2018-01-01 07:38","6","W","12"
"2018-01-01 07:48","6","W","12"
"2018-01-01 07:55","5","W","14"
"2018-01-01 07:59","5","W","14"
"2018-01-01 08:08","4","W","13"
"2018-01-01 08:18","6","W","12"
"2018-01-01 08:28","5","W","11"
"2018-01-01 08:38","5","W","14"
"2018-01-01 08:48","4","W","8"
"2018-01-01 08:55","4","W","10"
"2018-01-01 08:59","4","WSW","10"
"2018-01-01 09:08","3","W","8"
"2018-01-01 09:18","4","W","11"
"2018-01-01 09:28","5","W","11"
"2018-01-01 09:38","4","WSW","9"
"2018-01-01 09:48","5","W","12"
"2018-01-01 09:55","6","W","12"
"2018-01-01 09:59","6","WSW","15"
"2018-01-01 10:08","6","WSW","15"
"2018-01-01 10:18","8","W","15"
"2018-01-01 10:28","7","W","15"
"2018-01-01 10:38","7","W","15"
"2018-01-01 10:48","6","W","13"
"2018-01-01 10:55","6","W","13"
"2018-01-01 10:59","6","W","13"
"2018-01-01 11:08","5","W","11"
"2018-01-01 11:18","7","W","17"
"2018-01-01 11:28","8","W","22"
"2018-01-01 11:38","7","W","17"
"2018-01-01 11:48","8","W","18"
"2018-01-01 11:55","8","W","15"
"2018-01-01 11:59","8","W","15"
"2018-01-01 12:08","8","W","16"
"2018-01-01 12:18","6","W","15"
"2018-01-01 12:28","8","W","16"
"2018-01-01 12:38","8","W","18"
"2018-01-01 12:48","7","W","16"
"2018-01-01 12:55","5","W","14"
"2018-01-01 12:59","5","WSW","12"
"2018-01-01 13:08","8","WSW","15"
"2018-01-01 13:18","6","WSW","15"
"2018-01-01 13:28","6","WSW","15"
"2018-01-01 13:38","7","W","17"
"2018-01-01 13:48","7","WSW","16"
"2018-01-01 13:55","8","W","17"
"2018-01-01 13:59","8","W","17"
"2018-01-01 14:08","9","W","18"
"2018-01-01 14:18","8","W","16"
"2018-01-01 14:28","7","W","15"
"2018-01-01 14:38","10","W","19"
"2018-01-01 14:48","9","W","19"
"2018-01-01 14:55","7","W","15"
"2018-01-01 14:59","8","W","15"
"2018-01-01 15:08","8","W","18"
"2018-01-01 15:18","8","W","17"
"2018-01-01 15:28","8","W","17"
"2018-01-01 15:39","6","W","12"
"2018-01-01 15:48","6","WSW","15"
"2018-01-01 15:55","8","WSW","21"
"2018-01-01 15:59","9","W","21"
"2018-01-01 16:08","8","W","21"
"2018-01-01 16:18","8","W","17"
"2018-01-01 16:28","8","W","16"
"2018-01-01 16:38","7","W","14"
"2018-01-01 16:48","6","W","16"
"2018-01-01 16:55","5","W","13"
"2018-01-01 16:59","5","W","13"
"2018-01-01 17:08","5","W","14"
"2018-01-01 17:18","6","W","14"
"2018-01-01 17:28","7","W","15"
"2018-01-01 17:38","5","W","13"
"2018-01-01 17:48","7","W","16"
"2018-01-01 17:55","8","W","16"
"2018-01-01 17:59","8","W","17"
"2018-01-01 18:08","8","W","20"
"2018-01-01 18:18","6","W","12"
"2018-01-01 18:28","5","W","13"
"2018-01-01 18:38","4","WSW","11"
"2018-01-01 18:48","6","W","15"
"2018-01-01 18:55","6","W","15"
"2018-01-01 18:59","5","W","14"
"2018-01-01 19:08","7","W","15"
"2018-01-01 19:18","7","W","16"
"2018-01-01 19:28","7","WSW","15"
"2018-01-01 19:39","8","W","17"
"2018-01-01 19:48","5","W","15"
"2018-01-01 19:55","6","W","17"
"2018-01-01 19:59","7","W","17"
"2018-01-01 20:08","6","W","14"
"2018-01-01 20:18","7","W","18"
"2018-01-01 20:28","5","WSW","15"
"2018-01-01 20:38","8","W","17"
"2018-01-01 20:48","8","W","19"
"2018-01-01 20:55","8","W","21"
"2018-01-01 20:59","8","W","21"
"2018-01-01 21:08","8","W","21"
"2018-01-01 21:18","7","W","18"
"2018-01-01 21:28","8","W","19"
"2018-01-01 21:38","9","W","24"
"2018-01-01 21:48","8","W","16"
"2018-01-01 21:55","8","W","18"
"2018-01-01 21:59","8","W","18"
"2018-01-01 22:08","8","W","18"
"2018-01-01 22:18","8","W","18"
"2018-01-01 22:28","8","W","16"
"2018-01-01 22:38","8","W","15"
"2018-01-01 22:48","8","W","17"
"2018-01-01 22:55","7","W","17"
"2018-01-01 22:59","8","W","17"
"2018-01-01 23:08","9","W","22"
"2018-01-01 23:18","9","W","19"
"2018-01-01 23:28","9","W","18"
"2018-01-01 23:38","9","W","23"
"2018-01-01 23:48","9","W","24"
"2018-01-01 23:55","7","W","16"
"2018-01-01 23:59","9","W","20"
"2018-01-02 00:08","11","W","22"
"2018-01-02 00:18","9","W","21"
"2018-01-02 00:28","9","W","22"
"2018-01-02 00:38","12","W","24"
"2018-01-02 00:48","10","W","21"
"2018-01-02 00:55","10","W","21"
"2018-01-02 00:59","10","W","21"
"2018-01-02 01:08","10","W","22"
"2018-01-02 01:18","11","W","22"
"2018-01-02 01:28","12","W","24"
"2018-01-02 01:38","12","W","24"
"2018-01-02 01:48","12","W","25"
"2018-01-02 01:55","12","W","25"
"2018-01-02 01:59","10","W","21"
