"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:08","-11.8","76"
"2018-03-01 00:18","-11.7","76"
"2018-03-01 00:28","-11.6","77"
"2018-03-01 00:38","-11.8","77"
"2018-03-01 00:48","-11.9","77"
"2018-03-01 00:55","-12.1","78"
"2018-03-01 00:58","-12.1","78"
"2018-03-01 01:08","-12.6","78"
"2018-03-01 01:18","-13.1","78"
"2018-03-01 01:28","-12.9","79"
"2018-03-01 01:38","-13.1","79"
"2018-03-01 01:48","-13.0","80"
"2018-03-01 01:55","-12.9","81"
"2018-03-01 01:58","-12.9","81"
"2018-03-01 02:08","-13.2","81"
"2018-03-01 02:18","-13.4","82"
"2018-03-01 02:28","-13.4","82"
"2018-03-01 02:38","-13.6","83"
"2018-03-01 02:48","-13.7","83"
"2018-03-01 02:55","-13.9","83"
"2018-03-01 02:58","-13.8","84"
"2018-03-01 03:08","-13.7","84"
"2018-03-01 03:18","-14.1","84"
"2018-03-01 03:28","-14.0","85"
"2018-03-01 03:38","-13.7","86"
"2018-03-01 03:48","-13.6","86"
"2018-03-01 03:55","-13.5","86"
"2018-03-01 03:58","-13.1","87"
"2018-03-01 04:08","-12.8","86"
"2018-03-01 04:18","-12.8","86"
"2018-03-01 04:28","-12.8","86"
"2018-03-01 04:38","-12.6","86"
"2018-03-01 04:48","-12.6","85"
"2018-03-01 04:55","-12.8","84"
"2018-03-01 04:58","-12.8","84"
"2018-03-01 05:08","-12.9","84"
"2018-03-01 05:18","-12.8","84"
"2018-03-01 05:28","-12.5","84"
"2018-03-01 05:38","-12.2","84"
"2018-03-01 05:48","-12.1","84"
"2018-03-01 05:55","-11.9","84"
"2018-03-01 05:58","-11.9","84"
"2018-03-01 06:08","-11.7","84"
"2018-03-01 06:18","-11.5","84"
"2018-03-01 06:28","-11.4","84"
"2018-03-01 06:38","-11.4","84"
"2018-03-01 06:48","-11.2","84"
"2018-03-01 06:55","-11.1","84"
"2018-03-01 06:58","-11.0","84"
"2018-03-01 07:08","-10.9","84"
"2018-03-01 07:18","-10.7","84"
"2018-03-01 07:28","-10.4","84"
"2018-03-01 08:28","-8.7","86"
"2018-03-01 08:38","-8.6","86"
"2018-03-01 08:48","-8.4","86"
"2018-03-01 08:55","-8.2","85"
"2018-03-01 08:58","-8.1","85"
"2018-03-01 09:08","-7.8","85"
"2018-03-01 09:18","-7.7","84"
"2018-03-01 09:28","-7.6","84"
"2018-03-01 09:38","-7.4","83"
"2018-03-01 09:48","-7.2","82"
"2018-03-01 09:55","-7.2","81"
"2018-03-01 09:58","-7.1","81"
"2018-03-01 10:08","-6.7","81"
"2018-03-01 10:18","-7.2","79"
"2018-03-01 10:28","-6.8","78"
"2018-03-01 10:38","-5.8","77"
"2018-03-01 10:48","-6.9","73"
"2018-03-01 10:55","-6.3","73"
"2018-03-01 10:58","-6.3","72"
"2018-03-01 11:08","-5.9","71"
"2018-03-01 11:18","-6.5","71"
"2018-03-01 11:28","-6.2","66"
"2018-03-01 11:38","-6.5","69"
"2018-03-01 11:48","-6.2","62"
"2018-03-01 11:55","-6.7","61"
"2018-03-01 11:58","-6.6","63"
"2018-03-01 12:08","-7.0","58"
"2018-03-01 12:18","-7.1","61"
"2018-03-01 12:28","-6.8","59"
"2018-03-01 12:38","-7.2","58"
"2018-03-01 12:48","-7.2","58"
"2018-03-01 12:55","-6.8","56"
"2018-03-01 12:58","-7.1","54"
"2018-03-01 13:08","-7.3","58"
"2018-03-01 13:18","-7.8","51"
"2018-03-01 13:28","-8.1","49"
"2018-03-01 13:38","-7.5","49"
"2018-03-01 13:48","-7.4","50"
"2018-03-01 13:55","-7.7","49"
