"Time EST","Air Temp (°C)"
"2017-12-01 00:08","-9.7"
"2017-12-01 00:18","-9.8"
"2017-12-01 00:28","-9.1"
"2017-12-01 00:38","-8.6"
"2017-12-01 00:48","-8.8"
"2017-12-01 00:58","-8.1"
"2017-12-01 01:08","-7.9"
"2017-12-01 01:18","-7.5"
"2017-12-01 01:28","-7.3"
"2017-12-01 01:38","-7.6"
"2017-12-01 01:48","-7.3"
"2017-12-01 01:58","-7.3"
"2017-12-01 02:08","-7.3"
"2017-12-01 02:18","-6.8"
"2017-12-01 02:28","-6.7"
"2017-12-01 02:38","-6.9"
"2017-12-01 02:48","-6.9"
"2017-12-01 02:59","-6.7"
"2017-12-01 03:18","-6.6"
"2017-12-01 03:38","-6.3"
"2017-12-01 03:59","-6.1"
"2017-12-01 04:18","-5.6"
"2017-12-01 04:38","-4.9"
"2017-12-01 04:59","-4.4"
"2017-12-01 05:18","-3.9"
"2017-12-01 05:38","-3.7"
"2017-12-01 05:59","-3.5"
"2017-12-01 06:18","-3.5"
"2017-12-01 06:38","-3.5"
"2017-12-01 06:59","-3.4"
"2017-12-01 07:18","-3.3"
"2017-12-01 07:38","-3.1"
"2017-12-01 07:59","-3.0"
"2017-12-01 08:18","-2.7"
"2017-12-01 08:38","-2.3"
"2017-12-01 08:59","-1.9"
"2017-12-01 09:18","-1.7"
"2017-12-01 09:38","-1.4"
"2017-12-01 09:59","-0.9"
"2017-12-01 10:18","-0.2"
"2017-12-01 10:38","0.4"
"2017-12-01 10:59","0.8"
"2017-12-01 11:18","1.2"
"2017-12-01 11:38","1.7"
"2017-12-01 11:59","2.2"
"2017-12-01 12:18","2.9"
"2017-12-01 12:38","3.6"
"2017-12-01 12:59","3.8"
"2017-12-01 13:18","4.2"
"2017-12-01 13:38","3.6"
"2017-12-01 13:48","3.7"
"2017-12-01 13:59","4.3"
"2017-12-01 14:08","4.2"
"2017-12-01 14:18","4.2"
"2017-12-01 14:28","4.3"
"2017-12-01 14:38","3.7"
"2017-12-01 14:48","3.8"
"2017-12-01 14:59","4.2"
"2017-12-01 15:08","4.1"
"2017-12-01 15:18","3.9"
"2017-12-01 15:28","3.8"
"2017-12-01 15:38","3.8"
"2017-12-01 15:48","3.7"
"2017-12-01 15:59","3.4"
"2017-12-01 16:08","3.3"
"2017-12-01 16:18","2.8"
"2017-12-01 16:28","2.7"
"2017-12-01 16:38","2.2"
"2017-12-01 16:48","2.0"
"2017-12-01 16:59","1.7"
"2017-12-01 17:08","1.7"
"2017-12-01 17:18","1.1"
"2017-12-01 17:28","0.9"
"2017-12-01 17:38","0.8"
"2017-12-01 17:48","0.8"
"2017-12-01 17:59","0.6"
"2017-12-01 18:08","0.5"
"2017-12-01 18:18","0.3"
"2017-12-01 18:28","0.3"
"2017-12-01 18:38","0.0"
"2017-12-01 18:48","0.0"
"2017-12-01 18:59","-0.2"
