"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:08","4","SW","5"
"2017-12-01 00:18","4","WSW","5"
"2017-12-01 00:28","4","WSW","5"
"2017-12-01 00:38","3","SW","4"
"2017-12-01 00:48","5","WSW","7"
"2017-12-01 00:58","6","SW","8"
"2017-12-01 01:08","5","SW","8"
"2017-12-01 01:18","4","WSW","8"
"2017-12-01 01:28","5","SW","8"
"2017-12-01 01:38","6","SW","11"
"2017-12-01 01:48","7","SW","11"
"2017-12-01 01:58","6","WSW","7"
"2017-12-01 02:08","5","WSW","9"
"2017-12-01 02:18","10","SW","14"
"2017-12-01 02:28","11","SW","15"
"2017-12-01 02:38","8","SW","12"
"2017-12-01 02:48","9","WSW","13"
"2017-12-01 02:59","6","WSW","9"
"2017-12-01 03:18","5","WSW","8"
"2017-12-01 03:38","10","SW","15"
"2017-12-01 03:59","9","SSW","15"
"2017-12-01 04:18","12","SW","17"
"2017-12-01 04:38","15","SW","22"
"2017-12-01 04:59","19","SW","25"
"2017-12-01 05:18","19","WSW","29"
"2017-12-01 05:38","17","SW","28"
"2017-12-01 05:59","17","WSW","26"
"2017-12-01 06:18","17","WSW","22"
"2017-12-01 06:38","14","SW","20"
"2017-12-01 06:59","18","SW","25"
"2017-12-01 07:18","16","WSW","21"
"2017-12-01 07:38","16","SW","22"
"2017-12-01 07:59","17","SW","24"
"2017-12-01 08:18","14","SW","22"
"2017-12-01 08:38","17","SW","25"
"2017-12-01 08:59","14","WSW","21"
"2017-12-01 09:18","14","WSW","21"
"2017-12-01 09:38","15","SW","21"
"2017-12-01 09:59","15","WSW","20"
"2017-12-01 10:18","20","SW","29"
"2017-12-01 10:38","18","WSW","24"
"2017-12-01 10:59","14","WSW","19"
"2017-12-01 11:18","12","WSW","19"
"2017-12-01 11:38","15","WSW","21"
"2017-12-01 11:59","12","WSW","17"
"2017-12-01 12:18","10","WSW","15"
"2017-12-01 12:38","19","W","27"
"2017-12-01 12:59","17","W","24"
"2017-12-01 13:18","12","W","16"
"2017-12-01 13:38","15","WSW","22"
"2017-12-01 13:48","12","WSW","19"
"2017-12-01 13:59","17","WSW","24"
"2017-12-01 14:08","20","WSW","24"
"2017-12-01 14:18","17","W","22"
"2017-12-01 14:28","17","W","23"
"2017-12-01 14:38","13","W","20"
"2017-12-01 14:48","10","W","17"
"2017-12-01 14:59","14","WSW","23"
"2017-12-01 15:08","14","WSW","19"
"2017-12-01 15:18","13","WSW","20"
"2017-12-01 15:28","15","WSW","24"
"2017-12-01 15:38","14","WSW","21"
"2017-12-01 15:48","12","WSW","18"
"2017-12-01 15:59","13","WSW","17"
"2017-12-01 16:08","9","WSW","14"
"2017-12-01 16:18","9","WSW","12"
"2017-12-01 16:28","9","WSW","12"
"2017-12-01 16:38","8","WSW","10"
"2017-12-01 16:48","8","WSW","12"
"2017-12-01 16:59","8","WSW","10"
"2017-12-01 17:08","9","SW","11"
"2017-12-01 17:18","6","SW","8"
"2017-12-01 17:28","6","SW","9"
"2017-12-01 17:38","8","SW","10"
"2017-12-01 17:48","8","SW","10"
"2017-12-01 17:59","8","WSW","10"
"2017-12-01 18:08","6","WSW","10"
"2017-12-01 18:18","7","WSW","10"
"2017-12-01 18:28","7","WSW","10"
"2017-12-01 18:38","7","SW","10"
"2017-12-01 18:48","6","SW","9"
"2017-12-01 18:59","7","WSW","10"
"2017-12-01 19:08","9","WSW","13"
"2017-12-01 19:18","10","WSW","14"
"2017-12-01 19:28","11","WSW","15"
"2017-12-01 19:38","10","WSW","13"
"2017-12-01 19:48","10","WSW","14"
"2017-12-01 19:59","10","WSW","15"
"2017-12-01 20:08","9","SW","12"
"2017-12-01 20:18","11","SW","14"
"2017-12-01 20:28","10","WSW","14"
"2017-12-01 20:38","10","WSW","13"
"2017-12-01 20:48","9","WSW","15"
"2017-12-01 20:59","8","SW","12"
"2017-12-01 21:08","11","WSW","14"
"2017-12-01 21:18","8","WSW","12"
"2017-12-01 21:28","9","WSW","13"
"2017-12-01 21:38","9","WSW","12"
"2017-12-01 21:48","9","SW","12"
"2017-12-01 21:59","8","WSW","13"
"2017-12-01 22:08","6","WSW","8"
"2017-12-01 22:18","6","WSW","9"
"2017-12-01 22:28","5","WSW","7"
"2017-12-01 22:38","5","WSW","8"
"2017-12-01 22:48","3","WSW","6"
"2017-12-01 22:59","5","WSW","7"
"2017-12-01 23:08","4","WSW","7"
"2017-12-01 23:18","2","WSW","5"
"2017-12-01 23:28","7","SW","9"
"2017-12-01 23:38","6","SW","8"
"2017-12-01 23:48","4","SW","6"
"2017-12-01 23:59","9","WSW","11"
"2017-12-02 00:08","8","SW","12"
"2017-12-02 00:18","10","WSW","14"
"2017-12-02 00:28","10","WSW","15"
"2017-12-02 00:38","13","WSW","17"
"2017-12-02 00:48","13","WSW","18"
"2017-12-02 00:59","9","WSW","12"
"2017-12-02 01:08","7","SW","10"
"2017-12-02 01:18","6","WSW","9"
"2017-12-02 01:28","5","WSW","8"
"2017-12-02 01:38","5","WSW","8"
"2017-12-02 01:48","6","WSW","10"
"2017-12-02 01:59","8","SW","10"
"2017-12-02 02:08","7","WSW","10"
"2017-12-02 02:18","4","WSW","7"
"2017-12-02 02:28","2","WSW","5"
"2017-12-02 02:38","6","SW","10"
"2017-12-02 02:48","7","SW","9"
"2017-12-02 02:59","4","WSW","8"
"2017-12-02 03:08","6","WSW","8"
"2017-12-02 03:18","5","WSW","9"
"2017-12-02 03:28","3","WSW","5"
"2017-12-02 03:38","5","WSW","7"
"2017-12-02 03:48","4","WSW","7"
"2017-12-02 03:59","9","WSW","13"
"2017-12-02 04:08","8","WSW","11"
"2017-12-02 04:18","3","WSW","7"
"2017-12-02 04:28","4","WSW","6"
"2017-12-02 04:38","2","W","5"
"2017-12-02 04:48","3","W","7"
"2017-12-02 04:59","3","SW","4"
"2017-12-02 05:08","3","WSW","5"
"2017-12-02 05:18","0","WSW","2"
"2017-12-02 05:28","4","SW","5"
"2017-12-02 05:38","5","WSW","8"
"2017-12-02 05:48","8","W","11"
"2017-12-02 05:59","7","SW","10"
"2017-12-02 06:08","6","SW","9"
"2017-12-02 06:18","5","SW","8"
"2017-12-02 06:28","5","WSW","6"
"2017-12-02 06:38","2","WSW","4"
"2017-12-02 06:48","2","W","4"
"2017-12-02 06:59","2","WSW","5"
"2017-12-02 07:08","2","WSW","4"
"2017-12-02 07:18","3","SW","4"
"2017-12-02 07:28","1","WSW","3"
"2017-12-02 07:38","3","SW","4"
"2017-12-02 07:48","4","SW","6"
"2017-12-02 07:59","1","W","2"
"2017-12-02 08:08","3","SW","5"
"2017-12-02 08:18","0","WNW","2"
"2017-12-02 08:28","2","NW","4"
"2017-12-02 08:38","0","NNW","2"
"2017-12-02 08:48","0","NNW","2"
"2017-12-02 08:59","1","NE","3"
"2017-12-02 09:08","3","ENE","4"
"2017-12-02 09:18","1","S","3"
"2017-12-02 09:28","5","SE","6"
"2017-12-02 09:38","2","SE","5"
"2017-12-02 09:48","5","E","7"
"2017-12-02 09:59","1","SE","4"
"2017-12-02 10:08","0","SSE","0"
"2017-12-02 10:18","1","SSW","4"
"2017-12-02 10:28","1","SW","3"
"2017-12-02 10:38","0","S","2"
"2017-12-02 10:48","2","SSW","4"
"2017-12-02 10:59","5","SSW","6"
"2017-12-02 11:08","4","WSW","5"
"2017-12-02 11:18","0","W","0"
"2017-12-02 11:28","4","WSW","5"
"2017-12-02 11:38","4","W","6"
"2017-12-02 11:48","4","WSW","6"
"2017-12-02 11:59","2","W","4"
"2017-12-02 12:08","5","NW","7"
"2017-12-02 12:18","3","NNW","5"
"2017-12-02 12:28","0","NW","3"
"2017-12-02 12:38","6","N","9"
"2017-12-02 12:48","8","NNE","11"
"2017-12-02 12:59","4","NW","7"
"2017-12-02 13:08","4","NNW","7"
"2017-12-02 13:18","4","NE","5"
"2017-12-02 13:28","1","NE","3"
"2017-12-02 13:38","4","NE","6"
"2017-12-02 13:48","4","N","5"
"2017-12-02 13:59","0","NW","0"
"2017-12-02 14:08","1","WSW","3"
"2017-12-02 14:18","1","WSW","3"
"2017-12-02 14:28","0","SSW","2"
"2017-12-02 14:38","4","SW","5"
"2017-12-02 14:48","3","WSW","5"
"2017-12-02 15:00","4","W","5"
"2017-12-02 15:08","1","WSW","3"
"2017-12-02 15:18","2","NW","5"
"2017-12-02 15:28","1","NW","3"
"2017-12-02 15:38","0","W","0"
"2017-12-02 15:48","2","SW","5"
"2017-12-02 15:59","3","W","5"
"2017-12-02 16:08","4","WSW","5"
"2017-12-02 16:18","3","SW","6"
"2017-12-02 16:28","3","WSW","4"
"2017-12-02 16:38","0","ESE","0"
"2017-12-02 16:48","3","W","5"
"2017-12-02 16:59","3","SSW","6"
"2017-12-02 17:08","3","WSW","5"
"2017-12-02 17:18","3","SW","5"
"2017-12-02 17:28","1","W","3"
"2017-12-02 17:38","5","SW","7"
"2017-12-02 17:48","3","W","5"
"2017-12-02 17:59","2","WNW","4"
"2017-12-02 18:08","2","WSW","4"
"2017-12-02 18:18","1","WNW","4"
"2017-12-02 18:28","1","WNW","3"
"2017-12-02 18:38","1","WSW","3"
"2017-12-02 18:48","1","WNW","4"
"2017-12-02 18:59","0","WSW","0"
"2017-12-02 19:08","0","W","1"
"2017-12-02 19:18","4","WSW","5"
"2017-12-02 19:28","5","WSW","6"
"2017-12-02 19:38","3","SW","6"
"2017-12-02 19:48","3","WSW","5"
"2017-12-02 19:59","2","WSW","3"
"2017-12-02 20:08","0","S","2"
"2017-12-02 20:18","1","SSW","3"
"2017-12-02 20:28","3","W","5"
"2017-12-02 20:38","5","SW","7"
"2017-12-02 20:48","4","W","8"
"2017-12-02 20:59","2","WSW","4"
"2017-12-02 21:08","3","W","5"
"2017-12-02 21:18","0","NW","0"
"2017-12-02 21:28","1","W","2"
"2017-12-02 21:38","0","W","0"
"2017-12-02 21:48","3","SW","5"
"2017-12-02 21:59","5","SW","8"
"2017-12-02 22:08","3","SW","5"
"2017-12-02 22:18","4","SW","6"
"2017-12-02 22:28","5","SW","6"
"2017-12-02 22:38","3","SW","5"
"2017-12-02 22:48","5","SW","8"
