"Time EST","Air Temp (°C)"
"2018-01-01 00:08","-24.8"
"2018-01-01 00:18","-24.9"
"2018-01-01 00:28","-24.9"
"2018-01-01 00:38","-25.0"
"2018-01-01 00:48","-25.2"
"2018-01-01 00:59","-25.2"
"2018-01-01 01:08","-25.4"
"2018-01-01 01:18","-25.4"
"2018-01-01 01:28","-25.5"
"2018-01-01 01:38","-25.6"
"2018-01-01 01:48","-25.7"
"2018-01-01 01:59","-25.8"
"2018-01-01 02:08","-25.9"
"2018-01-01 02:18","-26.0"
"2018-01-01 02:28","-26.1"
"2018-01-01 02:38","-26.3"
"2018-01-01 02:48","-26.4"
"2018-01-01 02:59","-26.5"
"2018-01-01 03:08","-26.6"
"2018-01-01 03:18","-26.6"
"2018-01-01 03:28","-26.8"
"2018-01-01 03:38","-27.2"
"2018-01-01 03:48","-27.0"
"2018-01-01 03:59","-27.1"
"2018-01-01 04:08","-27.4"
"2018-01-01 04:18","-27.2"
"2018-01-01 04:28","-27.5"
"2018-01-01 04:38","-27.5"
"2018-01-01 04:48","-27.4"
"2018-01-01 04:59","-27.1"
"2018-01-01 05:08","-27.0"
"2018-01-01 05:18","-27.0"
"2018-01-01 05:28","-27.0"
"2018-01-01 05:38","-26.9"
"2018-01-01 05:48","-27.0"
"2018-01-01 05:59","-27.0"
"2018-01-01 06:08","-26.7"
"2018-01-01 06:18","-26.6"
"2018-01-01 06:28","-26.5"
"2018-01-01 06:38","-26.4"
"2018-01-01 06:48","-26.3"
"2018-01-01 06:59","-26.4"
"2018-01-01 07:08","-26.3"
"2018-01-01 07:18","-26.3"
"2018-01-01 07:28","-26.2"
"2018-01-01 07:38","-26.3"
"2018-01-01 07:48","-26.2"
"2018-01-01 07:59","-26.1"
"2018-01-01 08:08","-26.0"
"2018-01-01 08:18","-25.8"
"2018-01-01 08:28","-25.6"
"2018-01-01 08:38","-25.4"
"2018-01-01 08:48","-25.1"
"2018-01-01 08:59","-25.0"
"2018-01-01 09:08","-24.8"
"2018-01-01 09:18","-24.6"
"2018-01-01 09:28","-24.5"
"2018-01-01 09:38","-24.3"
"2018-01-01 09:48","-24.1"
"2018-01-01 09:59","-23.7"
"2018-01-01 10:08","-23.4"
"2018-01-01 10:18","-23.1"
"2018-01-01 10:28","-22.8"
"2018-01-01 10:38","-22.4"
"2018-01-01 10:48","-22.0"
"2018-01-01 10:59","-21.7"
"2018-01-01 11:08","-21.5"
"2018-01-01 11:18","-21.1"
"2018-01-01 11:28","-20.6"
"2018-01-01 11:38","-20.3"
"2018-01-01 11:48","-20.0"
"2018-01-01 11:59","-19.5"
"2018-01-01 12:08","-19.3"
"2018-01-01 12:18","-18.8"
"2018-01-01 12:28","-18.5"
"2018-01-01 12:38","-18.1"
"2018-01-01 12:48","-17.9"
"2018-01-01 12:59","-17.6"
"2018-01-01 13:08","-17.3"
"2018-01-01 13:18","-16.8"
