"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:08","-28.7","70"
"2018-01-01 00:18","-28.7","71"
"2018-01-01 00:28","-28.7","70"
"2018-01-01 00:38","-28.9","70"
"2018-01-01 00:48","-29.0","71"
"2018-01-01 00:59","-29.0","71"
"2018-01-01 01:08","-29.2","70"
"2018-01-01 01:18","-29.2","70"
"2018-01-01 01:28","-29.3","71"
"2018-01-01 01:38","-29.4","71"
"2018-01-01 01:48","-29.5","71"
"2018-01-01 01:59","-29.6","71"
"2018-01-01 02:08","-29.7","71"
"2018-01-01 02:18","-29.8","71"
"2018-01-01 02:28","-29.9","71"
"2018-01-01 02:38","-30.1","70"
"2018-01-01 02:48","-30.2","70"
"2018-01-01 02:59","-30.3","70"
"2018-01-01 03:08","-30.5","70"
"2018-01-01 03:18","-30.5","70"
"2018-01-01 03:28","-30.7","70"
"2018-01-01 03:38","-31.1","70"
"2018-01-01 03:48","-30.9","70"
"2018-01-01 03:59","-31.1","69"
"2018-01-01 04:08","-31.4","69"
"2018-01-01 04:18","-31.1","69"
"2018-01-01 04:28","-31.4","69"
"2018-01-01 04:38","-31.5","69"
"2018-01-01 04:48","-31.3","69"
"2018-01-01 04:59","-31.0","70"
"2018-01-01 05:08","-31.0","69"
"2018-01-01 05:18","-31.0","69"
"2018-01-01 05:28","-30.9","69"
"2018-01-01 05:38","-30.8","69"
"2018-01-01 05:48","-31.0","69"
"2018-01-01 05:59","-30.9","69"
"2018-01-01 06:08","-30.6","70"
"2018-01-01 06:18","-30.5","70"
"2018-01-01 06:28","-30.4","70"
"2018-01-01 06:38","-30.3","70"
"2018-01-01 06:48","-30.2","70"
"2018-01-01 06:59","-30.2","70"
"2018-01-01 07:08","-30.2","70"
"2018-01-01 07:18","-30.1","70"
"2018-01-01 07:28","-30.1","70"
"2018-01-01 07:38","-30.2","70"
"2018-01-01 07:48","-30.1","70"
"2018-01-01 07:59","-30.0","70"
"2018-01-01 08:08","-29.8","70"
"2018-01-01 08:18","-29.6","70"
"2018-01-01 08:28","-29.4","71"
"2018-01-01 08:38","-29.1","71"
"2018-01-01 08:48","-28.9","71"
"2018-01-01 08:59","-28.7","71"
"2018-01-01 09:08","-28.5","71"
"2018-01-01 09:18","-28.3","72"
"2018-01-01 09:28","-28.2","72"
"2018-01-01 09:38","-28.0","72"
"2018-01-01 09:48","-27.7","72"
"2018-01-01 09:59","-27.3","73"
"2018-01-01 10:08","-26.9","73"
"2018-01-01 10:18","-26.6","73"
"2018-01-01 10:28","-26.3","73"
"2018-01-01 10:38","-25.9","73"
"2018-01-01 10:48","-25.5","73"
"2018-01-01 10:59","-25.2","74"
"2018-01-01 11:08","-25.0","73"
"2018-01-01 11:18","-24.9","71"
"2018-01-01 11:28","-24.9","69"
"2018-01-01 11:38","-24.9","67"
"2018-01-01 11:48","-24.9","65"
"2018-01-01 11:59","-24.8","63"
"2018-01-01 12:08","-24.6","63"
"2018-01-01 12:18","-24.5","61"
"2018-01-01 12:28","-24.4","60"
"2018-01-01 12:38","-24.3","58"
"2018-01-01 12:48","-24.3","57"
"2018-01-01 12:59","-24.1","57"
"2018-01-01 13:08","-23.8","57"
"2018-01-01 13:18","-23.4","57"
"2018-01-01 13:28","-23.5","56"
"2018-01-01 13:38","-23.3","56"
"2018-01-01 13:48","-23.0","55"
"2018-01-01 13:59","-23.0","54"
"2018-01-01 14:08","-22.6","54"
"2018-01-01 14:18","-22.6","55"
"2018-01-01 14:28","-22.4","55"
"2018-01-01 14:38","-22.2","56"
"2018-01-01 14:48","-22.0","57"
"2018-01-01 14:59","-21.8","58"
"2018-01-01 15:08","-21.5","59"
"2018-01-01 15:18","-21.4","59"
"2018-01-01 15:28","-21.3","60"
"2018-01-01 15:39","-21.2","61"
"2018-01-01 15:48","-21.1","62"
"2018-01-01 15:59","-21.0","63"
"2018-01-01 16:08","-21.0","64"
"2018-01-01 16:18","-21.0","64"
"2018-01-01 16:28","-20.9","65"
"2018-01-01 16:38","-20.9","66"
"2018-01-01 16:48","-20.9","66"
"2018-01-01 16:59","-20.9","67"
"2018-01-01 17:08","-20.9","67"
"2018-01-01 17:18","-20.8","68"
"2018-01-01 17:28","-20.9","68"
"2018-01-01 17:38","-20.9","68"
"2018-01-01 17:48","-20.9","68"
"2018-01-01 17:59","-20.9","68"
"2018-01-01 18:08","-20.8","68"
"2018-01-01 18:18","-20.8","69"
"2018-01-01 18:28","-20.7","69"
"2018-01-01 18:38","-20.6","69"
"2018-01-01 18:48","-20.5","69"
"2018-01-01 18:59","-20.4","69"
"2018-01-01 19:08","-20.3","69"
"2018-01-01 19:18","-20.2","69"
"2018-01-01 19:28","-20.0","69"
"2018-01-01 19:39","-20.0","70"
"2018-01-01 19:48","-19.8","70"
"2018-01-01 19:59","-19.6","70"
"2018-01-01 20:08","-19.5","70"
"2018-01-01 20:18","-19.3","70"
"2018-01-01 20:28","-19.2","70"
"2018-01-01 20:38","-19.0","69"
"2018-01-01 20:48","-18.8","70"
"2018-01-01 20:59","-18.7","70"
