"Time EST","Pressure (kPa)"
"2018-01-01 00:08","98.52"
"2018-01-01 00:18","98.52"
"2018-01-01 00:28","98.51"
"2018-01-01 00:38","98.51"
"2018-01-01 00:48","98.52"
"2018-01-01 00:59","98.53"
"2018-01-01 01:08","98.53"
"2018-01-01 01:18","98.53"
"2018-01-01 01:28","98.53"
"2018-01-01 01:38","98.54"
"2018-01-01 01:48","98.55"
"2018-01-01 01:59","98.54"
"2018-01-01 02:08","98.55"
"2018-01-01 02:18","98.55"
"2018-01-01 02:28","98.56"
"2018-01-01 02:38","98.55"
"2018-01-01 02:48","98.55"
"2018-01-01 02:59","98.57"
"2018-01-01 03:08","98.58"
"2018-01-01 03:18","98.58"
"2018-01-01 03:28","98.58"
"2018-01-01 03:38","98.58"
"2018-01-01 03:48","98.58"
"2018-01-01 03:59","98.57"
"2018-01-01 04:08","98.58"
"2018-01-01 04:18","98.56"
"2018-01-01 04:28","98.57"
"2018-01-01 04:38","98.57"
"2018-01-01 04:48","98.57"
"2018-01-01 04:59","98.56"
"2018-01-01 05:08","98.56"
"2018-01-01 05:18","98.55"
"2018-01-01 05:28","98.55"
"2018-01-01 05:38","98.53"
"2018-01-01 05:48","98.52"
"2018-01-01 05:59","98.52"
"2018-01-01 06:08","98.52"
"2018-01-01 06:18","98.54"
"2018-01-01 06:28","98.54"
"2018-01-01 06:38","98.54"
"2018-01-01 06:48","98.52"
"2018-01-01 06:59","98.51"
"2018-01-01 07:08","98.50"
"2018-01-01 07:18","98.50"
"2018-01-01 07:28","98.48"
"2018-01-01 07:38","98.46"
"2018-01-01 07:48","98.45"
"2018-01-01 07:59","98.45"
"2018-01-01 08:08","98.44"
"2018-01-01 08:18","98.43"
"2018-01-01 08:28","98.43"
"2018-01-01 08:38","98.43"
"2018-01-01 08:48","98.42"
"2018-01-01 08:59","98.41"
"2018-01-01 09:08","98.41"
"2018-01-01 09:18","98.40"
"2018-01-01 09:28","98.39"
"2018-01-01 09:38","98.39"
"2018-01-01 09:48","98.40"
"2018-01-01 09:59","98.39"
"2018-01-01 10:08","98.40"
"2018-01-01 10:18","98.41"
"2018-01-01 10:28","98.38"
"2018-01-01 10:38","98.40"
"2018-01-01 10:48","98.40"
"2018-01-01 10:59","98.41"
"2018-01-01 11:08","98.41"
"2018-01-01 11:18","98.40"
"2018-01-01 11:28","98.38"
"2018-01-01 11:38","98.38"
"2018-01-01 11:48","98.35"
"2018-01-01 11:59","98.34"
"2018-01-01 12:08","98.35"
"2018-01-01 12:18","98.34"
"2018-01-01 12:28","98.34"
"2018-01-01 12:38","98.32"
"2018-01-01 12:48","98.30"
"2018-01-01 12:59","98.32"
"2018-01-01 13:08","98.29"
"2018-01-01 13:18","98.27"
"2018-01-01 13:28","98.26"
"2018-01-01 13:38","98.26"
"2018-01-01 13:48","98.23"
"2018-01-01 13:59","98.24"
"2018-01-01 14:08","98.23"
"2018-01-01 14:18","98.23"
"2018-01-01 14:28","98.21"
"2018-01-01 14:38","98.20"
"2018-01-01 14:48","98.18"
"2018-01-01 14:59","98.20"
"2018-01-01 15:08","98.18"
"2018-01-01 15:18","98.17"
"2018-01-01 15:28","98.17"
"2018-01-01 15:39","98.16"
"2018-01-01 15:48","98.18"
"2018-01-01 15:59","98.16"
"2018-01-01 16:08","98.15"
"2018-01-01 16:18","98.15"
"2018-01-01 16:28","98.15"
"2018-01-01 16:38","98.15"
"2018-01-01 16:48","98.13"
"2018-01-01 16:59","98.14"
"2018-01-01 17:08","98.14"
"2018-01-01 17:18","98.13"
"2018-01-01 17:28","98.14"
