"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-01 00:08","9","NW","13"
"2018-01-01 00:18","9","NW","12"
"2018-01-01 00:28","9","NW","13"
"2018-01-01 00:38","7","WNW","12"
"2018-01-01 00:48","8","NW","13"
"2018-01-01 00:59","8","NW","10"
"2018-01-01 01:08","7","NW","12"
"2018-01-01 01:18","7","NW","10"
"2018-01-01 01:28","8","WNW","13"
"2018-01-01 01:38","8","NW","12"
"2018-01-01 01:48","6","NW","9"
"2018-01-01 01:59","6","NW","9"
"2018-01-01 02:08","5","NW","8"
"2018-01-01 02:18","6","NW","10"
"2018-01-01 02:28","5","NW","8"
"2018-01-01 02:38","6","WNW","9"
"2018-01-01 02:48","6","NW","9"
"2018-01-01 02:59","6","NW","10"
"2018-01-01 03:08","5","NW","8"
"2018-01-01 03:18","5","NW","7"
"2018-01-01 03:28","3","WNW","5"
"2018-01-01 03:38","5","WNW","6"
"2018-01-01 03:48","5","WNW","7"
"2018-01-01 03:59","3","WNW","5"
"2018-01-01 04:08","3","WNW","6"
"2018-01-01 04:18","4","WNW","6"
"2018-01-01 04:28","4","WNW","6"
"2018-01-01 04:38","4","WNW","6"
"2018-01-01 04:48","3","WNW","6"
"2018-01-01 04:59","4","WNW","6"
"2018-01-01 05:08","4","WNW","7"
"2018-01-01 05:18","5","WNW","8"
"2018-01-01 05:28","4","WNW","7"
"2018-01-01 05:38","5","W","8"
"2018-01-01 05:48","5","W","8"
"2018-01-01 05:59","6","W","10"
"2018-01-01 06:08","7","W","12"
"2018-01-01 06:18","8","W","11"
"2018-01-01 06:28","7","W","11"
"2018-01-01 06:38","7","WNW","11"
"2018-01-01 06:48","6","W","10"
"2018-01-01 06:59","6","WNW","12"
"2018-01-01 07:08","9","WNW","13"
"2018-01-01 07:18","7","WNW","10"
"2018-01-01 07:28","9","WNW","12"
"2018-01-01 07:38","6","WNW","12"
"2018-01-01 07:48","8","WNW","12"
"2018-01-01 07:59","8","WNW","13"
"2018-01-01 08:08","9","WNW","15"
"2018-01-01 08:18","8","W","12"
"2018-01-01 08:28","9","W","15"
"2018-01-01 08:38","8","WNW","15"
"2018-01-01 08:48","9","WNW","13"
"2018-01-01 08:59","9","WNW","12"
"2018-01-01 09:08","9","WNW","13"
"2018-01-01 09:18","10","WNW","15"
"2018-01-01 09:28","8","WNW","13"
"2018-01-01 09:38","9","WNW","13"
"2018-01-01 09:48","11","WNW","17"
"2018-01-01 09:59","11","WNW","18"
"2018-01-01 10:08","13","WNW","21"
"2018-01-01 10:18","13","WNW","19"
"2018-01-01 10:28","10","WNW","17"
"2018-01-01 10:38","14","WNW","21"
"2018-01-01 10:48","9","WNW","15"
"2018-01-01 10:59","9","WNW","15"
"2018-01-01 11:08","14","WNW","18"
"2018-01-01 11:18","17","WNW","25"
"2018-01-01 11:28","7","NW","12"
"2018-01-01 11:38","12","WNW","15"
"2018-01-01 11:48","19","WNW","25"
"2018-01-01 11:59","12","WNW","22"
"2018-01-01 12:08","13","WNW","20"
"2018-01-01 12:18","10","WNW","16"
"2018-01-01 12:28","9","WNW","19"
"2018-01-01 12:38","11","WNW","19"
"2018-01-01 12:48","17","NW","26"
"2018-01-01 12:59","15","WNW","22"
"2018-01-01 13:08","16","NW","25"
"2018-01-01 13:18","10","NW","15"
"2018-01-01 13:28","19","NW","26"
"2018-01-01 13:38","16","WNW","23"
"2018-01-01 13:48","11","WNW","17"
"2018-01-01 13:59","15","WNW","23"
"2018-01-01 14:08","13","NW","19"
"2018-01-01 14:18","17","WNW","24"
"2018-01-01 14:28","13","WNW","22"
"2018-01-01 14:38","19","WNW","28"
"2018-01-01 14:48","17","WNW","28"
"2018-01-01 14:59","13","WNW","18"
"2018-01-01 15:08","13","WNW","19"
"2018-01-01 15:18","12","W","19"
"2018-01-01 15:28","9","WNW","15"
"2018-01-01 15:39","12","WNW","21"
"2018-01-01 15:48","10","W","14"
