"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:08","-9.6","80"
"2018-03-01 00:28","-9.6","81"
"2018-03-01 00:48","-9.5","81"
"2018-03-01 01:08","-9.5","81"
"2018-03-01 01:28","-9.6","81"
"2018-03-01 01:48","-9.6","81"
"2018-03-01 02:08","-9.6","81"
"2018-03-01 02:28","-9.6","82"
"2018-03-01 02:48","-9.7","82"
"2018-03-01 03:08","-9.7","82"
"2018-03-01 03:28","-9.8","83"
"2018-03-01 03:48","-9.9","82"
"2018-03-01 04:08","-10.0","82"
"2018-03-01 04:28","-10.4","81"
"2018-03-01 04:48","-10.8","80"
"2018-03-01 05:08","-11.2","79"
"2018-03-01 05:28","-11.4","78"
"2018-03-01 05:48","-11.6","78"
"2018-03-01 06:08","-11.8","77"
"2018-03-01 06:28","-12.0","77"
"2018-03-01 06:48","-12.2","78"
"2018-03-01 07:08","-12.3","78"
"2018-03-01 07:28","-12.4","79"
"2018-03-01 08:28","-12.0","78"
"2018-03-01 08:48","-11.9","75"
"2018-03-01 09:08","-11.9","70"
"2018-03-01 09:28","-12.4","67"
"2018-03-01 09:48","-13.0","63"
"2018-03-01 10:08","-12.7","60"
"2018-03-01 10:28","-12.8","58"
"2018-03-01 10:48","-12.3","58"
"2018-03-01 11:08","-11.9","57"
"2018-03-01 11:28","-12.0","55"
"2018-03-01 11:48","-11.4","55"
"2018-03-01 12:08","-11.0","54"
"2018-03-01 12:28","-10.9","54"
"2018-03-01 12:48","-10.5","53"
"2018-03-01 13:08","-10.5","52"
"2018-03-01 13:28","-10.0","54"
"2018-03-01 13:48","-9.5","55"
"2018-03-01 14:08","-9.7","55"
"2018-03-01 14:28","-9.5","56"
"2018-03-01 14:48","-9.6","55"
"2018-03-01 15:08","-9.7","51"
"2018-03-01 15:28","-9.6","53"
"2018-03-01 15:48","-9.8","54"
"2018-03-01 16:08","-10.2","53"
"2018-03-01 16:28","-10.2","53"
"2018-03-01 16:48","-10.3","54"
"2018-03-01 17:08","-10.4","54"
"2018-03-01 17:28","-10.6","54"
"2018-03-01 17:48","-10.9","55"
"2018-03-01 18:08","-11.1","56"
"2018-03-01 18:28","-11.2","58"
"2018-03-01 18:48","-11.2","61"
"2018-03-01 19:08","-11.3","63"
"2018-03-01 19:28","-11.8","61"
"2018-03-01 19:48","-12.0","63"
"2018-03-01 20:08","-11.9","66"
"2018-03-01 20:28","-12.0","68"
"2018-03-01 20:48","-12.2","70"
"2018-03-01 21:08","-12.7","72"
"2018-03-01 21:28","-12.9","74"
"2018-03-01 21:48","-13.3","75"
"2018-03-01 22:08","-13.4","77"
"2018-03-01 22:28","-13.8","79"
"2018-03-01 22:48","-14.5","80"
"2018-03-01 23:08","-15.0","81"
"2018-03-01 23:28","-15.5","81"
"2018-03-01 23:48","-15.8","82"
"2018-03-02 00:08","-15.7","82"
"2018-03-02 00:28","-15.5","83"
"2018-03-02 00:48","-15.3","83"
"2018-03-02 01:08","-16.3","82"
"2018-03-02 01:28","-16.1","82"
"2018-03-02 01:48","-17.7","81"
"2018-03-02 02:08","-19.1","80"
"2018-03-02 02:28","-19.3","80"
"2018-03-02 02:48","-18.9","80"
"2018-03-02 03:08","-18.6","80"
"2018-03-02 03:28","-19.6","79"
"2018-03-02 03:48","-20.2","79"
"2018-03-02 04:08","-20.9","78"
"2018-03-02 04:28","-21.7","77"
"2018-03-02 04:48","-22.0","77"
"2018-03-02 05:08","-22.5","77"
"2018-03-02 05:28","-22.8","77"
"2018-03-02 05:48","-23.4","76"
"2018-03-02 06:08","-23.8","76"
"2018-03-02 06:28","-24.2","75"
"2018-03-02 06:48","-24.1","75"
"2018-03-02 07:08","-23.9","76"
"2018-03-02 07:28","-24.4","75"
"2018-03-02 07:48","-24.4","75"
"2018-03-02 08:08","-23.1","77"
"2018-03-02 08:28","-21.7","78"
"2018-03-02 08:48","-19.6","80"
"2018-03-02 09:08","-16.0","82"
"2018-03-02 09:28","-13.9","83"
"2018-03-02 09:48","-13.1","81"
"2018-03-02 10:08","-12.9","80"
"2018-03-02 10:28","-13.2","78"
"2018-03-02 10:48","-13.0","74"
"2018-03-02 11:08","-12.2","67"
"2018-03-02 11:28","-12.6","58"
"2018-03-02 11:48","-12.7","54"
"2018-03-02 12:08","-12.7","51"
