"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:08","1","ESE","3"
"2018-03-01 00:28","0","ENE","1"
"2018-03-01 00:48","5","ESE","6"
"2018-03-01 01:08","4","E","5"
"2018-03-01 01:28","1","SE","4"
"2018-03-01 01:48","8","ENE","12"
"2018-03-01 02:08","7","E","10"
"2018-03-01 02:28","5","E","7"
"2018-03-01 02:48","8","ESE","10"
"2018-03-01 03:08","8","ESE","10"
"2018-03-01 03:28","6","E","8"
"2018-03-01 03:48","4","ESE","10"
"2018-03-01 04:08","1","SSE","3"
"2018-03-01 04:28","6","E","9"
"2018-03-01 04:48","7","E","11"
"2018-03-01 05:08","6","ESE","9"
"2018-03-01 05:28","5","E","7"
"2018-03-01 05:48","3","E","5"
"2018-03-01 06:08","5","ESE","6"
"2018-03-01 06:28","5","E","7"
"2018-03-01 06:48","0","ENE","0"
"2018-03-01 07:08","1","ENE","4"
"2018-03-01 07:28","0","E","2"
"2018-03-01 08:28","5","E","6"
"2018-03-01 08:48","5","E","8"
"2018-03-01 09:08","6","E","11"
"2018-03-01 09:28","8","ESE","11"
"2018-03-01 09:48","8","ESE","10"
"2018-03-01 10:08","9","E","12"
"2018-03-01 10:28","10","ESE","14"
"2018-03-01 10:48","10","E","14"
"2018-03-01 11:08","8","SE","11"
"2018-03-01 11:28","9","SE","12"
"2018-03-01 11:48","10","ESE","13"
"2018-03-01 12:08","5","ESE","11"
"2018-03-01 12:28","5","ESE","14"
"2018-03-01 12:48","6","ENE","9"
"2018-03-01 13:08","4","ENE","8"
"2018-03-01 13:28","6","ENE","11"
"2018-03-01 13:48","6","SE","10"
"2018-03-01 14:08","9","ESE","13"
"2018-03-01 14:28","7","ESE","11"
"2018-03-01 14:48","8","ENE","14"
"2018-03-01 15:08","7","ESE","10"
"2018-03-01 15:28","10","ESE","14"
"2018-03-01 15:48","9","SE","13"
"2018-03-01 16:08","11","E","15"
"2018-03-01 16:28","7","E","12"
"2018-03-01 16:48","7","ESE","9"
"2018-03-01 17:08","7","ESE","9"
"2018-03-01 17:28","6","ESE","9"
"2018-03-01 17:48","5","E","7"
"2018-03-01 18:08","6","E","10"
"2018-03-01 18:28","5","E","9"
"2018-03-01 18:48","4","E","6"
"2018-03-01 19:08","8","E","12"
"2018-03-01 19:28","9","E","12"
"2018-03-01 19:48","7","E","12"
"2018-03-01 20:08","9","E","15"
"2018-03-01 20:28","8","E","12"
"2018-03-01 20:48","8","E","10"
"2018-03-01 21:08","7","E","10"
"2018-03-01 21:28","7","E","10"
"2018-03-01 21:48","6","E","10"
"2018-03-01 22:08","8","E","12"
"2018-03-01 22:28","4","E","6"
"2018-03-01 22:48","4","ENE","6"
"2018-03-01 23:08","4","E","5"
"2018-03-01 23:28","5","E","6"
"2018-03-01 23:48","4","ENE","6"
"2018-03-02 00:08","6","E","8"
"2018-03-02 00:28","6","E","9"
"2018-03-02 00:48","6","E","8"
"2018-03-02 01:08","5","E","6"
"2018-03-02 01:28","5","E","7"
"2018-03-02 01:48","3","E","4"
"2018-03-02 02:08","0","ENE","0"
"2018-03-02 02:28","0","N","0"
"2018-03-02 02:48","1","ENE","3"
"2018-03-02 03:08","0","ENE","2"
"2018-03-02 03:28","0","E","3"
"2018-03-02 03:48","2","NNE","4"
"2018-03-02 04:08","2","ENE","3"
"2018-03-02 04:28","0","ENE","0"
"2018-03-02 04:48","4","ENE","5"
"2018-03-02 05:08","2","ENE","3"
"2018-03-02 05:28","0","NNE","2"
"2018-03-02 05:48","0","NNW","0"
"2018-03-02 06:08","0","ENE","0"
"2018-03-02 06:28","1","E","3"
"2018-03-02 06:48","3","E","4"
"2018-03-02 07:08","2","N","4"
"2018-03-02 07:28","0","ESE","0"
"2018-03-02 07:48","1","ESE","3"
"2018-03-02 08:08","0","ESE","1"
"2018-03-02 08:28","0","NNE","0"
"2018-03-02 08:48","3","NW","3"
"2018-03-02 09:08","0","ENE","3"
"2018-03-02 09:28","6","ESE","8"
"2018-03-02 09:48","2","E","5"
"2018-03-02 10:08","8","ESE","10"
"2018-03-02 10:28","5","N","6"
"2018-03-02 10:48","6","N","8"
"2018-03-02 11:08","7","ENE","9"
"2018-03-02 11:28","4","SE","11"
"2018-03-02 11:48","5","ESE","9"
"2018-03-02 12:08","4","SE","8"
"2018-03-02 12:28","2","S","5"
"2018-03-02 12:48","4","NNW","8"
"2018-03-02 13:08","8","N","11"
"2018-03-02 13:28","5","N","8"
"2018-03-02 13:48","5","N","9"
"2018-03-02 14:08","0","NNE","0"
"2018-03-02 14:28","5","NW","8"
"2018-03-02 14:48","4","N","8"
"2018-03-02 15:08","6","ENE","10"
"2018-03-02 15:28","5","NNE","7"
"2018-03-02 15:48","6","ENE","9"
"2018-03-02 16:08","5","ENE","8"
"2018-03-02 16:28","4","ENE","7"
"2018-03-02 16:48","1","NE","4"
"2018-03-02 17:08","7","E","9"
"2018-03-02 17:28","5","ESE","8"
"2018-03-02 17:48","7","ESE","9"
"2018-03-02 18:08","7","ESE","10"
"2018-03-02 18:28","3","E","4"
"2018-03-02 18:48","2","E","4"
"2018-03-02 19:08","3","ESE","4"
"2018-03-02 19:28","4","ESE","4"
"2018-03-02 19:48","3","SSE","4"
"2018-03-02 20:08","2","SSE","3"
"2018-03-02 20:28","3","SE","5"
"2018-03-02 20:48","6","ESE","7"
"2018-03-02 21:08","6","ESE","9"
"2018-03-02 21:28","6","ESE","9"
"2018-03-02 21:48","5","ESE","6"
"2018-03-02 22:08","7","ESE","9"
"2018-03-02 22:28","6","ESE","8"
"2018-03-02 22:48","7","ESE","9"
"2018-03-02 23:08","4","ESE","5"
"2018-03-02 23:28","5","ESE","6"
"2018-03-02 23:48","0","ESE","0"
"2018-03-03 00:08","2","ESE","3"
"2018-03-03 00:28","1","SE","2"
"2018-03-03 00:48","5","SE","6"
"2018-03-03 01:08","4","SE","6"
"2018-03-03 01:28","4","ESE","7"
"2018-03-03 01:48","5","ESE","6"
"2018-03-03 02:08","3","E","4"
"2018-03-03 02:28","5","E","5"
"2018-03-03 02:48","4","E","6"
"2018-03-03 03:08","1","ESE","3"
"2018-03-03 03:29","0","SE","0"
"2018-03-03 03:48","4","E","5"
"2018-03-03 04:08","5","SE","5"
"2018-03-03 04:28","3","SE","4"
"2018-03-03 04:48","0","SE","0"
"2018-03-03 05:08","3","SSE","5"
"2018-03-03 05:28","3","ESE","5"
"2018-03-03 05:48","3","SSE","5"
"2018-03-03 06:08","5","ESE","6"
"2018-03-03 06:28","0","WSW","0"
"2018-03-03 06:48","5","E","6"
"2018-03-03 07:08","0","ENE","0"
"2018-03-03 07:28","4","E","5"
"2018-03-03 07:48","5","SE","7"
"2018-03-03 08:08","2","SSE","3"
"2018-03-03 08:28","7","ESE","9"
"2018-03-03 08:48","8","ESE","10"
"2018-03-03 09:08","3","SE","6"
"2018-03-03 09:28","4","SE","6"
"2018-03-03 09:48","6","SE","8"
"2018-03-03 10:08","4","SE","8"
"2018-03-03 10:28","7","SE","9"
"2018-03-03 10:48","2","SSE","8"
"2018-03-03 11:08","8","SE","10"
"2018-03-03 11:28","4","SSE","7"
"2018-03-03 11:48","4","SE","8"
"2018-03-03 12:08","5","S","9"
"2018-03-03 12:28","6","S","9"
"2018-03-03 12:48","8","SE","11"
"2018-03-03 13:08","5","ESE","10"
"2018-03-03 13:28","4","SSE","8"
"2018-03-03 13:48","5","SE","10"
"2018-03-03 14:08","7","ESE","10"
"2018-03-03 14:28","5","SE","10"
"2018-03-03 14:48","9","SE","13"
"2018-03-03 15:08","11","E","14"
"2018-03-03 15:28","13","E","16"
"2018-03-03 15:48","13","ESE","15"
"2018-03-03 16:08","9","E","12"
"2018-03-03 16:28","11","ESE","15"
"2018-03-03 16:48","8","ESE","11"
"2018-03-03 17:08","8","ESE","10"
"2018-03-03 17:28","7","ESE","9"
"2018-03-03 17:48","9","ESE","13"
"2018-03-03 18:08","8","ESE","10"
"2018-03-03 18:28","4","ESE","6"
"2018-03-03 18:48","4","ESE","6"
"2018-03-03 19:08","5","ESE","8"
"2018-03-03 19:28","6","ESE","8"
"2018-03-03 19:48","5","ESE","7"
"2018-03-03 20:08","7","ESE","10"
"2018-03-03 20:28","9","E","12"
"2018-03-03 20:48","8","E","12"
"2018-03-03 21:08","8","E","11"
"2018-03-03 21:28","8","E","12"
"2018-03-03 21:48","5","ESE","7"
"2018-03-03 22:08","8","ESE","12"
"2018-03-03 22:28","7","ESE","10"
"2018-03-03 22:48","7","E","10"
"2018-03-03 23:08","6","E","8"
"2018-03-03 23:28","9","E","10"
"2018-03-03 23:48","8","E","10"
"2018-03-04 00:08","5","ESE","7"
"2018-03-04 00:28","7","E","9"
"2018-03-04 00:48","6","ESE","10"
"2018-03-04 01:08","4","ESE","6"
"2018-03-04 01:28","4","E","6"
"2018-03-04 01:49","4","E","5"
"2018-03-04 02:08","4","ESE","5"
"2018-03-04 02:28","5","ESE","6"
"2018-03-04 02:48","5","ESE","7"
"2018-03-04 03:08","5","ESE","6"
"2018-03-04 03:28","4","E","5"
"2018-03-04 03:48","3","ENE","4"
"2018-03-04 04:08","0","ENE","0"
"2018-03-04 04:28","0","E","0"
"2018-03-04 04:48","0","ENE","0"
"2018-03-04 05:08","1","E","3"
"2018-03-04 05:28","3","ENE","4"
"2018-03-04 05:48","4","E","5"
"2018-03-04 06:08","5","E","6"
"2018-03-04 06:28","6","E","6"
"2018-03-04 06:48","3","E","5"
"2018-03-04 07:08","5","ENE","6"
"2018-03-04 07:28","6","E","8"
"2018-03-04 07:48","6","E","7"
"2018-03-04 08:08","8","ESE","10"
"2018-03-04 08:28","6","ESE","9"
"2018-03-04 08:48","9","SE","12"
"2018-03-04 09:08","11","SE","15"
"2018-03-04 09:28","11","SE","18"
"2018-03-04 09:48","8","SSE","11"
"2018-03-04 10:08","6","SE","10"
"2018-03-04 10:28","9","ESE","13"
"2018-03-04 10:48","8","SE","12"
"2018-03-04 11:08","8","SE","13"
"2018-03-04 11:28","7","ESE","11"
"2018-03-04 11:48","6","ESE","10"
"2018-03-04 12:08","5","E","9"
"2018-03-04 12:28","5","S","8"
"2018-03-04 12:48","8","E","12"
"2018-03-04 13:08","9","E","13"
"2018-03-04 13:28","10","E","14"
"2018-03-04 13:48","9","E","12"
"2018-03-04 14:08","4","ESE","12"
"2018-03-04 14:28","9","E","12"
"2018-03-04 14:48","10","E","17"
"2018-03-04 15:08","11","E","15"
"2018-03-04 15:28","17","E","20"
"2018-03-04 15:48","15","E","20"
"2018-03-04 16:08","12","E","17"
"2018-03-04 16:28","10","E","15"
"2018-03-04 16:48","11","ESE","15"
"2018-03-04 17:08","12","E","15"
"2018-03-04 17:28","9","ESE","14"
"2018-03-04 17:48","4","SE","9"
"2018-03-04 18:08","10","SE","12"
"2018-03-04 18:28","9","ESE","12"
"2018-03-04 18:48","7","ESE","9"
"2018-03-04 19:08","6","E","9"
"2018-03-04 19:28","7","ESE","9"
"2018-03-04 19:48","8","E","10"
"2018-03-04 20:08","8","E","11"
"2018-03-04 20:28","7","E","10"
"2018-03-04 20:48","9","E","13"
"2018-03-04 21:08","6","E","9"
"2018-03-04 21:28","6","E","8"
"2018-03-04 21:48","8","E","10"
"2018-03-04 22:08","8","ESE","10"
"2018-03-04 22:28","9","ESE","14"
"2018-03-04 22:48","9","ESE","14"
"2018-03-04 23:08","8","ESE","12"
"2018-03-04 23:28","9","E","14"
"2018-03-04 23:48","12","ESE","15"
"2018-03-05 00:08","13","ESE","18"
"2018-03-05 00:28","12","ESE","17"
"2018-03-05 00:48","12","ESE","15"
"2018-03-05 01:08","12","ESE","17"
"2018-03-05 01:28","10","ESE","14"
"2018-03-05 01:48","6","SE","10"
"2018-03-05 02:08","3","ESE","5"
"2018-03-05 02:28","5","E","6"
"2018-03-05 02:48","7","E","9"
"2018-03-05 03:08","5","E","6"
"2018-03-05 03:28","5","E","6"
"2018-03-05 03:48","6","E","8"
"2018-03-05 04:08","9","E","13"
"2018-03-05 04:28","8","ESE","10"
"2018-03-05 04:48","7","E","10"
"2018-03-05 05:08","8","E","12"
"2018-03-05 05:28","8","ESE","11"
"2018-03-05 05:48","8","E","10"
"2018-03-05 06:08","9","E","11"
"2018-03-05 06:28","8","E","10"
"2018-03-05 06:48","5","E","7"
"2018-03-05 07:08","7","E","10"
"2018-03-05 07:28","7","ESE","9"
"2018-03-05 07:48","8","E","11"
"2018-03-05 08:08","7","E","12"
"2018-03-05 08:28","9","E","13"
"2018-03-05 08:48","10","ESE","14"
"2018-03-05 09:08","13","E","17"
"2018-03-05 09:28","5","ESE","8"
"2018-03-05 09:48","7","E","12"
"2018-03-05 10:08","7","SSE","9"
"2018-03-05 10:28","7","SE","10"
"2018-03-05 10:48","4","NE","7"
"2018-03-05 11:08","13","E","18"
"2018-03-05 11:28","12","E","19"
"2018-03-05 11:48","9","SE","13"
"2018-03-05 12:08","12","E","16"
"2018-03-05 12:28","8","ENE","13"
"2018-03-05 12:48","14","SE","20"
"2018-03-05 13:08","14","ESE","19"
"2018-03-05 13:28","11","ESE","18"
"2018-03-05 13:48","15","ESE","20"
"2018-03-05 14:08","12","ENE","18"
"2018-03-05 14:28","18","E","22"
"2018-03-05 14:48","18","ESE","27"
"2018-03-05 15:08","18","N/A","23"
"2018-03-05 15:28","16","E","20"
"2018-03-05 15:48","14","ESE","19"
"2018-03-05 16:08","18","ESE","23"
"2018-03-05 16:28","15","E","24"
"2018-03-05 16:48","14","SE","22"
"2018-03-05 17:08","16","ESE","21"
"2018-03-05 17:28","15","E","21"
"2018-03-05 17:48","15","E","21"
"2018-03-05 18:08","12","ESE","21"
"2018-03-05 18:28","9","E","12"
"2018-03-05 18:48","11","E","16"
"2018-03-05 19:08","13","E","19"
"2018-03-05 19:28","15","E","20"
"2018-03-05 19:48","13","E","21"
"2018-03-05 20:08","13","E","19"
"2018-03-05 20:28","11","E","17"
"2018-03-05 20:48","10","E","17"
"2018-03-05 21:08","13","E","17"
"2018-03-05 21:28","12","E","20"
"2018-03-05 21:48","10","E","18"
"2018-03-05 22:08","10","E","14"
"2018-03-05 22:28","9","E","13"
"2018-03-05 22:48","9","ESE","13"
"2018-03-05 23:08","9","E","11"
"2018-03-05 23:28","8","E","10"
"2018-03-05 23:48","8","ENE","12"
"2018-03-06 00:08","8","E","11"
"2018-03-06 00:28","6","ENE","10"
"2018-03-06 00:48","7","ENE","10"
"2018-03-06 01:08","6","E","10"
"2018-03-06 01:28","7","E","11"
"2018-03-06 01:48","9","E","13"
"2018-03-06 02:08","11","E","16"
"2018-03-06 02:28","6","ENE","12"
"2018-03-06 02:48","9","E","14"
"2018-03-06 03:08","9","E","14"
"2018-03-06 03:28","8","ENE","11"
"2018-03-06 03:48","7","E","11"
"2018-03-06 04:08","6","E","9"
"2018-03-06 04:28","8","ESE","11"
"2018-03-06 04:48","8","E","12"
"2018-03-06 05:08","7","E","12"
"2018-03-06 05:28","9","E","13"
"2018-03-06 05:48","8","E","14"
"2018-03-06 06:08","9","E","13"
"2018-03-06 06:28","6","E","10"
"2018-03-06 06:48","9","ENE","14"
"2018-03-06 07:08","6","E","11"
"2018-03-06 07:28","12","E","18"
"2018-03-06 07:48","11","ENE","15"
"2018-03-06 08:08","9","ENE","15"
"2018-03-06 08:28","10","ENE","17"
"2018-03-06 08:48","7","E","9"
"2018-03-06 09:08","10","E","15"
"2018-03-06 09:28","8","ENE","14"
"2018-03-06 09:48","7","ENE","16"
"2018-03-06 10:08","7","ENE","11"
"2018-03-06 10:28","11","ENE","15"
"2018-03-06 10:48","11","ENE","18"
"2018-03-06 11:08","9","NE","12"
"2018-03-06 11:28","12","ENE","17"
"2018-03-06 11:48","11","NE","16"
"2018-03-06 12:08","8","E","11"
"2018-03-06 12:28","10","E","14"
"2018-03-06 12:48","14","E","18"
"2018-03-06 13:08","13","ENE","17"
"2018-03-06 13:28","11","E","16"
"2018-03-06 13:48","13","ENE","22"
"2018-03-06 14:08","15","E","24"
"2018-03-06 14:28","15","ENE","24"
"2018-03-06 14:48","13","E","19"
"2018-03-06 15:08","15","ENE","22"
"2018-03-06 15:28","11","ENE","17"
"2018-03-06 15:48","12","E","17"
"2018-03-06 16:08","11","NE","20"
"2018-03-06 16:28","10","NE","19"
"2018-03-06 16:48","13","ENE","22"
"2018-03-06 17:08","13","NE","19"
"2018-03-06 17:28","13","NE","25"
"2018-03-06 17:48","11","ENE","18"
"2018-03-06 18:08","12","NE","19"
"2018-03-06 18:28","9","NE","13"
"2018-03-06 18:48","12","ENE","17"
"2018-03-06 19:08","15","ENE","22"
"2018-03-06 19:28","13","NE","19"
"2018-03-06 19:48","14","NE","21"
"2018-03-06 20:08","14","NE","20"
"2018-03-06 20:28","15","NE","22"
"2018-03-06 20:48","15","NE","23"
"2018-03-06 21:08","18","NE","26"
"2018-03-06 21:28","20","ENE","31"
"2018-03-06 21:48","16","NE","25"
"2018-03-06 22:08","13","ENE","23"
"2018-03-06 22:28","15","ENE","25"
"2018-03-06 22:48","10","ENE","16"
"2018-03-06 23:08","12","ENE","17"
"2018-03-06 23:28","11","NE","17"
"2018-03-06 23:48","9","ENE","13"
"2018-03-07 00:08","10","NE","14"
"2018-03-07 00:28","10","NE","14"
"2018-03-07 00:48","9","NE","12"
"2018-03-07 01:08","8","NE","12"
"2018-03-07 01:28","12","NE","21"
"2018-03-07 01:48","10","NE","15"
"2018-03-07 02:08","8","NE","12"
"2018-03-07 02:28","9","NE","12"
"2018-03-07 02:48","8","NE","10"
"2018-03-07 03:08","8","NE","13"
"2018-03-07 03:28","8","NE","11"
"2018-03-07 03:48","9","NE","14"
"2018-03-07 04:08","9","NE","13"
"2018-03-07 04:28","7","NE","12"
"2018-03-07 04:48","8","NE","14"
"2018-03-07 05:08","7","NE","10"
"2018-03-07 05:28","8","NE","13"
"2018-03-07 05:48","8","NE","12"
"2018-03-07 06:08","8","NE","12"
"2018-03-07 06:28","8","NE","12"
"2018-03-07 06:48","7","NE","11"
"2018-03-07 07:08","9","NE","13"
"2018-03-07 07:28","9","NE","15"
"2018-03-07 07:48","10","NE","15"
"2018-03-07 08:08","9","NE","15"
"2018-03-07 08:28","11","NE","18"
"2018-03-07 08:48","13","NE","20"
"2018-03-07 09:08","12","NE","17"
"2018-03-07 09:28","11","NE","20"
"2018-03-07 09:48","10","NE","16"
"2018-03-07 10:08","13","NE","20"
"2018-03-07 10:28","12","NE","19"
"2018-03-07 10:48","10","NE","14"
"2018-03-07 11:08","13","NE","19"
"2018-03-07 11:28","11","NNE","18"
"2018-03-07 11:48","16","ENE","22"
"2018-03-07 12:08","13","NE","20"
"2018-03-07 12:28","10","NE","18"
"2018-03-07 12:48","14","NE","21"
"2018-03-07 13:08","8","NE","14"
"2018-03-07 13:28","15","NE","27"
"2018-03-07 13:48","10","NE","16"
"2018-03-07 14:08","10","NE","19"
"2018-03-07 14:28","18","NE","22"
"2018-03-07 14:48","13","NE","19"
"2018-03-07 15:08","15","NE","23"
"2018-03-07 15:28","13","NE","19"
"2018-03-07 15:48","10","NE","14"
"2018-03-07 16:08","15","NE","23"
"2018-03-07 16:28","14","NE","21"
"2018-03-07 16:48","11","NE","17"
"2018-03-07 17:08","8","NE","12"
"2018-03-07 17:28","12","ENE","18"
"2018-03-07 17:48","9","ENE","14"
"2018-03-07 18:08","10","NE","14"
"2018-03-07 18:28","5","ENE","7"
"2018-03-07 18:48","4","ENE","5"
"2018-03-07 19:08","5","ENE","8"
"2018-03-07 19:28","8","ENE","12"
"2018-03-07 19:48","6","ENE","12"
"2018-03-07 20:08","5","NE","8"
"2018-03-07 20:28","8","NE","13"
"2018-03-07 20:48","6","ENE","9"
"2018-03-07 21:08","8","NE","11"
"2018-03-07 21:28","10","NE","17"
"2018-03-07 21:48","11","NE","17"
"2018-03-07 22:08","9","NE","14"
"2018-03-07 22:28","9","NE","14"
"2018-03-07 22:48","5","NE","7"
"2018-03-07 23:08","7","NE","11"
"2018-03-07 23:28","5","NE","8"
"2018-03-07 23:48","7","NE","10"
"2018-03-08 00:08","6","NNE","9"
"2018-03-08 00:28","5","NNE","11"
"2018-03-08 00:48","11","NNE","15"
"2018-03-08 01:08","8","NNE","12"
"2018-03-08 01:28","8","NE","11"
"2018-03-08 01:48","7","NE","11"
"2018-03-08 02:08","4","NE","7"
"2018-03-08 02:28","6","NNE","10"
"2018-03-08 02:48","8","NNE","11"
"2018-03-08 03:08","9","NNE","13"
"2018-03-08 03:28","6","NE","10"
"2018-03-08 03:48","9","NE","13"
"2018-03-08 04:08","8","NE","13"
"2018-03-08 04:28","6","NNE","11"
"2018-03-08 04:48","8","NNE","11"
"2018-03-08 05:08","9","N","13"
"2018-03-08 05:28","6","NNE","8"
"2018-03-08 05:48","5","N","7"
"2018-03-08 06:08","5","NNE","10"
"2018-03-08 06:28","4","NNE","6"
"2018-03-08 06:48","6","NNE","10"
"2018-03-08 07:08","6","NNE","10"
"2018-03-08 07:28","7","NNE","12"
"2018-03-08 07:48","8","NNE","10"
"2018-03-08 08:08","9","N","14"
"2018-03-08 08:28","6","NNE","11"
"2018-03-08 08:48","8","NNE","12"
"2018-03-08 09:08","9","NE","12"
"2018-03-08 09:28","10","NNE","15"
"2018-03-08 09:48","9","NNE","17"
"2018-03-08 10:08","9","NE","13"
"2018-03-08 10:28","10","N","13"
"2018-03-08 10:48","9","NNE","15"
"2018-03-08 11:08","10","NNE","14"
"2018-03-08 11:28","12","N","16"
"2018-03-08 11:48","8","NE","14"
"2018-03-08 12:08","8","NNE","12"
"2018-03-08 12:28","6","NNE","9"
"2018-03-08 12:48","9","NE","14"
"2018-03-08 13:08","7","NNE","10"
"2018-03-08 13:28","8","N","14"
"2018-03-08 13:48","8","NNE","15"
"2018-03-08 14:08","12","NE","16"
"2018-03-08 14:28","10","N","13"
"2018-03-08 14:48","9","NE","15"
"2018-03-08 15:08","8","NNE","13"
"2018-03-08 15:28","7","NNE","9"
"2018-03-08 15:48","6","N","9"
"2018-03-08 16:08","7","NNE","12"
"2018-03-08 16:28","8","NE","11"
"2018-03-08 16:48","11","NNE","15"
"2018-03-08 17:08","8","NE","12"
"2018-03-08 17:28","6","NNE","12"
"2018-03-08 17:48","7","NNE","10"
"2018-03-08 18:08","6","NNE","10"
"2018-03-08 18:28","6","NNE","10"
"2018-03-08 18:48","6","NE","10"
"2018-03-08 19:08","7","NNE","13"
"2018-03-08 19:28","5","NNE","8"
"2018-03-08 19:48","7","NNE","9"
"2018-03-08 20:08","5","NE","8"
"2018-03-08 20:28","4","NE","10"
"2018-03-08 20:48","5","NNE","7"
"2018-03-08 21:08","8","NE","12"
"2018-03-08 21:28","8","NE","14"
"2018-03-08 21:48","4","NE","8"
"2018-03-08 22:08","3","NE","4"
"2018-03-08 22:28","2","NNE","3"
"2018-03-08 22:48","1","NW","2"
"2018-03-08 23:08","2","NW","3"
"2018-03-08 23:28","3","NNW","3"
"2018-03-08 23:48","3","WNW","5"
"2018-03-09 00:08","1","NNW","2"
"2018-03-09 00:28","0","NNW","0"
"2018-03-09 00:48","2","NE","4"
"2018-03-09 01:08","3","NE","4"
"2018-03-09 01:28","3","NNE","4"
"2018-03-09 01:48","2","W","3"
"2018-03-09 02:08","4","NW","5"
"2018-03-09 02:28","3","N","4"
"2018-03-09 02:48","2","N","4"
"2018-03-09 03:08","1","WNW","2"
"2018-03-09 03:28","3","N","4"
"2018-03-09 03:48","1","N","3"
