"Time EST","Air Temp (°C)"
"2017-11-01 00:10","-9.0"
"2017-11-01 00:18","-9.3"
"2017-11-01 00:29","-9.6"
"2017-11-01 00:38","-9.8"
"2017-11-01 00:49","-9.9"
"2017-11-01 00:58","-10.4"
"2017-11-01 01:11","-10.6"
"2017-11-01 01:18","-10.4"
"2017-11-01 01:30","-10.6"
"2017-11-01 01:38","-10.7"
"2017-11-01 01:50","-10.9"
"2017-11-01 01:58","-10.3"
"2017-11-01 02:09","-10.4"
"2017-11-01 02:18","-10.0"
"2017-11-01 02:29","-10.2"
"2017-11-01 02:38","-10.6"
"2017-11-01 02:50","-10.4"
"2017-11-01 02:58","-9.6"
"2017-11-01 03:09","-8.5"
"2017-11-01 03:18","-7.6"
"2017-11-01 03:29","-7.5"
"2017-11-01 03:38","-7.1"
"2017-11-01 03:49","-7.3"
"2017-11-01 03:58","-7.2"
"2017-11-01 04:09","-7.3"
"2017-11-01 04:18","-7.1"
"2017-11-01 04:29","-7.0"
"2017-11-01 04:38","-6.8"
"2017-11-01 04:49","-6.9"
"2017-11-01 04:58","-6.6"
"2017-11-01 05:09","-6.8"
"2017-11-01 05:18","-6.5"
"2017-11-01 05:29","-6.3"
"2017-11-01 05:38","-5.8"
"2017-11-01 05:49","-5.7"
"2017-11-01 05:58","-5.6"
"2017-11-01 06:09","-5.7"
"2017-11-01 06:18","-5.7"
"2017-11-01 06:29","-5.5"
"2017-11-01 06:38","-5.5"
"2017-11-01 06:49","-5.4"
"2017-11-01 06:58","-5.2"
"2017-11-01 07:09","-5.1"
"2017-11-01 07:18","-5.1"
"2017-11-01 07:29","-4.9"
"2017-11-01 07:38","-4.9"
"2017-11-01 07:49","-5.0"
"2017-11-01 07:58","-5.0"
"2017-11-01 08:09","-5.0"
"2017-11-01 08:18","-4.9"
"2017-11-01 08:29","-4.9"
"2017-11-01 08:38","-4.7"
"2017-11-01 08:49","-4.6"
"2017-11-01 08:58","-4.5"
"2017-11-01 09:09","-4.4"
"2017-11-01 09:18","-4.1"
"2017-11-01 09:29","-4.0"
"2017-11-01 09:38","-3.9"
"2017-11-01 09:49","-3.9"
"2017-11-01 09:58","-3.7"
"2017-11-01 10:09","-3.5"
"2017-11-01 10:18","-3.3"
"2017-11-01 10:29","-3.1"
"2017-11-01 10:38","-3.1"
"2017-11-01 10:49","-2.9"
"2017-11-01 10:58","-2.7"
"2017-11-01 11:10","-2.6"
"2017-11-01 11:18","-2.4"
"2017-11-01 11:29","-2.3"
"2017-11-01 11:38","-2.1"
"2017-11-01 11:49","-2.1"
"2017-11-01 11:58","-1.9"
"2017-11-01 12:09","-1.7"
"2017-11-01 12:18","-1.7"
"2017-11-01 12:30","-1.7"
"2017-11-01 12:38","-1.3"
"2017-11-01 12:50","-1.1"
"2017-11-01 12:58","-0.8"
"2017-11-01 13:09","-0.5"
"2017-11-01 13:18","-0.1"
"2017-11-01 13:29","-0.3"
"2017-11-01 13:38","0.3"
"2017-11-01 13:50","0.4"
"2017-11-01 13:58","0.9"
"2017-11-01 14:10","1.0"
"2017-11-01 14:18","1.0"
"2017-11-01 14:30","0.9"
"2017-11-01 14:38","0.6"
"2017-11-01 14:51","0.5"
"2017-11-01 14:58","0.8"
"2017-11-01 15:09","1.0"
"2017-11-01 15:18","1.2"
"2017-11-01 15:29","1.4"
"2017-11-01 15:38","1.3"
"2017-11-01 15:50","1.6"
"2017-11-01 15:58","1.4"
"2017-11-01 16:10","1.2"
"2017-11-01 16:18","1.4"
"2017-11-01 16:31","1.4"
