"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:10","-10.8","87"
"2017-11-01 00:18","-11.1","87"
"2017-11-01 00:29","-11.4","86"
"2017-11-01 00:38","-11.7","86"
"2017-11-01 00:49","-11.8","86"
"2017-11-01 00:58","-12.3","86"
"2017-11-01 01:11","-12.5","86"
"2017-11-01 01:18","-12.3","86"
"2017-11-01 01:30","-12.6","86"
"2017-11-01 01:38","-12.7","86"
"2017-11-01 01:50","-12.9","85"
"2017-11-01 01:58","-12.2","86"
"2017-11-01 02:09","-12.3","86"
"2017-11-01 02:18","-11.9","86"
"2017-11-01 02:29","-12.1","86"
"2017-11-01 02:38","-12.6","85"
"2017-11-01 02:50","-12.3","86"
"2017-11-01 02:58","-11.2","88"
"2017-11-01 03:09","-10.1","88"
"2017-11-01 03:18","-9.2","88"
"2017-11-01 03:29","-9.0","88"
"2017-11-01 03:38","-8.7","88"
"2017-11-01 03:49","-9.0","88"
"2017-11-01 03:58","-8.8","88"
"2017-11-01 04:09","-8.9","88"
"2017-11-01 04:18","-8.6","89"
"2017-11-01 04:29","-8.7","88"
"2017-11-01 04:38","-8.4","89"
"2017-11-01 04:49","-8.5","88"
"2017-11-01 04:58","-8.1","89"
"2017-11-01 05:09","-8.4","88"
"2017-11-01 05:18","-8.0","89"
"2017-11-01 05:29","-7.9","89"
"2017-11-01 05:38","-7.3","89"
"2017-11-01 05:49","-7.2","89"
"2017-11-01 05:58","-7.1","89"
"2017-11-01 06:09","-7.2","89"
"2017-11-01 06:18","-7.2","89"
"2017-11-01 06:29","-7.0","90"
"2017-11-01 06:38","-6.9","89"
"2017-11-01 06:49","-6.8","90"
"2017-11-01 06:58","-6.7","90"
"2017-11-01 07:09","-6.5","90"
"2017-11-01 07:18","-6.5","90"
"2017-11-01 07:29","-6.4","90"
"2017-11-01 07:38","-6.3","90"
"2017-11-01 07:49","-6.4","90"
"2017-11-01 07:58","-6.4","90"
"2017-11-01 08:09","-6.5","90"
"2017-11-01 08:18","-6.3","90"
"2017-11-01 08:29","-6.3","90"
"2017-11-01 08:38","-6.1","90"
"2017-11-01 08:49","-6.0","90"
"2017-11-01 08:58","-5.8","90"
"2017-11-01 09:09","-5.7","90"
"2017-11-01 09:18","-5.5","90"
"2017-11-01 09:29","-5.4","91"
"2017-11-01 09:38","-5.2","91"
"2017-11-01 09:49","-5.2","91"
"2017-11-01 09:58","-4.9","91"
"2017-11-01 10:09","-4.8","91"
"2017-11-01 10:18","-4.6","91"
"2017-11-01 10:29","-4.4","91"
"2017-11-01 10:38","-4.4","91"
"2017-11-01 10:49","-4.2","91"
"2017-11-01 10:58","-4.1","90"
"2017-11-01 11:10","-4.0","90"
"2017-11-01 11:18","-3.9","89"
"2017-11-01 11:29","-3.8","89"
"2017-11-01 11:38","-3.7","89"
"2017-11-01 11:49","-3.7","89"
"2017-11-01 11:58","-3.6","88"
"2017-11-01 12:09","-3.4","89"
"2017-11-01 12:18","-3.4","88"
"2017-11-01 12:30","-3.3","88"
"2017-11-01 12:38","-3.1","88"
"2017-11-01 12:50","-2.8","88"
"2017-11-01 12:58","-2.8","87"
"2017-11-01 13:09","-2.5","86"
"2017-11-01 13:18","-2.4","84"
"2017-11-01 13:29","-2.9","83"
"2017-11-01 13:38","-2.4","82"
"2017-11-01 13:50","-2.3","82"
"2017-11-01 13:58","-2.1","80"
"2017-11-01 14:10","-2.0","81"
"2017-11-01 14:18","-2.1","80"
"2017-11-01 14:30","-2.1","80"
"2017-11-01 14:38","-2.2","81"
"2017-11-01 14:51","-2.3","81"
"2017-11-01 14:58","-2.0","81"
"2017-11-01 15:09","-1.9","81"
"2017-11-01 15:18","-1.8","80"
"2017-11-01 15:29","-1.9","79"
"2017-11-01 15:38","-1.7","80"
"2017-11-01 15:50","-1.6","79"
"2017-11-01 15:58","-1.8","79"
"2017-11-01 16:10","-1.8","80"
"2017-11-01 16:18","-1.6","81"
"2017-11-01 16:31","-1.6","80"
"2017-11-01 16:38","-1.6","81"
"2017-11-01 16:50","-1.5","81"
"2017-11-01 16:58","-1.5","83"
"2017-11-01 17:11","-1.4","84"
"2017-11-01 17:18","-1.4","84"
"2017-11-01 17:30","-1.4","85"
"2017-11-01 17:38","-1.4","85"
"2017-11-01 17:50","-1.5","86"
"2017-11-01 17:58","-1.5","86"
"2017-11-01 18:10","-1.5","87"
"2017-11-01 18:18","-1.6","87"
"2017-11-01 18:30","-1.5","88"
"2017-11-01 18:38","-1.4","88"
"2017-11-01 18:50","-1.5","88"
"2017-11-01 18:58","-1.7","88"
"2017-11-01 19:09","-1.7","89"
"2017-11-01 19:18","-1.9","89"
"2017-11-01 19:31","-1.8","89"
"2017-11-01 19:38","-1.8","90"
"2017-11-01 19:51","-1.8","90"
"2017-11-01 19:58","-1.9","90"
"2017-11-01 20:09","-1.9","90"
"2017-11-01 20:18","-1.7","90"
"2017-11-01 20:29","-1.7","90"
"2017-11-01 20:38","-1.6","90"
"2017-11-01 20:49","-1.5","90"
"2017-11-01 20:58","-1.4","90"
"2017-11-01 21:08","-1.4","90"
"2017-11-01 21:18","-1.3","91"
"2017-11-01 21:28","-1.3","91"
"2017-11-01 21:38","-1.3","91"
"2017-11-01 21:48","-1.3","91"
"2017-11-01 21:58","-1.3","91"
"2017-11-01 22:08","-1.3","91"
"2017-11-01 22:18","-1.3","91"
"2017-11-01 22:28","-1.4","91"
"2017-11-01 22:38","-1.6","91"
"2017-11-01 22:48","-1.5","91"
"2017-11-01 22:58","-1.6","91"
"2017-11-01 23:08","-1.6","91"
"2017-11-01 23:18","-1.7","91"
"2017-11-01 23:28","-1.7","91"
"2017-11-01 23:38","-1.8","91"
"2017-11-01 23:48","-1.8","91"
"2017-11-01 23:58","-1.7","92"
"2017-11-02 00:08","-1.6","92"
"2017-11-02 00:18","-1.5","92"
"2017-11-02 00:28","-1.5","91"
"2017-11-02 00:38","-1.5","91"
"2017-11-02 00:48","-1.5","91"
"2017-11-02 00:58","-1.4","91"
"2017-11-02 01:08","-1.4","91"
"2017-11-02 01:18","-1.3","92"
"2017-11-02 01:28","-1.3","92"
"2017-11-02 01:38","-1.3","92"
"2017-11-02 01:48","-1.3","92"
"2017-11-02 01:58","-1.2","92"
"2017-11-02 02:08","-1.2","92"
"2017-11-02 02:18","-1.1","92"
"2017-11-02 02:28","-1.2","92"
"2017-11-02 02:38","-1.1","92"
"2017-11-02 02:48","-1.1","92"
"2017-11-02 02:58","-1.0","92"
"2017-11-02 03:08","-0.9","92"
"2017-11-02 03:18","-0.9","92"
"2017-11-02 03:28","-0.8","92"
"2017-11-02 03:38","-0.8","92"
"2017-11-02 03:48","-0.8","92"
"2017-11-02 03:58","-0.8","92"
"2017-11-02 04:08","-0.8","92"
"2017-11-02 04:18","-0.7","92"
"2017-11-02 04:28","-0.7","92"
"2017-11-02 04:38","-0.6","92"
"2017-11-02 04:48","-0.7","92"
"2017-11-02 04:58","-0.7","92"
"2017-11-02 05:08","-0.6","92"
"2017-11-02 05:18","-0.7","92"
"2017-11-02 05:28","-0.7","93"
"2017-11-02 05:38","-0.6","93"
"2017-11-02 05:48","-0.6","93"
"2017-11-02 05:58","-0.6","93"
"2017-11-02 06:08","-0.6","93"
"2017-11-02 06:18","-0.6","93"
"2017-11-02 06:28","-0.6","93"
"2017-11-02 06:38","-0.6","93"
"2017-11-02 06:48","-0.6","93"
"2017-11-02 06:58","-0.5","93"
"2017-11-02 07:08","-0.5","93"
"2017-11-02 07:18","-0.6","93"
"2017-11-02 07:28","-0.5","93"
"2017-11-02 07:38","-0.6","93"
"2017-11-02 07:48","-0.5","93"
"2017-11-02 07:58","-0.5","93"
"2017-11-02 08:08","-0.5","93"
"2017-11-02 08:18","-0.5","93"
"2017-11-02 08:28","-0.4","93"
"2017-11-02 08:38","-0.4","93"
"2017-11-02 08:48","-0.3","93"
"2017-11-02 08:58","-0.2","93"
"2017-11-02 09:08","-0.2","93"
"2017-11-02 09:18","-0.1","93"
"2017-11-02 09:28","-0.1","93"
"2017-11-02 09:38","0.0","93"
"2017-11-02 09:48","0.0","93"
"2017-11-02 09:58","0.1","93"
"2017-11-02 10:08","0.1","93"
"2017-11-02 10:18","0.2","93"
"2017-11-02 10:28","0.2","93"
"2017-11-02 10:38","0.3","93"
"2017-11-02 10:48","0.4","93"
"2017-11-02 10:58","0.4","93"
"2017-11-02 11:08","0.5","93"
"2017-11-02 11:18","0.4","93"
"2017-11-02 11:28","0.5","93"
"2017-11-02 11:38","0.5","93"
"2017-11-02 11:48","0.4","93"
"2017-11-02 11:58","0.4","93"
"2017-11-02 12:08","0.4","93"
"2017-11-02 12:18","0.4","93"
"2017-11-02 12:28","0.4","93"
"2017-11-02 12:38","0.4","93"
"2017-11-02 12:48","0.4","93"
"2017-11-02 12:58","0.4","93"
"2017-11-02 13:08","0.3","93"
"2017-11-02 13:18","0.3","93"
"2017-11-02 13:28","0.3","93"
"2017-11-02 13:38","0.3","93"
"2017-11-02 13:48","0.3","93"
"2017-11-02 13:58","0.3","93"
"2017-11-02 14:08","0.0","0"
"2017-11-02 14:18","0.3","93"
"2017-11-02 14:28","0.3","93"
"2017-11-02 14:38","0.3","93"
"2017-11-02 14:48","0.3","93"
"2017-11-02 14:58","0.4","93"
"2017-11-02 15:08","0.4","93"
"2017-11-02 15:18","0.4","93"
"2017-11-02 15:28","0.4","93"
"2017-11-02 15:38","0.4","93"
"2017-11-02 15:48","0.5","93"
"2017-11-02 15:58","0.4","92"
"2017-11-02 16:08","0.4","93"
"2017-11-02 16:18","0.3","92"
"2017-11-02 16:28","0.3","92"
"2017-11-02 16:38","0.3","92"
"2017-11-02 16:48","0.3","92"
"2017-11-02 16:58","0.2","92"
"2017-11-02 17:08","0.2","92"
"2017-11-02 17:18","0.2","93"
"2017-11-02 17:28","0.2","92"
"2017-11-02 17:38","0.2","93"
"2017-11-02 17:48","0.2","93"
"2017-11-02 17:58","0.1","93"
"2017-11-02 18:08","0.1","93"
"2017-11-02 18:18","0.1","93"
"2017-11-02 18:28","0.1","93"
"2017-11-02 18:38","0.1","93"
"2017-11-02 18:48","0.1","93"
"2017-11-02 18:58","0.2","93"
"2017-11-02 19:08","0.2","93"
"2017-11-02 19:18","0.1","93"
"2017-11-02 19:28","0.2","93"
"2017-11-02 19:38","0.1","93"
"2017-11-02 19:48","0.1","93"
"2017-11-02 19:58","0.1","93"
"2017-11-02 20:08","0.0","93"
"2017-11-02 20:18","0.0","93"
"2017-11-02 20:28","0.0","93"
"2017-11-02 20:38","-0.5","93"
"2017-11-02 20:48","-0.6","93"
"2017-11-02 20:58","-0.9","93"
"2017-11-02 21:08","-1.0","93"
"2017-11-02 21:18","-1.1","93"
"2017-11-02 21:28","-1.2","93"
"2017-11-02 21:38","-1.3","93"
"2017-11-02 21:48","-1.3","93"
"2017-11-02 21:58","-1.4","93"
"2017-11-02 22:08","-1.5","93"
"2017-11-02 22:18","-1.6","93"
"2017-11-02 22:28","-1.7","93"
"2017-11-02 22:38","-1.7","92"
"2017-11-02 22:48","-1.8","92"
"2017-11-02 22:58","-1.8","92"
"2017-11-02 23:08","-1.9","92"
"2017-11-02 23:18","-2.0","92"
"2017-11-02 23:28","-2.0","92"
"2017-11-02 23:38","-2.0","92"
"2017-11-02 23:48","-2.0","92"
"2017-11-02 23:58","-2.1","92"
"2017-11-03 00:08","-2.2","92"
"2017-11-03 00:18","-2.2","92"
"2017-11-03 00:28","-2.2","92"
"2017-11-03 00:38","-2.3","92"
"2017-11-03 00:48","-2.3","92"
"2017-11-03 00:58","-2.4","92"
"2017-11-03 01:08","-2.4","92"
"2017-11-03 01:18","-2.5","92"
"2017-11-03 01:28","-2.6","92"
"2017-11-03 01:38","-2.7","92"
"2017-11-03 01:48","-2.7","92"
"2017-11-03 01:58","-2.8","91"
"2017-11-03 02:08","-2.9","91"
