"Time EST","Air Temp (°C)"
"2017-12-01 00:08","-1.7"
"2017-12-01 00:18","-1.7"
"2017-12-01 00:28","-1.7"
"2017-12-01 00:38","-1.6"
"2017-12-01 00:48","-1.7"
"2017-12-01 00:55","-1.7"
"2017-12-01 00:58","-1.8"
"2017-12-01 01:08","-1.8"
"2017-12-01 01:18","-1.9"
"2017-12-01 01:28","-1.9"
"2017-12-01 01:38","-1.8"
"2017-12-01 01:48","-1.7"
"2017-12-01 01:55","-1.7"
"2017-12-01 01:58","-1.7"
"2017-12-01 02:08","-1.6"
"2017-12-01 02:18","-1.7"
"2017-12-01 02:28","-1.6"
"2017-12-01 02:38","-1.6"
"2017-12-01 02:48","-1.6"
"2017-12-01 02:55","-1.7"
"2017-12-01 02:58","-1.7"
"2017-12-01 03:18","-1.5"
"2017-12-01 03:38","-1.3"
"2017-12-01 03:55","-1.1"
"2017-12-01 03:58","-1.1"
"2017-12-01 04:18","-1.0"
"2017-12-01 04:38","-1.0"
"2017-12-01 04:55","-1.0"
"2017-12-01 04:59","-1.0"
"2017-12-01 05:18","-1.2"
"2017-12-01 05:38","-1.3"
"2017-12-01 05:55","-1.4"
"2017-12-01 05:59","-1.4"
"2017-12-01 06:18","-1.5"
"2017-12-01 06:38","-1.7"
"2017-12-01 06:55","-2.2"
"2017-12-01 06:59","-2.3"
"2017-12-01 07:18","-2.4"
"2017-12-01 07:38","-2.3"
"2017-12-01 07:55","-2.6"
"2017-12-01 07:59","-2.6"
"2017-12-01 08:18","-2.9"
"2017-12-01 08:38","-2.8"
"2017-12-01 08:55","-2.3"
"2017-12-01 08:59","-2.2"
"2017-12-01 09:18","-2.0"
"2017-12-01 09:38","-1.8"
"2017-12-01 09:55","-1.6"
"2017-12-01 09:59","-1.5"
"2017-12-01 10:18","-1.0"
"2017-12-01 10:38","-0.7"
"2017-12-01 10:55","-0.3"
"2017-12-01 10:59","-0.2"
"2017-12-01 11:18","0.3"
"2017-12-01 11:38","0.8"
"2017-12-01 11:55","1.3"
"2017-12-01 11:59","1.4"
"2017-12-01 12:18","1.5"
"2017-12-01 12:38","1.7"
"2017-12-01 12:55","1.6"
"2017-12-01 12:59","1.6"
"2017-12-01 13:18","1.6"
"2017-12-01 13:38","1.8"
"2017-12-01 13:48","1.8"
"2017-12-01 13:55","1.8"
"2017-12-01 13:59","1.8"
"2017-12-01 14:08","1.9"
"2017-12-01 14:18","2.4"
"2017-12-01 14:28","2.5"
"2017-12-01 14:38","2.3"
"2017-12-01 14:48","2.3"
"2017-12-01 14:55","2.4"
"2017-12-01 14:59","2.5"
"2017-12-01 15:08","2.3"
"2017-12-01 15:18","2.2"
"2017-12-01 15:28","2.1"
"2017-12-01 15:38","2.0"
"2017-12-01 15:48","1.9"
"2017-12-01 15:55","1.5"
"2017-12-01 15:59","1.4"
"2017-12-01 16:08","1.1"
"2017-12-01 16:18","0.4"
"2017-12-01 16:28","0.2"
"2017-12-01 16:38","-0.2"
"2017-12-01 16:48","-0.4"
"2017-12-01 16:55","-0.7"
"2017-12-01 16:59","-0.7"
"2017-12-01 17:08","-0.9"
"2017-12-01 17:18","-1.2"
"2017-12-01 17:28","-1.3"
"2017-12-01 17:38","-1.5"
"2017-12-01 17:48","-1.7"
"2017-12-01 17:55","-1.8"
"2017-12-01 17:59","-1.9"
"2017-12-01 18:08","-2.0"
"2017-12-01 18:18","-2.1"
"2017-12-01 18:28","-1.9"
"2017-12-01 18:38","-2.1"
"2017-12-01 18:48","-2.1"
"2017-12-01 18:55","-2.3"
"2017-12-01 18:59","-2.2"
"2017-12-01 19:08","-2.2"
"2017-12-01 19:18","-2.3"
"2017-12-01 19:28","-2.4"
"2017-12-01 19:38","-2.4"
"2017-12-01 19:48","-2.5"
"2017-12-01 19:55","-2.6"
"2017-12-01 19:59","-2.6"
"2017-12-01 20:08","-2.5"
"2017-12-01 20:18","-2.4"
"2017-12-01 20:28","-2.4"
"2017-12-01 20:38","-2.6"
"2017-12-01 20:48","-2.5"
"2017-12-01 20:55","-2.5"
"2017-12-01 20:59","-2.5"
"2017-12-01 21:08","-2.5"
