"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:08","-9.6","55"
"2017-12-01 00:18","-9.4","56"
"2017-12-01 00:28","-9.3","56"
"2017-12-01 00:38","-9.2","56"
"2017-12-01 00:48","-9.2","57"
"2017-12-01 00:55","-9.1","57"
"2017-12-01 00:58","-9.1","57"
"2017-12-01 01:08","-9.1","57"
"2017-12-01 01:18","-9.1","58"
"2017-12-01 01:28","-9.1","58"
"2017-12-01 01:38","-8.9","58"
"2017-12-01 01:48","-8.8","58"
"2017-12-01 01:55","-8.8","58"
"2017-12-01 01:58","-8.8","58"
"2017-12-01 02:08","-8.8","58"
"2017-12-01 02:18","-8.8","58"
"2017-12-01 02:28","-8.7","58"
"2017-12-01 02:38","-8.6","59"
"2017-12-01 02:48","-8.7","58"
"2017-12-01 02:55","-8.7","59"
"2017-12-01 02:58","-8.6","59"
"2017-12-01 03:18","-8.4","59"
"2017-12-01 03:38","-8.3","59"
"2017-12-01 03:55","-8.2","59"
"2017-12-01 03:58","-8.2","59"
"2017-12-01 04:18","-8.1","58"
"2017-12-01 04:38","-8.1","58"
"2017-12-01 04:55","-8.2","58"
"2017-12-01 04:59","-8.1","59"
"2017-12-01 05:18","-8.1","59"
"2017-12-01 05:38","-8.1","60"
"2017-12-01 05:55","-8.0","60"
"2017-12-01 05:59","-8.0","61"
"2017-12-01 06:18","-8.1","61"
"2017-12-01 06:38","-8.1","62"
"2017-12-01 06:55","-8.4","62"
"2017-12-01 06:59","-8.5","62"
"2017-12-01 07:18","-8.4","63"
"2017-12-01 07:38","-8.2","64"
"2017-12-01 07:55","-8.3","65"
"2017-12-01 07:59","-8.4","65"
"2017-12-01 08:18","-8.5","65"
"2017-12-01 08:38","-8.2","66"
"2017-12-01 08:55","-7.6","67"
"2017-12-01 08:59","-7.6","67"
"2017-12-01 09:18","-7.4","67"
"2017-12-01 09:38","-7.2","67"
"2017-12-01 09:55","-7.0","66"
"2017-12-01 09:59","-7.0","66"
"2017-12-01 10:18","-6.8","65"
"2017-12-01 10:38","-6.8","63"
"2017-12-01 10:55","-7.2","60"
"2017-12-01 10:59","-7.3","59"
"2017-12-01 11:18","-7.6","56"
"2017-12-01 11:38","-7.8","52"
"2017-12-01 11:55","-8.4","48"
"2017-12-01 11:59","-8.3","49"
"2017-12-01 12:18","-8.1","49"
"2017-12-01 12:38","-8.3","47"
"2017-12-01 12:55","-8.6","47"
"2017-12-01 12:59","-8.6","47"
"2017-12-01 13:18","-8.6","46"
"2017-12-01 13:38","-8.8","45"
"2017-12-01 13:48","-8.7","46"
"2017-12-01 13:55","-8.8","45"
"2017-12-01 13:59","-8.7","46"
"2017-12-01 14:08","-8.6","46"
"2017-12-01 14:18","-8.7","44"
"2017-12-01 14:28","-8.9","42"
"2017-12-01 14:38","-9.1","43"
"2017-12-01 14:48","-9.0","43"
"2017-12-01 14:55","-9.0","43"
"2017-12-01 14:59","-9.0","42"
"2017-12-01 15:08","-9.1","43"
"2017-12-01 15:18","-9.1","43"
"2017-12-01 15:28","-9.0","43"
"2017-12-01 15:38","-8.9","44"
"2017-12-01 15:48","-8.9","45"
"2017-12-01 15:55","-8.8","46"
"2017-12-01 15:59","-8.8","47"
"2017-12-01 16:08","-8.7","48"
"2017-12-01 16:18","-8.7","51"
"2017-12-01 16:28","-8.7","51"
"2017-12-01 16:38","-8.7","53"
"2017-12-01 16:48","-8.9","53"
"2017-12-01 16:55","-8.9","54"
"2017-12-01 16:59","-9.0","53"
"2017-12-01 17:08","-9.2","53"
"2017-12-01 17:18","-9.2","54"
"2017-12-01 17:28","-9.2","55"
"2017-12-01 17:38","-9.0","57"
"2017-12-01 17:48","-9.1","57"
"2017-12-01 17:55","-9.1","58"
"2017-12-01 17:59","-9.2","58"
"2017-12-01 18:08","-9.1","58"
"2017-12-01 18:18","-8.8","60"
"2017-12-01 18:28","-8.8","59"
"2017-12-01 18:38","-9.0","59"
"2017-12-01 18:48","-9.0","59"
"2017-12-01 18:55","-9.0","60"
"2017-12-01 18:59","-8.9","60"
"2017-12-01 19:08","-9.0","60"
"2017-12-01 19:18","-9.0","60"
"2017-12-01 19:28","-9.1","60"
"2017-12-01 19:38","-9.0","61"
"2017-12-01 19:48","-9.1","61"
"2017-12-01 19:55","-9.1","61"
"2017-12-01 19:59","-9.1","61"
"2017-12-01 20:08","-9.0","61"
"2017-12-01 20:18","-8.9","61"
"2017-12-01 20:28","-8.9","61"
"2017-12-01 20:38","-9.1","61"
"2017-12-01 20:48","-9.0","61"
"2017-12-01 20:55","-9.0","61"
"2017-12-01 20:59","-9.0","61"
"2017-12-01 21:08","-8.9","61"
"2017-12-01 21:18","-9.0","61"
"2017-12-01 21:28","-9.0","61"
"2017-12-01 21:38","-9.1","61"
"2017-12-01 21:48","-9.1","61"
"2017-12-01 21:55","-9.1","62"
"2017-12-01 21:59","-9.1","62"
"2017-12-01 22:08","-9.1","62"
