"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:08","3","SW","9"
"2017-12-01 00:18","6","SSW","10"
"2017-12-01 00:28","8","SW","12"
"2017-12-01 00:38","7","SW","11"
"2017-12-01 00:48","6","SSW","10"
"2017-12-01 00:55","8","SSW","11"
"2017-12-01 00:58","6","SSW","10"
"2017-12-01 01:08","7","SSW","10"
"2017-12-01 01:18","4","SSW","8"
"2017-12-01 01:28","7","SSW","11"
"2017-12-01 01:38","6","SW","14"
"2017-12-01 01:48","6","SSW","12"
"2017-12-01 01:55","6","SW","10"
"2017-12-01 01:58","7","SW","15"
"2017-12-01 02:08","6","SW","9"
"2017-12-01 02:18","3","WSW","5"
"2017-12-01 02:28","6","SW","12"
"2017-12-01 02:38","7","SW","12"
"2017-12-01 02:48","6","SSW","9"
"2017-12-01 02:55","6","SSW","10"
"2017-12-01 02:58","9","SSW","14"
"2017-12-01 03:18","6","SSW","8"
"2017-12-01 03:38","6","SSW","10"
"2017-12-01 03:55","7","SW","13"
"2017-12-01 03:58","6","SW","12"
"2017-12-01 04:18","6","SW","12"
"2017-12-01 04:38","7","SSW","12"
"2017-12-01 04:55","6","SSW","11"
"2017-12-01 04:59","5","SSW","11"
"2017-12-01 05:18","6","S","9"
"2017-12-01 05:38","2","S","6"
"2017-12-01 05:55","2","S","5"
"2017-12-01 05:59","3","SSW","6"
"2017-12-01 06:18","1","S","2"
"2017-12-01 06:38","0","SE","1"
"2017-12-01 06:55","2","SSW","3"
"2017-12-01 06:59","1","SSW","4"
"2017-12-01 07:18","0","S","2"
"2017-12-01 07:38","1","S","2"
"2017-12-01 07:55","2","SSE","4"
"2017-12-01 07:59","0","SSE","2"
"2017-12-01 08:18","1","SSE","3"
"2017-12-01 08:38","2","SSW","5"
"2017-12-01 08:55","3","SSW","5"
"2017-12-01 08:59","3","S","5"
"2017-12-01 09:18","1","SSW","4"
"2017-12-01 09:38","2","SSW","4"
"2017-12-01 09:55","3","S","6"
"2017-12-01 09:59","2","SSW","4"
"2017-12-01 10:18","3","SSW","6"
"2017-12-01 10:38","3","S","5"
"2017-12-01 10:55","4","S","7"
"2017-12-01 10:59","4","SSW","9"
"2017-12-01 11:18","4","SSW","8"
"2017-12-01 11:38","5","SW","8"
"2017-12-01 11:55","5","SW","8"
"2017-12-01 11:59","4","SW","8"
"2017-12-01 12:18","4","SW","8"
"2017-12-01 12:38","3","SW","5"
"2017-12-01 12:55","4","SSW","6"
"2017-12-01 12:59","2","SW","4"
"2017-12-01 13:18","6","SSW","10"
"2017-12-01 13:38","3","SSW","8"
"2017-12-01 13:48","5","SSW","8"
"2017-12-01 13:55","4","SW","8"
"2017-12-01 13:59","5","SSW","9"
"2017-12-01 14:08","3","SW","5"
"2017-12-01 14:18","3","SW","4"
"2017-12-01 14:28","3","SW","8"
"2017-12-01 14:38","3","SSW","6"
