"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-02-01 00:08","-25.1","74"
"2018-02-01 00:18","-25.0","75"
"2018-02-01 00:28","-24.9","75"
"2018-02-01 00:38","-24.8","76"
"2018-02-01 00:48","-24.7","77"
"2018-02-01 00:55","-24.7","77"
"2018-02-01 00:58","-24.7","78"
"2018-02-01 01:08","-24.6","77"
"2018-02-01 01:18","-25.5","71"
"2018-02-01 01:28","-25.9","69"
"2018-02-01 01:38","-26.0","68"
"2018-02-01 01:48","-26.1","68"
"2018-02-01 01:55","-26.0","69"
"2018-02-01 01:58","-26.0","69"
"2018-02-01 02:08","-26.0","69"
"2018-02-01 02:18","-26.0","70"
"2018-02-01 02:28","-26.1","70"
"2018-02-01 02:38","-26.1","72"
"2018-02-01 02:48","-26.0","73"
"2018-02-01 02:55","-26.2","73"
"2018-02-01 02:58","-26.2","73"
"2018-02-01 03:08","-26.3","73"
"2018-02-01 03:18","-26.4","73"
"2018-02-01 03:28","-26.5","73"
"2018-02-01 03:38","-26.5","74"
"2018-02-01 03:48","-26.6","74"
"2018-02-01 03:55","-26.6","74"
"2018-02-01 03:58","-26.6","74"
"2018-02-01 04:08","-26.7","74"
"2018-02-01 04:18","-26.7","75"
"2018-02-01 04:28","-26.8","75"
"2018-02-01 04:38","-26.9","75"
"2018-02-01 04:48","-26.9","75"
"2018-02-01 04:55","-26.9","75"
"2018-02-01 04:58","-27.0","76"
"2018-02-01 05:08","-27.0","76"
"2018-02-01 05:18","-27.1","76"
"2018-02-01 05:28","-27.2","75"
"2018-02-01 05:38","-27.2","75"
"2018-02-01 05:48","-27.2","75"
"2018-02-01 05:55","-27.2","75"
"2018-02-01 05:58","-27.2","75"
"2018-02-01 06:08","-27.2","75"
"2018-02-01 06:18","-27.1","75"
"2018-02-01 06:28","-27.0","74"
"2018-02-01 06:38","-27.1","74"
"2018-02-01 06:48","-27.0","74"
"2018-02-01 06:55","-27.0","73"
"2018-02-01 06:58","-27.0","73"
"2018-02-01 07:08","-27.0","74"
"2018-02-01 07:18","-27.1","74"
"2018-02-01 07:28","-27.1","74"
"2018-02-01 07:38","-27.1","73"
"2018-02-01 07:48","-27.1","73"
"2018-02-01 07:55","-27.0","74"
"2018-02-01 07:58","-27.0","74"
"2018-02-01 08:08","-27.1","73"
"2018-02-01 08:18","-27.2","73"
"2018-02-01 08:28","-27.3","73"
"2018-02-01 08:38","-27.3","73"
"2018-02-01 08:48","-27.3","73"
"2018-02-01 08:55","-27.3","73"
"2018-02-01 08:58","-27.3","73"
"2018-02-01 09:08","-27.3","73"
"2018-02-01 09:18","-27.3","73"
"2018-02-01 09:28","-27.2","72"
"2018-02-01 09:38","-27.2","73"
"2018-02-01 09:48","-27.0","71"
"2018-02-01 09:55","-27.0","70"
"2018-02-01 09:58","-27.1","69"
"2018-02-01 10:08","-27.0","69"
"2018-02-01 10:18","-27.1","68"
"2018-02-01 10:28","-27.0","67"
"2018-02-01 10:38","-27.0","66"
"2018-02-01 10:48","-26.7","66"
"2018-02-01 10:55","-26.7","66"
"2018-02-01 10:58","-26.5","66"
"2018-02-01 11:08","-26.6","64"
"2018-02-01 11:18","-26.5","64"
"2018-02-01 11:28","-26.5","63"
"2018-02-01 11:38","-26.6","63"
"2018-02-01 11:48","-26.4","63"
"2018-02-01 11:55","-26.2","63"
"2018-02-01 11:58","-26.3","63"
"2018-02-01 12:08","-26.2","62"
"2018-02-01 12:18","-26.1","60"
"2018-02-01 12:28","-25.9","61"
"2018-02-01 12:38","-26.3","59"
"2018-02-01 12:48","-25.8","60"
"2018-02-01 12:55","-26.0","60"
"2018-02-01 12:58","-25.8","60"
"2018-02-01 13:08","-25.7","60"
"2018-02-01 13:18","-25.6","58"
"2018-02-01 13:28","-25.4","58"
"2018-02-01 13:38","-25.5","57"
"2018-02-01 13:48","-25.5","56"
"2018-02-01 13:55","-25.7","57"
"2018-02-01 13:58","-25.6","56"
"2018-02-01 14:08","-25.6","55"
"2018-02-01 14:18","-25.1","58"
"2018-02-01 14:28","-25.5","55"
"2018-02-01 14:38","-25.3","54"
"2018-02-01 14:48","-25.2","55"
"2018-02-01 14:55","-25.0","56"
"2018-02-01 14:58","-25.3","55"
"2018-02-01 15:08","-25.1","55"
"2018-02-01 15:18","-25.1","56"
"2018-02-01 15:28","-25.5","54"
"2018-02-01 15:38","-25.4","55"
"2018-02-01 15:48","-25.2","54"
"2018-02-01 15:55","-25.5","55"
"2018-02-01 15:58","-25.2","55"
"2018-02-01 16:08","-25.2","55"
"2018-02-01 16:18","-25.3","56"
"2018-02-01 16:28","-25.0","56"
"2018-02-01 16:38","-25.2","56"
"2018-02-01 16:48","-25.0","58"
"2018-02-01 16:55","-25.1","57"
"2018-02-01 16:58","-25.1","58"
"2018-02-01 17:08","-25.2","58"
"2018-02-01 17:18","-25.2","59"
"2018-02-01 17:28","-25.2","60"
"2018-02-01 17:38","-25.3","61"
"2018-02-01 17:48","-25.3","62"
"2018-02-01 17:55","-25.2","63"
"2018-02-01 17:58","-25.2","63"
"2018-02-01 18:08","-25.3","64"
"2018-02-01 18:18","-25.5","65"
"2018-02-01 18:28","-25.5","66"
"2018-02-01 18:38","-25.5","67"
"2018-02-01 18:48","-25.6","69"
"2018-02-01 18:55","-25.5","69"
"2018-02-01 18:58","-25.5","69"
"2018-02-01 19:08","-25.5","70"
"2018-02-01 19:18","-25.7","69"
"2018-02-01 19:28","-25.9","70"
"2018-02-01 19:38","-25.9","70"
"2018-02-01 19:48","-25.9","71"
"2018-02-01 19:55","-25.9","71"
"2018-02-01 19:58","-25.9","71"
"2018-02-01 20:08","-26.1","72"
"2018-02-01 20:18","-26.3","72"
"2018-02-01 20:28","-26.2","73"
"2018-02-01 20:38","-26.1","74"
"2018-02-01 20:48","-26.2","75"
"2018-02-01 20:55","-26.3","75"
"2018-02-01 20:58","-26.2","75"
"2018-02-01 21:08","-26.2","75"
"2018-02-01 21:18","-26.2","75"
"2018-02-01 21:28","-26.3","76"
"2018-02-01 21:38","-26.3","76"
"2018-02-01 21:48","-26.4","76"
"2018-02-01 21:55","-26.3","76"
"2018-02-01 21:58","-26.4","76"
"2018-02-01 22:08","-26.1","77"
"2018-02-01 22:18","-26.2","76"
"2018-02-01 22:28","-26.2","77"
"2018-02-01 22:38","-26.4","77"
"2018-02-01 22:48","-26.9","77"
"2018-02-01 22:55","-26.9","78"
"2018-02-01 22:58","-27.2","78"
"2018-02-01 23:08","-27.3","80"
