"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:08","8","WSW","25"
"2018-02-01 00:18","10","W","23"
"2018-02-01 00:28","9","W","20"
"2018-02-01 00:38","7","W","17"
"2018-02-01 00:48","6","W","13"
"2018-02-01 00:55","8","W","18"
"2018-02-01 00:58","7","W","19"
"2018-02-01 01:08","9","W","19"
"2018-02-01 01:18","12","WNW","29"
"2018-02-01 01:28","17","WNW","36"
"2018-02-01 01:38","14","WNW","25"
"2018-02-01 01:48","16","WNW","32"
"2018-02-01 01:55","16","WNW","32"
"2018-02-01 01:58","14","WNW","32"
"2018-02-01 02:08","12","WNW","26"
"2018-02-01 02:18","14","WNW","24"
"2018-02-01 02:28","12","WNW","27"
"2018-02-01 02:38","12","WNW","25"
"2018-02-01 02:48","11","WNW","20"
"2018-02-01 02:55","12","WNW","19"
"2018-02-01 02:58","12","WNW","23"
"2018-02-01 03:08","12","WNW","23"
"2018-02-01 03:18","9","W","21"
"2018-02-01 03:28","11","WNW","25"
"2018-02-01 03:38","9","W","19"
"2018-02-01 03:48","12","WNW","25"
"2018-02-01 03:55","10","W","25"
"2018-02-01 03:58","10","W","22"
"2018-02-01 04:08","10","W","22"
"2018-02-01 04:18","11","W","25"
"2018-02-01 04:28","10","WNW","21"
"2018-02-01 04:38","9","W","20"
"2018-02-01 04:48","10","W","23"
"2018-02-01 04:55","12","W","22"
"2018-02-01 04:58","10","W","22"
"2018-02-01 05:08","9","W","19"
"2018-02-01 05:18","10","W","22"
"2018-02-01 05:28","10","W","22"
"2018-02-01 05:38","9","W","21"
"2018-02-01 05:48","8","W","19"
"2018-02-01 05:55","9","WNW","20"
"2018-02-01 05:58","9","WNW","20"
"2018-02-01 06:08","9","W","18"
"2018-02-01 06:18","9","WNW","26"
"2018-02-01 06:28","10","WNW","23"
"2018-02-01 06:38","10","WNW","21"
"2018-02-01 06:48","12","WNW","24"
"2018-02-01 06:55","13","WNW","24"
"2018-02-01 06:58","13","WNW","27"
"2018-02-01 07:08","12","WNW","24"
"2018-02-01 07:18","12","WNW","24"
"2018-02-01 07:28","11","WNW","22"
"2018-02-01 07:38","13","WNW","25"
"2018-02-01 07:48","13","WNW","25"
"2018-02-01 07:55","12","WNW","26"
"2018-02-01 07:58","12","WNW","26"
"2018-02-01 08:08","13","WNW","25"
"2018-02-01 08:18","15","WNW","32"
"2018-02-01 08:28","15","WNW","27"
"2018-02-01 08:38","13","WNW","24"
"2018-02-01 08:48","12","WNW","27"
"2018-02-01 08:55","11","WNW","22"
"2018-02-01 08:58","12","WNW","22"
"2018-02-01 09:08","15","WNW","29"
"2018-02-01 09:18","13","WNW","26"
"2018-02-01 09:28","14","WNW","30"
"2018-02-01 09:38","13","WNW","27"
"2018-02-01 09:48","18","WNW","31"
"2018-02-01 09:55","19","WNW","31"
"2018-02-01 09:58","18","WNW","31"
"2018-02-01 10:08","19","WNW","31"
"2018-02-01 10:18","19","WNW","37"
"2018-02-01 10:28","17","WNW","33"
"2018-02-01 10:38","18","WNW","31"
"2018-02-01 10:48","17","WNW","27"
"2018-02-01 10:55","18","WNW","40"
"2018-02-01 10:58","18","WNW","40"
"2018-02-01 11:08","18","WNW","35"
"2018-02-01 11:18","15","WNW","31"
"2018-02-01 11:28","15","WNW","27"
"2018-02-01 11:38","15","WNW","31"
"2018-02-01 11:48","20","WNW","31"
"2018-02-01 11:55","21","WNW","36"
"2018-02-01 11:58","20","NW","36"
"2018-02-01 12:08","17","WNW","31"
"2018-02-01 12:18","15","WNW","32"
"2018-02-01 12:28","16","WNW","30"
"2018-02-01 12:38","14","WNW","31"
"2018-02-01 12:48","17","WNW","33"
"2018-02-01 12:55","18","NW","31"
"2018-02-01 12:58","18","NW","31"
"2018-02-01 13:08","21","WNW","39"
"2018-02-01 13:18","18","WNW","30"
"2018-02-01 13:28","16","WNW","32"
"2018-02-01 13:38","15","WNW","33"
"2018-02-01 13:48","12","WNW","26"
"2018-02-01 13:55","16","WNW","35"
"2018-02-01 13:58","17","WNW","35"
"2018-02-01 14:08","16","WNW","29"
"2018-02-01 14:18","17","WNW","29"
"2018-02-01 14:28","15","WNW","28"
"2018-02-01 14:38","17","WNW","30"
"2018-02-01 14:48","16","WNW","28"
"2018-02-01 14:55","18","WNW","31"
"2018-02-01 14:58","18","WNW","31"
"2018-02-01 15:08","16","WNW","38"
"2018-02-01 15:18","18","NW","32"
"2018-02-01 15:28","16","WNW","32"
"2018-02-01 15:38","20","NW","33"
"2018-02-01 15:48","13","WNW","25"
"2018-02-01 15:55","16","NW","31"
"2018-02-01 15:58","17","NW","31"
"2018-02-01 16:08","12","WNW","22"
"2018-02-01 16:18","15","WNW","24"
"2018-02-01 16:28","12","WNW","21"
"2018-02-01 16:38","12","WNW","23"
"2018-02-01 16:48","12","WNW","22"
"2018-02-01 16:55","11","WNW","20"
"2018-02-01 16:58","11","WNW","20"
"2018-02-01 17:08","12","WNW","21"
"2018-02-01 17:18","12","WNW","23"
"2018-02-01 17:28","9","WNW","20"
"2018-02-01 17:38","6","WNW","15"
"2018-02-01 17:48","6","W","18"
"2018-02-01 17:55","7","W","18"
"2018-02-01 17:58","8","W","18"
"2018-02-01 18:08","9","W","17"
"2018-02-01 18:18","6","W","15"
"2018-02-01 18:28","6","WNW","17"
"2018-02-01 18:38","5","W","12"
"2018-02-01 18:48","4","W","13"
"2018-02-01 18:55","5","W","17"
"2018-02-01 18:58","6","W","17"
"2018-02-01 19:08","6","W","13"
"2018-02-01 19:18","6","W","15"
"2018-02-01 19:28","5","W","11"
"2018-02-01 19:38","4","W","14"
"2018-02-01 19:48","7","W","14"
"2018-02-01 19:55","6","W","15"
"2018-02-01 19:58","6","W","15"
"2018-02-01 20:08","5","W","12"
"2018-02-01 20:18","5","W","11"
"2018-02-01 20:28","5","W","13"
"2018-02-01 20:38","5","W","10"
"2018-02-01 20:48","3","W","8"
"2018-02-01 20:55","4","W","11"
"2018-02-01 20:58","5","W","12"
"2018-02-01 21:08","5","W","14"
"2018-02-01 21:18","5","W","15"
"2018-02-01 21:28","5","W","13"
"2018-02-01 21:38","6","W","17"
"2018-02-01 21:48","6","W","12"
"2018-02-01 21:55","6","W","13"
"2018-02-01 21:58","5","W","13"
"2018-02-01 22:08","6","W","12"
"2018-02-01 22:18","5","W","11"
"2018-02-01 22:28","6","WSW","14"
"2018-02-01 22:38","6","WSW","14"
"2018-02-01 22:48","6","WSW","14"
"2018-02-01 22:55","5","WSW","12"
"2018-02-01 22:58","5","WSW","12"
"2018-02-01 23:08","4","WSW","11"
"2018-02-01 23:18","5","W","12"
"2018-02-01 23:28","6","W","11"
"2018-02-01 23:38","5","W","10"
"2018-02-01 23:55","3","W","10"
"2018-02-01 23:58","3","WSW","8"
"2018-02-02 00:08","3","WSW","8"
"2018-02-02 00:18","4","W","10"
"2018-02-02 00:28","3","WSW","6"
"2018-02-02 00:38","2","WSW","6"
"2018-02-02 00:48","2","WSW","6"
"2018-02-02 00:55","2","WSW","6"
"2018-02-02 00:58","2","WSW","7"
"2018-02-02 01:08","3","WSW","6"
"2018-02-02 01:18","4","WSW","9"
"2018-02-02 01:28","3","WSW","8"
"2018-02-02 01:38","3","SW","9"
"2018-02-02 01:48","4","WSW","8"
"2018-02-02 01:55","4","WSW","7"
"2018-02-02 01:58","3","WSW","7"
"2018-02-02 02:08","2","SW","6"
"2018-02-02 02:18","1","WSW","6"
"2018-02-02 02:28","2","WSW","6"
