"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-01-01 00:08","-24.5","52"
"2018-01-01 00:18","-24.5","52"
"2018-01-01 00:28","-24.4","52"
"2018-01-01 00:38","-24.4","52"
"2018-01-01 00:48","-24.4","52"
"2018-01-01 00:55","-24.5","52"
"2018-01-01 00:58","-24.5","52"
"2018-01-01 01:08","-24.5","52"
"2018-01-01 01:18","-24.6","53"
"2018-01-01 01:28","-24.7","53"
"2018-01-01 01:38","-24.8","53"
"2018-01-01 01:48","-24.8","53"
"2018-01-01 01:55","-24.8","53"
"2018-01-01 01:59","-24.8","53"
"2018-01-01 02:08","-24.9","53"
"2018-01-01 02:18","-25.0","53"
"2018-01-01 02:28","-25.2","53"
"2018-01-01 02:38","-25.3","53"
"2018-01-01 02:48","-25.2","53"
"2018-01-01 02:55","-25.3","53"
"2018-01-01 02:59","-25.2","53"
"2018-01-01 03:08","-25.2","53"
"2018-01-01 03:18","-25.2","53"
"2018-01-01 03:28","-25.2","53"
"2018-01-01 03:38","-25.2","53"
"2018-01-01 03:48","-25.2","53"
"2018-01-01 03:55","-25.1","53"
"2018-01-01 03:59","-25.0","53"
"2018-01-01 04:08","-25.1","53"
"2018-01-01 04:18","-25.0","53"
"2018-01-01 04:28","-25.0","53"
"2018-01-01 04:38","-24.9","53"
"2018-01-01 04:48","-24.8","53"
"2018-01-01 04:55","-24.8","53"
"2018-01-01 04:59","-24.8","53"
"2018-01-01 05:08","-24.7","53"
"2018-01-01 05:18","-24.7","53"
"2018-01-01 05:28","-24.8","53"
"2018-01-01 05:38","-24.8","53"
"2018-01-01 05:48","-24.8","53"
"2018-01-01 05:55","-24.7","53"
"2018-01-01 05:59","-24.8","53"
"2018-01-01 06:08","-24.6","53"
"2018-01-01 06:18","-24.6","53"
"2018-01-01 06:28","-24.6","53"
"2018-01-01 06:38","-24.6","53"
"2018-01-01 06:48","-24.5","53"
"2018-01-01 06:55","-24.6","53"
"2018-01-01 06:59","-24.5","53"
"2018-01-01 07:08","-24.5","53"
"2018-01-01 07:18","-24.5","53"
"2018-01-01 07:28","-24.5","53"
"2018-01-01 07:38","-24.5","53"
"2018-01-01 07:48","-24.6","53"
"2018-01-01 07:55","-24.6","53"
"2018-01-01 07:59","-24.7","53"
"2018-01-01 08:08","-24.7","53"
"2018-01-01 08:18","-24.8","53"
"2018-01-01 08:28","-24.8","53"
"2018-01-01 08:38","-24.8","53"
"2018-01-01 08:48","-24.7","53"
"2018-01-01 08:55","-24.7","53"
"2018-01-01 08:59","-24.7","53"
"2018-01-01 09:08","-24.7","53"
"2018-01-01 09:18","-24.6","53"
"2018-01-01 09:28","-24.5","53"
"2018-01-01 09:38","-24.4","53"
"2018-01-01 09:48","-24.3","53"
"2018-01-01 09:55","-24.1","53"
"2018-01-01 09:59","-24.0","53"
"2018-01-01 10:08","-23.7","53"
"2018-01-01 10:18","-23.3","54"
"2018-01-01 10:28","-23.3","52"
"2018-01-01 10:38","-23.1","53"
"2018-01-01 10:48","-23.1","52"
"2018-01-01 10:55","-22.8","52"
"2018-01-01 10:59","-22.8","51"
"2018-01-01 11:08","-22.7","50"
"2018-01-01 11:18","-22.4","50"
"2018-01-01 11:28","-22.8","49"
"2018-01-01 11:38","-22.5","48"
"2018-01-01 11:48","-22.4","48"
"2018-01-01 11:55","-22.5","48"
"2018-01-01 11:59","-22.7","46"
"2018-01-01 12:08","-22.6","46"
"2018-01-01 12:18","-22.4","45"
"2018-01-01 12:28","-22.5","45"
"2018-01-01 12:38","-22.6","43"
"2018-01-01 12:48","-22.5","44"
"2018-01-01 12:55","-22.1","44"
"2018-01-01 12:59","-22.4","43"
"2018-01-01 13:08","-22.0","43"
"2018-01-01 13:18","-22.2","43"
"2018-01-01 13:28","-22.1","43"
"2018-01-01 13:38","-22.2","42"
"2018-01-01 13:48","-22.2","42"
"2018-01-01 13:55","-22.1","43"
"2018-01-01 13:59","-22.1","43"
"2018-01-01 14:08","-21.8","43"
"2018-01-01 14:18","-21.9","42"
"2018-01-01 14:28","-22.2","42"
"2018-01-01 14:38","-21.9","42"
"2018-01-01 14:48","-21.9","42"
"2018-01-01 14:55","-21.7","43"
"2018-01-01 14:59","-21.8","42"
"2018-01-01 15:08","-21.9","43"
"2018-01-01 15:18","-21.9","42"
"2018-01-01 15:28","-21.5","43"
"2018-01-01 15:38","-21.5","42"
"2018-01-01 15:48","-21.5","43"
"2018-01-01 15:55","-21.4","43"
"2018-01-01 15:59","-21.2","44"
"2018-01-01 16:08","-21.2","44"
