"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:08","-12.6","76"
"2018-03-01 00:18","-13.2","76"
"2018-03-01 00:28","-13.8","77"
"2018-03-01 00:38","-14.1","78"
"2018-03-01 00:48","-13.6","80"
"2018-03-01 00:55","-13.2","80"
"2018-03-01 00:58","-13.2","80"
"2018-03-01 01:08","-13.6","80"
"2018-03-01 01:18","-13.5","81"
"2018-03-01 01:28","-13.2","80"
"2018-03-01 01:38","-12.8","81"
"2018-03-01 01:48","-12.7","80"
"2018-03-01 01:55","-12.6","81"
"2018-03-01 01:58","-12.6","81"
"2018-03-01 02:08","-11.8","81"
"2018-03-01 02:18","-11.4","81"
"2018-03-01 02:28","-11.2","81"
"2018-03-01 02:38","-10.9","81"
"2018-03-01 02:48","-10.4","81"
"2018-03-01 02:55","-10.2","82"
"2018-03-01 02:56","-10.2","82"
"2018-03-01 02:58","-10.0","82"
"2018-03-01 03:08","-9.8","82"
"2018-03-01 03:18","-9.9","83"
"2018-03-01 03:28","-9.7","84"
"2018-03-01 03:38","-9.5","84"
"2018-03-01 03:48","-9.5","84"
"2018-03-01 03:55","-9.5","84"
"2018-03-01 03:58","-9.4","85"
"2018-03-01 04:08","-9.7","85"
"2018-03-01 04:18","-9.3","86"
"2018-03-01 04:28","-8.7","87"
"2018-03-01 04:38","-8.2","88"
"2018-03-01 04:48","-8.0","88"
"2018-03-01 04:55","-7.9","88"
"2018-03-01 04:58","-7.8","88"
"2018-03-01 05:08","-7.9","88"
"2018-03-01 05:18","-8.1","88"
"2018-03-01 05:28","-7.9","88"
"2018-03-01 05:38","-7.8","88"
"2018-03-01 05:48","-7.7","89"
"2018-03-01 05:55","-7.6","89"
"2018-03-01 05:58","-7.6","89"
"2018-03-01 06:08","-7.6","89"
"2018-03-01 06:18","-7.5","89"
"2018-03-01 06:28","-7.6","89"
"2018-03-01 06:38","-7.6","90"
"2018-03-01 06:48","-7.6","90"
"2018-03-01 06:55","-7.6","90"
"2018-03-01 06:58","-7.6","90"
"2018-03-01 07:08","-7.7","90"
"2018-03-01 07:18","-7.6","90"
"2018-03-01 07:28","-7.6","90"
"2018-03-01 08:28","-7.2","90"
"2018-03-01 08:38","-7.1","90"
"2018-03-01 08:48","-7.0","90"
"2018-03-01 08:55","-6.9","90"
"2018-03-01 08:58","-6.9","89"
"2018-03-01 09:08","-6.9","89"
"2018-03-01 09:18","-6.8","89"
"2018-03-01 09:28","-6.6","88"
"2018-03-01 09:38","-6.4","88"
"2018-03-01 09:48","-6.4","86"
"2018-03-01 09:55","-6.5","85"
"2018-03-01 09:58","-6.6","85"
"2018-03-01 10:08","-6.4","84"
"2018-03-01 10:18","-6.5","84"
"2018-03-01 10:28","-6.1","82"
"2018-03-01 10:38","-6.4","80"
"2018-03-01 10:48","-6.5","78"
"2018-03-01 10:55","-6.5","78"
"2018-03-01 10:58","-6.5","78"
"2018-03-01 11:08","-6.5","75"
"2018-03-01 11:18","-6.5","71"
"2018-03-01 11:28","-6.1","74"
"2018-03-01 11:38","-6.2","71"
"2018-03-01 11:48","-6.0","71"
"2018-03-01 11:55","-6.7","68"
"2018-03-01 11:58","-6.2","67"
"2018-03-01 12:08","-6.6","64"
"2018-03-01 12:18","-6.5","62"
"2018-03-01 12:28","-6.6","62"
"2018-03-01 12:38","-6.9","61"
