"Time EST","Pressure (kPa)"
"2017-11-01 00:09","95.82"
"2017-11-01 00:18","95.81"
"2017-11-01 00:29","95.82"
"2017-11-01 00:38","95.81"
"2017-11-01 00:48","95.81"
"2017-11-01 00:55","95.80"
"2017-11-01 00:58","95.80"
"2017-11-01 01:09","95.81"
"2017-11-01 01:18","95.80"
"2017-11-01 01:29","95.80"
"2017-11-01 01:38","95.80"
"2017-11-01 01:49","95.79"
"2017-11-01 01:55","95.79"
"2017-11-01 01:58","95.78"
"2017-11-01 02:08","95.77"
"2017-11-01 02:18","95.78"
"2017-11-01 02:28","95.78"
"2017-11-01 02:38","95.77"
"2017-11-01 02:49","95.76"
"2017-11-01 02:55","95.77"
"2017-11-01 02:58","95.77"
"2017-11-01 03:08","95.77"
"2017-11-01 03:18","95.77"
"2017-11-01 03:28","95.77"
"2017-11-01 03:38","95.77"
"2017-11-01 03:48","95.78"
"2017-11-01 03:55","95.78"
"2017-11-01 03:58","95.77"
"2017-11-01 04:08","95.77"
"2017-11-01 04:18","95.77"
"2017-11-01 04:28","95.76"
"2017-11-01 04:38","95.77"
"2017-11-01 04:48","95.76"
"2017-11-01 04:55","95.77"
"2017-11-01 04:58","95.76"
"2017-11-01 05:08","95.76"
"2017-11-01 05:18","95.75"
"2017-11-01 05:28","95.75"
"2017-11-01 05:38","95.74"
"2017-11-01 05:48","95.74"
"2017-11-01 05:55","95.73"
"2017-11-01 05:58","95.73"
"2017-11-01 06:08","95.72"
"2017-11-01 06:18","95.70"
"2017-11-01 06:28","95.70"
"2017-11-01 06:38","95.69"
"2017-11-01 06:48","95.67"
"2017-11-01 06:55","95.69"
"2017-11-01 06:58","95.68"
"2017-11-01 07:08","95.68"
"2017-11-01 07:18","95.67"
"2017-11-01 07:28","95.68"
"2017-11-01 07:38","95.68"
"2017-11-01 07:48","95.68"
"2017-11-01 07:55","95.69"
"2017-11-01 07:58","95.69"
"2017-11-01 08:08","95.69"
"2017-11-01 08:18","95.70"
"2017-11-01 08:28","95.70"
"2017-11-01 08:38","95.70"
"2017-11-01 08:48","95.71"
"2017-11-01 08:55","95.71"
"2017-11-01 08:58","95.70"
"2017-11-01 09:08","95.70"
"2017-11-01 09:18","95.70"
"2017-11-01 09:28","95.70"
"2017-11-01 09:38","95.69"
"2017-11-01 09:48","95.69"
"2017-11-01 09:55","95.69"
"2017-11-01 09:58","95.69"
"2017-11-01 10:08","95.70"
"2017-11-01 10:18","95.69"
"2017-11-01 10:28","95.68"
"2017-11-01 10:38","95.69"
"2017-11-01 10:48","95.67"
"2017-11-01 10:55","95.66"
"2017-11-01 10:58","95.67"
"2017-11-01 11:09","95.67"
"2017-11-01 11:18","95.67"
"2017-11-01 11:28","95.67"
"2017-11-01 11:38","95.67"
"2017-11-01 11:48","95.68"
"2017-11-01 11:55","95.66"
"2017-11-01 11:58","95.66"
"2017-11-01 12:08","95.65"
"2017-11-01 12:18","95.65"
"2017-11-01 12:29","95.65"
"2017-11-01 12:38","95.64"
"2017-11-01 12:49","95.63"
"2017-11-01 12:55","95.62"
"2017-11-01 12:58","95.62"
"2017-11-01 13:08","95.62"
"2017-11-01 13:18","95.61"
"2017-11-01 13:28","95.60"
"2017-11-01 13:38","95.59"
"2017-11-01 13:49","95.59"
"2017-11-01 13:55","95.58"
"2017-11-01 13:58","95.56"
"2017-11-01 14:09","95.56"
"2017-11-01 14:18","95.56"
"2017-11-01 14:29","95.56"
"2017-11-01 14:38","95.54"
"2017-11-01 14:49","95.54"
"2017-11-01 14:55","95.54"
"2017-11-01 14:58","95.53"
"2017-11-01 15:08","95.52"
"2017-11-01 15:18","95.53"
"2017-11-01 15:28","95.52"
"2017-11-01 15:38","95.53"
"2017-11-01 15:49","95.53"
"2017-11-01 15:55","95.53"
"2017-11-01 15:58","95.53"
"2017-11-01 16:09","95.52"
"2017-11-01 16:18","95.53"
"2017-11-01 16:29","95.54"
"2017-11-01 16:38","95.54"
"2017-11-01 16:49","95.54"
"2017-11-01 16:55","95.53"
"2017-11-01 16:56","95.53"
"2017-11-01 16:58","95.53"
"2017-11-01 17:09","95.54"
"2017-11-01 17:18","95.54"
"2017-11-01 17:28","95.53"
"2017-11-01 17:38","95.52"
"2017-11-01 17:48","95.53"
"2017-11-01 17:55","95.52"
"2017-11-01 17:58","95.51"
"2017-11-01 18:09","95.51"
"2017-11-01 18:18","95.51"
"2017-11-01 18:29","95.50"
"2017-11-01 18:38","95.51"
"2017-11-01 18:49","95.51"
"2017-11-01 18:55","95.51"
"2017-11-01 18:58","95.52"
"2017-11-01 19:08","95.52"
"2017-11-01 19:18","95.51"
"2017-11-01 19:30","95.51"
"2017-11-01 19:38","95.53"
"2017-11-01 19:50","95.54"
"2017-11-01 19:55","95.55"
"2017-11-01 19:56","95.54"
"2017-11-01 19:58","95.55"
"2017-11-01 20:08","95.55"
"2017-11-01 20:18","95.53"
"2017-11-01 20:28","95.54"
"2017-11-01 20:38","95.54"
"2017-11-01 20:48","95.54"
"2017-11-01 20:55","95.55"
"2017-11-01 20:58","95.54"
"2017-11-01 21:08","95.55"
"2017-11-01 21:18","95.55"
"2017-11-01 21:28","95.55"
"2017-11-01 21:38","95.55"
"2017-11-01 21:48","95.54"
"2017-11-01 21:55","95.52"
"2017-11-01 21:58","95.53"
"2017-11-01 22:08","95.52"
"2017-11-01 22:18","95.52"
"2017-11-01 22:28","95.53"
"2017-11-01 22:38","95.54"
"2017-11-01 22:48","95.55"
"2017-11-01 22:55","95.55"
"2017-11-01 22:58","95.54"
"2017-11-01 23:08","95.54"
"2017-11-01 23:18","95.54"
"2017-11-01 23:28","95.54"
"2017-11-01 23:38","95.53"
"2017-11-01 23:48","95.54"
"2017-11-01 23:55","95.54"
"2017-11-01 23:58","95.54"
"2017-11-02 00:08","95.53"
"2017-11-02 00:18","95.53"
"2017-11-02 00:28","95.53"
"2017-11-02 00:38","95.53"
"2017-11-02 00:48","95.52"
"2017-11-02 00:55","95.52"
"2017-11-02 00:58","95.52"
"2017-11-02 01:08","95.51"
"2017-11-02 01:18","95.51"
"2017-11-02 01:28","95.51"
"2017-11-02 01:38","95.50"
"2017-11-02 01:48","95.51"
"2017-11-02 01:55","95.49"
"2017-11-02 01:58","95.50"
"2017-11-02 02:08","95.49"
"2017-11-02 02:18","95.46"
"2017-11-02 02:28","95.46"
"2017-11-02 02:38","95.45"
"2017-11-02 02:48","95.45"
"2017-11-02 02:55","95.44"
"2017-11-02 02:58","95.43"
"2017-11-02 03:08","95.43"
"2017-11-02 03:18","95.41"
"2017-11-02 03:28","95.40"
"2017-11-02 03:38","95.42"
"2017-11-02 03:48","95.41"
"2017-11-02 03:55","95.42"
"2017-11-02 03:58","95.43"
"2017-11-02 04:08","95.43"
