"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2017-11-01 00:09","0.7","0.0","Yes"
"2017-11-01 00:18","0.1","0","No"
"2017-11-01 00:29","0.1","0","No"
"2017-11-01 00:38","0.0","0","No"
"2017-11-01 00:48","0.0","0.0","No"
"2017-11-01 00:58","0.0","0","No"
"2017-11-01 01:09","0.0","0","No"
"2017-11-01 01:18","0.0","0","No"
"2017-11-01 01:29","0.0","0","No"
"2017-11-01 01:38","0.0","0","No"
"2017-11-01 01:49","0.0","0","No"
"2017-11-01 01:58","0.0","0","No"
"2017-11-01 02:08","0.0","0","No"
"2017-11-01 02:18","0.0","0","Yes"
"2017-11-01 02:28","0.0","0.0","Yes"
"2017-11-01 02:38","0.0","0","No"
"2017-11-01 02:49","0.0","0","No"
"2017-11-01 02:58","0.0","0","No"
"2017-11-01 03:08","0.0","0","No"
"2017-11-01 03:18","0.0","0","No"
"2017-11-01 03:28","0.0","0.0","Yes"
"2017-11-01 03:38","0.1","0","No"
"2017-11-01 03:48","0.1","0.0","Yes"
"2017-11-01 03:58","0.1","0","No"
"2017-11-01 04:08","0.1","0","No"
"2017-11-01 04:18","0.0","0","No"
"2017-11-01 04:28","0.0","0","No"
"2017-11-01 04:38","0.0","0","No"
"2017-11-01 04:48","0.0","0","No"
"2017-11-01 04:58","0.0","0","No"
"2017-11-01 05:08","0.0","0","No"
"2017-11-01 05:18","0.0","0","No"
"2017-11-01 05:28","0.0","0","No"
"2017-11-01 05:38","0.0","0","No"
"2017-11-01 05:48","0.0","0","No"
"2017-11-01 05:58","0.0","0","No"
"2017-11-01 06:08","0.0","0","No"
"2017-11-01 06:18","0.0","0","No"
"2017-11-01 06:28","0.0","0","No"
"2017-11-01 06:38","0.0","0","No"
"2017-11-01 06:48","0.0","0","No"
"2017-11-01 06:58","0.0","0","No"
"2017-11-01 07:08","0.0","0","No"
"2017-11-01 07:18","0.0","0","No"
"2017-11-01 07:28","0.0","0","No"
"2017-11-01 07:38","0.0","0","No"
"2017-11-01 07:48","0.0","0","No"
"2017-11-01 07:58","0.0","0","No"
"2017-11-01 08:08","0.0","0.0","No"
"2017-11-01 08:18","0.3","0.1","Yes"
"2017-11-01 08:28","0.3","0","Yes"
"2017-11-01 08:38","0.4","0","No"
"2017-11-01 08:48","0.4","0","No"
"2017-11-01 08:58","0.4","0","No"
"2017-11-01 09:08","0.4","0","No"
"2017-11-01 09:18","0.2","0","No"
"2017-11-01 09:28","0.1","0","No"
"2017-11-01 09:38","0.0","0","No"
"2017-11-01 09:48","0.0","0","No"
"2017-11-01 09:58","0.0","0","No"
"2017-11-01 10:08","0.0","0","No"
"2017-11-01 10:18","0.0","0","No"
"2017-11-01 10:28","0.0","0","No"
"2017-11-01 10:38","0.0","0","No"
"2017-11-01 10:48","0.0","0","No"
"2017-11-01 10:58","0.0","0","No"
"2017-11-01 11:09","0.0","0","No"
"2017-11-01 11:18","0.0","0","No"
"2017-11-01 11:28","0.0","0","No"
"2017-11-01 11:38","0.0","0","No"
"2017-11-01 11:48","0.0","0","No"
"2017-11-01 11:58","0.0","0","No"
"2017-11-01 12:08","0.0","0","No"
"2017-11-01 12:18","0.0","0","No"
"2017-11-01 12:29","0.0","0","No"
"2017-11-01 12:38","0.0","0","No"
"2017-11-01 12:49","0.0","0","No"
"2017-11-01 12:58","0.0","0","No"
"2017-11-01 13:08","0.0","0","No"
"2017-11-01 13:18","0.0","0","No"
"2017-11-01 13:28","0.0","0","No"
"2017-11-01 13:38","0.0","0","No"
"2017-11-01 13:49","0.0","0","No"
"2017-11-01 13:58","0.0","0","No"
"2017-11-01 14:09","0.0","0","No"
"2017-11-01 14:18","0.0","0","No"
"2017-11-01 14:29","0.0","0","No"
"2017-11-01 14:38","0.0","0","No"
"2017-11-01 14:49","0.0","0","No"
"2017-11-01 14:58","0.0","0","No"
"2017-11-01 15:08","0.0","0","No"
"2017-11-01 15:18","0.0","0","No"
"2017-11-01 15:28","0.0","0","No"
"2017-11-01 15:38","0.0","0","No"
