"Time EST","Air Temp (°C)"
"2017-12-01 10:38","-0.1"
"2017-12-01 10:59","0.4"
"2017-12-01 11:18","1.5"
"2017-12-01 11:38","1.7"
"2017-12-01 11:59","2.0"
"2017-12-01 12:18","2.5"
"2017-12-01 12:38","2.4"
"2017-12-01 12:58","2.7"
"2017-12-01 13:18","2.9"
"2017-12-01 13:38","3.3"
"2017-12-01 13:48","3.4"
"2017-12-01 13:58","3.3"
"2017-12-01 14:08","3.4"
"2017-12-01 14:18","3.5"
"2017-12-01 14:28","3.3"
"2017-12-01 14:38","3.1"
"2017-12-01 14:48","2.7"
"2017-12-01 14:58","2.8"
"2017-12-01 15:08","2.5"
"2017-12-01 15:18","2.0"
"2017-12-01 15:28","2.1"
"2017-12-01 15:38","1.8"
"2017-12-01 15:48","1.7"
"2017-12-01 15:58","0.2"
"2017-12-01 16:08","0.0"
"2017-12-01 16:18","-1.3"
"2017-12-01 16:28","-1.4"
"2017-12-01 16:38","-2.3"
"2017-12-01 16:48","-3.0"
"2017-12-01 16:59","-3.1"
"2017-12-01 17:08","-3.4"
"2017-12-01 17:18","-4.0"
"2017-12-01 17:28","-3.8"
"2017-12-01 17:38","-4.3"
"2017-12-01 17:48","-4.5"
"2017-12-01 17:59","-4.7"
"2017-12-01 18:08","-4.6"
"2017-12-01 18:18","-4.9"
"2017-12-01 18:28","-5.0"
"2017-12-01 18:38","-5.2"
"2017-12-01 18:48","-5.3"
"2017-12-01 18:59","-5.6"
"2017-12-01 19:08","-5.4"
"2017-12-01 19:18","-5.2"
"2017-12-01 19:28","-5.4"
"2017-12-01 19:38","-5.8"
"2017-12-01 19:48","-5.5"
"2017-12-01 19:59","-5.4"
"2017-12-01 20:08","-5.3"
"2017-12-01 20:18","-6.0"
"2017-12-01 20:28","-5.9"
"2017-12-01 20:38","-5.7"
"2017-12-01 20:48","-5.9"
"2017-12-01 20:59","-5.9"
"2017-12-01 21:08","-5.4"
"2017-12-01 21:18","-4.8"
"2017-12-01 21:28","-4.3"
"2017-12-01 21:38","-4.4"
"2017-12-01 21:48","-3.8"
"2017-12-01 21:58","-3.7"
"2017-12-01 22:08","-4.2"
"2017-12-01 22:18","-3.9"
"2017-12-01 22:28","-4.2"
"2017-12-01 22:38","-4.0"
"2017-12-01 22:48","-4.1"
"2017-12-01 22:59","-3.7"
"2017-12-01 23:08","-3.7"
"2017-12-01 23:18","-3.4"
"2017-12-01 23:28","-3.3"
"2017-12-01 23:38","-3.1"
"2017-12-01 23:48","-2.9"
"2017-12-01 23:58","-2.8"
"2017-12-02 00:08","-2.6"
"2017-12-02 00:18","-2.8"
"2017-12-02 00:28","-2.8"
"2017-12-02 00:38","-3.1"
"2017-12-02 00:48","-2.9"
