"Time EST","Pressure (kPa)"
"2017-12-01 10:38","102.82"
"2017-12-01 10:59","102.84"
"2017-12-01 11:18","102.84"
"2017-12-01 11:38","102.84"
"2017-12-01 11:59","102.84"
"2017-12-01 12:18","102.84"
"2017-12-01 12:38","102.84"
"2017-12-01 12:58","102.83"
"2017-12-01 13:18","102.82"
"2017-12-01 13:38","102.82"
"2017-12-01 13:48","102.82"
"2017-12-01 13:58","102.82"
"2017-12-01 14:08","102.83"
"2017-12-01 14:18","102.82"
"2017-12-01 14:28","102.82"
"2017-12-01 14:38","102.82"
"2017-12-01 14:48","102.82"
"2017-12-01 14:58","102.83"
"2017-12-01 15:08","102.83"
"2017-12-01 15:18","102.83"
"2017-12-01 15:28","102.83"
"2017-12-01 15:38","102.84"
"2017-12-01 15:48","102.84"
"2017-12-01 15:58","102.84"
"2017-12-01 16:08","102.84"
"2017-12-01 16:18","102.85"
"2017-12-01 16:28","102.85"
"2017-12-01 16:38","102.85"
"2017-12-01 16:48","102.85"
"2017-12-01 16:59","102.85"
"2017-12-01 17:08","102.85"
"2017-12-01 17:18","102.86"
"2017-12-01 17:28","102.86"
"2017-12-01 17:38","102.87"
"2017-12-01 17:48","102.87"
"2017-12-01 17:59","102.87"
"2017-12-01 18:08","102.87"
"2017-12-01 18:18","102.87"
"2017-12-01 18:28","102.88"
"2017-12-01 18:38","102.87"
"2017-12-01 18:48","102.87"
"2017-12-01 18:59","102.87"
"2017-12-01 19:08","102.87"
"2017-12-01 19:18","102.87"
"2017-12-01 19:28","102.87"
"2017-12-01 19:38","102.87"
"2017-12-01 19:48","102.87"
"2017-12-01 19:59","102.88"
"2017-12-01 20:08","102.88"
"2017-12-01 20:18","102.88"
"2017-12-01 20:28","102.88"
"2017-12-01 20:38","102.88"
"2017-12-01 20:48","102.88"
"2017-12-01 20:59","102.88"
"2017-12-01 21:08","102.88"
"2017-12-01 21:18","102.88"
"2017-12-01 21:28","102.88"
"2017-12-01 21:38","102.89"
"2017-12-01 21:48","102.89"
