"Time EST","Air Temp (°C)"
"2018-02-01 00:08","-19.8"
"2018-02-01 00:18","-19.8"
"2018-02-01 00:28","-19.8"
"2018-02-01 00:38","-19.9"
"2018-02-01 00:48","-19.9"
"2018-02-01 00:58","-20.0"
"2018-02-01 01:08","-20.1"
"2018-02-01 01:18","-20.2"
"2018-02-01 01:28","-20.2"
"2018-02-01 01:38","-20.3"
"2018-02-01 01:48","-20.5"
"2018-02-01 01:58","-20.7"
"2018-02-01 02:08","-20.9"
"2018-02-01 02:18","-21.0"
"2018-02-01 02:28","-21.1"
"2018-02-01 02:38","-21.2"
"2018-02-01 02:48","-21.1"
"2018-02-01 02:58","-21.0"
"2018-02-01 03:08","-21.0"
"2018-02-01 03:18","-21.0"
"2018-02-01 03:28","-20.9"
"2018-02-01 03:38","-20.8"
"2018-02-01 03:48","-20.9"
"2018-02-01 03:58","-20.9"
"2018-02-01 04:08","-21.0"
"2018-02-01 04:18","-21.0"
"2018-02-01 04:28","-21.0"
"2018-02-01 04:38","-21.0"
"2018-02-01 04:48","-21.1"
"2018-02-01 04:58","-21.2"
"2018-02-01 05:08","-21.2"
"2018-02-01 05:18","-21.2"
"2018-02-01 05:28","-21.3"
"2018-02-01 05:38","-21.3"
"2018-02-01 05:48","-21.4"
"2018-02-01 05:58","-21.5"
"2018-02-01 06:08","-21.6"
"2018-02-01 06:18","-21.9"
"2018-02-01 06:28","-22.3"
"2018-02-01 06:38","-22.5"
"2018-02-01 06:48","-22.6"
"2018-02-01 06:58","-22.7"
"2018-02-01 07:08","-22.7"
"2018-02-01 07:18","-22.8"
"2018-02-01 07:28","-22.8"
"2018-02-01 07:38","-22.9"
"2018-02-01 07:48","-23.1"
"2018-02-01 07:58","-23.2"
"2018-02-01 08:08","-23.2"
"2018-02-01 08:18","-23.3"
"2018-02-01 08:28","-23.2"
"2018-02-01 08:38","-23.1"
"2018-02-01 08:48","-23.1"
"2018-02-01 08:58","-23.1"
"2018-02-01 09:08","-23.0"
"2018-02-01 09:18","-22.8"
