"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:08","11","W","23"
"2018-02-01 00:18","13","WNW","23"
"2018-02-01 00:28","13","W","28"
"2018-02-01 00:38","15","W","32"
"2018-02-01 00:48","16","W","26"
"2018-02-01 00:58","14","W","28"
"2018-02-01 01:08","15","W","27"
"2018-02-01 01:18","13","WSW","26"
"2018-02-01 01:28","15","NW","31"
"2018-02-01 01:38","10","W","31"
"2018-02-01 01:48","13","W","33"
"2018-02-01 01:58","14","W","25"
"2018-02-01 02:08","12","W","26"
"2018-02-01 02:18","12","W","26"
"2018-02-01 02:28","8","WNW","21"
"2018-02-01 02:38","14","WNW","26"
"2018-02-01 02:48","12","NW","24"
"2018-02-01 02:58","12","W","24"
"2018-02-01 03:08","12","NW","21"
"2018-02-01 03:18","12","W","21"
"2018-02-01 03:28","13","W","21"
"2018-02-01 03:38","11","W","23"
"2018-02-01 03:48","9","W","19"
"2018-02-01 03:58","9","W","23"
"2018-02-01 04:08","9","W","19"
"2018-02-01 04:18","8","NW","18"
"2018-02-01 04:28","10","NW","25"
"2018-02-01 04:38","9","WNW","19"
"2018-02-01 04:48","11","WNW","19"
"2018-02-01 04:58","10","W","19"
"2018-02-01 05:08","7","WNW","24"
"2018-02-01 05:18","6","WNW","19"
"2018-02-01 05:28","9","W","21"
"2018-02-01 05:38","9","W","15"
"2018-02-01 05:48","9","W","21"
"2018-02-01 05:58","11","NW","22"
"2018-02-01 06:08","6","NW","18"
"2018-02-01 06:18","11","WNW","32"
"2018-02-01 06:28","13","WNW","24"
"2018-02-01 06:38","10","NW","27"
"2018-02-01 06:48","8","NW","22"
"2018-02-01 06:58","6","NW","18"
"2018-02-01 07:08","8","WNW","20"
"2018-02-01 07:18","8","WNW","20"
"2018-02-01 07:28","10","WNW","17"
"2018-02-01 07:38","8","W","23"
"2018-02-01 07:48","7","NW","19"
"2018-02-01 07:58","7","NW","26"
"2018-02-01 08:08","8","WNW","17"
"2018-02-01 08:18","8","W","17"
"2018-02-01 08:28","10","WNW","18"
"2018-02-01 08:38","7","WNW","23"
"2018-02-01 08:48","7","WNW","14"
"2018-02-01 08:58","11","W","20"
"2018-02-01 09:08","8","WNW","19"
"2018-02-01 09:18","8","W","19"
"2018-02-01 09:28","9","W","21"
"2018-02-01 09:38","6","WNW","29"
"2018-02-01 09:48","11","NW","24"
"2018-02-01 09:58","11","NW","26"
"2018-02-01 10:08","13","WNW","23"
"2018-02-01 10:18","8","NW","27"
"2018-02-01 10:28","13","W","25"
"2018-02-01 10:38","12","WNW","25"
"2018-02-01 10:48","8","WNW","24"
"2018-02-01 10:58","9","NW","23"
"2018-02-01 11:08","14","NW","26"
"2018-02-01 11:18","13","WNW","25"
"2018-02-01 11:28","6","NW","23"
"2018-02-01 11:38","10","NW","21"
"2018-02-01 11:48","14","W","26"
"2018-02-01 11:58","9","W","24"
"2018-02-01 12:08","10","W","27"
"2018-02-01 12:18","10","NNW","23"
"2018-02-01 12:28","11","NW","24"
"2018-02-01 12:38","10","NW","26"
"2018-02-01 12:48","10","NW","22"
"2018-02-01 12:58","9","W","24"
"2018-02-01 13:08","10","WNW","25"
"2018-02-01 13:18","11","NW","23"
"2018-02-01 13:28","9","NW","24"
"2018-02-01 13:38","10","W","19"
"2018-02-01 13:48","14","NW","29"
"2018-02-01 13:58","8","WNW","21"
