"Time EST","Pressure (kPa)"
"2018-01-15 12:46","103.68"
"2018-01-15 12:48","103.68"
"2018-01-15 13:08","103.68"
"2018-01-15 13:20","103.68"
"2018-01-15 13:28","103.68"
"2018-01-15 13:39","103.68"
"2018-01-15 13:48","103.69"
"2018-01-15 14:08","103.70"
"2018-01-15 14:10","103.70"
"2018-01-15 14:28","103.70"
"2018-01-15 14:41","103.71"
"2018-01-15 14:48","103.72"
"2018-01-15 15:01","103.71"
"2018-01-15 15:08","103.71"
"2018-01-15 15:27","103.72"
"2018-01-15 15:28","103.72"
"2018-01-15 15:42","103.73"
"2018-01-15 15:48","103.73"
"2018-01-15 16:03","103.74"
"2018-01-15 16:08","103.75"
"2018-01-15 16:27","103.75"
"2018-01-15 16:28","103.76"
"2018-01-15 16:46","103.77"
"2018-01-15 16:48","103.76"
"2018-01-15 17:04","103.77"
"2018-01-15 17:08","103.78"
"2018-01-15 17:28","103.81"
"2018-01-15 17:47","103.82"
"2018-01-15 17:48","103.82"
"2018-01-15 18:08","103.83"
"2018-01-15 18:10","103.83"
"2018-01-15 18:28","103.85"
"2018-01-15 18:42","103.85"
"2018-01-15 18:48","103.85"
"2018-01-15 19:01","103.85"
"2018-01-15 19:08","103.86"
"2018-01-15 19:19","103.87"
"2018-01-15 19:28","103.87"
"2018-01-15 19:40","103.88"
"2018-01-15 19:48","103.88"
"2018-01-15 20:01","103.89"
"2018-01-15 20:08","103.89"
"2018-01-15 20:22","103.89"
"2018-01-15 20:28","103.89"
"2018-01-15 20:47","103.89"
"2018-01-15 20:48","103.88"
"2018-01-15 21:07","103.89"
"2018-01-15 21:08","103.89"
"2018-01-15 21:28","103.89"
"2018-01-15 21:33","103.89"
"2018-01-15 21:48","103.89"
"2018-01-15 22:02","103.89"
"2018-01-15 22:08","103.90"
"2018-01-15 22:19","103.90"
"2018-01-15 22:28","103.91"
"2018-01-15 22:41","103.92"
"2018-01-15 22:48","103.92"
"2018-01-15 23:03","103.91"
"2018-01-15 23:08","103.91"
"2018-01-15 23:28","103.92"
"2018-01-15 23:29","103.91"
"2018-01-15 23:40","103.92"
"2018-01-15 23:48","103.92"
"2018-01-16 00:01","103.92"
"2018-01-16 00:08","103.92"
"2018-01-16 00:25","103.92"
"2018-01-16 00:28","103.92"
"2018-01-16 00:47","103.91"
"2018-01-16 00:48","103.91"
"2018-01-16 01:08","103.91"
"2018-01-16 01:10","103.91"
"2018-01-16 01:28","103.90"
"2018-01-16 01:47","103.90"
"2018-01-16 01:48","103.90"
"2018-01-16 02:08","103.90"
"2018-01-16 02:10","103.90"
"2018-01-16 02:22","103.90"
"2018-01-16 02:28","103.90"
"2018-01-16 02:41","103.91"
"2018-01-16 02:48","103.90"
"2018-01-16 03:08","103.91"
"2018-01-16 03:19","103.90"
"2018-01-16 03:28","103.90"
"2018-01-16 03:43","103.90"
"2018-01-16 03:48","103.90"
"2018-01-16 04:06","103.89"
"2018-01-16 04:08","103.89"
"2018-01-16 04:28","103.88"
"2018-01-16 04:45","103.88"
"2018-01-16 04:48","103.88"
"2018-01-16 05:08","103.87"
"2018-01-16 05:09","103.87"
"2018-01-16 05:28","103.85"
"2018-01-16 05:31","103.85"
"2018-01-16 05:48","103.85"
"2018-01-16 06:01","103.85"
"2018-01-16 06:08","103.85"
"2018-01-16 06:28","103.85"
"2018-01-16 06:47","103.84"
"2018-01-16 06:48","103.84"
"2018-01-16 07:08","103.84"
"2018-01-16 07:10","103.84"
"2018-01-16 07:28","103.84"
"2018-01-16 07:42","103.84"
"2018-01-16 07:48","103.83"
"2018-01-16 08:05","103.83"
"2018-01-16 08:08","103.83"
"2018-01-16 08:23","103.83"
"2018-01-16 08:28","103.82"
"2018-01-16 08:45","103.81"
"2018-01-16 08:48","103.80"
"2018-01-16 09:08","103.81"
"2018-01-16 09:10","103.80"
"2018-01-16 09:28","103.80"
"2018-01-16 09:41","103.80"
"2018-01-16 09:48","103.78"
"2018-01-16 10:08","103.78"
"2018-01-16 10:28","103.77"
"2018-01-16 10:46","103.76"
"2018-01-16 10:48","103.76"
"2018-01-16 11:08","103.75"
"2018-01-16 11:10","103.74"
"2018-01-16 11:28","103.73"
"2018-01-16 11:47","103.70"
