"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2018-01-15 12:46","0.0","0","No"
"2018-01-15 12:48","0.0","0","No"
"2018-01-15 13:08","0.0","0","No"
"2018-01-15 13:20","0.0","0","No"
"2018-01-15 13:28","0.0","0","No"
"2018-01-15 13:39","0.0","0","No"
"2018-01-15 13:48","0.0","0","No"
"2018-01-15 14:08","0.0","0","No"
"2018-01-15 14:10","0.0","0","No"
"2018-01-15 14:28","0.0","0","No"
"2018-01-15 14:41","0.0","0","No"
"2018-01-15 14:48","0.0","0","No"
"2018-01-15 15:01","0.0","0","No"
"2018-01-15 15:08","0.0","0","No"
"2018-01-15 15:27","0.0","0","No"
"2018-01-15 15:28","0.0","0","No"
"2018-01-15 15:42","0.0","0","No"
"2018-01-15 15:48","0.0","0","No"
"2018-01-15 16:03","0.0","0","No"
"2018-01-15 16:08","0.0","0","No"
"2018-01-15 16:27","0.0","0","Yes"
"2018-01-15 16:28","0.0","0","Yes"
"2018-01-15 16:46","0.0","0","Yes"
"2018-01-15 16:48","0.0","0","Yes"
"2018-01-15 17:04","0.0","0","Yes"
"2018-01-15 17:08","0.0","0","Yes"
"2018-01-15 17:28","0.0","0","Yes"
"2018-01-15 17:47","0.0","0","Yes"
"2018-01-15 17:48","0.0","0","Yes"
"2018-01-15 18:08","0.0","0","Yes"
"2018-01-15 18:10","0.0","0","Yes"
"2018-01-15 18:28","0.0","0","Yes"
"2018-01-15 18:42","0.0","0","Yes"
"2018-01-15 18:48","0.0","0","Yes"
"2018-01-15 19:01","0.0","0","Yes"
"2018-01-15 19:08","0.0","0","Yes"
"2018-01-15 19:19","0.0","0","Yes"
"2018-01-15 19:28","0.0","0","Yes"
"2018-01-15 19:40","0.0","0","Yes"
"2018-01-15 19:48","0.0","0","Yes"
"2018-01-15 20:01","0.0","0","Yes"
"2018-01-15 20:08","0.0","0","Yes"
"2018-01-15 20:22","0.0","0","Yes"
"2018-01-15 20:28","0.0","0","Yes"
"2018-01-15 20:47","0.0","0","Yes"
"2018-01-15 20:48","0.0","0","Yes"
"2018-01-15 21:07","0.0","0","Yes"
"2018-01-15 21:08","0.0","0","Yes"
"2018-01-15 21:28","0.0","0","Yes"
"2018-01-15 21:33","0.0","0","Yes"
"2018-01-15 21:48","0.0","0","Yes"
"2018-01-15 22:02","0.0","0","Yes"
"2018-01-15 22:08","0.0","0","Yes"
"2018-01-15 22:19","0.0","0","Yes"
"2018-01-15 22:28","0.0","0","No"
"2018-01-15 22:41","0.0","0","No"
"2018-01-15 22:48","0.0","0","No"
"2018-01-15 23:03","0.0","0","No"
"2018-01-15 23:08","0.0","0","No"
"2018-01-15 23:28","0.0","0","No"
"2018-01-15 23:29","0.0","0","No"
"2018-01-15 23:40","0.0","0","No"
"2018-01-15 23:48","0.0","0","No"
"2018-01-16 00:01","0.0","0","No"
"2018-01-16 00:08","0.0","0","No"
"2018-01-16 00:25","0.0","0","No"
"2018-01-16 00:28","0.0","0","No"
"2018-01-16 00:47","0.0","0","No"
"2018-01-16 00:48","0.0","0","No"
"2018-01-16 01:08","0.0","0","No"
"2018-01-16 01:10","0.0","0","No"
"2018-01-16 01:28","0.0","0","No"
"2018-01-16 01:47","0.0","0","Yes"
"2018-01-16 01:48","0.0","0","Yes"
"2018-01-16 02:08","0.0","0","Yes"
"2018-01-16 02:10","0.0","0","Yes"
"2018-01-16 02:22","0.0","0","No"
"2018-01-16 02:28","0.0","0","No"
"2018-01-16 02:41","0.0","0","No"
"2018-01-16 02:48","0.0","0","No"
"2018-01-16 03:08","0.0","0","No"
"2018-01-16 03:19","0.0","0","No"
"2018-01-16 03:28","0.0","0","No"
"2018-01-16 03:43","0.0","0","Yes"
"2018-01-16 03:48","0.0","0","Yes"
"2018-01-16 04:06","0.0","0","No"
"2018-01-16 04:08","0.0","0","No"
"2018-01-16 04:28","0.0","0","No"
"2018-01-16 04:45","0.0","0","No"
"2018-01-16 04:48","0.0","0","No"
"2018-01-16 05:08","0.0","0","Yes"
"2018-01-16 05:09","0.0","0","Yes"
"2018-01-16 05:28","0.0","0","No"
"2018-01-16 05:31","0.0","0","No"
"2018-01-16 05:48","0.0","0","Yes"
"2018-01-16 06:01","0.0","0","Yes"
"2018-01-16 06:08","0.0","0","Yes"
