"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-01-15 12:46","6","E","14"
"2018-01-15 12:48","6","E","14"
"2018-01-15 13:08","7","ENE","14"
"2018-01-15 13:20","7","ENE","15"
"2018-01-15 13:28","8","E","14"
"2018-01-15 13:39","9","ENE","14"
"2018-01-15 13:48","6","ENE","13"
"2018-01-15 14:08","9","ENE","17"
"2018-01-15 14:10","10","ENE","16"
"2018-01-15 14:28","7","NE","14"
"2018-01-15 14:41","8","N","13"
"2018-01-15 14:48","6","NNE","13"
"2018-01-15 15:01","6","ENE","13"
"2018-01-15 15:08","9","NE","17"
"2018-01-15 15:27","6","NE","9"
"2018-01-15 15:28","5","ENE","9"
"2018-01-15 15:42","7","ENE","14"
"2018-01-15 15:48","3","ENE","14"
"2018-01-15 16:03","5","ENE","15"
"2018-01-15 16:08","8","ENE","15"
"2018-01-15 16:27","8","NE","12"
"2018-01-15 16:28","7","NE","12"
"2018-01-15 16:46","6","NE","10"
"2018-01-15 16:48","5","NE","10"
"2018-01-15 17:04","6","N","11"
"2018-01-15 17:08","5","NE","11"
"2018-01-15 17:28","6","ENE","13"
"2018-01-15 17:47","7","NE","14"
"2018-01-15 17:48","7","NE","14"
"2018-01-15 18:08","4","N","10"
"2018-01-15 18:10","2","NE","10"
"2018-01-15 18:28","8","ENE","15"
"2018-01-15 18:42","6","NNE","14"
"2018-01-15 18:48","5","NNE","14"
"2018-01-15 19:01","7","ENE","11"
"2018-01-15 19:08","5","NE","11"
"2018-01-15 19:19","4","NNE","9"
"2018-01-15 19:28","5","NE","14"
"2018-01-15 19:40","6","ENE","12"
"2018-01-15 19:48","4","NE","9"
"2018-01-15 20:01","1","N","4"
"2018-01-15 20:08","3","ENE","10"
"2018-01-15 20:22","1","NE","7"
"2018-01-15 20:28","1","ENE","5"
"2018-01-15 20:47","2","NNE","13"
"2018-01-15 20:48","3","NNE","13"
"2018-01-15 21:07","3","ENE","13"
"2018-01-15 21:08","3","ENE","13"
"2018-01-15 21:28","1","N","12"
"2018-01-15 21:33","4","NE","13"
"2018-01-15 21:48","2","NNE","12"
"2018-01-15 22:02","4","NE","10"
"2018-01-15 22:08","6","NNE","12"
"2018-01-15 22:19","3","ENE","10"
"2018-01-15 22:28","3","NNE","12"
"2018-01-15 22:41","6","NNE","13"
"2018-01-15 22:48","4","NE","12"
"2018-01-15 23:03","3","NNE","9"
"2018-01-15 23:08","3","NE","10"
"2018-01-15 23:28","1","NE","7"
"2018-01-15 23:29","2","SE","7"
"2018-01-15 23:40","5","N","12"
"2018-01-15 23:48","1","NE","9"
"2018-01-16 00:01","3","WNW","8"
"2018-01-16 00:08","5","NNE","11"
"2018-01-16 00:25","4","N","9"
"2018-01-16 00:28","3","NE","9"
"2018-01-16 00:47","4","NNW","9"
"2018-01-16 00:48","3","N","9"
"2018-01-16 01:08","2","WNW","7"
"2018-01-16 01:10","3","WNW","7"
"2018-01-16 01:28","1","NE","5"
"2018-01-16 01:47","1","NE","5"
"2018-01-16 01:48","1","N","5"
"2018-01-16 02:08","0","NE","5"
"2018-01-16 02:10","2","NE","5"
"2018-01-16 02:22","1","NW","5"
"2018-01-16 02:28","3","W","5"
"2018-01-16 02:41","3","WNW","8"
"2018-01-16 02:48","0","N","5"
"2018-01-16 03:08","0","WNW","9"
"2018-01-16 03:19","5","NE","9"
"2018-01-16 03:28","3","N","10"
"2018-01-16 03:43","0","NW","5"
"2018-01-16 03:48","1","ENE","5"
"2018-01-16 04:06","2","NNE","5"
"2018-01-16 04:08","1","N","5"
"2018-01-16 04:28","0","NNE","4"
"2018-01-16 04:45","3","N","5"
"2018-01-16 04:48","4","NNE","6"
"2018-01-16 05:08","2","NW","6"
"2018-01-16 05:09","4","N","7"
"2018-01-16 05:28","4","N","5"
"2018-01-16 05:31","1","NW","5"
"2018-01-16 05:48","0","W","6"
"2018-01-16 06:01","0","N","6"
"2018-01-16 06:08","3","NW","6"
"2018-01-16 06:28","0","W","7"
"2018-01-16 06:47","3","WSW","5"
"2018-01-16 06:48","3","WNW","5"
"2018-01-16 07:08","7","W","10"
"2018-01-16 07:10","6","W","10"
"2018-01-16 07:28","2","WNW","9"
"2018-01-16 07:42","3","W","8"
"2018-01-16 07:48","6","WNW","10"
"2018-01-16 08:05","5","W","12"
"2018-01-16 08:08","5","WNW","11"
"2018-01-16 08:23","5","W","9"
"2018-01-16 08:28","5","W","9"
"2018-01-16 08:45","4","W","10"
"2018-01-16 08:48","6","W","10"
"2018-01-16 09:08","2","W","5"
"2018-01-16 09:10","3","WSW","5"
"2018-01-16 09:28","3","W","5"
"2018-01-16 09:41","4","W","8"
"2018-01-16 09:48","6","W","8"
"2018-01-16 10:08","4","WSW","9"
"2018-01-16 10:28","7","W","12"
"2018-01-16 10:46","7","W","10"
"2018-01-16 10:48","6","W","10"
"2018-01-16 11:08","8","W","11"
"2018-01-16 11:10","8","W","12"
"2018-01-16 11:28","8","W","13"
"2018-01-16 11:47","9","W","14"
"2018-01-16 11:48","10","W","14"
"2018-01-16 12:08","10","W","15"
"2018-01-16 12:11","9","W","15"
"2018-01-16 12:28","12","W","20"
"2018-01-16 12:46","12","W","18"
"2018-01-16 12:48","12","W","18"
"2018-01-16 13:05","13","W","18"
"2018-01-16 13:08","10","W","18"
"2018-01-16 13:28","12","W","18"
"2018-01-16 13:30","14","W","18"
"2018-01-16 13:47","10","W","15"
"2018-01-16 13:48","10","W","15"
"2018-01-16 14:08","10","W","15"
"2018-01-16 14:09","12","W","15"
"2018-01-16 14:28","13","W","18"
"2018-01-16 14:34","10","W","18"
"2018-01-16 14:48","12","W","20"
"2018-01-16 15:02","10","W","14"
"2018-01-16 15:08","6","W","14"
"2018-01-16 15:28","9","W","15"
"2018-01-16 15:40","11","W","20"
"2018-01-16 15:48","15","W","24"
"2018-01-16 16:04","13","W","21"
"2018-01-16 16:08","12","W","21"
"2018-01-16 16:28","6","W","16"
"2018-01-16 16:40","5","W","15"
"2018-01-16 16:48","3","WSW","10"
"2018-01-16 17:04","4","WSW","9"
"2018-01-16 17:08","4","WSW","9"
"2018-01-16 17:28","7","W","16"
"2018-01-16 17:29","5","W","16"
"2018-01-16 17:48","3","WSW","17"
"2018-01-16 18:04","5","WSW","12"
"2018-01-16 18:08","4","SW","9"
"2018-01-16 18:28","5","WSW","12"
"2018-01-16 18:48","5","WSW","14"
"2018-01-16 19:07","6","W","15"
"2018-01-16 19:08","6","W","15"
"2018-01-16 19:28","6","WSW","12"
"2018-01-16 19:29","6","WNW","13"
"2018-01-16 19:41","6","WSW","20"
"2018-01-16 19:48","8","WSW","18"
"2018-01-16 20:07","8","WSW","13"
"2018-01-16 20:08","8","SW","15"
"2018-01-16 20:28","5","SSW","18"
"2018-01-16 20:33","8","WSW","17"
"2018-01-16 20:48","8","W","17"
"2018-01-16 21:06","7","WSW","14"
"2018-01-16 21:08","5","SSW","14"
"2018-01-16 21:27","5","W","15"
"2018-01-16 21:28","5","W","15"
"2018-01-16 21:48","11","W","22"
"2018-01-16 21:50","7","W","21"
"2018-01-16 22:08","8","W","23"
"2018-01-16 22:22","8","W","19"
"2018-01-16 22:28","8","W","14"
"2018-01-16 22:45","11","W","29"
"2018-01-16 22:48","8","WSW","24"
"2018-01-16 23:08","10","W","28"
"2018-01-16 23:11","10","WSW","28"
"2018-01-16 23:28","10","WSW","19"
"2018-01-16 23:45","9","W","19"
