"Time EST","Air Temp (°C)"
"2018-03-01 00:08","-6.9"
"2018-03-01 00:28","-7.0"
"2018-03-01 00:48","-7.2"
"2018-03-01 01:08","-7.4"
"2018-03-01 01:28","-7.5"
"2018-03-01 01:48","-7.8"
"2018-03-01 02:08","-8.2"
"2018-03-01 02:28","-8.4"
"2018-03-01 02:48","-8.5"
"2018-03-01 03:08","-8.6"
"2018-03-01 03:28","-8.6"
"2018-03-01 03:48","-8.7"
"2018-03-01 04:08","-8.8"
"2018-03-01 04:28","-9.1"
"2018-03-01 04:48","-9.3"
"2018-03-01 05:08","-9.6"
"2018-03-01 05:28","-9.7"
"2018-03-01 05:48","-9.8"
"2018-03-01 06:08","-9.8"
"2018-03-01 06:28","-9.8"
"2018-03-01 06:48","-9.8"
"2018-03-01 07:08","-9.8"
"2018-03-01 07:28","-9.7"
"2018-03-01 08:28","-9.7"
"2018-03-01 08:48","-9.5"
"2018-03-01 09:08","-9.5"
"2018-03-01 09:28","-9.4"
"2018-03-01 09:48","-9.3"
"2018-03-01 10:08","-9.0"
"2018-03-01 10:28","-8.9"
"2018-03-01 10:48","-8.7"
"2018-03-01 11:08","-8.2"
"2018-03-01 11:28","-7.5"
"2018-03-01 11:48","-7.1"
"2018-03-01 12:08","-5.6"
"2018-03-01 19:08","-4.8"
"2018-03-01 19:28","-5.8"
"2018-03-01 19:48","-6.8"
"2018-03-01 20:08","-7.7"
"2018-03-01 20:28","-8.0"
"2018-03-01 20:48","-8.5"
"2018-03-01 21:28","-10.2"
"2018-03-01 21:48","-11.1"
"2018-03-01 22:08","-11.9"
"2018-03-01 22:28","-12.7"
"2018-03-01 22:48","-13.3"
"2018-03-01 23:08","-13.7"
"2018-03-01 23:28","-14.0"
"2018-03-01 23:48","-14.3"
"2018-03-02 00:08","-14.7"
"2018-03-02 00:28","-15.3"
"2018-03-02 00:48","-15.3"
"2018-03-02 01:08","-15.8"
"2018-03-02 01:28","-16.5"
"2018-03-02 01:48","-16.9"
"2018-03-02 02:08","-17.8"
"2018-03-02 02:28","-18.3"
"2018-03-02 02:48","-18.5"
"2018-03-02 03:08","-19.4"
"2018-03-02 03:28","-19.7"
"2018-03-02 03:48","-20.2"
"2018-03-02 04:08","-20.4"
"2018-03-02 04:28","-20.9"
"2018-03-02 04:48","-21.5"
"2018-03-02 05:08","-21.9"
"2018-03-02 05:28","-22.1"
"2018-03-02 05:48","-22.4"
"2018-03-02 06:08","-22.8"
"2018-03-02 06:28","-23.2"
"2018-03-02 06:48","-23.4"
"2018-03-02 07:08","-23.7"
"2018-03-02 07:28","-24.0"
