"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-03-01 00:08","10","ENE","14"
"2018-03-01 00:28","5","NE","15"
"2018-03-01 00:48","3","ESE","7"
"2018-03-01 01:08","7","ENE","12"
"2018-03-01 01:28","4","E","11"
"2018-03-01 01:48","4","ENE","12"
"2018-03-01 02:08","7","ENE","11"
"2018-03-01 02:28","3","E","6"
"2018-03-01 02:48","5","ESE","11"
"2018-03-01 03:08","3","E","7"
"2018-03-01 03:28","4","ENE","10"
"2018-03-01 03:48","4","ESE","11"
"2018-03-01 04:08","3","E","7"
"2018-03-01 04:28","7","E","11"
"2018-03-01 04:48","7","ESE","14"
"2018-03-01 05:08","5","ENE","8"
"2018-03-01 05:28","6","E","11"
"2018-03-01 05:48","0","S","10"
"2018-03-01 06:08","5","E","14"
"2018-03-01 06:28","4","E","10"
"2018-03-01 06:48","0","SE","8"
"2018-03-01 07:08","4","ESE","7"
"2018-03-01 07:28","3","E","6"
"2018-03-01 08:28","4","E","10"
"2018-03-01 08:48","2","ESE","7"
"2018-03-01 09:08","6","ENE","11"
"2018-03-01 09:28","5","ENE","11"
"2018-03-01 09:48","5","ENE","9"
"2018-03-01 10:08","4","NE","11"
"2018-03-01 10:28","6","ENE","13"
"2018-03-01 10:48","3","N","11"
"2018-03-01 11:08","2","E","8"
"2018-03-01 11:28","6","ESE","9"
"2018-03-01 11:48","1","SSE","6"
"2018-03-01 12:08","3","SSE","9"
"2018-03-01 12:28","4","ENE","8"
"2018-03-01 12:48","2","NE","6"
"2018-03-01 13:08","3","W","9"
"2018-03-01 13:28","7","N","10"
"2018-03-01 13:48","4","WNW","9"
"2018-03-01 14:08","4","N","7"
"2018-03-01 14:28","3","N","9"
"2018-03-01 14:48","4","N","11"
"2018-03-01 15:08","4","NNW","7"
"2018-03-01 15:28","4","E","6"
"2018-03-01 15:48","4","W","10"
"2018-03-01 16:08","4","W","10"
"2018-03-01 16:28","3","WNW","5"
"2018-03-01 16:48","3","WNW","10"
"2018-03-01 17:08","5","W","8"
"2018-03-01 17:28","3","N","7"
"2018-03-01 17:48","3","WNW","5"
"2018-03-01 18:08","3","WNW","9"
"2018-03-01 18:28","2","WNW","6"
"2018-03-01 18:48","3","NW","7"
"2018-03-01 19:08","3","NW","6"
"2018-03-01 19:28","1","WNW","4"
"2018-03-01 19:48","2","W","4"
"2018-03-01 20:08","0","ENE","4"
"2018-03-01 20:28","1","N","4"
"2018-03-01 20:48","0","W","0"
"2018-03-01 21:08","0","WSW","3"
"2018-03-01 21:28","0","NE","0"
"2018-03-01 21:48","0","WNW","0"
"2018-03-01 22:08","0","S","0"
"2018-03-01 22:28","0","ESE","0"
"2018-03-01 22:48","0","ESE","0"
"2018-03-01 23:08","0","ESE","2"
"2018-03-01 23:28","0","ESE","2"
"2018-03-01 23:48","0","ESE","4"
"2018-03-02 00:08","0","SE","0"
"2018-03-02 00:28","0","WSW","0"
"2018-03-02 00:48","0","S","0"
"2018-03-02 01:08","0","SE","0"
"2018-03-02 01:28","0","SE","0"
