"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:09","-9.1","96"
"2017-11-01 00:18","-9.4","96"
"2017-11-01 00:29","-9.4","96"
"2017-11-01 00:38","-9.7","95"
"2017-11-01 00:48","-9.4","96"
"2017-11-01 00:58","-9.8","95"
"2017-11-01 01:09","-9.9","95"
"2017-11-01 01:18","-9.9","96"
"2017-11-01 01:29","-10.3","95"
"2017-11-01 01:38","-10.7","95"
"2017-11-01 01:49","-10.8","95"
"2017-11-01 01:58","-11.0","95"
"2017-11-01 02:09","-11.1","95"
"2017-11-01 02:18","-10.9","95"
"2017-11-01 02:28","-10.8","95"
"2017-11-01 02:38","-10.6","95"
"2017-11-01 02:49","-10.7","95"
"2017-11-01 02:58","-10.6","95"
"2017-11-01 03:08","-10.3","95"
"2017-11-01 03:18","-9.8","95"
"2017-11-01 03:28","-9.0","96"
"2017-11-01 03:38","-8.6","95"
"2017-11-01 03:48","-8.0","96"
"2017-11-01 03:58","-7.8","95"
"2017-11-01 04:08","-7.9","95"
"2017-11-01 04:18","-7.9","95"
"2017-11-01 04:28","-7.8","95"
"2017-11-01 04:38","-7.6","95"
"2017-11-01 04:48","-7.4","95"
"2017-11-01 04:58","-7.1","95"
"2017-11-01 05:08","-7.1","95"
"2017-11-01 05:18","-7.1","95"
"2017-11-01 05:28","-7.0","95"
"2017-11-01 05:38","-6.8","95"
"2017-11-01 05:48","-6.8","95"
"2017-11-01 05:58","-6.7","95"
"2017-11-01 06:08","-6.7","95"
"2017-11-01 06:18","-6.6","95"
"2017-11-01 06:28","-6.5","95"
"2017-11-01 06:38","-6.6","95"
"2017-11-01 06:48","-6.6","95"
"2017-11-01 06:58","-6.5","95"
"2017-11-01 07:08","-6.5","96"
"2017-11-01 07:18","-6.4","96"
"2017-11-01 07:28","-6.3","96"
"2017-11-01 07:38","-6.2","96"
"2017-11-01 07:48","-6.2","96"
"2017-11-01 07:58","-6.1","96"
"2017-11-01 08:08","-6.1","96"
"2017-11-01 08:18","-6.0","96"
"2017-11-01 08:28","-6.1","96"
"2017-11-01 08:38","-6.2","96"
"2017-11-01 08:48","-6.1","96"
"2017-11-01 08:58","-6.0","97"
"2017-11-01 09:08","-6.1","97"
"2017-11-01 09:18","-5.9","97"
"2017-11-01 09:28","-5.7","97"
"2017-11-01 09:38","-5.9","96"
"2017-11-01 09:48","-5.9","96"
"2017-11-01 09:58","-5.7","96"
"2017-11-01 10:08","-5.5","96"
"2017-11-01 10:18","-5.4","96"
"2017-11-01 10:29","-5.2","96"
"2017-11-01 10:38","-4.8","96"
