"Time EST","Pressure (kPa)"
"2017-11-01 00:09","102.79"
"2017-11-01 00:18","102.80"
"2017-11-01 00:29","102.80"
"2017-11-01 00:38","102.81"
"2017-11-01 00:48","102.80"
"2017-11-01 00:58","102.80"
"2017-11-01 01:09","102.79"
"2017-11-01 01:18","102.79"
"2017-11-01 01:29","102.80"
"2017-11-01 01:38","102.79"
"2017-11-01 01:49","102.80"
"2017-11-01 01:58","102.79"
"2017-11-01 02:09","102.79"
"2017-11-01 02:18","102.79"
"2017-11-01 02:28","102.80"
"2017-11-01 02:38","102.77"
"2017-11-01 02:49","102.78"
"2017-11-01 02:58","102.77"
"2017-11-01 03:08","102.77"
"2017-11-01 03:18","102.78"
"2017-11-01 03:28","102.79"
"2017-11-01 03:38","102.79"
"2017-11-01 03:48","102.79"
"2017-11-01 03:58","102.78"
"2017-11-01 04:08","102.79"
"2017-11-01 04:18","102.78"
"2017-11-01 04:28","102.77"
"2017-11-01 04:38","102.77"
"2017-11-01 04:48","102.77"
"2017-11-01 04:58","102.76"
"2017-11-01 05:08","102.77"
"2017-11-01 05:18","102.76"
"2017-11-01 05:28","102.75"
"2017-11-01 05:38","102.76"
"2017-11-01 05:48","102.76"
"2017-11-01 05:58","102.75"
"2017-11-01 06:08","102.76"
"2017-11-01 06:18","102.76"
"2017-11-01 06:28","102.77"
"2017-11-01 06:38","102.78"
"2017-11-01 06:48","102.77"
"2017-11-01 06:58","102.76"
"2017-11-01 07:08","102.77"
"2017-11-01 07:18","102.77"
"2017-11-01 07:28","102.76"
"2017-11-01 07:38","102.77"
"2017-11-01 07:48","102.76"
"2017-11-01 07:58","102.77"
"2017-11-01 08:08","102.75"
"2017-11-01 08:18","102.76"
"2017-11-01 08:28","102.77"
"2017-11-01 08:38","102.77"
"2017-11-01 08:48","102.77"
"2017-11-01 08:58","102.77"
"2017-11-01 09:08","102.76"
"2017-11-01 09:18","102.77"
"2017-11-01 09:28","102.77"
"2017-11-01 09:38","102.77"
"2017-11-01 09:48","102.77"
"2017-11-01 09:58","102.78"
"2017-11-01 10:08","102.77"
"2017-11-01 10:18","102.79"
"2017-11-01 10:29","102.79"
"2017-11-01 10:38","102.79"
"2017-11-01 10:48","102.79"
"2017-11-01 10:58","102.79"
"2017-11-01 11:09","102.79"
"2017-11-01 11:18","102.79"
"2017-11-01 11:28","102.79"
"2017-11-01 11:38","102.79"
"2017-11-01 11:48","102.79"
"2017-11-01 11:58","102.80"
"2017-11-01 12:08","102.79"
"2017-11-01 12:18","102.79"
"2017-11-01 12:29","102.77"
"2017-11-01 12:38","102.77"
"2017-11-01 12:49","102.77"
"2017-11-01 12:58","102.77"
"2017-11-01 13:08","102.77"
"2017-11-01 13:18","102.76"
"2017-11-01 13:28","102.76"
"2017-11-01 13:38","102.75"
"2017-11-01 13:49","102.76"
"2017-11-01 13:58","102.75"
"2017-11-01 14:09","102.75"
"2017-11-01 14:18","102.74"
"2017-11-01 14:29","102.75"
"2017-11-01 14:38","102.69"
"2017-11-01 14:49","102.70"
"2017-11-01 14:58","102.69"
"2017-11-01 15:08","102.68"
"2017-11-01 15:18","102.69"
"2017-11-01 15:28","102.69"
"2017-11-01 15:38","102.68"
"2017-11-01 15:49","102.68"
"2017-11-01 15:58","102.67"
"2017-11-01 16:09","102.68"
"2017-11-01 16:18","102.68"
"2017-11-01 16:29","102.68"
"2017-11-01 16:38","102.68"
"2017-11-01 16:49","102.68"
"2017-11-01 16:58","102.69"
"2017-11-01 17:09","102.67"
"2017-11-01 17:18","102.68"
"2017-11-01 17:29","102.68"
"2017-11-01 17:38","102.68"
"2017-11-01 17:48","102.68"
"2017-11-01 17:58","102.68"
"2017-11-01 18:09","102.67"
"2017-11-01 18:18","102.69"
"2017-11-01 18:29","102.69"
"2017-11-01 18:38","102.71"
"2017-11-01 18:49","102.69"
"2017-11-01 18:58","102.70"
"2017-11-01 19:08","102.70"
"2017-11-01 19:18","102.70"
"2017-11-01 19:30","102.69"
"2017-11-01 19:38","102.70"
"2017-11-01 19:50","102.69"
"2017-11-01 19:58","102.70"
"2017-11-01 20:08","102.70"
"2017-11-01 20:18","102.71"
"2017-11-01 20:28","102.70"
"2017-11-01 20:38","102.70"
"2017-11-01 20:48","102.69"
"2017-11-01 20:58","102.69"
"2017-11-01 21:08","102.69"
"2017-11-01 21:18","102.69"
"2017-11-01 21:28","102.69"
"2017-11-01 21:38","102.69"
"2017-11-01 21:48","102.69"
"2017-11-01 21:58","102.68"
"2017-11-01 22:08","102.69"
"2017-11-01 22:18","102.70"
"2017-11-01 22:28","102.69"
"2017-11-01 22:38","102.70"
"2017-11-01 22:48","102.70"
"2017-11-01 22:58","102.69"
"2017-11-01 23:08","102.69"
"2017-11-01 23:18","102.69"
"2017-11-01 23:28","102.69"
"2017-11-01 23:38","102.69"
"2017-11-01 23:48","102.69"
"2017-11-01 23:58","102.69"
"2017-11-02 00:08","102.68"
"2017-11-02 00:18","102.69"
"2017-11-02 00:28","102.69"
"2017-11-02 00:38","102.70"
"2017-11-02 00:48","102.69"
"2017-11-02 00:58","102.69"
"2017-11-02 01:08","102.70"
"2017-11-02 01:18","102.69"
"2017-11-02 01:28","102.70"
"2017-11-02 01:38","102.69"
"2017-11-02 01:48","102.69"
"2017-11-02 01:58","102.70"
"2017-11-02 02:08","102.68"
"2017-11-02 02:18","102.66"
"2017-11-02 02:28","102.62"
"2017-11-02 02:38","102.64"
"2017-11-02 02:48","102.64"
"2017-11-02 02:58","102.64"
"2017-11-02 03:08","102.63"
"2017-11-02 03:18","102.64"
"2017-11-02 03:28","102.64"
"2017-11-02 03:38","102.64"
"2017-11-02 03:48","102.63"
"2017-11-02 03:58","102.63"
"2017-11-02 04:08","102.64"
"2017-11-02 04:18","102.62"
"2017-11-02 04:28","102.62"
"2017-11-02 04:38","102.62"
"2017-11-02 04:48","102.61"
"2017-11-02 04:58","102.57"
"2017-11-02 05:08","102.57"
"2017-11-02 05:18","102.58"
"2017-11-02 05:28","102.58"
"2017-11-02 05:38","102.56"
"2017-11-02 05:48","102.57"
"2017-11-02 05:58","102.57"
"2017-11-02 06:08","102.57"
"2017-11-02 06:18","102.57"
"2017-11-02 06:28","102.57"
"2017-11-02 06:38","102.57"
"2017-11-02 06:48","102.57"
"2017-11-02 06:58","102.55"
"2017-11-02 07:08","102.56"
"2017-11-02 07:18","102.56"
"2017-11-02 07:28","102.55"
"2017-11-02 07:38","102.55"
"2017-11-02 07:48","102.56"
"2017-11-02 07:58","102.55"
"2017-11-02 08:18","102.56"
"2017-11-02 08:28","102.56"
"2017-11-02 08:38","102.57"
"2017-11-02 08:48","102.55"
"2017-11-02 08:58","102.56"
"2017-11-02 09:08","102.56"
"2017-11-02 09:18","102.56"
"2017-11-02 09:28","102.56"
"2017-11-02 09:38","102.56"
"2017-11-02 09:48","102.55"
"2017-11-02 09:58","102.55"
"2017-11-02 10:08","102.54"
"2017-11-02 10:18","102.54"
"2017-11-02 10:28","102.57"
"2017-11-03 12:38","103.54"
"2017-11-03 12:48","103.54"
"2017-11-03 12:58","103.53"
"2017-11-03 13:08","103.52"
"2017-11-03 13:18","103.50"
"2017-11-03 13:28","103.50"
"2017-11-03 13:38","103.51"
"2017-11-03 13:48","103.50"
"2017-11-03 13:58","103.49"
"2017-11-03 14:08","103.50"
"2017-11-03 14:18","103.51"
"2017-11-03 14:28","103.52"
"2017-11-03 14:38","103.52"
"2017-11-03 14:48","103.53"
"2017-11-03 14:58","103.55"
"2017-11-03 15:08","103.55"
"2017-11-03 15:18","103.54"
"2017-11-03 15:28","103.54"
"2017-11-03 15:38","103.54"
"2017-11-03 15:48","103.54"
"2017-11-03 15:58","103.55"
"2017-11-03 16:08","103.55"
"2017-11-03 16:18","103.55"
"2017-11-03 16:28","103.54"
"2017-11-03 16:48","103.54"
"2017-11-03 17:08","103.54"
"2017-11-03 17:28","103.54"
"2017-11-03 17:48","103.54"
"2017-11-03 17:59","103.55"
"2017-11-03 18:08","103.55"
"2017-11-03 18:28","103.57"
"2017-11-03 18:48","103.57"
"2017-11-03 19:08","103.57"
"2017-11-03 19:28","103.59"
"2017-11-03 19:48","103.59"
"2017-11-03 20:08","103.58"
"2017-11-03 20:28","103.58"
"2017-11-03 20:48","103.57"
"2017-11-03 21:08","103.57"
"2017-11-03 21:28","103.58"
"2017-11-03 21:45","103.58"
"2017-11-03 21:48","103.58"
"2017-11-03 22:08","103.57"
"2017-11-03 22:28","103.58"
"2017-11-03 22:48","103.59"
"2017-11-03 23:08","103.59"
"2017-11-03 23:28","103.60"
"2017-11-03 23:48","103.59"
"2017-11-04 00:08","103.60"
"2017-11-04 00:28","103.60"
"2017-11-04 00:48","103.60"
"2017-11-04 01:08","103.59"
"2017-11-04 01:28","103.60"
"2017-11-04 01:43","103.57"
"2017-11-04 01:48","103.58"
"2017-11-04 02:08","103.58"
"2017-11-04 02:28","103.58"
"2017-11-04 02:48","103.58"
"2017-11-04 03:08","103.58"
"2017-11-04 03:28","103.57"
"2017-11-04 03:48","103.57"
"2017-11-04 04:08","103.57"
"2017-11-04 04:28","103.59"
"2017-11-04 04:48","103.58"
"2017-11-04 05:08","103.56"
"2017-11-04 05:28","103.56"
"2017-11-04 10:48","103.44"
"2017-11-04 11:08","103.37"
"2017-11-04 11:28","103.38"
"2017-11-04 11:48","103.33"
"2017-11-04 12:08","103.32"
"2017-11-04 12:28","103.31"
"2017-11-04 12:33","103.24"
"2017-11-04 12:48","103.26"
"2017-11-04 13:08","103.26"
"2017-11-04 13:28","103.26"
"2017-11-04 13:48","103.25"
"2017-11-04 14:08","103.22"
"2017-11-04 14:28","103.20"
"2017-11-04 14:48","103.20"
"2017-11-04 15:08","103.16"
"2017-11-04 15:28","103.14"
"2017-11-04 15:47","103.12"
"2017-11-04 15:48","103.11"
"2017-11-04 16:08","103.10"
"2017-11-04 16:28","103.09"
"2017-11-04 16:48","103.09"
"2017-11-04 17:08","103.10"
"2017-11-04 17:28","103.06"
"2017-11-04 17:48","103.05"
"2017-11-04 18:08","103.04"
"2017-11-04 18:28","103.01"
"2017-11-04 18:48","102.99"
"2017-11-04 19:08","102.98"
"2017-11-04 19:24","102.96"
"2017-11-04 19:28","102.96"
"2017-11-04 19:48","102.94"
"2017-11-04 20:08","102.87"
"2017-11-04 20:28","102.88"
"2017-11-04 20:48","102.87"
"2017-11-04 21:08","102.83"
"2017-11-04 21:28","102.80"
"2017-11-04 21:48","102.78"
"2017-11-04 22:08","102.78"
"2017-11-04 22:28","102.74"
"2017-11-04 22:48","102.72"
"2017-11-04 23:08","102.67"
