"Time EST","Precipitation 1h (mm)","Precipitation Rate (mm/h)","Precipitation Yes/No"
"2017-11-01 00:09","0.0","0","No"
"2017-11-01 00:18","0.0","0","No"
"2017-11-01 00:29","0.0","0","No"
"2017-11-01 00:38","0.0","0","No"
"2017-11-01 00:48","0.0","0","No"
"2017-11-01 00:58","0.0","0","No"
"2017-11-01 01:09","0.0","0","No"
"2017-11-01 01:18","0.0","0","No"
"2017-11-01 01:29","0.0","0","No"
"2017-11-01 01:38","0.0","0","No"
"2017-11-01 01:49","0.0","0","No"
"2017-11-01 01:58","0.0","0","No"
"2017-11-01 02:09","0.0","0","No"
"2017-11-01 02:18","0.0","0","No"
"2017-11-01 02:28","0.0","0","No"
"2017-11-01 02:38","0.0","0","No"
"2017-11-01 02:49","0.0","0","No"
"2017-11-01 02:58","0.0","0","No"
"2017-11-01 03:08","0.0","0","No"
"2017-11-01 03:18","0.0","0","No"
"2017-11-01 03:28","0.0","0","No"
"2017-11-01 03:38","0.0","0","No"
"2017-11-01 03:48","0.0","0","No"
"2017-11-01 03:58","0.0","0","Yes"
"2017-11-01 04:08","0.0","0","No"
"2017-11-01 04:18","0.0","0","No"
"2017-11-01 04:28","0.0","0","No"
"2017-11-01 04:38","0.0","0","No"
"2017-11-01 04:48","0.0","0","Yes"
"2017-11-01 04:58","0.0","0","Yes"
"2017-11-01 05:08","0.0","0","Yes"
"2017-11-01 05:18","0.0","0","Yes"
"2017-11-01 05:28","0.0","0","Yes"
"2017-11-01 05:38","0.0","0","Yes"
"2017-11-01 05:48","0.0","0","Yes"
"2017-11-01 05:58","0.0","0","Yes"
"2017-11-01 06:08","0.0","0","Yes"
"2017-11-01 06:18","0.0","0","Yes"
"2017-11-01 06:28","0.0","0","Yes"
"2017-11-01 06:38","0.0","0","Yes"
"2017-11-01 06:48","0.0","0","No"
"2017-11-01 06:58","0.0","0","Yes"
"2017-11-01 07:08","0.0","0","Yes"
"2017-11-01 07:18","0.0","0","Yes"
"2017-11-01 07:28","0.0","0","Yes"
"2017-11-01 07:38","0.0","0","Yes"
"2017-11-01 07:48","0.1","0","Yes"
"2017-11-01 07:58","0.1","0","Yes"
"2017-11-01 08:08","0.1","0.0","Yes"
"2017-11-01 08:18","0.1","0","Yes"
"2017-11-01 08:28","0.1","0","Yes"
"2017-11-01 08:38","0.1","0","Yes"
"2017-11-01 08:48","0.1","0","Yes"
"2017-11-01 08:58","0.1","0","Yes"
"2017-11-01 09:08","0.1","0","Yes"
"2017-11-01 09:18","0.1","0","Yes"
"2017-11-01 09:28","0.1","0","Yes"
"2017-11-01 09:38","0.0","0","Yes"
"2017-11-01 09:48","0.1","0","Yes"
"2017-11-01 09:58","0.0","0","Yes"
"2017-11-01 10:08","0.0","0","Yes"
"2017-11-01 10:18","0.0","0.0","Yes"
"2017-11-01 10:29","0.0","0","Yes"
"2017-11-01 10:38","0.0","0","Yes"
"2017-11-01 10:48","0.1","0","Yes"
"2017-11-01 10:58","0.1","0","Yes"
"2017-11-01 11:09","0.1","0","Yes"
"2017-11-01 11:18","0.0","0","Yes"
"2017-11-01 11:28","0.0","0","Yes"
"2017-11-01 11:38","0.0","0","Yes"
"2017-11-01 11:48","0.0","0","Yes"
"2017-11-01 11:58","0.0","0","Yes"
"2017-11-01 12:08","0.0","0","Yes"
"2017-11-01 12:18","0.0","0","Yes"
"2017-11-01 12:29","0.0","0","Yes"
"2017-11-01 12:38","0.0","0","Yes"
"2017-11-01 12:49","0.0","0","Yes"
"2017-11-01 12:58","0.0","0","No"
"2017-11-01 13:08","0.0","0","Yes"
"2017-11-01 13:18","0.0","0.0","Yes"
"2017-11-01 13:28","0.1","0.0","Yes"
"2017-11-01 13:38","0.1","0.0","Yes"
"2017-11-01 13:49","0.2","0.0","Yes"
"2017-11-01 13:58","0.2","0.0","Yes"
"2017-11-01 14:09","0.3","0.0","Yes"
"2017-11-01 14:18","0.2","0","Yes"
"2017-11-01 14:29","0.3","0.0","Yes"
"2017-11-01 14:38","0.3","0.0","Yes"
"2017-11-01 14:49","0.3","0.0","Yes"
"2017-11-01 14:58","0.4","0.0","Yes"
"2017-11-01 15:08","0.5","0.0","Yes"
"2017-11-01 15:18","0.4","0","Yes"
"2017-11-01 15:28","0.4","0","Yes"
"2017-11-01 15:38","0.3","0","Yes"
"2017-11-01 15:49","0.3","0","Yes"
"2017-11-01 15:58","0.1","0","Yes"
"2017-11-01 16:09","0.1","0","Yes"
"2017-11-01 16:18","0.1","0","No"
"2017-11-01 16:29","0.1","0","No"
"2017-11-01 16:38","0.0","0","No"
"2017-11-01 16:49","0.0","0","No"
"2017-11-01 16:58","0.0","0","No"
"2017-11-01 17:09","0.0","0","No"
"2017-11-01 17:18","0.0","0","No"
"2017-11-01 17:29","0.0","0","No"
"2017-11-01 17:38","0.0","0","No"
"2017-11-01 17:48","0.0","0","No"
"2017-11-01 17:58","0.0","0","No"
"2017-11-01 18:09","0.0","0","No"
"2017-11-01 18:18","0.0","0","No"
"2017-11-01 18:29","0.0","0","No"
"2017-11-01 18:38","0.0","0","No"
"2017-11-01 18:49","0.0","0","No"
"2017-11-01 18:58","0.0","0","No"
"2017-11-01 19:08","0.0","0","No"
"2017-11-01 19:18","0.0","0","No"
"2017-11-01 19:30","0.0","0","No"
"2017-11-01 19:38","0.0","0","No"
"2017-11-01 19:50","0.0","0","No"
"2017-11-01 19:58","0.0","0","No"
"2017-11-01 20:08","0.0","0","No"
"2017-11-01 20:18","0.0","0","No"
"2017-11-01 20:28","0.0","0","No"
"2017-11-01 20:38","0.0","0","No"
"2017-11-01 20:48","0.0","0","No"
"2017-11-01 20:58","0.0","0","No"
"2017-11-01 21:08","0.0","0","No"
"2017-11-01 21:18","0.0","0","No"
"2017-11-01 21:28","0.0","0","No"
"2017-11-01 21:38","0.0","0","No"
"2017-11-01 21:48","0.0","0","No"
"2017-11-01 21:58","0.0","0","No"
"2017-11-01 22:08","0.0","0","No"
"2017-11-01 22:18","0.0","0","No"
"2017-11-01 22:28","0.0","0","No"
"2017-11-01 22:38","0.0","0","No"
"2017-11-01 22:48","0.0","0","No"
"2017-11-01 22:58","0.0","0","No"
"2017-11-01 23:08","0.0","0","No"
"2017-11-01 23:18","0.0","0","No"
"2017-11-01 23:28","0.0","0","No"
"2017-11-01 23:38","0.0","0","No"
"2017-11-01 23:48","0.0","0","No"
"2017-11-01 23:58","0.0","0","No"
"2017-11-02 00:08","0.0","0","No"
"2017-11-02 00:18","0.0","0","Yes"
"2017-11-02 00:28","0.0","0","Yes"
"2017-11-02 00:38","0.0","0","Yes"
"2017-11-02 00:48","0.0","0","Yes"
"2017-11-02 00:58","0.0","0","Yes"
"2017-11-02 01:08","0.0","0","Yes"
"2017-11-02 01:18","0.0","0","No"
"2017-11-02 01:28","0.0","0","No"
"2017-11-02 01:38","0.0","0","No"
"2017-11-02 01:48","0.0","0","No"
"2017-11-02 01:58","0.0","0","No"
"2017-11-02 02:08","0.0","0","No"
"2017-11-02 02:18","0.0","0","No"
"2017-11-02 02:28","0.0","0","No"
"2017-11-02 02:38","0.0","0","No"
"2017-11-02 02:48","0.0","0","Yes"
"2017-11-02 02:58","0.0","0","Yes"
"2017-11-02 03:08","0.0","0","Yes"
"2017-11-02 03:18","0.1","0.0","Yes"
"2017-11-02 03:28","0.1","0","Yes"
"2017-11-02 03:38","0.1","0","Yes"
"2017-11-02 03:48","0.1","0.0","Yes"
"2017-11-02 03:58","0.2","0.0","Yes"
"2017-11-02 04:08","0.2","0.0","Yes"
"2017-11-02 04:18","0.3","0.0","Yes"
"2017-11-02 04:28","0.3","0.0","Yes"
"2017-11-02 04:38","0.4","0.0","Yes"
"2017-11-02 04:48","0.4","0.0","Yes"
"2017-11-02 04:58","0.4","0.0","Yes"
"2017-11-02 05:08","0.4","0.0","Yes"
"2017-11-02 05:18","0.3","0.0","Yes"
"2017-11-02 05:28","0.4","0.0","Yes"
"2017-11-02 05:38","0.4","0.0","Yes"
"2017-11-02 05:48","0.5","0.0","Yes"
"2017-11-02 05:58","0.5","0.0","Yes"
"2017-11-02 06:08","0.6","0.0","Yes"
"2017-11-02 06:18","0.6","0.0","Yes"
"2017-11-02 06:28","0.7","0.0","Yes"
"2017-11-02 06:38","0.7","0.0","Yes"
"2017-11-02 06:48","0.7","0.0","Yes"
"2017-11-02 06:58","0.6","0.0","Yes"
"2017-11-02 07:08","0.6","0.0","Yes"
"2017-11-02 07:18","0.5","0.0","Yes"
"2017-11-02 07:28","0.6","0.0","Yes"
"2017-11-02 07:38","","0.0","Yes"
"2017-11-02 07:48","","0.0","Yes"
"2017-11-02 07:58","","0.0","Yes"
"2017-11-02 08:18","","0.0","Yes"
"2017-11-02 08:28","","","Error"
"2017-11-02 08:38","","0.0","Yes"
"2017-11-02 08:48","","0.0","Yes"
"2017-11-02 08:58","","0.0","Yes"
"2017-11-02 09:08","","0.0","Yes"
"2017-11-02 09:18","0.5","0.0","Yes"
"2017-11-02 09:28","0.5","0.0","Yes"
"2017-11-02 09:38","0.4","0.0","Yes"
"2017-11-02 09:48","0.4","0.0","Yes"
"2017-11-02 09:58","0.4","0.0","Yes"
"2017-11-02 10:08","0.4","0.0","Yes"
"2017-11-02 10:18","","0.0","Yes"
"2017-11-02 10:28","","","Error"
"2017-11-03 12:38","","0","Error"
"2017-11-03 12:48","","0","Error"
"2017-11-03 12:58","","0","No"
"2017-11-03 13:08","","0","No"
"2017-11-03 13:18","","0","No"
"2017-11-03 13:28","","0","No"
"2017-11-03 13:38","0.0","0","No"
"2017-11-03 13:48","0.0","0","No"
"2017-11-03 13:58","0.0","0","No"
"2017-11-03 14:08","0.0","0","No"
"2017-11-03 14:18","0.0","0","No"
"2017-11-03 14:28","0.0","0","No"
"2017-11-03 14:38","0.0","0","Yes"
"2017-11-03 14:48","0.0","0","No"
"2017-11-03 14:58","0.0","0","No"
"2017-11-03 15:08","0.1","0.0","Yes"
"2017-11-03 15:18","0.1","0.0","Yes"
"2017-11-03 15:28","0.1","0","Yes"
"2017-11-03 15:38","0.2","0","Yes"
"2017-11-03 15:48","0.2","0","No"
"2017-11-03 15:58","0.2","0","Yes"
"2017-11-03 16:08","0.1","0","No"
"2017-11-03 16:18","0.1","0.0","Yes"
"2017-11-03 16:28","0.1","0","No"
"2017-11-03 16:48","0.1","0","No"
"2017-11-03 17:08","0.1","0","No"
"2017-11-03 17:28","0.0","0","No"
"2017-11-03 17:48","0.0","0","No"
"2017-11-03 17:59","0.0","0","No"
"2017-11-03 18:08","0.0","0","No"
"2017-11-03 18:28","0.0","0","No"
"2017-11-03 18:48","0.0","0","No"
"2017-11-03 19:08","0.0","0","No"
"2017-11-03 19:28","0.0","0","No"
"2017-11-03 19:48","0.0","0","No"
"2017-11-03 20:08","0.0","0","No"
"2017-11-03 20:28","0.0","0","No"
"2017-11-03 20:48","0.0","0","No"
"2017-11-03 21:08","0.0","0","No"
"2017-11-03 21:28","0.0","0","No"
"2017-11-03 21:45","0.0","0","No"
"2017-11-03 21:48","0.0","0","No"
"2017-11-03 22:08","0.0","0","No"
"2017-11-03 22:28","0.0","0","No"
"2017-11-03 22:48","0.0","0","No"
"2017-11-03 23:08","0.0","0","No"
"2017-11-03 23:28","0.0","0","No"
"2017-11-03 23:48","0.0","0","No"
"2017-11-04 00:08","0.0","0","No"
"2017-11-04 00:28","0.0","0","No"
"2017-11-04 00:48","0.0","0","No"
"2017-11-04 01:08","0.0","0","No"
"2017-11-04 01:28","0.0","0","No"
"2017-11-04 01:43","0.0","0","No"
"2017-11-04 01:48","0.0","0","No"
"2017-11-04 02:08","0.0","0","No"
"2017-11-04 02:28","0.0","0","No"
"2017-11-04 02:48","0.0","0","No"
"2017-11-04 03:08","0.0","0","No"
"2017-11-04 03:28","0.0","0","No"
"2017-11-04 03:48","0.0","0","No"
"2017-11-04 04:08","0.0","0","No"
"2017-11-04 04:28","0.0","0","No"
"2017-11-04 04:48","0.0","0","No"
"2017-11-04 05:08","0.0","0","No"
"2017-11-04 05:28","0.0","0","No"
"2017-11-04 10:48","","0","Error"
"2017-11-04 11:08","","0","No"
"2017-11-04 11:28","","0","No"
"2017-11-04 11:48","0.0","0","No"
"2017-11-04 12:08","0.0","0","No"
"2017-11-04 12:28","0.0","0","No"
"2017-11-04 12:33","0.0","0","No"
"2017-11-04 12:48","0.0","0","No"
"2017-11-04 13:08","0.0","0","No"
"2017-11-04 13:28","0.0","0","No"
"2017-11-04 13:48","0.0","0","No"
"2017-11-04 14:08","0.0","0","No"
"2017-11-04 14:28","0.0","0","No"
"2017-11-04 14:48","0.0","0","No"
"2017-11-04 15:08","0.0","0","No"
"2017-11-04 15:28","0.0","0","No"
"2017-11-04 15:47","0.0","0","No"
"2017-11-04 15:48","0.0","0","No"
"2017-11-04 16:08","0.0","0","No"
"2017-11-04 16:28","0.0","0","No"
"2017-11-04 16:48","0.0","0","No"
"2017-11-04 17:08","0.0","0","No"
"2017-11-04 17:28","0.0","0","No"
"2017-11-04 17:48","0.0","0","Yes"
"2017-11-04 18:08","0.1","0","Yes"
"2017-11-04 18:28","0.1","0.0","Yes"
"2017-11-04 18:48","0.1","0.0","Yes"
"2017-11-04 19:08","0.2","0","Yes"
"2017-11-04 19:24","0.2","0.0","Yes"
"2017-11-04 19:28","0.2","0.0","Yes"
"2017-11-04 19:48","0.2","0.0","Yes"
"2017-11-04 20:08","0.3","0.0","Yes"
"2017-11-04 20:28","0.2","0","Yes"
"2017-11-04 20:48","0.2","0.0","Yes"
"2017-11-04 21:08","0.2","0","Yes"
"2017-11-04 21:28","0.2","0.0","Yes"
"2017-11-04 21:48","0.1","0.0","Yes"
"2017-11-04 22:08","0.1","0","Yes"
"2017-11-04 22:28","0.1","0.0","Yes"
"2017-11-04 22:48","0.2","0.0","Yes"
"2017-11-04 23:08","0.3","0","Yes"
"2017-11-04 23:28","0.3","0","Yes"
"2017-11-04 23:48","0.3","0.0","Yes"
"2017-11-04 23:53","0.3","0.0","Yes"
"2017-11-05 00:08","0.3","0.0","Yes"
"2017-11-05 00:28","0.4","0.0","Yes"
"2017-11-05 00:48","0.6","0.1","Yes"
"2017-11-05 01:08","0.8","0.1","Yes"
"2017-11-05 01:09","0.7","0.0","Yes"
"2017-11-05 01:28","1.0","0.0","Yes"
"2017-11-05 01:28","0.4","0.0","Yes"
"2017-11-05 01:48","0.9","0.0","Yes"
"2017-11-05 01:48","0.3","0","Yes"
"2017-11-05 02:08","0.2","0.0","Yes"
"2017-11-05 02:28","0.3","0.0","Yes"
"2017-11-05 02:48","0.3","0.0","Yes"
"2017-11-05 03:08","0.3","0","Yes"
"2017-11-05 03:28","0.2","0","Yes"
"2017-11-05 03:48","0.1","0.0","Yes"
