"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:08","-15.3","89"
"2017-12-01 00:28","-16.1","89"
"2017-12-01 00:48","-16.0","89"
"2017-12-01 01:08","-16.4","89"
"2017-12-01 01:28","-16.9","89"
"2017-12-01 01:48","-17.1","88"
"2017-12-01 02:08","-17.2","88"
"2017-12-01 02:28","-17.3","88"
"2017-12-01 02:48","-16.2","89"
"2017-12-01 13:48","-1.5","69"
"2017-12-01 14:08","-1.6","69"
"2017-12-01 14:28","-1.5","69"
"2017-12-01 14:48","-1.1","72"
"2017-12-01 15:08","-1.2","74"
"2017-12-01 15:28","-1.2","74"
"2017-12-01 15:48","-1.2","75"
"2017-12-01 16:08","-1.1","78"
"2017-12-01 16:28","-1.2","78"
"2017-12-01 16:48","-1.5","80"
"2017-12-01 17:08","-1.9","85"
"2017-12-01 17:28","-1.8","86"
"2017-12-01 17:48","-3.5","89"
"2017-12-01 18:08","-3.2","94"
"2017-12-01 18:28","-3.5","95"
"2017-12-01 18:48","-3.3","96"
"2017-12-01 19:08","-3.5","96"
"2017-12-01 19:28","-4.3","97"
"2017-12-01 19:48","-4.3","98"
"2017-12-01 20:08","-3.9","98"
"2017-12-01 20:28","-4.3","98"
"2017-12-01 20:48","-4.4","98"
"2017-12-01 21:08","-4.0","99"
"2017-12-01 21:28","-4.1","99"
"2017-12-01 21:48","-4.0","99"
"2017-12-01 22:08","-4.0","99"
"2017-12-01 22:28","-3.8","99"
"2017-12-01 22:48","-4.4","99"
"2017-12-01 23:08","-4.9","99"
"2017-12-01 23:28","-5.0","99"
"2017-12-01 23:48","-3.6",""
"2017-12-02 00:08","-4.0","99"
"2017-12-02 00:28","-3.5",""
"2017-12-02 00:48","-2.7",""
"2017-12-02 01:08","-0.6",""
"2017-12-02 01:28","-0.6","99"
"2017-12-02 01:48","-0.5","99"
"2017-12-02 02:08","-0.6","99"
"2017-12-02 02:28","-0.5","99"
"2017-12-02 02:48","-0.5","99"
"2017-12-02 03:08","-0.4","99"
"2017-12-02 03:28","-0.4","99"
"2017-12-02 03:48","-0.4","99"
"2017-12-02 04:08","-0.2","99"
"2017-12-02 04:28","-0.3","99"
"2017-12-02 04:48","-0.2",""
"2017-12-02 05:08","-0.2",""
"2017-12-02 05:28","-0.1",""
"2017-12-02 05:48","-0.1",""
"2017-12-02 06:08","-0.3",""
"2017-12-02 06:28","-0.2",""
"2017-12-02 06:48","-0.4",""
"2017-12-02 07:08","-0.6",""
"2017-12-02 07:28","-0.6",""
"2017-12-02 07:48","-0.6",""
"2017-12-02 08:08","-0.8",""
"2017-12-02 08:28","-0.9",""
"2017-12-02 08:48","-1.0",""
"2017-12-02 09:08","-0.8",""
"2017-12-02 09:28","-0.7",""
"2017-12-02 09:48","-1.0",""
"2017-12-02 10:08","-0.9",""
"2017-12-02 10:28","-1.1",""
"2017-12-02 10:48","-0.6",""
"2017-12-02 11:08","-0.9",""
"2017-12-02 11:28","-0.9",""
"2017-12-02 11:48","-0.7",""
"2017-12-02 12:08","-0.4",""
"2017-12-02 12:28","-0.3",""
"2017-12-02 12:48","-0.4",""
"2017-12-02 13:08","-0.5",""
"2017-12-02 13:28","-0.6","99"
"2017-12-02 13:48","-0.6","99"
"2017-12-02 14:08","-0.7","99"
"2017-12-02 14:28","-0.3","99"
"2017-12-02 14:48","-0.5","99"
"2017-12-02 15:08","-0.5","98"
"2017-12-02 15:28","-0.8","98"
"2017-12-02 15:48","-1.0","98"
"2017-12-02 16:08","-1.3","98"
"2017-12-02 16:28","-1.5","99"
"2017-12-02 16:48","-1.4","99"
"2017-12-02 17:08","-1.5","99"
"2017-12-02 17:28","-1.5",""
"2017-12-02 17:48","-1.6",""
"2017-12-02 18:08","-1.8",""
"2017-12-02 18:28","-1.8",""
"2017-12-02 18:48","-2.1",""
"2017-12-02 19:08","-2.1",""
"2017-12-02 19:28","-1.8",""
"2017-12-02 19:48","-1.9",""
"2017-12-02 20:08","-2.2",""
"2017-12-02 20:28","-2.3",""
"2017-12-02 20:48","-2.3",""
"2017-12-02 21:08","-2.2",""
"2017-12-02 21:28","-2.3",""
"2017-12-02 21:48","-2.7",""
"2017-12-02 22:08","-3.0",""
"2017-12-02 22:28","-3.3",""
"2017-12-02 22:48","-3.3",""
"2017-12-02 23:08","-3.3",""
"2017-12-02 23:28","-3.4",""
"2017-12-02 23:48","-3.4",""
"2017-12-03 00:08","-3.7","99"
"2017-12-03 00:28","-3.8","99"
"2017-12-03 00:48","-3.9","99"
"2017-12-03 01:08","-3.8","99"
"2017-12-03 01:28","-3.8","99"
"2017-12-03 01:48","-3.8","99"
"2017-12-03 02:08","-3.8","99"
"2017-12-03 02:28","-3.5","99"
"2017-12-03 02:48","-3.4","99"
"2017-12-03 03:08","-3.4","99"
"2017-12-03 03:28","-3.2","100"
"2017-12-03 03:48","-3.0",""
"2017-12-03 04:08","-2.6",""
"2017-12-03 04:28","-2.3",""
"2017-12-03 04:48","-1.8",""
"2017-12-03 05:08","-1.6",""
"2017-12-03 05:28","-1.3",""
"2017-12-03 05:48","-0.9",""
"2017-12-03 06:08","-0.4",""
"2017-12-03 06:28","0.0",""
"2017-12-03 06:48","0.2",""
"2017-12-03 07:08","0.4",""
"2017-12-03 07:28","0.4",""
"2017-12-03 07:48","0.6",""
"2017-12-03 08:08","0.7",""
"2017-12-03 08:28","0.8",""
"2017-12-03 08:48","0.9",""
"2017-12-03 09:08","1.0",""
"2017-12-03 09:28","0.8",""
"2017-12-03 09:48","0.9",""
"2017-12-03 10:08","0.9","99"
"2017-12-03 10:28","0.9","98"
"2017-12-03 10:48","1.0","97"
"2017-12-03 11:08","0.9","96"
"2017-12-03 11:28","0.9","95"
"2017-12-03 11:48","0.9","93"
"2017-12-03 12:08","0.7","92"
"2017-12-03 12:28","0.7","89"
"2017-12-03 12:48","0.8","88"
"2017-12-03 13:08","0.6","88"
"2017-12-03 13:28","0.6","87"
"2017-12-03 13:48","0.6","86"
"2017-12-03 14:08","0.6","86"
"2017-12-03 14:28","0.5","85"
"2017-12-03 14:48","0.5","85"
"2017-12-03 15:08","0.5","85"
"2017-12-03 15:28","0.4","86"
"2017-12-03 15:48","0.3","86"
"2017-12-03 16:08","0.2","85"
"2017-12-03 16:28","0.2","86"
"2017-12-03 16:48","0.1","86"
"2017-12-03 17:08","0.2","88"
"2017-12-03 17:28","-0.1","89"
"2017-12-03 17:48","-0.1","90"
"2017-12-03 18:08","-0.1","90"
"2017-12-03 18:28","-0.3","91"
"2017-12-03 18:48","-0.3","92"
"2017-12-03 19:08","-0.1","93"
"2017-12-03 19:28","-0.3","94"
"2017-12-03 19:48","-0.4","95"
"2017-12-03 20:08","-0.6","96"
"2017-12-03 20:28","-1.2","97"
"2017-12-03 20:48","-1.5","97"
"2017-12-03 21:08","-0.1","98"
"2017-12-03 21:28","-1.5","97"
"2017-12-03 21:48","-1.9","98"
"2017-12-03 22:08","-2.2","98"
"2017-12-03 22:28","-2.6","98"
"2017-12-03 22:48","-2.3","99"
"2017-12-03 23:08","-1.7",""
"2017-12-03 23:28","-2.5","99"
"2017-12-03 23:48","-2.5","99"
"2017-12-04 00:08","-2.6","99"
"2017-12-04 00:28","-2.9","99"
"2017-12-04 00:48","-1.5",""
"2017-12-04 01:08","-2.0","99"
"2017-12-04 01:28","-2.3","99"
"2017-12-04 01:48","-1.9","100"
"2017-12-04 02:08","-1.8","99"
"2017-12-04 02:28","-1.8","99"
"2017-12-04 02:48","-1.8","99"
"2017-12-04 03:08","-1.8","99"
"2017-12-04 03:28","-1.6","99"
"2017-12-04 03:48","-1.6","99"
"2017-12-04 04:08","-1.2","99"
"2017-12-04 04:28","-0.9","99"
"2017-12-04 04:48","-0.7","99"
"2017-12-04 05:08","-0.4","99"
"2017-12-04 05:28","-0.1","99"
"2017-12-04 05:48","0.0",""
"2017-12-04 06:08","0.1",""
"2017-12-04 06:28","0.2",""
"2017-12-04 06:48","0.1",""
"2017-12-04 07:08","0.5",""
"2017-12-04 07:28","0.5",""
"2017-12-04 07:48","0.6",""
"2017-12-04 08:08","0.6",""
"2017-12-04 08:28","0.7",""
"2017-12-04 08:48","0.8",""
"2017-12-04 09:08","1.0",""
"2017-12-04 09:28","1.1",""
"2017-12-04 09:48","1.1",""
"2017-12-04 10:08","1.1",""
"2017-12-04 10:28","1.3",""
"2017-12-04 10:48","1.4",""
"2017-12-04 11:08","1.4",""
"2017-12-04 11:28","1.5",""
"2017-12-04 11:48","1.4",""
"2017-12-04 12:08","1.4",""
"2017-12-04 12:28","1.3",""
"2017-12-04 12:48","1.2","99"
"2017-12-04 13:08","1.2",""
"2017-12-04 13:28","1.2",""
"2017-12-04 13:48","1.1",""
"2017-12-04 14:08","1.1",""
"2017-12-04 14:28","1.1",""
"2017-12-04 14:48","1.1",""
