"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:08","0","E","3"
"2017-12-01 00:28","0","ESE","0"
"2017-12-01 00:48","0","ESE","3"
"2017-12-01 01:08","0","ENE","2"
"2017-12-01 01:28","1","NE","3"
"2017-12-01 01:48","0","NNE","2"
"2017-12-01 02:08","3","NE","3"
"2017-12-01 02:28","1","WSW","4"
"2017-12-01 02:48","3","NE","4"
"2017-12-01 13:48","14","SSW","24"
"2017-12-01 14:08","17","SSW","29"
"2017-12-01 14:28","14","SSW","27"
"2017-12-01 14:48","12","S","23"
"2017-12-01 15:08","12","SSW","21"
"2017-12-01 15:28","15","S","26"
"2017-12-01 15:48","10","S","20"
"2017-12-01 16:08","8","S","14"
"2017-12-01 16:28","10","S","18"
"2017-12-01 16:48","7","SSW","12"
"2017-12-01 17:08","5","S","8"
"2017-12-01 17:28","4","S","8"
"2017-12-01 17:48","3","S","5"
"2017-12-01 18:08","2","S","4"
"2017-12-01 18:28","2","S","4"
"2017-12-01 18:48","1","SE","3"
"2017-12-01 19:08","2","SSE","3"
"2017-12-01 19:28","4","SSW","6"
"2017-12-01 19:48","3","S","6"
"2017-12-01 20:08","1","S","3"
"2017-12-01 20:28","3","S","4"
"2017-12-01 20:48","4","SSW","5"
"2017-12-01 21:08","2","S","3"
"2017-12-01 21:28","3","SSW","4"
"2017-12-01 21:48","1","SSE","4"
"2017-12-01 22:08","2","S","3"
"2017-12-01 22:28","2","S","4"
"2017-12-01 22:48","2","S","3"
"2017-12-01 23:08","3","SSE","3"
"2017-12-01 23:28","1","S","4"
"2017-12-01 23:48","3","S","5"
"2017-12-02 00:08","3","SSW","6"
"2017-12-02 00:28","3","S","4"
"2017-12-02 00:48","3","SSW","5"
"2017-12-02 01:08","6","SSW","14"
"2017-12-02 01:28","6","S","15"
"2017-12-02 01:48","6","SSW","9"
"2017-12-02 02:08","5","S","10"
"2017-12-02 02:28","4","S","11"
"2017-12-02 02:48","5","S","12"
"2017-12-02 03:08","8","SW","13"
"2017-12-02 03:28","4","S","8"
"2017-12-02 03:48","2","SW","8"
"2017-12-02 04:08","2","SSW","7"
"2017-12-02 04:28","1","S","4"
"2017-12-02 04:48","4","S","7"
"2017-12-02 05:08","3","S","8"
"2017-12-02 05:28","4","SSW","8"
"2017-12-02 05:48","6","SW","9"
"2017-12-02 06:08","0","S","5"
"2017-12-02 06:28","3","SW","5"
"2017-12-02 06:48","1","WSW","3"
"2017-12-02 07:08","1","E","2"
"2017-12-02 07:28","3","SE","4"
"2017-12-02 07:48","2","S","6"
"2017-12-02 08:08","3","S","4"
"2017-12-02 08:28","2","S","4"
"2017-12-02 08:48","4","SW","5"
"2017-12-02 09:08","0","S","3"
"2017-12-02 09:28","1","SSE","3"
"2017-12-02 09:48","1","SW","3"
"2017-12-02 10:08","1","SE","4"
"2017-12-02 10:28","1","SW","6"
"2017-12-02 10:48","4","SSE","6"
"2017-12-02 11:08","3","S","6"
"2017-12-02 11:28","5","SSW","8"
"2017-12-02 11:48","1","E","3"
"2017-12-02 12:08","3","SSW","5"
"2017-12-02 12:28","0","WSW","4"
"2017-12-02 12:48","0","N","6"
"2017-12-02 13:08","4","NW","7"
"2017-12-02 13:28","4","N","6"
"2017-12-02 13:48","1","ESE","5"
"2017-12-02 14:08","3","W","6"
"2017-12-02 14:28","0","SE","4"
"2017-12-02 14:48","1","SE","5"
"2017-12-02 15:08","1","SSE","4"
"2017-12-02 15:28","2","SSW","5"
"2017-12-02 15:48","2","S","6"
"2017-12-02 16:08","4","SSW","7"
"2017-12-02 16:28","4","W","6"
"2017-12-02 16:48","5","SSW","7"
"2017-12-02 17:08","1","SW","3"
"2017-12-02 17:28","4","S","6"
"2017-12-02 17:48","7","WSW","9"
"2017-12-02 18:08","2","S","6"
"2017-12-02 18:28","2","SSW","4"
"2017-12-02 18:48","6","WSW","8"
"2017-12-02 19:08","5","WSW","8"
"2017-12-02 19:28","3","SSW","7"
"2017-12-02 19:48","4","SSE","5"
"2017-12-02 20:08","6","SSW","8"
"2017-12-02 20:28","6","WSW","8"
"2017-12-02 20:48","1","S","5"
"2017-12-02 21:08","3","SSE","4"
"2017-12-02 21:28","3","SE","5"
"2017-12-02 21:48","2","SSW","4"
"2017-12-02 22:08","3","SW","5"
"2017-12-02 22:28","3","SSE","7"
"2017-12-02 22:48","6","SSE","9"
"2017-12-02 23:08","4","S","8"
"2017-12-02 23:28","4","S","9"
"2017-12-02 23:48","4","S","9"
"2017-12-03 00:08","5","S","10"
"2017-12-03 00:28","5","S","9"
"2017-12-03 00:48","6","S","9"
"2017-12-03 01:08","4","SSE","8"
"2017-12-03 01:28","3","S","8"
"2017-12-03 01:48","5","SSW","9"
"2017-12-03 02:08","6","SSE","9"
"2017-12-03 02:28","8","S","12"
"2017-12-03 02:48","3","SSE","9"
"2017-12-03 03:08","1","SE","5"
"2017-12-03 03:28","4","SE","8"
"2017-12-03 03:48","5","ESE","8"
"2017-12-03 04:08","7","SSE","14"
"2017-12-03 04:28","5","SSE","13"
"2017-12-03 04:48","3","SSE","13"
"2017-12-03 05:08","4","SE","8"
"2017-12-03 05:28","3","SE","9"
"2017-12-03 05:48","5","SSE","12"
"2017-12-03 06:08","4","SSE","9"
"2017-12-03 06:28","5","SSE","13"
"2017-12-03 06:48","8","SSE","15"
"2017-12-03 07:08","7","SSE","13"
