"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:08","21","WSW","32"
"2018-02-01 00:28","20","SW","34"
"2018-02-01 00:48","13","SW","29"
"2018-02-01 01:08","15","WSW","28"
"2018-02-01 01:28","12","SW","29"
"2018-02-01 01:48","16","SW","32"
"2018-02-01 02:08","17","WSW","26"
"2018-02-01 02:28","17","SW","26"
"2018-02-01 02:48","20","SW","26"
"2018-02-01 03:08","16","SW","25"
"2018-02-01 03:28","13","SW","23"
"2018-02-01 03:48","14","WSW","27"
"2018-02-01 04:08","12","SW","23"
"2018-02-01 04:28","10","WNW","28"
"2018-02-01 04:48","8","W","21"
"2018-02-01 05:08","7","WSW","18"
"2018-02-01 05:28","10","W","19"
"2018-02-01 05:48","7","W","13"
"2018-02-01 06:08","9","WSW","15"
"2018-02-01 06:28","8","WSW","22"
"2018-02-01 06:48","12","WNW","19"
"2018-02-01 07:08","9","W","19"
"2018-02-01 07:28","10","WSW","18"
"2018-02-01 07:48","9","WNW","20"
"2018-02-01 08:08","13","W","22"
"2018-02-01 08:28","10","WSW","21"
"2018-02-01 08:48","11","W","23"
"2018-02-01 09:08","11","WSW","24"
"2018-02-01 09:28","13","W","26"
"2018-02-01 09:48","16","W","26"
"2018-02-01 10:08","9","WSW","33"
"2018-02-01 10:28","14","W","27"
"2018-02-01 10:48","13","WNW","27"
"2018-02-01 11:08","7","WSW","24"
"2018-02-01 11:28","15","W","28"
"2018-02-01 11:48","11","NW","22"
"2018-02-01 12:08","12","WNW","27"
"2018-02-01 12:28","17","W","28"
"2018-02-01 12:48","12","WNW","26"
"2018-02-01 13:08","12","W","32"
"2018-02-01 13:28","8","WSW","28"
"2018-02-01 13:48","9","WSW","27"
"2018-02-01 14:08","17","W","29"
"2018-02-01 14:28","10","W","27"
"2018-02-01 14:48","15","W","28"
"2018-02-01 15:08","15","W","28"
"2018-02-01 15:28","12","WSW","23"
"2018-02-01 15:48","14","W","26"
"2018-02-01 16:08","10","WNW","21"
