"Time EST","Pressure (kPa)"
"2018-01-01 00:08","104.06"
"2018-01-01 00:28","104.05"
"2018-01-01 00:48","104.06"
"2018-01-01 01:08","104.07"
"2018-01-01 01:28","104.06"
"2018-01-01 01:48","104.07"
"2018-01-01 02:08","104.07"
"2018-01-01 02:28","104.07"
"2018-01-01 02:48","104.08"
"2018-01-01 03:08","104.09"
"2018-01-01 03:28","104.10"
"2018-01-01 03:48","104.09"
"2018-01-01 04:08","104.10"
"2018-01-01 04:28","104.09"
"2018-01-01 04:48","104.09"
"2018-01-01 05:08","104.08"
"2018-01-01 05:28","104.08"
"2018-01-01 05:48","104.07"
"2018-01-01 06:08","104.06"
"2018-01-01 06:28","104.08"
"2018-01-01 06:48","104.07"
"2018-01-01 07:08","104.06"
"2018-01-01 07:28","104.04"
"2018-01-01 07:48","104.04"
"2018-01-01 08:08","104.02"
"2018-01-01 08:28","104.02"
"2018-01-01 08:48","104.02"
"2018-01-01 09:08","104.01"
"2018-01-01 09:28","104.01"
"2018-01-01 09:48","104.00"
"2018-01-01 10:08","104.00"
"2018-01-01 10:28","104.00"
"2018-01-01 10:48","103.99"
"2018-01-01 11:08","104.00"
"2018-01-01 11:28","103.99"
"2018-01-01 11:48","103.98"
"2018-01-01 12:08","103.96"
"2018-01-01 12:28","103.95"
"2018-01-01 12:48","103.94"
"2018-01-01 13:08","103.92"
"2018-01-01 13:28","103.92"
"2018-01-01 13:48","103.90"
"2018-01-01 14:08","103.89"
"2018-01-01 14:28","103.87"
"2018-01-01 14:48","103.87"
"2018-01-01 15:08","103.85"
"2018-01-01 15:28","103.84"
"2018-01-01 15:48","103.83"
"2018-01-01 16:08","103.83"
"2018-01-01 16:28","103.81"
"2018-01-01 16:48","103.81"
"2018-01-01 17:08","103.80"
"2018-01-01 17:28","103.80"
"2018-01-01 17:48","103.80"
"2018-01-01 18:08","103.79"
"2018-01-01 18:28","103.78"
"2018-01-01 18:48","103.77"
"2018-01-01 19:08","103.76"
"2018-01-01 19:28","103.75"
"2018-01-01 19:48","103.72"
"2018-01-01 20:08","103.70"
"2018-01-01 20:28","103.68"
"2018-01-01 20:48","103.67"
"2018-01-01 21:08","103.65"
"2018-01-01 21:28","103.63"
"2018-01-01 21:48","103.60"
"2018-01-01 22:08","103.58"
"2018-01-01 22:28","103.55"
"2018-01-01 22:48","103.52"
"2018-01-01 23:08","103.52"
"2018-01-01 23:28","103.48"
"2018-01-01 23:48","103.46"
"2018-01-02 00:08","103.43"
"2018-01-02 00:28","103.41"
"2018-01-02 00:48","103.39"
"2018-01-02 01:08","103.36"
"2018-01-02 01:28","103.34"
"2018-01-02 01:48","103.34"
"2018-01-02 02:08","103.33"
"2018-01-02 02:28","103.34"
"2018-01-02 02:48","103.32"
"2018-01-02 03:08","103.32"
"2018-01-02 03:28","103.33"
"2018-01-02 03:48","103.32"
"2018-01-02 04:08","103.32"
"2018-01-02 04:28","103.31"
"2018-01-02 04:48","103.31"
"2018-01-02 05:08","103.30"
"2018-01-02 05:28","103.31"
"2018-01-02 05:48","103.30"
"2018-01-02 06:08","103.29"
"2018-01-02 06:28","103.29"
"2018-01-02 06:48","103.28"
"2018-01-02 07:08","103.28"
"2018-01-02 07:28","103.29"
"2018-01-02 07:48","103.29"
"2018-01-02 08:08","103.29"
"2018-01-02 08:28","103.28"
"2018-01-02 08:48","103.29"
"2018-01-02 09:08","103.28"
"2018-01-02 09:28","103.28"
"2018-01-02 09:48","103.28"
"2018-01-02 10:08","103.29"
"2018-01-02 10:28","103.28"
"2018-01-02 10:48","103.28"
"2018-01-02 11:08","103.27"
"2018-01-02 11:28","103.25"
"2018-01-02 11:48","103.25"
"2018-01-02 12:08","103.24"
"2018-01-02 12:28","103.24"
"2018-01-02 12:48","103.20"
"2018-01-02 13:08","103.18"
"2018-01-02 13:28","103.16"
"2018-01-02 13:48","103.15"
"2018-01-02 14:08","103.15"
"2018-01-02 14:28","103.15"
"2018-01-02 14:48","103.14"
"2018-01-02 15:08","103.16"
"2018-01-02 15:28","103.16"
"2018-01-02 15:48","103.16"
"2018-01-02 16:08","103.17"
"2018-01-02 16:28","103.16"
"2018-01-02 16:48","103.16"
"2018-01-02 17:08","103.17"
"2018-01-02 17:28","103.16"
"2018-01-02 17:48","103.17"
"2018-01-02 18:08","103.17"
"2018-01-02 18:28","103.19"
"2018-01-02 18:48","103.18"
"2018-01-02 19:08","103.19"
"2018-01-02 19:28","103.20"
"2018-01-02 19:48","103.21"
"2018-01-02 20:08","103.22"
"2018-01-02 20:28","103.22"
"2018-01-02 20:48","103.22"
"2018-01-02 21:08","103.22"
"2018-01-02 21:28","103.23"
"2018-01-02 21:48","103.23"
"2018-01-02 22:08","103.23"
"2018-01-02 22:28","103.24"
"2018-01-02 22:48","103.24"
"2018-01-02 23:08","103.24"
"2018-01-02 23:28","103.25"
"2018-01-02 23:48","103.25"
"2018-01-03 00:08","103.25"
"2018-01-03 00:28","103.25"
"2018-01-03 00:48","103.26"
"2018-01-03 01:08","103.26"
"2018-01-03 01:28","103.27"
"2018-01-03 01:48","103.28"
"2018-01-03 02:08","103.28"
"2018-01-03 02:28","103.29"
"2018-01-03 02:48","103.30"
"2018-01-03 03:08","103.32"
"2018-01-03 03:28","103.34"
"2018-01-03 03:48","103.34"
"2018-01-03 04:08","103.34"
"2018-01-03 04:28","103.35"
"2018-01-03 04:48","103.36"
"2018-01-03 05:08","103.38"
"2018-01-03 05:28","103.38"
"2018-01-03 05:48","103.41"
"2018-01-03 06:08","103.41"
"2018-01-03 06:28","103.43"
"2018-01-03 06:48","103.45"
"2018-01-03 07:08","103.46"
"2018-01-03 07:28","103.47"
"2018-01-03 07:48","103.49"
"2018-01-03 08:08","103.50"
"2018-01-03 08:28","103.52"
"2018-01-03 08:48","103.54"
"2018-01-03 09:08","103.55"
"2018-01-03 09:28","103.56"
"2018-01-03 09:48","103.57"
"2018-01-03 10:08","103.59"
"2018-01-03 10:28","103.61"
"2018-01-03 10:48","103.61"
"2018-01-03 11:08","103.61"
"2018-01-03 11:28","103.60"
"2018-01-03 11:48","103.59"
"2018-01-03 12:08","103.59"
"2018-01-03 12:28","103.60"
"2018-01-03 12:48","103.59"
"2018-01-03 13:08","103.59"
"2018-01-03 13:28","103.59"
"2018-01-03 13:48","103.58"
"2018-01-03 14:08","103.59"
"2018-01-03 14:28","103.59"
"2018-01-03 14:48","103.60"
"2018-01-03 15:08","103.60"
"2018-01-03 15:28","103.63"
"2018-01-03 15:48","103.64"
"2018-01-03 16:08","103.66"
"2018-01-03 16:28","103.67"
"2018-01-03 16:48","103.68"
"2018-01-03 17:08","103.70"
"2018-01-03 17:28","103.71"
"2018-01-03 17:48","103.72"
"2018-01-03 18:08","103.73"
"2018-01-03 18:28","103.75"
"2018-01-03 18:48","103.76"
"2018-01-03 19:08","103.77"
"2018-01-03 19:28","103.79"
"2018-01-03 19:48","103.79"
"2018-01-03 20:08","103.81"
"2018-01-03 20:28","103.81"
"2018-01-03 20:48","103.83"
"2018-01-03 21:08","103.84"
"2018-01-03 21:28","103.84"
"2018-01-03 21:48","103.85"
"2018-01-03 22:08","103.85"
"2018-01-03 22:28","103.87"
"2018-01-03 22:48","103.87"
"2018-01-03 23:08","103.87"
"2018-01-03 23:28","103.88"
"2018-01-03 23:48","103.88"
"2018-01-04 00:08","103.88"
"2018-01-04 00:28","103.88"
"2018-01-04 00:48","103.88"
"2018-01-04 01:08","103.89"
"2018-01-04 01:28","103.89"
"2018-01-04 01:48","103.89"
"2018-01-04 02:08","103.90"
"2018-01-04 02:28","103.92"
"2018-01-04 02:48","103.93"
"2018-01-04 03:08","103.93"
"2018-01-04 03:28","103.94"
"2018-01-04 03:48","103.95"
"2018-01-04 04:08","103.95"
"2018-01-04 04:28","103.95"
"2018-01-04 04:48","103.97"
"2018-01-04 05:08","103.97"
"2018-01-04 05:28","103.99"
"2018-01-04 05:48","103.99"
"2018-01-04 06:08","104.01"
"2018-01-04 06:28","104.02"
"2018-01-04 06:48","104.03"
"2018-01-04 07:08","104.04"
"2018-01-04 07:28","104.05"
"2018-01-04 07:48","104.05"
"2018-01-04 08:08","104.05"
"2018-01-04 08:28","104.05"
"2018-01-04 08:48","104.05"
"2018-01-04 09:08","104.05"
"2018-01-04 09:28","104.06"
"2018-01-04 09:48","104.07"
"2018-01-04 10:08","104.07"
"2018-01-04 10:28","104.06"
"2018-01-04 10:48","104.07"
"2018-01-04 11:08","104.06"
"2018-01-04 11:28","104.06"
"2018-01-04 11:48","104.04"
"2018-01-04 12:08","104.03"
"2018-01-04 12:28","104.02"
"2018-01-04 12:48","104.01"
"2018-01-04 13:08","104.01"
"2018-01-04 13:28","104.00"
"2018-01-04 13:48","103.99"
"2018-01-04 14:08","104.00"
"2018-01-04 14:28","103.99"
"2018-01-04 14:48","104.00"
"2018-01-04 15:08","104.02"
"2018-01-04 15:28","104.02"
"2018-01-04 15:48","104.04"
"2018-01-04 16:08","104.04"
"2018-01-04 16:28","104.04"
"2018-01-04 16:48","104.04"
