"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2018-03-01 00:08","-11.7","81"
"2018-03-01 00:28","-12.0","80"
"2018-03-01 00:48","-12.2","80"
"2018-03-01 01:08","-12.7","79"
"2018-03-01 01:28","-13.0","79"
"2018-03-01 01:48","-13.3","79"
"2018-03-01 02:08","-13.9","79"
"2018-03-01 02:28","-14.1","79"
"2018-03-01 02:48","-14.5","80"
"2018-03-01 03:08","-15.4","81"
"2018-03-01 03:28","-15.5","83"
"2018-03-01 03:48","-15.5","84"
"2018-03-01 04:08","-15.5","85"
"2018-03-01 04:28","-15.5","85"
"2018-03-01 04:48","-15.6","85"
"2018-03-01 05:08","-15.6","85"
"2018-03-01 05:28","-15.7","85"
"2018-03-01 05:48","-15.6","85"
"2018-03-01 06:08","-15.6","85"
"2018-03-01 06:28","-15.6","85"
"2018-03-01 06:48","-16.3","85"
"2018-03-01 07:08","-17.6","85"
"2018-03-01 07:28","-18.8","85"
"2018-03-01 08:28","-18.2","86"
"2018-03-01 08:48","-16.8","87"
"2018-03-01 09:08","-15.3","83"
"2018-03-01 09:28","-16.1","76"
"2018-03-01 09:48","-16.1","77"
"2018-03-01 10:08","-15.1","76"
"2018-03-01 10:28","-14.5","74"
"2018-03-01 10:48","-13.8","72"
"2018-03-01 11:08","-13.4","71"
"2018-03-01 11:28","-13.9","64"
"2018-03-01 11:48","-13.6","61"
"2018-03-01 12:08","-13.5","58"
"2018-03-01 12:28","-12.7","59"
"2018-03-01 12:48","-12.2","64"
"2018-03-01 13:08","-11.5","63"
"2018-03-01 13:28","-11.5","63"
"2018-03-01 13:48","-11.9","59"
"2018-03-01 14:08","-12.2","57"
"2018-03-01 14:28","-12.3","55"
"2018-03-01 14:48","-12.5","51"
"2018-03-01 15:08","-12.1","53"
"2018-03-01 15:28","-12.6","51"
"2018-03-01 15:48","-12.4","51"
"2018-03-01 16:08","-12.8","51"
"2018-03-01 16:28","-13.0","50"
"2018-03-01 16:48","-14.0","47"
"2018-03-01 17:08","-14.9","45"
"2018-03-01 17:28","-14.5","49"
"2018-03-01 17:48","-14.2","53"
"2018-03-01 18:08","-14.4","56"
"2018-03-01 18:28","-14.5","60"
"2018-03-01 18:48","-14.7","63"
"2018-03-01 19:08","-14.9","66"
"2018-03-01 19:28","-14.6","70"
"2018-03-01 19:48","-15.1","72"
"2018-03-01 20:08","-15.6","74"
"2018-03-01 20:28","-16.9","75"
"2018-03-01 20:48","-16.5","78"
"2018-03-01 21:08","-16.3","79"
"2018-03-01 21:28","-17.2","80"
"2018-03-01 21:48","-17.4","81"
"2018-03-01 22:08","-18.0","82"
"2018-03-01 22:28","-19.1","82"
"2018-03-01 22:48","-20.2","83"
"2018-03-01 23:08","-20.4","85"
"2018-03-01 23:28","-21.5","84"
"2018-03-01 23:48","-21.8","84"
"2018-03-02 00:08","-22.3","83"
"2018-03-02 00:28","-22.7","82"
"2018-03-02 00:48","-23.2","82"
"2018-03-02 01:08","-23.4","82"
"2018-03-02 01:28","-23.5","82"
"2018-03-02 01:48","-23.9","81"
"2018-03-02 02:08","-24.0","81"
"2018-03-02 02:28","-23.9","81"
"2018-03-02 02:48","-23.7","81"
"2018-03-02 03:08","-24.0","80"
"2018-03-02 03:28","-24.6","80"
"2018-03-02 03:48","-24.3","81"
"2018-03-02 04:08","-25.7","79"
"2018-03-02 04:28","-26.0","80"
"2018-03-02 04:48","-26.8","79"
"2018-03-02 05:08","-26.2","80"
"2018-03-02 05:28","-26.3","79"
"2018-03-02 05:48","-26.8","79"
"2018-03-02 06:08","-27.5","78"
"2018-03-02 06:28","-27.6","78"
"2018-03-02 06:48","-28.0","78"
"2018-03-02 07:08","-28.3","78"
"2018-03-02 07:28","-28.6","77"
