"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-11-01 00:08","-13.1","91"
"2017-11-01 00:28","-13.4","92"
"2017-11-01 00:48","-13.1","92"
"2017-11-01 01:09","-13.8","91"
"2017-11-01 01:29","-13.7","92"
"2017-11-01 01:49","-13.6","91"
"2017-11-01 02:08","-13.0","92"
"2017-11-01 02:28","-12.9","92"
"2017-11-01 02:49","-13.6","91"
"2017-11-01 03:08","-14.0","90"
"2017-11-01 03:28","-14.6","90"
"2017-11-01 03:48","-14.6","90"
"2017-11-01 04:08","-14.6","90"
"2017-11-01 04:28","-14.3","91"
"2017-11-01 04:48","-13.5","91"
"2017-11-01 05:08","-13.0","91"
"2017-11-01 05:28","-12.5","92"
"2017-11-01 05:48","-12.1","92"
"2017-11-01 06:08","-11.8","92"
"2017-11-01 06:28","-11.0","93"
"2017-11-01 06:48","-10.6","94"
"2017-11-01 07:08","-10.3","93"
"2017-11-01 07:28","-9.6","95"
"2017-11-01 07:48","-8.1","94"
"2017-11-01 08:08","-8.1","94"
"2017-11-01 08:28","-7.7","95"
"2017-11-01 08:48","-7.5","95"
"2017-11-01 09:08","-7.1","95"
"2017-11-01 09:28","-6.7","95"
"2017-11-01 09:48","-6.3","96"
"2017-11-01 10:08","-6.0","95"
"2017-11-01 10:28","-5.5","95"
"2017-11-01 10:48","-4.8","95"
"2017-11-01 11:09","-4.4","94"
"2017-11-01 11:28","-4.0","94"
"2017-11-01 11:48","-3.8","90"
"2017-11-01 12:08","-3.5","91"
"2017-11-01 12:29","-3.3","92"
"2017-11-01 12:48","-2.9","90"
"2017-11-01 13:08","-2.5","88"
"2017-11-01 13:28","-2.2","91"
"2017-11-01 13:49","-1.9","91"
"2017-11-01 14:08","-1.8","91"
"2017-11-01 14:29","-1.6","91"
"2017-11-01 14:49","-1.0","90"
"2017-11-01 15:08","-1.0","92"
"2017-11-01 15:28","-0.7","93"
"2017-11-01 15:48","-0.5","92"
"2017-11-01 16:09","-0.5","91"
"2017-11-01 16:29","-0.5","93"
"2017-11-01 16:49","-0.4","94"
"2017-11-01 17:09","-0.4","95"
"2017-11-01 17:28","-0.4","96"
"2017-11-01 17:48","-0.4","97"
"2017-11-01 18:09","-0.4","97"
"2017-11-01 18:29","-0.5","99"
"2017-11-01 18:48","-0.7","99"
"2017-11-01 19:08","-1.0","99"
"2017-11-01 19:30","-1.2",""
"2017-11-01 19:50","-1.3","99"
"2017-11-01 20:08","-1.2",""
"2017-11-01 20:28","-1.3",""
"2017-11-01 20:48","-1.6",""
"2017-11-01 21:08","-1.4",""
"2017-11-01 21:28","-1.3","99"
"2017-11-01 21:48","-1.5","99"
"2017-11-01 22:08","-1.6","99"
"2017-11-01 22:28","-1.5","99"
"2017-11-01 22:48","-1.6",""
"2017-11-01 23:08","-1.7","99"
"2017-11-01 23:28","-1.7",""
"2017-11-01 23:48","-1.5",""
"2017-11-02 00:08","-1.3",""
"2017-11-02 00:28","-1.3",""
"2017-11-02 00:48","-1.2",""
"2017-11-02 01:08","-1.1",""
"2017-11-02 01:28","-1.1",""
"2017-11-02 01:48","-1.1",""
"2017-11-02 02:08","-0.9",""
"2017-11-02 02:28","-0.8",""
"2017-11-02 02:48","-0.8",""
"2017-11-02 03:08","-0.7",""
"2017-11-02 03:28","-0.6",""
"2017-11-02 03:48","-0.5",""
"2017-11-02 04:08","-0.4",""
"2017-11-02 04:28","-0.4",""
"2017-11-02 04:48","-0.3",""
"2017-11-02 05:08","-0.3",""
"2017-11-02 05:28","-0.2",""
"2017-11-02 05:48","-0.2",""
"2017-11-02 06:08","-0.1",""
"2017-11-02 06:28","-0.1",""
"2017-11-02 06:48","0.0",""
"2017-11-02 07:08","0.0",""
"2017-11-02 07:28","0.1",""
"2017-11-02 07:48","0.2",""
"2017-11-02 08:08","0.2",""
"2017-11-02 08:28","0.3",""
"2017-11-02 08:48","0.3",""
"2017-11-02 09:08","0.4",""
"2017-11-02 09:28","0.5",""
"2017-11-02 09:48","0.6",""
"2017-11-02 10:08","0.6",""
"2017-11-02 10:28","0.7",""
"2017-11-02 10:48","0.4",""
"2017-11-02 11:08","0.4",""
"2017-11-02 11:28","0.4",""
