"Time EST","Pressure (kPa)"
"2017-11-01 00:08","103.36"
"2017-11-01 00:28","103.35"
"2017-11-01 00:48","103.36"
"2017-11-01 01:09","103.36"
"2017-11-01 01:29","103.36"
"2017-11-01 01:49","103.36"
"2017-11-01 02:08","103.36"
"2017-11-01 02:28","103.35"
"2017-11-01 02:49","103.35"
"2017-11-01 03:08","103.36"
"2017-11-01 03:28","103.36"
"2017-11-01 03:48","103.37"
"2017-11-01 04:08","103.36"
"2017-11-01 04:28","103.35"
"2017-11-01 04:48","103.36"
"2017-11-01 05:08","103.36"
"2017-11-01 05:28","103.34"
"2017-11-01 05:48","103.35"
"2017-11-01 06:08","103.35"
"2017-11-01 06:28","103.34"
"2017-11-01 06:48","103.35"
"2017-11-01 07:08","103.35"
"2017-11-01 07:28","103.35"
"2017-11-01 07:48","103.35"
"2017-11-01 08:08","103.35"
"2017-11-01 08:28","103.34"
"2017-11-01 08:48","103.34"
"2017-11-01 09:08","103.34"
"2017-11-01 09:28","103.34"
"2017-11-01 09:48","103.34"
"2017-11-01 10:08","103.34"
"2017-11-01 10:28","103.35"
"2017-11-01 10:48","103.35"
"2017-11-01 11:09","103.36"
"2017-11-01 11:28","103.36"
"2017-11-01 11:48","103.37"
"2017-11-01 12:08","103.37"
"2017-11-01 12:29","103.36"
"2017-11-01 12:48","103.35"
"2017-11-01 13:08","103.35"
"2017-11-01 13:28","103.33"
"2017-11-01 13:49","103.33"
"2017-11-01 14:08","103.32"
"2017-11-01 14:29","103.31"
"2017-11-01 14:49","103.31"
"2017-11-01 15:08","103.31"
"2017-11-01 15:28","103.30"
"2017-11-01 15:48","103.30"
"2017-11-01 16:09","103.30"
"2017-11-01 16:29","103.30"
"2017-11-01 16:49","103.31"
"2017-11-01 17:09","103.31"
"2017-11-01 17:28","103.31"
"2017-11-01 17:48","103.31"
"2017-11-01 18:09","103.30"
"2017-11-01 18:29","103.31"
"2017-11-01 18:48","103.31"
"2017-11-01 19:08","103.32"
"2017-11-01 19:30","103.32"
"2017-11-01 19:50","103.32"
"2017-11-01 20:08","103.32"
"2017-11-01 20:28","103.32"
"2017-11-01 20:48","103.33"
"2017-11-01 21:08","103.33"
"2017-11-01 21:28","103.32"
"2017-11-01 21:48","103.32"
"2017-11-01 22:08","103.32"
"2017-11-01 22:28","103.32"
"2017-11-01 22:48","103.32"
"2017-11-01 23:08","103.33"
"2017-11-01 23:28","103.32"
"2017-11-01 23:48","103.34"
"2017-11-02 00:08","103.32"
"2017-11-02 00:28","103.32"
"2017-11-02 00:48","103.32"
"2017-11-02 01:08","103.32"
"2017-11-02 01:28","103.31"
"2017-11-02 01:48","103.30"
"2017-11-02 02:08","103.30"
"2017-11-02 02:28","103.29"
"2017-11-02 02:48","103.28"
"2017-11-02 03:08","103.27"
"2017-11-02 03:28","103.27"
"2017-11-02 03:48","103.27"
"2017-11-02 04:08","103.26"
"2017-11-02 04:28","103.25"
"2017-11-02 04:48","103.24"
"2017-11-02 05:08","103.23"
"2017-11-02 05:28","103.23"
"2017-11-02 05:48","103.22"
"2017-11-02 06:08","103.21"
"2017-11-02 06:28","103.21"
"2017-11-02 06:48","103.21"
"2017-11-02 07:08","103.21"
"2017-11-02 07:28","103.21"
"2017-11-02 07:48","103.21"
"2017-11-02 08:08","103.22"
"2017-11-02 08:28","103.21"
"2017-11-02 08:48","103.21"
"2017-11-02 09:08","103.21"
"2017-11-02 09:28","103.21"
"2017-11-02 09:48","103.20"
"2017-11-02 10:08","103.21"
"2017-11-02 10:28","103.20"
"2017-11-02 10:48","103.19"
"2017-11-02 11:08","103.19"
"2017-11-02 11:28","103.19"
"2017-11-02 11:48","103.19"
"2017-11-02 12:08","103.18"
"2017-11-02 15:08","103.11"
"2017-11-02 15:28","103.11"
"2017-11-02 15:48","103.11"
"2017-11-02 16:08","103.12"
"2017-11-02 16:28","103.13"
"2017-11-02 16:48","103.13"
"2017-11-02 17:08","103.14"
"2017-11-02 17:28","103.15"
"2017-11-02 17:48","103.15"
"2017-11-02 18:08","103.16"
"2017-11-02 18:28","103.17"
"2017-11-02 18:48","103.17"
"2017-11-02 19:08","103.18"
"2017-11-02 19:28","103.18"
"2017-11-02 19:48","103.20"
"2017-11-02 20:08","103.20"
"2017-11-02 20:28","103.20"
"2017-11-02 20:48","103.21"
"2017-11-02 21:08","103.21"
"2017-11-02 21:28","103.23"
"2017-11-02 21:48","103.24"
"2017-11-02 22:08","103.26"
"2017-11-02 22:28","103.26"
"2017-11-02 22:48","103.27"
"2017-11-02 23:08","103.28"
"2017-11-02 23:28","103.28"
"2017-11-02 23:48","103.28"
"2017-11-03 00:08","103.30"
"2017-11-03 00:28","103.30"
"2017-11-03 00:48","103.30"
"2017-11-03 01:08","103.31"
"2017-11-03 01:28","103.33"
"2017-11-03 01:48","103.34"
"2017-11-03 02:08","103.35"
"2017-11-03 02:28","103.36"
"2017-11-03 02:48","103.37"
"2017-11-03 03:08","103.40"
"2017-11-03 03:28","103.42"
"2017-11-03 03:48","103.45"
"2017-11-03 04:08","103.47"
"2017-11-03 04:28","103.49"
"2017-11-03 04:48","103.50"
"2017-11-03 05:08","103.51"
"2017-11-03 05:28","103.54"
"2017-11-03 05:48","103.56"
"2017-11-03 06:08","103.58"
"2017-11-03 06:28","103.61"
"2017-11-03 06:48","103.63"
"2017-11-03 07:08","103.66"
"2017-11-03 07:28","103.68"
"2017-11-03 07:48","103.70"
"2017-11-03 08:08","103.73"
"2017-11-03 08:28","103.75"
"2017-11-03 08:48","103.78"
"2017-11-03 09:08","103.79"
"2017-11-03 09:28","103.82"
"2017-11-03 09:48","103.84"
"2017-11-03 10:08","103.86"
"2017-11-03 10:28","103.89"
"2017-11-03 10:48","103.90"
"2017-11-03 11:08","103.91"
"2017-11-03 11:28","103.92"
"2017-11-03 11:48","103.95"
"2017-11-03 12:08","103.99"
"2017-11-03 12:28","104.01"
"2017-11-03 12:48","104.02"
"2017-11-03 13:08","104.01"
"2017-11-03 13:28","104.00"
"2017-11-03 13:48","104.00"
"2017-11-03 14:08","104.00"
"2017-11-03 14:28","104.02"
"2017-11-03 14:48","104.02"
"2017-11-03 15:08","104.03"
"2017-11-03 15:28","104.05"
"2017-11-03 15:48","104.07"
"2017-11-03 16:08","104.06"
"2017-11-03 16:28","104.07"
"2017-11-03 16:48","104.07"
"2017-11-03 17:08","104.07"
"2017-11-03 17:28","104.07"
"2017-11-03 17:48","104.07"
"2017-11-03 18:08","104.07"
"2017-11-03 18:28","104.08"
"2017-11-03 18:48","104.09"
"2017-11-03 19:08","104.10"
"2017-11-03 19:28","104.10"
"2017-11-03 19:48","104.11"
"2017-11-03 20:08","104.11"
"2017-11-03 20:28","104.11"
"2017-11-03 20:48","104.12"
"2017-11-03 21:08","104.12"
"2017-11-03 21:28","104.12"
"2017-11-03 21:48","104.12"
"2017-11-03 22:08","104.12"
"2017-11-03 22:28","104.13"
"2017-11-03 22:48","104.12"
"2017-11-03 23:08","104.13"
"2017-11-03 23:28","104.13"
"2017-11-03 23:48","104.12"
"2017-11-04 00:08","104.13"
"2017-11-04 00:28","104.13"
"2017-11-04 00:48","104.14"
"2017-11-04 01:08","104.13"
"2017-11-04 01:28","104.13"
"2017-11-04 01:48","104.14"
"2017-11-04 02:08","104.12"
"2017-11-04 02:28","104.13"
"2017-11-04 02:48","104.11"
"2017-11-04 03:08","104.12"
"2017-11-04 03:28","104.13"
"2017-11-04 03:48","104.13"
"2017-11-04 04:08","104.12"
"2017-11-04 04:28","104.13"
"2017-11-04 04:48","104.14"
"2017-11-04 05:08","104.13"
"2017-11-04 05:28","104.13"
"2017-11-04 05:48","104.13"
"2017-11-04 06:08","104.13"
"2017-11-04 06:28","104.13"
"2017-11-04 06:48","104.11"
"2017-11-04 07:08","104.10"
"2017-11-04 07:28","104.10"
"2017-11-04 07:48","104.09"
"2017-11-04 08:08","104.07"
"2017-11-04 08:28","104.08"
"2017-11-04 08:48","104.10"
"2017-11-04 09:08","104.10"
"2017-11-04 09:28","104.09"
"2017-11-04 09:48","104.08"
"2017-11-04 10:08","104.07"
"2017-11-04 10:28","104.06"
"2017-11-04 10:48","104.06"
"2017-11-04 11:08","104.06"
"2017-11-04 11:28","104.06"
"2017-11-04 11:48","104.05"
"2017-11-04 12:08","104.04"
"2017-11-04 12:28","104.03"
"2017-11-04 12:48","104.00"
"2017-11-04 13:08","103.99"
"2017-11-04 13:28","103.96"
"2017-11-04 13:48","103.95"
"2017-11-04 14:08","103.93"
"2017-11-04 14:28","103.92"
"2017-11-04 14:48","103.90"
"2017-11-04 15:08","103.88"
"2017-11-04 15:28","103.86"
"2017-11-04 15:48","103.83"
"2017-11-04 16:08","103.81"
"2017-11-04 16:28","103.80"
"2017-11-04 16:48","103.77"
"2017-11-04 17:08","103.75"
"2017-11-04 17:28","103.76"
"2017-11-04 17:48","103.75"
"2017-11-04 18:08","103.74"
"2017-11-04 18:28","103.72"
"2017-11-04 18:48","103.70"
"2017-11-04 19:08","103.68"
"2017-11-04 19:28","103.67"
"2017-11-04 19:48","103.66"
"2017-11-04 20:08","103.63"
"2017-11-04 20:28","103.62"
"2017-11-04 20:48","103.60"
"2017-11-04 21:08","103.56"
"2017-11-04 21:28","103.53"
"2017-11-04 21:48","103.51"
"2017-11-04 22:08","103.49"
"2017-11-04 22:28","103.48"
"2017-11-04 22:48","103.44"
"2017-11-04 23:08","103.42"
"2017-11-04 23:28","103.40"
"2017-11-04 23:48","103.37"
"2017-11-05 00:08","103.35"
"2017-11-05 00:28","103.33"
"2017-11-05 00:48","103.30"
"2017-11-05 01:08","103.28"
"2017-11-05 01:09","103.22"
"2017-11-05 01:28","103.26"
"2017-11-05 01:28","103.19"
"2017-11-05 01:48","103.24"
"2017-11-05 01:48","103.16"
"2017-11-05 02:08","103.13"
"2017-11-05 02:28","103.11"
"2017-11-05 02:48","103.08"
"2017-11-05 03:08","103.05"
"2017-11-05 03:28","103.03"
"2017-11-05 03:48","102.99"
"2017-11-05 04:08","102.95"
"2017-11-05 04:28","102.92"
"2017-11-05 04:48","102.88"
"2017-11-05 05:08","102.87"
"2017-11-05 05:28","102.84"
"2017-11-05 05:48","102.82"
"2017-11-05 06:08","102.79"
"2017-11-05 06:28","102.77"
"2017-11-05 06:48","102.77"
"2017-11-05 07:08","102.74"
"2017-11-05 07:28","102.74"
"2017-11-05 07:48","102.73"
"2017-11-05 08:08","102.72"
"2017-11-05 08:28","102.71"
"2017-11-05 08:48","102.71"
"2017-11-05 09:08","102.70"
"2017-11-05 09:28","102.69"
"2017-11-05 09:48","102.69"
"2017-11-05 10:08","102.66"
"2017-11-05 10:28","102.67"
"2017-11-05 10:48","102.67"
"2017-11-05 11:08","102.66"
"2017-11-05 11:28","102.66"
"2017-11-05 15:48","102.75"
"2017-11-05 16:28","102.76"
"2017-11-05 16:48","102.77"
"2017-11-05 17:08","102.78"
"2017-11-05 17:28","102.79"
"2017-11-05 17:48","102.80"
"2017-11-05 18:08","102.82"
"2017-11-05 18:28","102.84"
"2017-11-05 18:48","102.87"
"2017-11-05 19:08","102.89"
"2017-11-05 19:28","102.90"
"2017-11-05 19:48","102.91"
"2017-11-05 20:08","102.93"
"2017-11-05 20:28","102.94"
"2017-11-05 20:48","102.97"
"2017-11-05 21:08","103.00"
"2017-11-05 21:28","103.02"
"2017-11-05 21:48","103.05"
"2017-11-05 22:08","103.06"
"2017-11-05 22:28","103.09"
"2017-11-05 22:48","103.10"
"2017-11-05 23:08","103.12"
"2017-11-05 23:28","103.13"
"2017-11-05 23:48","103.14"
"2017-11-06 00:08","103.16"
"2017-11-06 00:28","103.17"
"2017-11-06 00:48","103.19"
"2017-11-06 01:08","103.20"
"2017-11-06 01:28","103.20"
"2017-11-06 01:48","103.22"
"2017-11-06 02:08","103.23"
"2017-11-06 02:28","103.25"
"2017-11-06 02:48","103.26"
"2017-11-06 03:08","103.27"
"2017-11-06 03:28","103.28"
"2017-11-06 03:48","103.30"
"2017-11-06 04:08","103.30"
"2017-11-06 04:28","103.32"
"2017-11-06 04:48","103.33"
"2017-11-06 05:08","103.35"
"2017-11-06 05:28","103.37"
"2017-11-06 05:48","103.36"
"2017-11-06 06:08","103.38"
"2017-11-06 06:28","103.38"
"2017-11-06 06:48","103.40"
"2017-11-06 07:08","103.40"
"2017-11-06 07:28","103.42"
"2017-11-06 07:48","103.43"
"2017-11-06 08:08","103.43"
"2017-11-06 08:28","103.43"
"2017-11-06 08:48","103.44"
"2017-11-06 09:08","103.45"
"2017-11-06 09:28","103.45"
"2017-11-06 09:48","103.46"
"2017-11-06 10:08","103.46"
"2017-11-06 10:28","103.47"
"2017-11-06 10:48","103.48"
"2017-11-06 11:08","103.48"
"2017-11-06 11:28","103.49"
"2017-11-06 11:48","103.49"
"2017-11-06 12:08","103.49"
"2017-11-06 12:28","103.49"
"2017-11-06 12:48","103.49"
"2017-11-06 13:08","103.48"
"2017-11-06 13:28","103.48"
"2017-11-06 13:48","103.49"
"2017-11-06 14:08","103.49"
"2017-11-06 14:28","103.50"
"2017-11-06 14:48","103.49"
"2017-11-06 15:08","103.50"
"2017-11-06 15:28","103.50"
"2017-11-06 15:48","103.51"
"2017-11-06 16:08","103.52"
"2017-11-06 16:28","103.54"
"2017-11-06 16:48","103.54"
"2017-11-06 17:08","103.54"
"2017-11-06 17:28","103.55"
"2017-11-06 17:48","103.55"
"2017-11-06 18:08","103.56"
"2017-11-06 18:28","103.55"
"2017-11-06 18:48","103.56"
"2017-11-06 19:08","103.57"
"2017-11-06 19:28","103.59"
"2017-11-06 19:48","103.60"
"2017-11-06 20:08","103.60"
"2017-11-06 20:28","103.61"
"2017-11-06 20:48","103.61"
"2017-11-06 21:08","103.61"
"2017-11-06 21:28","103.61"
"2017-11-06 21:48","103.61"
"2017-11-06 22:08","103.63"
"2017-11-06 22:28","103.63"
"2017-11-06 22:48","103.64"
"2017-11-06 23:08","103.64"
