"Time EST","Precipitation Yes/No"
"2017-11-01 00:08","No"
"2017-11-01 00:28","No"
"2017-11-01 00:48","No"
"2017-11-01 01:09","No"
"2017-11-01 01:29","No"
"2017-11-01 01:49","No"
"2017-11-01 02:08","No"
"2017-11-01 02:28","No"
"2017-11-01 02:49","No"
"2017-11-01 03:08","No"
"2017-11-01 03:28","No"
"2017-11-01 03:48","No"
"2017-11-01 04:08","No"
"2017-11-01 04:28","No"
"2017-11-01 04:48","No"
"2017-11-01 05:08","No"
"2017-11-01 05:28","No"
"2017-11-01 05:48","No"
"2017-11-01 06:08","No"
"2017-11-01 06:28","No"
"2017-11-01 06:48","No"
"2017-11-01 07:08","No"
"2017-11-01 07:28","No"
"2017-11-01 07:48","No"
"2017-11-01 08:08","No"
"2017-11-01 08:28","No"
"2017-11-01 08:48","No"
"2017-11-01 09:08","No"
"2017-11-01 09:28","No"
"2017-11-01 09:48","No"
"2017-11-01 10:08","No"
"2017-11-01 10:28","Yes"
"2017-11-01 10:48","No"
"2017-11-01 11:09","No"
"2017-11-01 11:28","No"
"2017-11-01 11:48","No"
"2017-11-01 12:08","Yes"
"2017-11-01 12:29","No"
"2017-11-01 12:48","No"
"2017-11-01 13:08","No"
"2017-11-01 13:28","No"
"2017-11-01 13:49","No"
"2017-11-01 14:08","Yes"
"2017-11-01 14:29","No"
"2017-11-01 14:49","Yes"
"2017-11-01 15:08","No"
"2017-11-01 15:28","No"
"2017-11-01 15:48","No"
"2017-11-01 16:09","No"
"2017-11-01 16:29","No"
"2017-11-01 16:49","No"
"2017-11-01 17:09","No"
"2017-11-01 17:28","No"
"2017-11-01 17:48","No"
"2017-11-01 18:09","No"
"2017-11-01 18:29","No"
"2017-11-01 18:48","No"
"2017-11-01 19:08","No"
"2017-11-01 19:30","No"
"2017-11-01 19:50","No"
"2017-11-01 20:08","No"
"2017-11-01 20:28","No"
"2017-11-01 20:48","No"
"2017-11-01 21:08","No"
"2017-11-01 21:28","No"
"2017-11-01 21:48","No"
"2017-11-01 22:08","No"
"2017-11-01 22:28","No"
"2017-11-01 22:48","No"
"2017-11-01 23:08","No"
"2017-11-01 23:28","No"
"2017-11-01 23:48","Yes"
"2017-11-02 00:08","No"
"2017-11-02 00:28","Yes"
"2017-11-02 00:48","No"
"2017-11-02 01:08","Yes"
"2017-11-02 01:28","Yes"
"2017-11-02 01:48","Yes"
"2017-11-02 02:08","No"
"2017-11-02 02:28","No"
"2017-11-02 02:48","No"
"2017-11-02 03:08","Yes"
"2017-11-02 03:28","Yes"
"2017-11-02 03:48","Yes"
"2017-11-02 04:08","Yes"
"2017-11-02 04:28","Yes"
"2017-11-02 04:48","Yes"
"2017-11-02 05:08","Yes"
"2017-11-02 05:28","Yes"
"2017-11-02 05:48","Yes"
"2017-11-02 06:08","Yes"
"2017-11-02 06:28","Yes"
"2017-11-02 06:48","Yes"
"2017-11-02 07:08","Yes"
"2017-11-02 07:28","Yes"
"2017-11-02 07:48","Yes"
"2017-11-02 08:08","Yes"
"2017-11-02 08:28","Yes"
"2017-11-02 08:48","Yes"
"2017-11-02 09:08","Yes"
"2017-11-02 09:28","Yes"
"2017-11-02 09:48","Yes"
"2017-11-02 10:08","Yes"
"2017-11-02 10:28","Yes"
"2017-11-02 10:48","Yes"
"2017-11-02 11:08","Yes"
"2017-11-02 11:28","Yes"
"2017-11-02 11:48","Yes"
"2017-11-02 12:08","Yes"
"2017-11-02 15:08","Yes"
"2017-11-02 15:28","Yes"
"2017-11-02 15:48","Yes"
"2017-11-02 16:08","Yes"
"2017-11-02 16:28","Yes"
"2017-11-02 16:48","Yes"
"2017-11-02 17:08","Yes"
"2017-11-02 17:28","Yes"
"2017-11-02 17:48","Yes"
"2017-11-02 18:08","Yes"
"2017-11-02 18:28","Yes"
"2017-11-02 18:48","Yes"
"2017-11-02 19:08","Yes"
