"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-11-01 00:08","1","NE","2"
"2017-11-01 00:28","1","NE","3"
"2017-11-01 00:48","2","NE","3"
"2017-11-01 01:09","1","NE","1"
"2017-11-01 01:29","1","NNE","2"
"2017-11-01 01:49","0","NNW","0"
"2017-11-01 02:08","1","NNE","2"
"2017-11-01 02:28","3","NE","4"
"2017-11-01 02:49","0","E","3"
"2017-11-01 03:08","1","NE","2"
"2017-11-01 03:28","0","N","2"
"2017-11-01 03:48","3","NE","3"
"2017-11-01 04:08","2","NNE","4"
"2017-11-01 04:28","0","N","2"
"2017-11-01 04:48","1","WSW","3"
"2017-11-01 05:08","3","NE","3"
"2017-11-01 05:28","2","NNE","4"
"2017-11-01 05:48","0","E","3"
"2017-11-01 06:08","1","NE","4"
"2017-11-01 06:28","2","NE","3"
"2017-11-01 06:48","0","E","2"
"2017-11-01 07:08","0","ENE","1"
"2017-11-01 07:28","3","ESE","5"
"2017-11-01 07:48","2","ESE","8"
"2017-11-01 08:08","3","E","4"
"2017-11-01 08:28","5","ESE","8"
"2017-11-01 08:48","4","E","9"
"2017-11-01 09:08","3","E","5"
"2017-11-01 09:28","1","ENE","5"
"2017-11-01 09:48","1","NE","3"
"2017-11-01 10:08","2","ENE","5"
"2017-11-01 10:28","4","ENE","7"
"2017-11-01 10:48","3","E","10"
"2017-11-01 11:09","4","ESE","8"
"2017-11-01 11:28","3","SE","7"
"2017-11-01 11:48","3","SE","8"
"2017-11-01 12:08","4","SE","6"
"2017-11-01 12:29","0","ESE","7"
"2017-11-01 12:48","3","ESE","6"
"2017-11-01 13:08","3","SSE","5"
"2017-11-01 13:28","6","E","11"
"2017-11-01 13:49","3","SSE","8"
"2017-11-01 14:08","2","SSW","9"
"2017-11-01 14:29","3","SSE","7"
"2017-11-01 14:49","1","SE","5"
"2017-11-01 15:08","3","SSE","8"
"2017-11-01 15:28","5","E","7"
"2017-11-01 15:48","4","ESE","9"
"2017-11-01 16:09","4","SE","9"
"2017-11-01 16:29","5","ESE","10"
"2017-11-01 16:49","4","E","7"
"2017-11-01 17:09","4","E","8"
"2017-11-01 17:28","3","E","6"
"2017-11-01 17:48","4","ENE","6"
"2017-11-01 18:09","5","ENE","8"
"2017-11-01 18:29","4","ENE","9"
"2017-11-01 18:48","3","ENE","5"
"2017-11-01 19:08","2","ENE","4"
"2017-11-01 19:30","4","NE","6"
"2017-11-01 19:50","3","NE","5"
"2017-11-01 20:08","4","NE","5"
"2017-11-01 20:28","1","N","4"
"2017-11-01 20:48","1","N","3"
"2017-11-01 21:08","2","NE","3"
"2017-11-01 21:28","3","NE","5"
"2017-11-01 21:48","2","NE","5"
"2017-11-01 22:08","3","NE","5"
"2017-11-01 22:28","5","NE","7"
"2017-11-01 22:48","3","NE","6"
"2017-11-01 23:08","3","NE","5"
"2017-11-01 23:28","2","NNE","5"
"2017-11-01 23:48","3","NE","4"
"2017-11-02 00:08","3","NE","5"
"2017-11-02 00:28","2","NE","6"
"2017-11-02 00:48","4","NE","7"
"2017-11-02 01:08","2","NNE","5"
"2017-11-02 01:28","3","N","6"
"2017-11-02 01:48","1","NE","4"
"2017-11-02 02:08","0","NE","4"
"2017-11-02 02:28","4","NNE","6"
"2017-11-02 02:48","4","NE","8"
"2017-11-02 03:08","5","NNE","9"
"2017-11-02 03:28","3","N","9"
"2017-11-02 03:48","4","NNE","8"
"2017-11-02 04:08","6","NNE","9"
"2017-11-02 04:28","6","NNE","9"
"2017-11-02 04:48","6","NE","10"
"2017-11-02 05:08","5","NNE","9"
"2017-11-02 05:28","4","NE","8"
"2017-11-02 05:48","4","NNE","7"
"2017-11-02 06:08","4","NE","7"
"2017-11-02 06:28","5","NE","9"
"2017-11-02 06:48","4","NNE","7"
"2017-11-02 07:08","3","ENE","6"
"2017-11-02 07:28","3","NE","4"
"2017-11-02 07:48","5","NE","8"
"2017-11-02 08:08","5","NE","8"
"2017-11-02 08:28","6","NE","9"
"2017-11-02 08:48","6","NE","9"
"2017-11-02 09:08","5","E","12"
"2017-11-02 09:28","5","NE","11"
