"Time EST","Dew Point (°C)","Relative Humidity (%)"
"2017-12-01 00:04","0.9","85"
"2017-12-01 00:14","1.2","88"
"2017-12-01 00:24","1.3","88"
"2017-12-01 00:34","1.1","84"
"2017-12-01 00:44","1.1","83"
"2017-12-01 00:54","1.0","83"
"2017-12-01 01:04","1.0","83"
"2017-12-01 01:14","0.7","81"
"2017-12-01 01:24","0.4","82"
"2017-12-01 01:34","0.2","84"
"2017-12-01 01:44","0.1","84"
"2017-12-01 01:54","0.2","83"
"2017-12-01 02:04","0.1","81"
"2017-12-01 02:14","-0.1","77"
"2017-12-01 02:24","-0.1","76"
"2017-12-01 02:34","0.0","75"
"2017-12-01 02:44","-0.1","75"
"2017-12-01 02:54","0.0","76"
"2017-12-01 03:04","0.1","77"
"2017-12-01 03:14","0.4","80"
"2017-12-01 03:34","0.5","82"
"2017-12-01 03:54","0.7","83"
"2017-12-01 04:14","0.7","83"
"2017-12-01 04:34","0.5","83"
"2017-12-01 04:54","0.3","84"
"2017-12-01 05:14","0.0","87"
"2017-12-01 05:34","0.0","88"
"2017-12-01 05:54","-0.4","89"
"2017-12-01 06:14","-0.8","90"
"2017-12-01 06:34","-0.2","93"
"2017-12-01 06:54","-0.2","91"
"2017-12-01 07:14","-0.3","92"
"2017-12-01 07:34","-0.3","92"
"2017-12-01 07:54","-0.3","93"
"2017-12-01 08:14","-0.2","91"
"2017-12-01 08:34","0.1","89"
"2017-12-01 08:54","0.0","84"
"2017-12-01 09:14","0.5","84"
"2017-12-01 09:34","0.8","82"
"2017-12-01 09:54","0.9","78"
"2017-12-01 10:14","0.4","67"
"2017-12-01 10:34","-1.4","59"
"2017-12-01 10:54","-1.3","59"
"2017-12-01 11:14","-1.7","58"
"2017-12-01 11:34","-1.7","58"
"2017-12-01 11:54","-0.9","56"
"2017-12-01 12:14","-1.4","54"
"2017-12-01 12:34","-0.6","57"
"2017-12-01 12:54","-0.4","58"
"2017-12-01 13:14","-0.9","56"
"2017-12-01 13:34","-0.8","57"
"2017-12-01 13:44","-0.5","57"
"2017-12-01 13:54","-0.5","57"
"2017-12-01 14:04","0.0","58"
"2017-12-01 14:14","-0.8","56"
"2017-12-01 14:24","-0.5","58"
"2017-12-01 14:34","-0.3","59"
"2017-12-01 14:44","-0.5","58"
"2017-12-01 14:54","-0.3","59"
"2017-12-01 15:04","-0.6","58"
"2017-12-01 15:14","-0.1","61"
"2017-12-01 15:24","-0.1","63"
"2017-12-01 15:34","-0.5","62"
"2017-12-01 15:44","0.3","65"
"2017-12-01 15:54","0.1","66"
"2017-12-01 16:04","0.2","69"
"2017-12-01 16:14","0.4","72"
"2017-12-01 16:24","0.3","73"
"2017-12-01 16:34","0.3","76"
"2017-12-01 16:44","0.2","76"
"2017-12-01 16:54","0.1","79"
"2017-12-01 17:04","0.0","79"
"2017-12-01 17:14","-0.2","80"
"2017-12-01 17:24","-0.3","80"
"2017-12-01 17:34","-0.5","81"
"2017-12-01 17:44","-0.6","83"
"2017-12-01 17:54","-0.5","81"
"2017-12-01 18:04","-0.6","82"
"2017-12-01 18:14","-0.5","81"
"2017-12-01 18:24","-0.6","82"
"2017-12-01 18:34","-0.8","85"
"2017-12-01 18:44","-0.8","85"
"2017-12-01 18:54","-0.6","85"
"2017-12-01 19:04","-0.9","84"
"2017-12-01 19:14","-0.9","87"
"2017-12-01 19:24","-0.7","87"
"2017-12-01 19:34","-0.6","87"
"2017-12-01 19:44","-0.7","85"
"2017-12-01 19:54","-0.8","84"
"2017-12-01 20:04","-1.0","83"
"2017-12-01 20:14","-1.1","87"
"2017-12-01 20:24","-1.0","87"
"2017-12-01 20:34","-1.4","89"
"2017-12-01 20:44","-1.5","90"
"2017-12-01 20:54","-1.2","91"
"2017-12-01 21:04","-1.3","91"
"2017-12-01 21:14","-1.1","91"
"2017-12-01 21:24","-1.3","91"
"2017-12-01 21:34","-1.1","90"
"2017-12-01 21:44","-1.1","89"
"2017-12-01 21:54","-1.1","90"
"2017-12-01 22:04","-1.4","91"
"2017-12-01 22:14","-1.2","92"
"2017-12-01 22:24","-1.1","93"
"2017-12-01 22:34","-1.1","93"
"2017-12-01 22:44","-1.1","94"
"2017-12-01 22:54","-0.8","94"
"2017-12-01 23:04","-0.9","93"
"2017-12-01 23:14","-0.8","94"
"2017-12-01 23:24","-0.5","93"
"2017-12-01 23:34","-0.6","91"
"2017-12-01 23:44","-0.8","91"
"2017-12-01 23:54","-0.9","92"
"2017-12-02 00:04","-0.9","92"
"2017-12-02 00:14","-0.7","93"
"2017-12-02 00:24","-0.7","93"
"2017-12-02 00:34","-0.8","92"
"2017-12-02 00:44","-0.8","93"
"2017-12-02 00:54","-0.7","93"
"2017-12-02 01:04","-0.8","93"
"2017-12-02 01:14","-0.8","94"
"2017-12-02 01:24","-0.8","94"
