"Time EST","Pressure (kPa)"
"2017-12-01 00:04","98.62"
"2017-12-01 00:14","98.66"
"2017-12-01 00:24","98.66"
"2017-12-01 00:34","98.66"
"2017-12-01 00:44","98.66"
"2017-12-01 00:54","98.69"
"2017-12-01 01:04","98.69"
"2017-12-01 01:14","98.69"
"2017-12-01 01:24","98.73"
"2017-12-01 01:34","98.73"
"2017-12-01 01:44","98.73"
"2017-12-01 01:54","98.73"
"2017-12-01 02:04","98.76"
"2017-12-01 02:14","98.76"
"2017-12-01 02:24","98.76"
"2017-12-01 02:34","98.80"
"2017-12-01 02:44","98.80"
"2017-12-01 02:54","98.83"
"2017-12-01 03:04","98.80"
"2017-12-01 03:14","98.83"
"2017-12-01 03:34","98.83"
"2017-12-01 03:54","98.87"
"2017-12-01 04:14","98.90"
"2017-12-01 04:34","98.90"
"2017-12-01 04:54","98.90"
"2017-12-01 05:14","98.94"
"2017-12-01 05:34","98.94"
"2017-12-01 05:54","98.94"
"2017-12-01 06:14","99.01"
"2017-12-01 06:34","99.01"
"2017-12-01 06:54","99.04"
"2017-12-01 07:14","99.08"
"2017-12-01 07:34","99.08"
"2017-12-01 07:54","99.11"
"2017-12-01 08:14","99.11"
"2017-12-01 08:34","99.15"
"2017-12-01 08:54","99.18"
"2017-12-01 09:14","99.18"
"2017-12-01 09:34","99.18"
"2017-12-01 09:54","99.18"
"2017-12-01 10:14","99.22"
"2017-12-01 10:34","99.22"
"2017-12-01 10:54","99.22"
"2017-12-01 11:14","99.22"
"2017-12-01 11:34","99.18"
"2017-12-01 11:54","99.18"
"2017-12-01 12:14","99.18"
"2017-12-01 12:34","99.18"
"2017-12-01 12:54","99.18"
"2017-12-01 13:14","99.18"
"2017-12-01 13:34","99.15"
"2017-12-01 13:44","99.15"
"2017-12-01 13:54","99.15"
"2017-12-01 14:04","99.11"
"2017-12-01 14:14","99.11"
"2017-12-01 14:24","99.11"
"2017-12-01 14:34","99.15"
"2017-12-01 14:44","99.15"
"2017-12-01 14:54","99.15"
"2017-12-01 15:04","99.15"
"2017-12-01 15:14","99.11"
"2017-12-01 15:24","99.11"
"2017-12-01 15:34","99.11"
"2017-12-01 15:44","99.11"
"2017-12-01 15:54","99.15"
"2017-12-01 16:04","99.11"
"2017-12-01 16:14","99.15"
"2017-12-01 16:24","99.15"
"2017-12-01 16:34","99.15"
"2017-12-01 16:44","99.15"
"2017-12-01 16:54","99.18"
"2017-12-01 17:04","99.18"
"2017-12-01 17:14","99.18"
"2017-12-01 17:24","99.18"
"2017-12-01 17:34","99.22"
"2017-12-01 17:44","99.22"
"2017-12-01 17:54","99.22"
"2017-12-01 18:04","99.22"
"2017-12-01 18:14","99.22"
"2017-12-01 18:24","99.22"
"2017-12-01 18:34","99.22"
"2017-12-01 18:44","99.22"
"2017-12-01 18:54","99.22"
"2017-12-01 19:04","99.22"
"2017-12-01 19:14","99.22"
"2017-12-01 19:24","99.22"
"2017-12-01 19:34","99.18"
"2017-12-01 19:44","99.18"
"2017-12-01 19:54","99.18"
"2017-12-01 20:04","99.18"
"2017-12-01 20:14","99.15"
"2017-12-01 20:24","99.18"
"2017-12-01 20:34","99.18"
"2017-12-01 20:44","99.18"
"2017-12-01 20:54","99.18"
"2017-12-01 21:04","99.18"
"2017-12-01 21:14","99.18"
"2017-12-01 21:24","99.18"
"2017-12-01 21:34","99.18"
"2017-12-01 21:44","99.18"
"2017-12-01 21:54","99.18"
"2017-12-01 22:04","99.18"
"2017-12-01 22:14","99.15"
"2017-12-01 22:24","99.15"
"2017-12-01 22:34","99.15"
"2017-12-01 22:44","99.15"
"2017-12-01 22:54","99.18"
"2017-12-01 23:04","99.15"
"2017-12-01 23:14","99.15"
"2017-12-01 23:24","99.15"
"2017-12-01 23:34","99.15"
"2017-12-01 23:44","99.15"
"2017-12-01 23:54","99.18"
"2017-12-02 00:04","99.15"
"2017-12-02 00:14","99.18"
"2017-12-02 00:24","99.18"
"2017-12-02 00:34","99.18"
"2017-12-02 00:44","99.15"
"2017-12-02 00:54","99.18"
"2017-12-02 01:04","99.18"
"2017-12-02 01:14","99.15"
"2017-12-02 01:24","99.15"
"2017-12-02 01:34","99.11"
"2017-12-02 01:44","99.11"
"2017-12-02 01:54","99.15"
"2017-12-02 02:04","99.15"
"2017-12-02 02:14","99.15"
"2017-12-02 02:24","99.15"
"2017-12-02 02:34","99.15"
"2017-12-02 02:44","99.15"
"2017-12-02 02:54","99.15"
"2017-12-02 03:04","99.15"
"2017-12-02 03:14","99.11"
"2017-12-02 03:24","99.11"
"2017-12-02 03:34","99.11"
"2017-12-02 03:44","99.08"
"2017-12-02 03:54","99.11"
"2017-12-02 04:04","99.11"
"2017-12-02 04:14","99.08"
"2017-12-02 04:24","99.11"
"2017-12-02 04:34","99.08"
"2017-12-02 04:44","99.11"
"2017-12-02 04:54","99.11"
"2017-12-02 05:04","99.11"
"2017-12-02 05:14","99.11"
"2017-12-02 05:24","99.08"
"2017-12-02 05:34","99.08"
"2017-12-02 05:44","99.08"
"2017-12-02 05:54","99.08"
"2017-12-02 06:04","99.08"
"2017-12-02 06:14","99.08"
"2017-12-02 06:24","99.08"
"2017-12-02 06:34","99.08"
"2017-12-02 06:44","99.08"
"2017-12-02 06:54","99.08"
"2017-12-02 07:04","99.08"
"2017-12-02 07:14","99.08"
"2017-12-02 07:24","99.08"
"2017-12-02 07:34","99.08"
"2017-12-02 07:44","99.04"
"2017-12-02 07:54","99.08"
"2017-12-02 08:04","99.08"
"2017-12-02 08:14","99.08"
"2017-12-02 08:24","99.08"
"2017-12-02 08:34","99.08"
"2017-12-02 08:44","99.08"
"2017-12-02 08:54","99.11"
"2017-12-02 09:04","99.11"
"2017-12-02 09:14","99.11"
"2017-12-02 09:24","99.08"
"2017-12-02 09:34","99.11"
"2017-12-02 09:44","99.11"
"2017-12-02 09:54","99.11"
"2017-12-02 10:04","99.11"
"2017-12-02 10:14","99.15"
"2017-12-02 10:24","99.15"
"2017-12-02 10:34","99.08"
"2017-12-02 10:44","99.08"
"2017-12-02 10:54","99.04"
"2017-12-02 11:04","99.08"
"2017-12-02 11:14","99.04"
"2017-12-02 11:24","99.04"
"2017-12-02 11:34","99.04"
"2017-12-02 11:44","99.01"
"2017-12-02 11:54","99.01"
"2017-12-02 12:04","99.01"
"2017-12-02 12:14","98.94"
"2017-12-02 12:24","98.94"
"2017-12-02 12:34","98.94"
"2017-12-02 12:44","98.90"
"2017-12-02 12:54","98.90"
"2017-12-02 13:04","98.87"
"2017-12-02 13:14","98.87"
"2017-12-02 13:24","98.87"
"2017-12-02 13:34","98.87"
"2017-12-02 13:44","98.87"
"2017-12-02 13:54","98.83"
"2017-12-02 14:04","98.83"
"2017-12-02 14:14","98.80"
"2017-12-02 14:24","98.80"
"2017-12-02 14:34","98.80"
"2017-12-02 14:44","98.80"
"2017-12-02 14:54","98.76"
"2017-12-02 15:04","98.76"
"2017-12-02 15:14","98.76"
"2017-12-02 15:24","98.76"
"2017-12-02 15:34","98.76"
"2017-12-02 15:44","98.76"
"2017-12-02 15:54","98.80"
"2017-12-02 16:04","98.80"
"2017-12-02 16:14","98.83"
"2017-12-02 16:24","98.83"
"2017-12-02 16:34","98.80"
"2017-12-02 16:44","98.80"
"2017-12-02 16:54","98.80"
"2017-12-02 17:04","98.80"
"2017-12-02 17:14","98.83"
"2017-12-02 17:24","98.83"
"2017-12-02 17:34","98.87"
"2017-12-02 17:44","98.87"
"2017-12-02 17:54","98.87"
"2017-12-02 18:04","98.87"
"2017-12-02 18:14","98.90"
"2017-12-02 18:24","98.90"
"2017-12-02 18:34","98.90"
"2017-12-02 18:44","98.90"
"2017-12-02 18:54","98.87"
"2017-12-02 19:04","98.87"
"2017-12-02 19:14","98.83"
"2017-12-02 19:24","98.83"
"2017-12-02 19:34","98.83"
"2017-12-02 19:44","98.83"
"2017-12-02 19:54","98.87"
"2017-12-02 20:04","98.87"
"2017-12-02 20:14","98.83"
"2017-12-02 20:24","98.83"
"2017-12-02 20:34","98.83"
"2017-12-02 20:44","98.83"
"2017-12-02 20:54","98.83"
"2017-12-02 21:04","98.80"
"2017-12-02 21:14","98.80"
"2017-12-02 21:24","98.80"
"2017-12-02 21:34","98.80"
"2017-12-02 21:44","98.80"
"2017-12-02 21:54","98.80"
"2017-12-02 22:04","98.80"
"2017-12-02 22:14","98.80"
"2017-12-02 22:24","98.80"
"2017-12-02 22:34","98.80"
"2017-12-02 22:44","98.83"
"2017-12-02 22:54","98.80"
"2017-12-02 23:04","98.80"
"2017-12-02 23:14","98.80"
"2017-12-02 23:24","98.80"
"2017-12-02 23:34","98.80"
"2017-12-02 23:44","98.80"
"2017-12-02 23:54","98.80"
"2017-12-03 00:04","98.80"
"2017-12-03 00:14","98.76"
"2017-12-03 00:24","98.76"
"2017-12-03 00:34","98.76"
"2017-12-03 00:44","98.76"
"2017-12-03 00:54","98.76"
"2017-12-03 01:04","98.76"
"2017-12-03 01:24","98.76"
"2017-12-03 01:34","98.73"
"2017-12-03 01:44","98.76"
"2017-12-03 01:54","98.76"
"2017-12-03 02:04","98.73"
"2017-12-03 02:14","98.76"
"2017-12-03 02:24","98.76"
"2017-12-03 02:34","98.76"
"2017-12-03 02:44","98.76"
"2017-12-03 02:54","98.76"
"2017-12-03 03:04","98.76"
"2017-12-03 03:14","98.76"
"2017-12-03 03:24","98.76"
"2017-12-03 03:34","98.73"
"2017-12-03 03:44","98.73"
"2017-12-03 03:54","98.73"
"2017-12-03 04:04","98.73"
"2017-12-03 04:14","98.73"
"2017-12-03 04:24","98.73"
"2017-12-03 04:34","98.73"
"2017-12-03 04:44","98.73"
"2017-12-03 04:54","98.73"
"2017-12-03 05:04","98.73"
"2017-12-03 05:14","98.73"
"2017-12-03 05:24","98.73"
"2017-12-03 05:34","98.73"
"2017-12-03 05:44","98.73"
"2017-12-03 05:54","98.73"
"2017-12-03 06:04","98.76"
"2017-12-03 06:14","98.76"
"2017-12-03 06:24","98.76"
"2017-12-03 06:34","98.80"
"2017-12-03 06:44","98.76"
"2017-12-03 06:54","98.76"
"2017-12-03 07:04","98.80"
"2017-12-03 07:14","98.80"
"2017-12-03 07:24","98.80"
"2017-12-03 07:34","98.83"
"2017-12-03 07:44","98.83"
"2017-12-03 07:54","98.83"
"2017-12-03 08:04","98.87"
