"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2017-12-01 00:04","0","W","6"
"2017-12-01 00:14","0","W","0"
"2017-12-01 00:24","1","W","8"
"2017-12-01 00:34","3","W","8"
"2017-12-01 00:44","6","W","11"
"2017-12-01 00:54","3","W","9"
"2017-12-01 01:04","5","W","11"
"2017-12-01 01:14","3","W","10"
"2017-12-01 01:24","3","W","9"
"2017-12-01 01:34","4","W","9"
"2017-12-01 01:44","6","W","9"
"2017-12-01 01:54","3","W","8"
"2017-12-01 02:04","2","W","13"
"2017-12-01 02:14","10","WNW","16"
"2017-12-01 02:24","9","W","16"
"2017-12-01 02:34","1","WNW","12"
"2017-12-01 02:44","5","WNW","11"
"2017-12-01 02:54","6","WNW","9"
"2017-12-01 03:04","9","W","12"
"2017-12-01 03:14","0","WNW","9"
"2017-12-01 03:34","3","WNW","10"
"2017-12-01 03:54","2","WNW","11"
"2017-12-01 04:14","0","WNW",""
"2017-12-01 04:34","0","W","4"
"2017-12-01 04:54","0","NW","0"
"2017-12-01 05:14","0","NNW","0"
"2017-12-01 05:34","0","NW","0"
"2017-12-01 05:54","0","WNW","0"
"2017-12-01 06:14","0","W","0"
"2017-12-01 06:34","0","WNW","0"
"2017-12-01 06:54","0","NW","0"
"2017-12-01 07:14","0","NW","0"
"2017-12-01 07:34","0","NNW","0"
"2017-12-01 07:54","0","NW","0"
"2017-12-01 08:14","0","NNW","0"
"2017-12-01 08:34","0","NNW","0"
"2017-12-01 08:54","0","NNW","0"
"2017-12-01 09:14","0","N","0"
"2017-12-01 09:34","0","NNW","0"
"2017-12-01 09:54","0","NNE","0"
"2017-12-01 10:14","0","W","0"
"2017-12-01 10:34","0","NNE","0"
"2017-12-01 10:54","0","E","0"
"2017-12-01 11:14","0","N","0"
"2017-12-01 11:34","0","WSW","0"
"2017-12-01 11:54","0","WNW","8"
"2017-12-01 12:14","5","WNW","14"
"2017-12-01 12:34","9","WSW","14"
"2017-12-01 12:54","10","W","15"
"2017-12-01 13:14","4","W","15"
"2017-12-01 13:34","2","W","15"
"2017-12-01 13:44","1","W","13"
"2017-12-01 13:54","4","WNW","10"
"2017-12-01 14:04","1","WSW","10"
"2017-12-01 14:14","8","WSW","13"
"2017-12-01 14:24","0","WSW","13"
"2017-12-01 14:34","5","WNW","11"
"2017-12-01 14:44","0","W","9"
"2017-12-01 14:54","3","NW","8"
"2017-12-01 15:04","0","W","8"
"2017-12-01 15:14","5","W","9"
"2017-12-01 15:24","4","W","9"
"2017-12-01 15:34","0","WNW","6"
"2017-12-01 15:44","0","W","0"
"2017-12-01 15:54","0","SW","3"
"2017-12-01 16:04","6","SW","11"
"2017-12-01 16:14","6","SW","11"
"2017-12-01 16:24","8","SW","14"
"2017-12-01 16:34","1","SW","11"
"2017-12-01 16:44","0","SW","9"
"2017-12-01 16:54","0","SW","0"
"2017-12-01 17:04","0","SW","0"
"2017-12-01 17:14","0","SW","0"
"2017-12-01 17:24","0","SW","0"
"2017-12-01 17:34","0","WSW","0"
"2017-12-01 17:44","0","WSW","0"
"2017-12-01 17:54","0","WSW","0"
"2017-12-01 18:04","0","SW","0"
"2017-12-01 18:14","0","SW","0"
"2017-12-01 18:24","0","SW","0"
"2017-12-01 18:34","0","SW","0"
"2017-12-01 18:44","0","SSW","0"
"2017-12-01 18:54","0","SW","0"
"2017-12-01 19:04","0","SSW","0"
"2017-12-01 19:14","0","S","0"
"2017-12-01 19:24","0","S","0"
"2017-12-01 19:34","0","SW","0"
"2017-12-01 19:44","0","SSW","0"
"2017-12-01 19:54","0","W","0"
"2017-12-01 20:04","0","W","0"
"2017-12-01 20:14","0","WNW","0"
"2017-12-01 20:24","0","NW","0"
"2017-12-01 20:34","0","N","0"
"2017-12-01 20:44","0","NW","0"
"2017-12-01 20:54","0","N","0"
"2017-12-01 21:04","0","NNW","0"
"2017-12-01 21:14","0","N","0"
"2017-12-01 21:24","0","N","0"
"2017-12-01 21:34","0","N","0"
"2017-12-01 21:44","0","N","0"
"2017-12-01 21:54","0","N","0"
"2017-12-01 22:04","0","NNW","0"
"2017-12-01 22:14","0","NE","0"
"2017-12-01 22:24","0","NE","0"
"2017-12-01 22:34","0","N","0"
"2017-12-01 22:44","0","NNW","0"
"2017-12-01 22:54","0","NNW","0"
"2017-12-01 23:04","0","NW","0"
"2017-12-01 23:14","0","WNW","0"
"2017-12-01 23:24","0","W","0"
"2017-12-01 23:34","0","NNW","0"
"2017-12-01 23:44","0","W","0"
"2017-12-01 23:54","0","W","0"
"2017-12-02 00:04","0","S","0"
"2017-12-02 00:14","0","NNW","3"
"2017-12-02 00:24","0","NW","0"
"2017-12-02 00:34","0","NW","0"
"2017-12-02 00:44","0","WSW","0"
