"Time EST","Wind Speed (km/h)","Wind Direction","Wind Gusts (km/h)"
"2018-02-01 00:04","12","WSW","15"
"2018-02-01 00:14","13","WSW","17"
"2018-02-01 00:24","9","WSW","18"
"2018-02-01 00:34","12","SW","15"
"2018-02-01 00:44","13","SW","17"
"2018-02-01 00:54","12","WSW","17"
"2018-02-01 01:04","12","WSW","17"
"2018-02-01 01:14","10","WSW","16"
"2018-02-01 01:24","10","WSW","16"
"2018-02-01 01:34","8","WSW","14"
"2018-02-01 01:44","11","WSW","17"
"2018-02-01 01:54","8","SW","13"
"2018-02-01 02:04","10","WSW","13"
"2018-02-01 02:14","13","WSW","18"
"2018-02-01 02:24","9","SW","15"
"2018-02-01 02:34","9","WSW","13"
"2018-02-01 02:44","10","SW","16"
"2018-02-01 02:54","10","SW","16"
"2018-02-01 03:04","6","SW","13"
"2018-02-01 03:14","11","SW","14"
"2018-02-01 03:24","12","WSW","20"
"2018-02-01 03:34","12","SW","18"
"2018-02-01 03:44","11","WSW","18"
"2018-02-01 03:54","14","WSW","18"
"2018-02-01 04:04","13","WSW","18"
"2018-02-01 04:14","14","WSW","18"
"2018-02-01 04:24","12","WSW","18"
"2018-02-01 04:34","11","SW","17"
"2018-02-01 04:44","10","WSW","16"
"2018-02-01 04:54","10","WSW","18"
"2018-02-01 05:04","10","SW","16"
"2018-02-01 05:14","9","WSW","15"
"2018-02-01 05:24","9","WSW","18"
"2018-02-01 05:34","10","WSW","16"
"2018-02-01 05:44","12","WSW","19"
"2018-02-01 05:54","9","SW","17"
"2018-02-01 06:04","9","WSW","17"
"2018-02-01 06:14","10","WSW","17"
"2018-02-01 06:24","6","SW","17"
"2018-02-01 06:34","7","WSW","14"
"2018-02-01 06:44","9","WSW","13"
"2018-02-01 06:54","6","SW","12"
"2018-02-01 07:04","8","SW","17"
"2018-02-01 07:14","8","SW","15"
"2018-02-01 07:24","10","WSW","17"
"2018-02-01 07:34","12","WSW","18"
"2018-02-01 07:44","10","WSW","14"
"2018-02-01 07:54","10","W","18"
"2018-02-01 08:04","9","W","18"
